Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1702,"N. SMIRNOFF","The role of active oxygen in the response of plants to water deficit and desiccation",1993,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84987012931&origin=inward",1,"2024-07-01 12:55:02","Article","10.1111/j.1469-8137.1993.tb03863.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84987012931",125,1,27,58,1702,54.90,1702,1,31,"","",""
470,"M. Patra","Mercury toxicity in plants",2000,"Botanical Review","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000720060&origin=inward",2,"2024-07-01 12:55:02","Article","10.1007/BF02868923","0006-8101","https://api.elsevier.com/content/abstract/scopus_id/0000720060",66,3,379,422,470,19.58,470,1,24,"","",""
244,"B. Büdel","Southern african biological soil crusts are ubiquitous and highly diverse in drylands, being restricted by rainfall frequency",2009,"Microbial Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=59549097087&origin=inward",3,"2024-07-01 12:55:02","Article","10.1007/s00248-008-9449-9","0095-3628","https://api.elsevier.com/content/abstract/scopus_id/59549097087",57,2,229,247,244,16.27,244,1,15,"","",""
223,"M. Pietrzykowska","The light-harvesting chlorophyll a/b binding proteins Lhcb1 and Lhcb2 play complementary roles during state transitions in Arabidopsis",2014,"Plant Cell","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84908226009&origin=inward",4,"2024-07-01 12:55:02","Article","10.1105/tpc.114.127373","1040-4651","https://api.elsevier.com/content/abstract/scopus_id/84908226009",26,9,3646,3660,223,22.30,223,1,10,"","",""
211,"M. Marschall","Are bryophytes shade plants? Photosynthetic light responses and proportions of chlorophyll a, chlorophyll b and total carotenoids",2004,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=8344285636&origin=inward",5,"2024-07-01 12:55:02","Article","10.1093/aob/mch178","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/8344285636",94,4,593,603,211,10.55,211,1,20,"","",""
191,"C. Reinbothe","Chlorophyll biosynthesis: Spotlight on protochlorophyllide reduction",2010,"Trends in Plant Science","","https://api.elsevier.com/content/article/eid/1-s2.0-S136013851000155X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78049470732&origin=inward",6,"2024-07-01 12:55:02","Review","10.1016/j.tplants.2010.07.002","1360-1385","https://api.elsevier.com/content/abstract/scopus_id/78049470732",15,11,614,624,191,13.64,191,1,14,"","",""
185,"L. Durand","Photo-synthesis, photoinhibition, and nitrogen use efficiency in native and invasive tree ferns in Hawaii",2001,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035025955&origin=inward",7,"2024-07-01 12:55:02","Article","10.1007/s004420000535","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0035025955",126,3,345,354,185,8.04,185,1,23,"","",""
178,"M. Torres-Ruiz","Trophic relations in a stream food web: Importance of fatty acids for macroinvertebrate consumers",2007,"Journal of the North American Benthological Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34547657736&origin=inward",8,"2024-07-01 12:55:02","Article","10.1899/06-070.1","0887-3593","https://api.elsevier.com/content/abstract/scopus_id/34547657736",26,3,509,522,178,10.47,178,1,17,"","",""
156,"Z. Tuba","Photosynthetic responses of a moss, Tortula ruralis, ssp. ruralis, and the lichens Cladonia convoluta and C. furcata to water deficit and short periods of desiccation, and their ecophysiological significance: A baseline study at present-day CO<inf>2</inf> concentration",1996,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0001467469&origin=inward",9,"2024-07-01 12:55:02","Article","10.1111/j.1469-8137.1996.tb01902.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0001467469",133,2,353,361,156,5.57,156,1,28,"","",""
146,"B. WHITTON","Use of algae and other plants for monitoring rivers",1995,"Australian Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028976034&origin=inward",10,"2024-07-01 12:55:02","Article","10.1111/j.1442-9993.1995.tb00521.x","0307-692X","https://api.elsevier.com/content/abstract/scopus_id/0028976034",20,1,45,56,146,5.03,146,1,29,"","",""
140,"J. Watkins","Ecological and evolutionary consequences of desiccation tolerance in tropical fern gametophytes",2007,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35448980372&origin=inward",11,"2024-07-01 12:55:02","Article","10.1111/j.1469-8137.2007.02194.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/35448980372",176,3,708,717,140,8.24,140,1,17,"","",""
137,"K. Newsham","Responses of plants in polar regions to UVB exposure: A meta-analysis",2009,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=66749126713&origin=inward",12,"2024-07-01 12:55:02","Article","10.1111/j.1365-2486.2009.01944.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/66749126713",15,11,2574,2589,137,9.13,137,1,15,"","",""
134,"M. Proctor","Rapid recovery of photosystems on rewetting desiccation-tolerant mosses: Chlorophyll fluorescence and inhibitor experiments",2000,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033738651&origin=inward",13,"2024-07-01 12:55:02","Article","10.1093/jexbot/51.351.1695","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/0033738651",51,351,1695,1704,134,5.58,134,1,24,"","",""
133,"M.C.F. Proctor","Desiccation tolerance in the moss Polytrichum formosum: Physiological and fine-structural changes during desiccation and recovery",2007,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34047209561&origin=inward",14,"2024-07-01 12:55:02","Article","10.1093/aob/mcl246","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/34047209561",99,1,75,93,133,7.82,133,1,17,"","",""
129,"A. Wood","Invited essay: New frontiers in bryology and lichenology: The nature and distribution of vegetative desiccation-tolerance in hornworts, liverworts and mosses",2007,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34248591481&origin=inward",15,"2024-07-01 12:55:02","Review","10.1639/0007-2745(2007)110[163:IENFIB]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/34248591481",110,2,163,177,129,7.59,129,1,17,"","",""
127,"M. PROCTOR","The physiological basis of bryophyte production",1990,"Botanical Journal of the Linnean Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84984187037&origin=inward",16,"2024-07-01 12:55:02","Article","10.1111/j.1095-8339.1990.tb02211.x","0024-4074","https://api.elsevier.com/content/abstract/scopus_id/84984187037",104,1,61,77,127,3.74,127,1,34,"","",""
127,"Z. Tuba","Ecophysiological responses of homoiochlorophyllous and poikilochlorophyllous desiccation tolerant plants: A comparison and an ecological perspective",1998,"Plant Growth Regulation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031912438&origin=inward",17,"2024-07-01 12:55:02","Conference Paper","10.1023/A:1005951908229","0167-6903","https://api.elsevier.com/content/abstract/scopus_id/0031912438",24,3,211,217,127,4.88,127,1,26,"","",""
123,"Ø. Moestrup","On the phylogenetic validity of the flagellar apparatus in green algae and other chlorophyll A and B containing plants",1978,"BioSystems","","https://api.elsevier.com/content/article/eid/1-s2.0-0303264778900357","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0017960127&origin=inward",18,"2024-07-01 12:55:02","Article","10.1016/0303-2647(78)90035-7","0303-2647","https://api.elsevier.com/content/abstract/scopus_id/0017960127",10,1,117,144,123,2.67,123,1,46,"","",""
108,"Z. Csintalan","Chlorophyll fluorescence during drying and rehydration in the mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) Hook. and Tayl. and Grimmia pulvinata (Hedw.) Sm.",1999,"Annals of Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S0305736499909198","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032773765&origin=inward",19,"2024-07-01 12:55:02","Article","10.1006/anbo.1999.0919","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/0032773765",84,2,235,244,108,4.32,108,1,25,"","",""
102,"M. Miserendino","The effects of land use on environmental features and functional organization of macroinvertebrate communities in Patagonian low order streams",2010,"Ecological Indicators","","https://api.elsevier.com/content/article/eid/1-s2.0-S1470160X09001083","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70449084893&origin=inward",20,"2024-07-01 12:55:02","Article","10.1016/j.ecolind.2009.06.008","1470-160X","https://api.elsevier.com/content/abstract/scopus_id/70449084893",10,2,311,319,102,7.29,102,1,14,"","",""
93,"K.K. Newsham","Response of two Antarctic bryophytes to stratospheric ozone depletion",2002,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036784976&origin=inward",21,"2024-07-01 12:55:02","Article","10.1046/j.1365-2486.2002.00509.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/0036784976",8,10,972,983,93,4.23,93,1,22,"","",""
91,"M. Arróniz-Crespo","Bryophyte physiological responses to, and recovery from, long-term nitrogen deposition and phosphorus fertilisation in acidic grassland",2008,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=55649116911&origin=inward",22,"2024-07-01 12:55:02","Article","10.1111/j.1469-8137.2008.02617.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/55649116911",180,4,864,874,91,5.69,91,1,16,"","",""
