Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
349,"J.H.C. Cornelissen","Comparative cryptogam ecology: A review of bryophyte and lichen traits that drive biogeochemistry",2007,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548458597&origin=inward",1,"2024-07-01 12:43:28","Review","10.1093/aob/mcm030","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/34548458597",99,5,987,1001,349,20.53,349,1,17,"","",""
122,"H. Moor","Towards a trait-based ecology of wetland vegetation",2017,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85011675493&origin=inward",2,"2024-07-01 12:43:28","Review","10.1111/1365-2745.12734","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/85011675493",105,6,1623,1635,122,17.43,122,1,7,"","",""
102,"C.A. Havrilla","Towards a predictive framework for biocrust mediation of plant performance: A meta-analysis",2019,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073618482&origin=inward",3,"2024-07-01 12:43:28","Article","10.1111/1365-2745.13269","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/85073618482",107,6,2789,2807,102,20.40,102,1,5,"","",""
78,"W.K. Cornwell","What we (don't) know about global plant diversity",2019,"Ecography","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85071515948&origin=inward",4,"2024-07-01 12:43:28","Article","10.1111/ecog.04481","0906-7590","https://api.elsevier.com/content/abstract/scopus_id/85071515948",42,11,1819,1831,78,15.60,78,1,5,"","",""
65,"S. Rice","Do bryophyte shoot systems function like vascular plant leaves or canopies? Functional trait relationships in Sphagnum mosses (Sphagnaceae)",2008,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=57349083064&origin=inward",5,"2024-07-01 12:43:28","Article","10.3732/ajb.0800019","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/57349083064",95,11,1366,1374,65,4.06,65,1,16,"","",""
61,"K.S. Gavazov","Isotopic analysis of cyanobacterial nitrogen fixation associated with subarctic lichen and bryophyte species",2010,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77954689867&origin=inward",6,"2024-07-01 12:43:28","Article","10.1007/s11104-010-0374-6","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/77954689867",333,1,507,517,61,4.36,61,1,14,"","",""
55,"S. Chelli","Plant–environment interactions through a functional traits perspective: a review of Italian studies",2019,"Plant Biosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85061029614&origin=inward",7,"2024-07-01 12:43:28","Article","10.1080/11263504.2018.1559250","1126-3504","https://api.elsevier.com/content/abstract/scopus_id/85061029614",153,6,853,869,55,11.00,55,1,5,"","",""
55,"M.G. Johnson","Evolution of niche preference in Sphagnum peat mosses",2015,"Evolution","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925374423&origin=inward",8,"2024-07-01 12:43:28","Article","10.1111/evo.12547","0014-3820","https://api.elsevier.com/content/abstract/scopus_id/84925374423",69,1,90,103,55,6.11,55,1,9,"","",""
53,"A. Jonathan Shaw","Organellar phylogenomics of an emerging model system: Sphagnum (peatmoss)",2016,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84982166211&origin=inward",9,"2024-07-01 12:43:28","Article","10.1093/aob/mcw086","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/84982166211",118,2,185,196,53,6.63,53,1,8,"","",""
51,"V.E.J. Jassey","Plant functional diversity drives niche-size-structure of dominant microbial consumers along a poor to extremely rich fen gradient",2014,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84906069744&origin=inward",10,"2024-07-01 12:43:28","Article","10.1111/1365-2745.12288","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/84906069744",102,5,1150,1162,51,5.10,51,1,10,"","",""
51,"P. Giordani","Functional traits of cryptogams in Mediterranean ecosystems are driven by water, light and substrate interactions",2014,"Journal of Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84898460373&origin=inward",11,"2024-07-01 12:43:28","Article","10.1111/jvs.12119","1100-9233","https://api.elsevier.com/content/abstract/scopus_id/84898460373",25,3,778,792,51,5.10,51,1,10,"","",""
42,"S.E. Ward","Litter evenness influences short-term peatland decomposition processes",2010,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956650167&origin=inward",12,"2024-07-01 12:43:28","Article","10.1007/s00442-010-1636-y","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/77956650167",164,2,511,520,42,3.00,42,1,14,"","",""
40,"M. Jonsson","Direct and Indirect Drivers of Moss Community Structure, Function, and Associated Microfauna Across a Successional Gradient",2015,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84925515410&origin=inward",13,"2024-07-01 12:43:28","Article","10.1007/s10021-014-9819-8","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/84925515410",18,1,154,169,40,4.44,40,1,9,"","",""
39,"R. Roos","Contrasting drivers of community-level trait variation for vascular plants, lichens and bryophytes across an elevational gradient",2019,"Functional Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073921501&origin=inward",14,"2024-07-01 12:43:28","Article","10.1111/1365-2435.13454","0269-8463","https://api.elsevier.com/content/abstract/scopus_id/85073921501",33,12,2430,2446,39,7.80,39,1,5,"","",""
39,"S. Soliveres","Intransitive competition is common across five major taxonomic groups and is driven by productivity, competitive rank and functional traits",2018,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85045402199&origin=inward",15,"2024-07-01 12:43:28","Article","10.1111/1365-2745.12959","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/85045402199",106,3,852,864,39,6.50,39,1,6,"","",""
34,"M. Bernhardt-Römermann","BryForTrait – A life-history trait database of forest bryophytes",2018,"Journal of Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050547617&origin=inward",16,"2024-07-01 12:43:28","Article","10.1111/jvs.12646","1100-9233","https://api.elsevier.com/content/abstract/scopus_id/85050547617",29,4,798,800,34,5.67,34,1,6,"","",""
34,"Z. Wang","The ‘plant economic spectrum’ in bryophytes, a comparative study in subalpine forest",2017,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85013485232&origin=inward",17,"2024-07-01 12:43:28","Article","10.3732/ajb.1600335","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/85013485232",104,2,261,270,34,4.86,34,1,7,"","",""
