Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
683,"W. Elbert","Contribution of cryptogamic covers to the global cycles of carbon and nitrogen",2012,"Nature Geoscience","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84863319101&origin=inward",1,"2024-07-01 12:36:18","Article","10.1038/ngeo1486","1752-0894","https://api.elsevier.com/content/abstract/scopus_id/84863319101",5,7,459,462,683,56.92,683,1,12,"","",""
483,"A. Schaffers","Reliability of Ellenberg indicator values for moisture, nitrogen and soil reaction: A comparison with field measurements",2000,"Journal of Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0342368922&origin=inward",2,"2024-07-01 12:36:18","Article","10.2307/3236802","1100-9233","https://api.elsevier.com/content/abstract/scopus_id/0342368922",11,2,225,244,483,20.13,483,1,24,"","",""
470,"M. Patra","Mercury toxicity in plants",2000,"Botanical Review","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000720060&origin=inward",3,"2024-07-01 12:36:18","Article","10.1007/BF02868923","0006-8101","https://api.elsevier.com/content/abstract/scopus_id/0000720060",66,3,379,422,470,19.58,470,1,24,"","",""
456,"B.L. Bedford","Patterns in nutrient availability and plant diversity of temperate North American wetlands",1999,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032845096&origin=inward",4,"2024-07-01 12:36:18","Article","10.1890/0012-9658(1999)080[2151:PINAAP]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0032845096",80,7,2151,2169,456,18.24,456,1,25,"","",""
403,"M.R. Turetsky","New frontiers in bryology and lichenology: The role of bryophytes in carbon and nitrogen cycling",2003,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0041784634&origin=inward",5,"2024-07-01 12:36:18","Review","10.1639/05","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/0041784634",106,3,395,409,403,19.19,403,1,21,"","",""
356,"L.H. Pardo","Effects of nitrogen deposition and empirical nitrogen critical loads for ecoregions of the United States",2011,"Ecological Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84555208202&origin=inward",6,"2024-07-01 12:36:18","Article","10.1890/10-2341.1","1051-0761","https://api.elsevier.com/content/abstract/scopus_id/84555208202",21,8,3049,3082,356,27.38,356,1,13,"","",""
352,"C. Duprè","Changes in species richness and composition in European acidic grasslands over the past 70 years: The contribution of cumulative atmospheric nitrogen deposition",2010,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=74049111308&origin=inward",7,"2024-07-01 12:36:18","Article","10.1111/j.1365-2486.2009.01982.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/74049111308",16,1,344,357,352,25.14,352,1,14,"","",""
352,"R.M. Pitman","Wood ash use in forestry - A review of the environmental impacts",2006,"Forestry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33845320511&origin=inward",8,"2024-07-01 12:36:18","Review","10.1093/forestry/cpl041","0015-752X","https://api.elsevier.com/content/abstract/scopus_id/33845320511",79,5,563,588,352,19.56,352,1,18,"","",""
349,"J.H.C. Cornelissen","Comparative cryptogam ecology: A review of bryophyte and lichen traits that drive biogeochemistry",2007,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34548458597&origin=inward",9,"2024-07-01 12:36:18","Review","10.1093/aob/mcm030","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/34548458597",99,5,987,1001,349,20.53,349,1,17,"","",""
342,"G. Phoenix","Impacts of atmospheric nitrogen deposition: Responses of multiple plant and soil parameters across contrasting ecosystems in long-term field experiments",2012,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858441419&origin=inward",10,"2024-07-01 12:36:18","Review","10.1111/j.1365-2486.2011.02590.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/84858441419",18,4,1197,1215,342,28.50,342,1,12,"","",""
309,"M.R. Turetsky","The resilience and functional role of moss in boreal and arctic ecosystems",2012,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84865531865&origin=inward",11,"2024-07-01 12:36:18","Review","10.1111/j.1469-8137.2012.04254.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84865531865",196,1,49,67,309,25.75,309,1,12,"","",""
292,"C.H.A. Wahren","Vegetation responses in Alaskan arctic tundra after 8 years of a summer warming and winter snow manipulation experiment",2005,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=17644373449&origin=inward",12,"2024-07-01 12:36:18","Article","10.1111/j.1365-2486.2005.00927.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/17644373449",11,4,537,552,292,15.37,292,1,19,"","",""
290,"D. Vitt","The relationships of vegetation to surface water chemistry and peat chemistry in fens of Alberta, Canada",1990,"Vegetatio","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025628331&origin=inward",13,"2024-07-01 12:36:18","Article","10.1007/BF00032163","0042-3106","https://api.elsevier.com/content/abstract/scopus_id/0025628331",89,2,87,106,290,8.53,290,1,34,"","",""
286,"A.N. Rai","Cyanobacterium - Plant symbioses",2000,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033776939&origin=inward",14,"2024-07-01 12:36:18","Review","10.1046/j.1469-8137.2000.00720.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0033776939",147,3,449,481,286,11.92,286,1,24,"","",""
277,"P. Lesica","Differences in lichen and bryophyte communities between old-growth and managed second-growth forests in the Swan Valley, Montana",1991,"Canadian Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026293380&origin=inward",15,"2024-07-01 12:36:18","Article","10.1139/b91-222","0008-4026","https://api.elsevier.com/content/abstract/scopus_id/0026293380",69,8,1745,1755,277,8.39,277,1,33,"","",""
244,"B. Büdel","Southern african biological soil crusts are ubiquitous and highly diverse in drylands, being restricted by rainfall frequency",2009,"Microbial Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=59549097087&origin=inward",16,"2024-07-01 12:36:18","Article","10.1007/s00248-008-9449-9","0095-3628","https://api.elsevier.com/content/abstract/scopus_id/59549097087",57,2,229,247,244,16.27,244,1,15,"","",""
230,"J. Meeks","An overview of the Genome of Nostoc punctiforme, a multicellular, symbiotic Cyanobacterium",2001,"Photosynthesis Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035707917&origin=inward",17,"2024-07-01 12:36:18","Short Survey","10.1023/A:1013840025518","0166-8595","https://api.elsevier.com/content/abstract/scopus_id/0035707917",70,1,85,106,230,10.00,230,1,23,"","",""
227,"C.E.R. Pitcairn","Deposition of fixed atmospheric nitrogen and foliar nitrogen content of bryophytes and Calluna vulgaris (L.) Hull",1995,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-026974919591444P","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0028895587&origin=inward",18,"2024-07-01 12:36:18","Article","10.1016/0269-7491(95)91444-P","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/0028895587",88,2,193,205,227,7.83,227,1,29,"","",""
214,"Z. Lindo","The bryosphere: An integral and influential component of the Earth's biosphere",2010,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77953540123&origin=inward",19,"2024-07-01 12:36:18","Article","10.1007/s10021-010-9336-3","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/77953540123",13,4,612,627,214,15.29,214,1,14,"","",""
