Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1702,"N. SMIRNOFF","The role of active oxygen in the response of plants to water deficit and desiccation",1993,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84987012931&origin=inward",1,"2024-07-01 12:31:52","Article","10.1111/j.1469-8137.1993.tb03863.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84987012931",125,1,27,58,1702,54.90,1702,1,31,"","",""
804,"R. Summons","2-Methylhopanoids as biomarkers for cyanobacterial oxygenic photosynthesis",1999,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033527055&origin=inward",2,"2024-07-01 12:31:52","Article","10.1038/23005","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0033527055",400,6744,554,557,804,32.16,804,1,25,"","",""
470,"M. Patra","Mercury toxicity in plants",2000,"Botanical Review","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000720060&origin=inward",3,"2024-07-01 12:31:52","Article","10.1007/BF02868923","0006-8101","https://api.elsevier.com/content/abstract/scopus_id/0000720060",66,3,379,422,470,19.58,470,1,24,"","",""
382,"A.M. Farmer","The effects of dust on vegetation-a review",1993,"Environmental Pollution","","https://api.elsevier.com/content/article/eid/1-s2.0-026974919390179R","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027431615&origin=inward",4,"2024-07-01 12:31:52","Article","10.1016/0269-7491(93)90179-R","0269-7491","https://api.elsevier.com/content/abstract/scopus_id/0027431615",79,1,63,75,382,12.32,382,1,31,"","",""
366,"M.C.F. Proctor","Desiccation-tolerance in bryophytes: A review",2007,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35448946453&origin=inward",5,"2024-07-01 12:31:52","Review","10.1639/0007-2745(2007)110[595:DIBAR]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/35448946453",110,4,595,621,366,21.53,366,1,17,"","",""
337,"J.A. Raven","Roots: Evolutionary origins and biogeochemical significance",2001,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035027478&origin=inward",6,"2024-07-01 12:31:52","Review","10.1093/jxb/52.suppl_1.381","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/0035027478",52,,381,401,337,14.65,337,1,23,"","",""
327,"D. Voytas","Copia-like retrotransposons are ubiquitous among plants",1992,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0026660056&origin=inward",7,"2024-07-01 12:31:52","Article","10.1073/pnas.89.15.7124","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/0026660056",89,15,7124,7128,327,10.22,327,1,32,"","",""
286,"A.N. Rai","Cyanobacterium - Plant symbioses",2000,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033776939&origin=inward",8,"2024-07-01 12:31:52","Review","10.1046/j.1469-8137.2000.00720.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0033776939",147,3,449,481,286,11.92,286,1,24,"","",""
275,"I. Kranner","Desiccation-tolerance in lichens: A review",2008,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58149231071&origin=inward",9,"2024-07-01 12:31:52","Review","10.1639/0007-2745-111.4.576","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/58149231071",111,4,576,593,275,17.19,275,1,16,"","",""
230,"J. Meeks","An overview of the Genome of Nostoc punctiforme, a multicellular, symbiotic Cyanobacterium",2001,"Photosynthesis Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035707917&origin=inward",10,"2024-07-01 12:31:52","Short Survey","10.1023/A:1013840025518","0166-8595","https://api.elsevier.com/content/abstract/scopus_id/0035707917",70,1,85,106,230,10.00,230,1,23,"","",""
225,"T.M. Lenton","Earliest land plants created modern levels of atmospheric oxygen",2016,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84984900747&origin=inward",11,"2024-07-01 12:31:52","Article","10.1073/pnas.1604787113","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/84984900747",113,35,9704,9709,225,28.13,225,1,8,"","",""
223,"M. Pietrzykowska","The light-harvesting chlorophyll a/b binding proteins Lhcb1 and Lhcb2 play complementary roles during state transitions in Arabidopsis",2014,"Plant Cell","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84908226009&origin=inward",12,"2024-07-01 12:31:52","Article","10.1105/tpc.114.127373","1040-4651","https://api.elsevier.com/content/abstract/scopus_id/84908226009",26,9,3646,3660,223,22.30,223,1,10,"","",""
217,"N. Gest","Ascorbate as seen through plant evolution: The rise of a successful molecule?",2013,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84871804604&origin=inward",13,"2024-07-01 12:31:52","Review","10.1093/jxb/ers297","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/84871804604",64,1,33,53,217,19.73,217,1,11,"","",""
