Authors,Title,Year,Source,ArticleURL,Type,DOI,Cites,GSRank,QueryDate,Database,SearchTerms,RecordID
A.P. Roth,Absorption edge shift in ZnO thin films at high carrier densities,1981,Solid State Communications,https://api.elsevier.com/content/article/eid/1-s2.0-0038109881902246,Article,10.1016/0038-1098(81)90224-6,170,160,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7584
R.K. Shukla,Growth of transparent conducting nanocrystalline Al doped ZnO thin films by pulsed laser deposition,2006,Journal of Crystal Growth,https://api.elsevier.com/content/article/eid/1-s2.0-S0022024806006178,Article,10.1016/j.jcrysgro.2006.06.035,169,161,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7585
K. Yamaguchi,First principles study on electronic structure of β-Ga <inf>2</inf>O<inf>3</inf>,2004,Solid State Communications,https://api.elsevier.com/content/article/eid/1-s2.0-S0038109804005757,Article,10.1016/j.ssc.2004.07.030,168,162,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7586
P. Somogyi,"Chromogranin immunoreactivity in the central nervous system. Immunochemical characterisation, distribution and relationship to catecholamine and enkephalin pathways",1984,Brain Research Reviews,https://api.elsevier.com/content/article/eid/1-s2.0-0165017384900079,Review,10.1016/0165-0173(84)90007-9,168,163,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7587
K. Chaudhari,"Synthesis, characterization, and catalytic properties of mesoporous tin-containing analogs of MCM-41",1999,Journal of Catalysis,https://api.elsevier.com/content/article/eid/1-s2.0-S0021951799923941,Article,10.1006/jcat.1999.2394,167,164,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7588
N. Chen,Microwave absorption properties of La-substituted M-type strontium ferrites,2010,Journal of Alloys and Compounds,https://api.elsevier.com/content/article/eid/1-s2.0-S0925838809020921,Article,10.1016/j.jallcom.2009.10.116,166,165,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7589
W. Walukiewicz,Optical properties and electronic structure of InN and In-rich group III-nitride alloys,2004,Journal of Crystal Growth,https://api.elsevier.com/content/article/eid/1-s2.0-S0022024804006190,Conference Paper,10.1016/j.jcrysgro.2004.05.041,165,166,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--light,moss*--reflectance,moss*--absorption,moss*--absorption,moss*--light,moss*--reflectance",7590
R. Röhlsberger,Electromagnetically induced transparency with resonant nuclei in a cavity,2012,Nature,,Article,10.1038/nature10741,164,167,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--light,moss*--absorption,moss*--absorption,moss*--light",7591
R.K. Dumroese,Pelleted biochar: Chemical and physical properties show potential use as a substrate in container nurseries,2011,Biomass and Bioenergy,https://api.elsevier.com/content/article/eid/1-s2.0-S0961953411000687,Article,10.1016/j.biombioe.2011.01.053,164,168,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--bulkdensity,moss*--watercontent,moss*--absorption,moss*--absorption,moss*--bulkdensity,moss*--watercontent,peat--absorption,peat--absorption,peat--bulkdensity,peat--watercontent,sphagnum--absorption,sphagnum--absorption,sphagnum--bulkdensity,sphagnum--carbon,sphagnum--watercontent",7592
J.M. Manriquez,"Structural and Physical Properties of Delocalized Mixed-Valent [CpM (pentalene)M'Cp]<sup>n+</sup>and [CpM (indacene)M'Cp]<sup>n+</sup> (M, M' = Fe, Co, Ni; n = 0, 1, 2) Complexes",1995,Journal of the American Chemical Society,,Article,10.1021/ja00128a004,164,169,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7593
G.B. González,Defect structure studies of bulk and nano-indium-tin oxide,2004,Journal of Applied Physics,,Article,10.1063/1.1783610,163,170,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7594
P.J. Kunkeler,"Novel hybrid spin systems of7,7′,8,8′-tetracyanoquinodimethane (TCNQ) radical anions and 4-amino-3,5-bis(pyridin-2-yl)-1,2,4-triazole(abpt). crystal structure of[Fe(abpt)<inf>2</inf>(TCNQ)<inf>2</inf>] at 298 and 100 K, mössbauer spectroscopy, magnetic properties, and infrared spectroscopy of the series [M<sup>II</sup>(abpt)<inf>2</inf>(TCNQ)<inf>2</inf>] (M=Mn, Fe, Co, Ni,Cu,Zn)",1996,Journal of the American Chemical Society,,Article,10.1021/ja943960s,162,171,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7595
A. Ito,"Mössbauer study of soluble prussian blue, insoluble prussian blue, and turnbull's blue",1968,The Journal of Chemical Physics,,Article,10.1063/1.1669656,161,172,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7596
H.W. Lee,"Structural, electrical and optical properties of Al-doped ZnO thin films prepared by filtered cathodic vacuum arc technique",2004,Journal of Crystal Growth,https://api.elsevier.com/content/article/eid/1-s2.0-S0022024804005184,Conference Paper,10.1016/j.jcrysgro.2004.04.098,161,173,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--light,moss*--absorption,moss*--absorption,moss*--light",7597
I. Weissenhorn,Arbuscular mycorrhizal contribution to heavy metal uptake by maize (Zea mays L.) in pot culture with contaminated soil,1995,Mycorrhiza,,Article,10.1007/BF00204957,161,174,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--light,moss*--absorption,moss*--absorption,moss*--light",7598
D. Chandra,Mössbauer effect study of the 475‡C decomposition of Fe-Cr,1971,Metallurgical Transactions,,Article,10.1007/BF02663342,160,175,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7599
C. Mikutta,Synthetic coprecipitates of exopolysaccharides and ferrihydrite. Part I: Characterization,2008,Geochimica et Cosmochimica Acta,https://api.elsevier.com/content/article/eid/1-s2.0-S0016703707007089,Article,10.1016/j.gca.2007.11.035,160,176,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7600
P.H. Jefferson,Bandgap and effective mass of epitaxial cadmium oxide,2008,Applied Physics Letters,,Article,10.1063/1.2833269,160,177,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7601
A.A. Battiston,Evolution of Fe species during the synthesis of over-exchanged Fe/ZSM5 obtained by chemical vapor deposition of FeCl<inf>3</inf>,2003,Journal of Catalysis,https://api.elsevier.com/content/article/eid/1-s2.0-S0021951702000519,Article,10.1016/S0021-9517(02)00051-9,160,178,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7602
A. Pereira,Direct spectroscopic and kinetic evidence for the involvement of a peroxodiferric intermediate during the ferroxidase reaction in fast ferritin mineralization,1998,Biochemistry,,Article,10.1021/bi980847w,160,179,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7603
T.A. Jackson,Axial ligand effects on the geometric and electronic structures of nonheme oxoiron(IV) complexes,2008,Journal of the American Chemical Society,,Article,10.1021/ja8022576,159,180,2024-07-01 13:50:43,"scopus,scopus,scopus,scopus","moss*--absorption,moss*--absorption,moss*--absorption,moss*--absorption",7604
