"","Authors","Title","Year","Source","ArticleURL","Type","DOI","Cites","GSRank","QueryDate","Database","SearchTerms","RecordID"
"1","AM Schwarz, S Markager","Light absorption and photosynthesis of a benthic moss community: importance of spectral quality of light and implications of changing light attenuation in the water …",1999,"Freshwater Biology","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2427.1999.00496.x","","10.1046/j.1365-2427.1999.00496.x",13,1,"2024-07-01 13:42:22","google,google,google","moss*--absorption,moss*--light,moss*--photosynthesis",1
"2","SM Thielen, C Gall, M Ebner, M Nebel…","Water's path from moss to soil: A multi-methodological study on water absorption and evaporation of soil-moss combinations",2021,"Journal of Hydrology …","https://intapi.sciendo.com/pdf/10.2478/johh-2021-0021","PDF","10.2478/johh-2021-0021",20,2,"2024-07-01 13:42:22","google,google,google,google,google","moss*--absorption,moss*--bulkdensity,moss*--height,moss*--soil,moss*--watercontent",2
"3","RA Moss, WE Loomis","Absorption spectra of leaves. I. The visible spectrum",1952,"Plant Physiology","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC540339/","","",208,3,"2024-07-01 13:42:22","google,google,google","moss*--absorption,moss*--reflectance,moss*--scattering",3
"4","B De Pontieu, VH Hansteen, SW McIntosh…","Estimating the chromospheric absorption of transition region moss emission",2009,"The Astrophysical …","https://iopscience.iop.org/article/10.1088/0004-637X/702/2/1016/meta","","10.1088/0004-637X/702/2/1016",30,4,"2024-07-01 13:42:22","google,google","moss*--absorption,moss*--height",4
"5","TE Berger, B De Pontieu, L Fletcher, CJ Schrijver…","What is moss?",1999,"Solar Physics","https://link.springer.com/article/10.1023/A:1005286503963","","10.1023/A:1005286503963",103,5,"2024-07-01 13:42:22","google,,google","moss*--absorption,,moss*--height",5
"6","E Steinnes","Atmospheric deposition of heavy metals in Norway studied by the analysis of moss samples using neutron activation analysis and atomic absorption spectrometry",1980,"Journal of Radioanalytical and Nuclear Chemistry","https://akjournals.com/view/journals/10967/58/1-2/article-p387.xml","","",139,6,"2024-07-01 13:42:22","google","moss*--absorption",6
"7","M Aničić, M Tasić, MV Frontasyeva, M Tomašević…","Active moss biomonitoring of trace elements with Sphagnum girgensohnii moss bags in relation to atmospheric bulk deposition in Belgrade, Serbia",2009,"Environmental …","https://www.sciencedirect.com/science/article/pii/S0269749108004132","","",163,7,"2024-07-01 13:42:22","google","moss*--absorption",7
"8","C Stihi, IV Popescu, M Frontasyeva, C Radulescu…","Characterization of heavy metal air pollution in Romania using moss biomonitoring, neutron activation analysis, and atomic absorption spectrometry",2017,"Analytical …","https://www.tandfonline.com/doi/abs/10.1080/00032719.2016.1275661","","10.1080/00032719.2016.1275661",23,8,"2024-07-01 13:42:22","google","moss*--absorption",8
"9","X Liu, K Rousk","The moss traits that rule cyanobacterial colonization",2022,"Annals of Botany","https://academic.oup.com/aob/article-abstract/129/2/147/6386096","","",25,9,"2024-07-01 13:42:22","google,google,google,google,google,google,google,scopus","moss*--absorption,moss*--functionaltrait,moss*--height,moss*--nitrogen,moss*--nitrogenfixation,moss*--phosphorus,moss*--watercontent,moss*--functionaltrait",9
"10","FS Chapin, WC Oechel, K Van Cleve, W Lawrence","The role of mosses in the phosphorus cycling of an Alaskan black spruce forest",1987,"Oecologia","https://link.springer.com/article/10.1007/bf00379375","","10.1007/bf00379375",162,10,"2024-07-01 13:42:22","google,google,scopus","moss*--absorption,moss*--phosphorus,moss*--phosphorus",10
