"","Authors","Title","Year","Source","ArticleURL","Type","DOI","Cites","GSRank","QueryDate","Database","SearchTerms","RecordID"
"1","MA Rashid","Absorption of metals on sedimentary and peat humic acids",1974,"Chemical Geology","https://www.sciencedirect.com/science/article/pii/0009254174900035","","",241,1,"2024-07-23 08:31:28","google,google,scopus","peat--absorption,peat--absorption,peat--absorption",150000
"2","YS Ho","Absorption of heavy metals from waste streams by peat",1995,"","https://etheses.bham.ac.uk/id/eprint/8742/","","",645,2,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150001
"3","APS Gonzales, MA Firmino, CS Nomura…","Peat as a natural solid-phase for copper preconcentration and determination in a multicommuted flow system coupled to flame atomic absorption spectrometry",2009,"Analytica chimica …","https://www.sciencedirect.com/science/article/pii/S0003267009001494","","",318,3,"2024-07-23 08:31:28","google,google,scopus,scopus","peat--absorption,peat--absorption,peat--absorption,peat--soil",150002
"4","T Karlsson, P Persson","Coordination chemistry and hydrolysis of Fe (III) in a peat humic acid studied by X-ray absorption spectroscopy",2010,"Geochimica et Cosmochimica Acta","https://www.sciencedirect.com/science/article/pii/S0016703709005936","","",160,4,"2024-07-23 08:31:28","google,google,scopus","peat--absorption,peat--absorption,peat--absorption",150003
"5","IC Feustel, HG Byers","The comparative moisture-absorbing and moisture-retaining capacities of peat and soil mixtures",1936,"","https://books.google.com/books?hl=en&lr=&id=cm2lZu7iBXwC&oi=fnd&pg=PA8&dq=peat+absorption&ots=fo8UKi7KGQ&sig=a1ECJVrve7lgvhk1HfrXUVX79h0","BOOK","",51,5,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150004
"6","SH Budisulistiorini, M Riva, M Williams…","Light-absorbing brown carbon aerosol constituents from combustion of Indonesian peat and biomass",2017,"… science &technology","https://pubs.acs.org/doi/abs/10.1021/acs.est.7b00397","","10.1021/acs.est.7b00397",107,6,"2024-07-23 08:31:28","google,google,google,scopus","peat--absorption,peat--absorption,peat--light,peat--light",150005
"7","VJ McBrierty, GE Wardell, CM Keely…","The characterization of water in peat",1996,"Soil Science Society …","https://acsess.onlinelibrary.wiley.com/doi/abs/10.2136/sssaj1996.03615995006000040006x","","10.2136/sssaj1996.03615995006000040006x",37,7,"2024-07-23 08:31:28","google,google,google,scopus","peat--absorption,peat--absorption,peat--watercontent,peat--absorption",150006
"8","S Suni, AL Kosunen, M Hautala, A Pasila…","Use of a by-product of peat excavation, cotton grass fibre, as a sorbent for oil-spills",2004,"Marine pollution …","https://www.sciencedirect.com/science/article/pii/S0025326X0400236X","","",270,8,"2024-07-23 08:31:28","google,google,scopus","peat--absorption,peat--absorption,peat--absorption",150007
"9","GE Schaumann, J Hurrass, M Müller…","Swelling of organic matter in soil and peat samples: insights from proton relaxation, water absorption and PAH extraction",2003,"Humic …","https://www.taylorfrancis.com/chapters/edit/10.4324/9780203487600-16/swelling-organic-matter-soil-peat-samples-insights-proton-relaxation-water-absorption-pah-extraction-gabriele-schaumann-julia-hurrass-martin-m%C3%BCller-wolfgang-rotard","","10.4324/9780203487600-16/swelling-organic-matter-soil-peat-samples-insights-proton-relaxation-water-absorption-pah-extraction-gabriele-schaumann-julia-hurrass-martin-m%C3%BCller-wolfgang-rotard",20,9,"2024-07-23 08:31:28","google,google,google","peat--absorption,peat--absorption,peat--watercontent",150008
"10","K Irtiseva, M Mosina, A Tumilovica, V Lapkovskis…","Application of granular biocomposites based on homogenised peat for absorption of oil products",2022,"Materials","https://www.mdpi.com/1996-1944/15/4/1306","HTML","",6,10,"2024-07-23 08:31:28","google,google","peat--absorption,peat--absorption",150009
