"","Authors","Title","Year","Source","ArticleURL","Type","DOI","Cites","GSRank","QueryDate","Database","SearchTerms","RecordID"
"1","ER Berglund, AC Mace Jr","Seasonal albedo variation of black spruce and sphagnum-sedge bog cover types",1972,"Journal of Applied Meteorology …","https://journals.ametsoc.org/view/journals/apme/11/5/1520-0450_1972_011_0806_savobs_2_0_co_2.xml","","",43,1,"2024-07-11 08:39:12","google,google","sphagnum--albedo,sphagnum--albedo",50000
"2","S Tsuyuzaki, K Kushida, Y Kodama","Recovery of surface albedo and plant cover after wildfire in a Picea mariana forest in interior Alaska",2009,"Climatic change","https://link.springer.com/article/10.1007/s10584-008-9505-y","","10.1007/s10584-008-9505-y",39,2,"2024-07-11 08:39:12","google,google,scopus,scopus,scopus","sphagnum--albedo,sphagnum--albedo,sphagnum--albedo,sphagnum--light,sphagnum--reflectance",50001
"3","DK Thompson, AS Baisley…","Seasonal variation in albedo and radiation exchange between a burned and unburned forested peatland: implications for peatland evaporation",2015,"Hydrological …","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.10436","","10.1002/hyp.10436",28,3,"2024-07-11 08:39:12","google,google","sphagnum--albedo,sphagnum--albedo",50002
"4","E Kellner","Surface energy fluxes and control of evapotranspiration from a Swedish Sphagnum mire",2001,"Agricultural and Forest Meteorology","https://www.sciencedirect.com/science/article/pii/S0168192301002830","","",185,4,"2024-07-11 08:39:12","google,google,google,google,scopus,scopus,scopus,scopus,scopus","sphagnum--albedo,sphagnum--albedo,sphagnum--height,sphagnum--leafarea,sphagnum--albedo,sphagnum--distribution,sphagnum--soil,sphagnum--watercontent,sphagnum*--conductance",50003
"5","PC Stoy, LE Street, AV Johnson…","Temperature, heat flux, and reflectance of common subarctic mosses and lichens under field conditions: might changes to community composition impact climate …",2012,"Arctic, antarctic, and …","https://www.tandfonline.com/doi/abs/10.1657/1938-4246-44.4.500","","10.1657/1938-4246-44.4.500",64,5,"2024-07-11 08:39:12","google,google","sphagnum--albedo,sphagnum--albedo",50004
"6","J Kim, SB Verma","Surface exchange of water vapour between an open Sphagnum fen and the atmosphere",1996,"Boundary-Layer Meteorology","https://link.springer.com/article/10.1007/BF00119440","","10.1007/BF00119440",134,6,"2024-07-11 08:39:12","google,google,google,google,google,google","sphagnum--albedo,sphagnum--albedo,sphagnum--height,sphagnum--leafarea,sphagnum--phenology,sphagnum--photosynthesis",50005
"7","S Ohkubo, T Hirano, K Kusin","Influence of disturbances and environmental changes on albedo in tropical peat ecosystems",2021,"Agricultural and forest meteorology","https://www.sciencedirect.com/science/article/pii/S0168192321000319","","",6,7,"2024-07-11 08:39:12","google,google","sphagnum--albedo,sphagnum--albedo",50006
"8","J Price, L Rochefort, F Quinty","Energy and moisture considerations on cutover peatlands: surface microtopography, mulch cover and Sphagnum regeneration",1998,"Ecological engineering","https://www.sciencedirect.com/science/article/pii/S0925857498000469","","",240,8,"2024-07-11 08:39:12","google,google,google,google,google,google,scopus","sphagnum--albedo,sphagnum--albedo,sphagnum--bulkdensity,sphagnum--height,sphagnum--percentcover,sphagnum--waterpotential,sphagnum--soil",50007
"9","F Canisius, S Wang, H Croft, SG Leblanc, HAJ Russell…","A UAV-based sensor system for measuring land surface albedo: tested over a boreal peatland ecosystem",2019,"Drones","https://www.mdpi.com/2504-446X/3/1/27","HTML","",24,9,"2024-07-11 08:39:12","google,google","sphagnum--albedo,sphagnum--albedo",50008
"10","K Yabe, S Uemura","Variation in size and shape of Sphagnum hummocks in relation to climatic conditions in Hokkaido Island, northern Japan",2001,"Canadian Journal of Botany","https://cdnsciencepub.com/doi/abs/10.1139/b01-112","","10.1139/b01-112",34,10,"2024-07-11 08:39:12","google,google,google,google,scopus","sphagnum--albedo,sphagnum--albedo,sphagnum--height,sphagum--distribution,sphagnum--height",50009
