Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
121,"S Chamizo, J Belnap, DJ Eldridge, Y Cantón…","The role of biocrusts in arid land hydrology",2016,"Biological soil crusts: An …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-30214-0_17","https://scholar.google.com/scholar?cites=17026213142836531382&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 08:37:38","","10.1007/978-3-319-30214-0_17","","",,,,,121,15.13,24,5,8,"… One explanation of these patterns is that biocrusts are able to absorb small rainfall events, thus decreasing runoff, but at the same time holding the water at the surface and limiting water …","","https://scholar.google.com/scholar?q=related:ttDbCKVCSewJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+absorption&hl=en&as_sdt=2007"
45,"L Wang, G Zhang, L Zhu, H Wang","Biocrust wetting induced change in soil surface roughness as influenced by biocrust type, coverage and wetting patterns",2017,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706116310448","https://scholar.google.com/scholar?cites=6841213954682452834&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 08:37:38","","","","",,,,,45,6.43,11,4,7,"… WIR varies with the biocrust water absorption capacity, swelling … biocrust coverage influences biocrust WIR in two biocrust types; (2) determine the changing trend of WIR after biocrust …","","https://scholar.google.com/scholar?q=related:YvtKcdjf8F4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+absorption&hl=en&as_sdt=2007"
49,"E Rodríguez-Caballero, MÁ Aguilar, YC Castilla…","Swelling of biocrusts upon wetting induces changes in surface micro-topography",2015,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071714004246","https://scholar.google.com/scholar?cites=10826450807977469814&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 08:37:38","","","","",,,,,49,5.44,12,4,9,"… covered by biocrusts have highlighted … biocrusts on runoff and erosion, but biocrusts' effects on surface micro-topography varies depending on crust water content. Biocrusts can absorb …","","https://scholar.google.com/scholar?q=related:due8G6ZHP5YJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+absorption&hl=en&as_sdt=2007"
188,"S Chamizo, Y Cantón, E Rodríguez‐Caballero…","Biocrusts positively affect the soil water balance in semiarid ecosystems",2016,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1719","https://scholar.google.com/scholar?cites=6249584039716228512&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 08:37:38","","10.1002/eco.1719","","",,,,,188,23.50,47,4,8,"… Our results show that biocrust infiltration was higher in flat soils with sandy … of biocrusts on infiltration depended on rainfall intensity. Biocrusts increased infiltration with respect to biocrust…","https://digital.csic.es/bitstream/10261/345133/1/Chamizoetal2016_Ecohydrol.pdf","https://scholar.google.com/scholar?q=related:oI08iZL7ulYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+absorption&hl=en&as_sdt=2007"
36,"B Weber, J Hill","Remote sensing of biological soil crusts at different scales",2016,"Biological soil crusts: an organizing principle in …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-30214-0_12","https://scholar.google.com/scholar?cites=14254350388379325155&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 08:37:38","","10.1007/978-3-319-30214-0_12","","",,,,,36,4.50,18,2,8,"… intensified immediately, and dry again after 24 h in a wet stage, chlorophyll a absorption had … of biocrusts was observed to cause overall higher albedo values and shallower absorption …","","https://scholar.google.com/scholar?q=related:4xJNyyeg0cUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+absorption&hl=en&as_sdt=2007"
16,"F Sun, B Xiao, GJ Kidron","Towards the influences of three types of biocrusts on soil water in drylands: Insights from horizontal infiltration and soil water retention",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706122004438","https://scholar.google.com/scholar?cites=10839927162793633381&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 08:37:38","HTML","","","",,,,,16,8.00,5,3,2,"… , biocrusts can increase soil infiltrability by absorbing … , biocrusts could be expected to decrease infiltrability by blocking soil surface conductive pores following high water absorption and …","https://www.sciencedirect.com/science/article/pii/S0016706122004438","https://scholar.google.com/scholar?q=related:ZSZseVIob5YJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+absorption&hl=en&as_sdt=2007"
0,"F Sun, B Xiao, GJ Kidron…","Biocrusts critical regulation of soil water vapor transport (diffusion, sorption, and late‐stage evaporation) in drylands",2024,"Water Resources …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2023WR036520","",7,"2024-07-18 08:37:38","","10.1029/2023WR036520","","",,,,,0,0.00,0,4,1,"… caused by biocrusts on surface soil vapor transport properties suggest that biocrusts play a … The decreased initial evaporation rate of biocrusts can be explained by the high absorption …","https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2023WR036520","https://scholar.google.com/scholar?q=related:70_AcqpBuREJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+absorption&hl=en&as_sdt=2007"
120,"AM Faist, JE Herrick, J Belnap, JW Van Zee…","Biological soil crust and disturbance controls on surface hydrology in a semi‐arid ecosystem",2017,"…","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.1691","https://scholar.google.com/scholar?cites=12432919054983183852&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-18 08:37:38","","10.1002/ecs2.1691","","",,,,,120,17.14,24,5,7,"… Sediment data were analyzed using one-way ANOVAs for biocrust type and treatment blocked by plot for each biocrust type and through a t test to compare across intact light and dark …","https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1691","https://scholar.google.com/scholar?q=related:7D11EQKaiqwJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+absorption&hl=en&as_sdt=2007"
42,"E Rodríguez-Caballero, P Escribano…","Transferability of multi-and hyperspectral optical biocrust indices",2017,"ISPRS Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0924271616302945","https://scholar.google.com/scholar?cites=16296283212064917454&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 08:37:38","","","","",,,,,42,6.00,14,3,7,"… The two hyperspectral indices applied in this study showed similar results, as both use spectral features of biocrusts based on the absorption at 516 and 679 nm. However, there were …","https://unipub.uni-graz.at/obvugroa/content/titleinfo/7644762/full.pdf","https://scholar.google.com/scholar?q=related:zodKbj0HKOIJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+absorption&hl=en&as_sdt=2007"
68,"B Xiao, MA Bowker","Moss-biocrusts strongly decrease soil surface albedo, altering land-surface energy balance in a dryland ecosystem",2020,"Science of the Total Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969720339474","https://scholar.google.com/scholar?cites=6367227488381761941&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 08:37:38","","","","",,,,,68,17.00,34,2,4,"… , the increased energy absorption by the biocrusts did not … biocrust-covered soil were not determined only by albedo, but also by modification of soil thermal properties by biocrusts…","https://www.sciencedirect.com/science/article/am/pii/S0048969720339474","https://scholar.google.com/scholar?q=related:lfkYaarvXFgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+absorption&hl=en&as_sdt=2007"
