Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
68,"B Xiao, MA Bowker","Moss-biocrusts strongly decrease soil surface albedo, altering land-surface energy balance in a dryland ecosystem",2020,"Science of the Total Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969720339474","https://scholar.google.com/scholar?cites=6367227488381761941&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 09:21:29","","","","",,,,,68,17.00,34,2,4,"… Our results showed that the surface albedo of the biocrusts was 43.4% lower than that of the … (20.7%) of the biocrust layer. Through time, the albedo of the biocrusts were negatively and …","https://www.sciencedirect.com/science/article/am/pii/S0048969720339474","https://scholar.google.com/scholar?q=related:lfkYaarvXFgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+albedo&hl=en&as_sdt=2007"
119,"WA Rutherford, TH Painter, S Ferrenberg, J Belnap…","Albedo feedbacks to future climate via climate change impacts on dryland biocrusts",2017,"Scientific Reports","nature.com","https://www.nature.com/articles/srep44188","https://scholar.google.com/scholar?cites=967455904017756552&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 09:21:29","HTML","","","",,,,,119,17.00,24,5,7,"… While more work is clearly warranted to elucidate this large potential effect, this study demonstrates that dryland surface albedo is highly dependent on biocrust community composition, …","https://www.nature.com/articles/srep44188","https://scholar.google.com/scholar?q=related:iDHV1gQYbQ0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+albedo&hl=en&as_sdt=2007"
128,"MA Bowker, SC Reed, FT Maestre, DJ Eldridge","Biocrusts: the living skin of the earth",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-018-3735-1","https://scholar.google.com/scholar?cites=18057733237281181467&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 09:21:29","HTML","10.1007/s11104-018-3735-1","","",,,,,128,21.33,32,4,6,"… functional trait protocols for biocrust organisms, and creating biocrust-specific trait databases. With … in biocrust community structure, and biocrust-mediated ecosystem multifunctionality. …","https://link.springer.com/article/10.1007/s11104-018-3735-1","https://scholar.google.com/scholar?q=related:G8_okLT0mfoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+albedo&hl=en&as_sdt=2007"
9,"S Li, F Sun, S Chamizo, B Xiao","Towards moss-dominated biocrust effects on soil temperature across seasons in drylands: Insight from continuous measurements of soil thermal properties and solar …",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S001670612200218X","https://scholar.google.com/scholar?cites=2865133962421217111&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 09:21:29","","","","",,,,,9,4.50,2,4,2,"… and lower surface albedo are keys to raise biocrust temperature. … , biocrusts greatly increased T by 1.7 ℃ (up to 4.5 C; P <0.001) on average. In conclusion, moss-dominated biocrusts …","","https://scholar.google.com/scholar?q=related:VycGoCgAwycJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+albedo&hl=en&as_sdt=2007"
45,"B Xiao, S Ma, K Hu","Moss biocrusts regulate surface soil thermal properties and generate buffering effects on soil temperature dynamics in dryland ecosystem",2019,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706119303520","https://scholar.google.com/scholar?cites=12293608226166239459&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 09:21:29","","","","",,,,,45,9.00,15,3,5,"… Theoretically, such decreasing effects of biocrusts on soil temperature cannot be explained by their decreasing surface albedo. Instead of that, biocrust effects on surface soil thermal …","","https://scholar.google.com/scholar?q=related:43B1IIyrm6oJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+albedo&hl=en&as_sdt=2007"
56,"E Rodríguez-Caballero, T Knerr, B Weber","Importance of biocrusts in dryland monitoring using spectral indices",2015,"Remote Sensing of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S003442571530122X","https://scholar.google.com/scholar?cites=15423498022594312747&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 09:21:29","","","","",,,,,56,6.22,19,3,9,"… ) and surface albedo, and the effect of biocrust cover and water status on these indices was analyzed. Biocrusts exerted a considerable effect on vegetation indices and surface albedo, …","","https://scholar.google.com/scholar?q=related:K3qs_rtFC9YJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+albedo&hl=en&as_sdt=2007"
33,"O Rozenstein, J Adamowski","A review of progress in identifying and characterizing biocrusts using proximal and remote sensing",2017,"… Journal of Applied Earth Observation and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0303243417300028","https://scholar.google.com/scholar?cites=17922585170423763204&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 09:21:29","","","","",,,,,33,4.71,17,2,7,"… biocrust cover, and high albedo contrast between the bright sands and the dark biocrusts are the cause for albedo … in the overall surface albedo in comparison to biocrusts (Karnieli and …","","https://scholar.google.com/scholar?q=related:BNHKK0HQufgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+albedo&hl=en&as_sdt=2007"
189,"E Couradeau, U Karaoz, HC Lim…","Bacteria increase arid-land soil surface temperature through the production of sunscreens",2016,"Nature …","nature.com","https://www.nature.com/articles/ncomms10373","https://scholar.google.com/scholar?cites=9438156509184737267&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 09:21:29","HTML","","","",,,,,189,23.63,47,4,8,"… When sufficiently developed, biocrusts can reduce the albedo … The mechanism by which biocrusts decrease albedo, the … and microbial composition in biocrusts of varying successional …","https://www.nature.com/articles/ncomms10373","https://scholar.google.com/scholar?q=related:8z9_8FYR-4IJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+albedo&hl=en&as_sdt=2007"
20,"KE Young, HS Grover, MA Bowker","Altering biocrusts for an altered climate",2016,"New Phytologist","JSTOR","https://www.jstor.org/stable/newphytologist.210.1.18?casa_token=qcCG9GyJGZgAAAAA:aHz0ptpG8a7ptbSNSyWJ1tb_htnph6j88xEpsbb9FDBAUB3ZmEQSA0lPu5cGpzWFEfsZM15d5or6-gen7Pr59V5eoLtVcgRtedt0yGwBmvoveMvYKLuC","https://scholar.google.com/scholar?cites=2901354767978757455&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 09:21:29","PDF","","","",,,,,20,2.50,7,3,8,"… et al., 2008), biocrust mortality could have significant positive and negative feedbacks on global energy balance, as biocrust community shifts could alter albedo. Taking a step further, …","https://www.jstor.org/stable/newphytologist.210.1.18?casa_token=qcCG9GyJGZgAAAAA:aHz0ptpG8a7ptbSNSyWJ1tb_htnph6j88xEpsbb9FDBAUB3ZmEQSA0lPu5cGpzWFEfsZM15d5or6-gen7Pr59V5eoLtVcgRtedt0yGwBmvoveMvYKLuC","https://scholar.google.com/scholar?q=related:T33CGMquQygJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+albedo&hl=en&as_sdt=2007"
0,"SN Power, VA Thomas, MR Salvatore…","Habitat suitability of biocrust communities in a cold desert ecosystem",2024,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.11649","",10,"2024-07-22 09:21:29","","10.1002/ece3.11649","","",,,,,0,0.00,0,4,1,"… The predicted moisture content model used was derived from albedo measurements … or minimal biocrust and a 0.5:10 biocrust to solvent ratio for samples containing dense biocrust. …","https://onlinelibrary.wiley.com/doi/pdf/10.1002/ece3.11649","https://scholar.google.com/scholar?q=related:cLWw_0G56eAJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+albedo&hl=en&as_sdt=2007"
