Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
27,"Q Wang, Q Zhang, Y Han, D Zhang, CC Zhang…","Carbon cycle in the microbial ecosystems of biological soil crusts",2022,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071722001869","https://scholar.google.com/scholar?cites=10663266187799937719&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 10:49:08","","","","",,,,,27,13.50,5,6,2,"… collections of four types of biocrusts revealed a low abundance of … Co-occurrence networks revealed that C-cycle in biocrusts … and regulatory mechanisms in biocrust succession, and …","","https://scholar.google.com/scholar?q=related:t8I_9RmI-5MJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+carboxylation&hl=en&as_sdt=2007"
18,"K Zhao, B Zhang, J Li, B Li, Z Wu","The autotrophic community across developmental stages of biocrusts in the Gurbantunggut Desert",2021,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S001670612100001X","https://scholar.google.com/scholar?cites=7579828617052616797&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 10:49:08","","","","",,,,,18,6.00,4,5,3,"… during biocrust succession have not been revealed. In this study, we investigated the autotrophic communities in bare sand and three biocrust … ,5-bisphosphate carboxylase/oxygenase (…","","https://scholar.google.com/scholar?q=related:XfjCsff1MGkJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+carboxylation&hl=en&as_sdt=2007"
11,"I Miralles, R Ortega, MC Montero-Calasanz","Studying the microbiome of cyanobacterial biocrusts from drylands and its functional influence on biogeochemical cycles",2021,"","researchsquare.com","https://www.researchsquare.com/article/rs-252045/latest","https://scholar.google.com/scholar?cites=3567009089932310891&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 10:49:08","","","","",,,,,11,3.67,4,3,3,"… biocrusts it was slightly lower than in IC-biocrusts, but instead the electrical conductivity was comparatively higher in IC biocrusts than in MC biocrusts … , where carboxylation is performed …","https://www.researchsquare.com/article/rs-252045/latest.pdf","https://scholar.google.com/scholar?q=related:azkBVN6PgDEJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+carboxylation&hl=en&as_sdt=2007"
65,"JY Li, XY Jin, XC Zhang, L Chen, JL Liu…","Comparative metagenomics of two distinct biological soil crusts in the Tengger Desert, China",2020,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071719303013","https://scholar.google.com/scholar?cites=15515799444076460423&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 10:49:08","","","","",,,,,65,16.25,11,6,4,"… biocrusts have been poorly studied by metagenomic analyses. In this study, we compared two types of biocrusts (bacterial-dominated biocrusts … 5-bisphosphate carboxylase/oxygenase (…","","https://scholar.google.com/scholar?q=related:h3lhXmMxU9cJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+carboxylation&hl=en&as_sdt=2007"
4,"C Baubin, N Ran, H Siebner, O Gillor","The response of desert biocrust bacterial communities to hydration-desiccation cycles",2021,"SOIL Discussions","soil.copernicus.org","https://soil.copernicus.org/preprints/soil-2021-88/","https://scholar.google.com/scholar?cites=349821750293901791&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 10:49:08","","","","",,,,,4,1.33,1,4,3,"… predicted that increased biocrust moisture would resuscitate the phototrophs, while desiccation … moisture will lead to an inactivation of the phototrophs within the biocrust community. We …","https://soil.copernicus.org/preprints/soil-2021-88/soil-2021-88.pdf","https://scholar.google.com/scholar?q=related:3zH5SAfR2gQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+carboxylation&hl=en&as_sdt=2007"
4,"Y Han, Q Wang, Q Li, C Hu","Active metabolism and biomass dynamics of biocrusts are shaped by variation in their successional state and seasonal energy sources",2022,"Science of The Total Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969722018496","https://scholar.google.com/scholar?cites=1870766042336531996&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 10:49:08","","","","",,,,,4,2.00,1,4,2,"… in biocrusts … biocrust growth varied with seasonal variation in light energy utilization and complementary chemical energy sources, with the most suitable season varying with biocrust …","","https://scholar.google.com/scholar?q=related:HBZVw81L9hkJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+carboxylation&hl=en&as_sdt=2007"
24,"G Wang, Y Yuan, J louis Morel, Z Feng, D Chen, C Lu…","Biological aqua crust mitigates metal (loid) pollution and the underlying immobilization mechanisms",2021,"Water Research","Elsevier","https://www.sciencedirect.com/science/article/pii/S0043135420312690","https://scholar.google.com/scholar?cites=5352175277542376131&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 10:49:08","","","","",,,,,24,8.00,3,7,3,"… Biocrust-mediated in situ bioremediation could be an alternative strategy to mitigate metal(loid) pollution in aquatic habitats. To better understand the roles of biocrusts in regulating the …","","https://scholar.google.com/scholar?q=related:w4KK0Q6_RkoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+carboxylation&hl=en&as_sdt=2007"
39,"F Bastida, N Jehmlich, S Ondoño, M von Bergen…","Characterization of the microbial community in biological soil crusts dominated by Fulgensia desertorum (Tomin) Poelt and Squamarina cartilaginea (With.) P. James …",2014,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071714001643","https://scholar.google.com/scholar?cites=14328615130751465177&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-18 10:49:08","","","","",,,,,39,3.90,8,5,10,"… composition of the microbial communities of the two biocrusts at the phylum level. In contrast, … The identification of ribulose-1,5 biphosphate carboxylase oxygenase (RuBisCO) peptides …","","https://scholar.google.com/scholar?q=related:2Xa6j4t32cYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+carboxylation&hl=en&as_sdt=2007"
29,"A Tamm, J Caesar, N Kunz, C Colesie…","Ecophysiological properties of three biological soil crust types and their photoautotrophs from the Succulent Karoo, South Africa",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-018-3635-4","https://scholar.google.com/scholar?cites=1448191192956242541&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 10:49:08","HTML","10.1007/s11104-018-3635-4","","",,,,,29,4.83,6,5,6,"… DR rates of moss-dominated biocrusts tended to be higher compared to other biocrusts types (Table 2, Table S3) and displayed a strong temperature-dependent increase, similar to …","https://link.springer.com/article/10.1007/s11104-018-3635-4","https://scholar.google.com/scholar?q=related:bYoBlzcCGRQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+carboxylation&hl=en&as_sdt=2007"
18,"S Chamizo, E Rodríguez-Caballero…","Temporal dynamics of dryland soil CO2 efflux using high-frequency measurements: Patterns and dominant drivers among biocrust types, vegetation and bare soil",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706121004845","https://scholar.google.com/scholar?cites=16227929157354674312&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 10:49:08","","","","",,,,,18,9.00,6,3,2,"… (cyanobacteria and lichen dominated biocrusts, soil under the … tenacissima) and lichen biocrusts. Time series analysis of F s … biocrust, 268 g CO 2 m −2 y -1 in the cyanobacterial biocrust …","","https://scholar.google.com/scholar?q=related:iFhU4JYvNeEJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+carboxylation&hl=en&as_sdt=2007"
