Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
36,"JR Román, E Rodríguez-Caballero…","Spectral response analysis: An indirect and non-destructive methodology for the chlorophyll quantification of biocrusts",2019,"Remote Sensing","mdpi.com","https://www.mdpi.com/2072-4292/11/11/1350","https://scholar.google.com/scholar?cites=17167350481936149136&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-17 13:41:15","HTML","","","",,,,,36,7.20,12,3,5,"… Our results demonstrate that biocrust reflectance represents a valuable alternative for non-destructive and reliable retrieval of general biocrust chlorophyll a concentration and biocrust …","https://www.mdpi.com/2072-4292/11/11/1350","https://scholar.google.com/scholar?q=related:kGpvik6uPu4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+chlorophyll&hl=en&as_sdt=2007"
15,"A Kleefeld, S Gypser, WB Herppich, G Bader, M Veste","Identification of spatial pattern of photosynthesis hotspots in moss-and lichen-dominated biological soil crusts by combining chlorophyll fluorescence imaging and …",2018,"Pedobiologia","Elsevier","https://www.sciencedirect.com/science/article/pii/S003140561730269X","https://scholar.google.com/scholar?cites=13173565059626129637&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-17 13:41:15","","","","",,,,,15,2.50,3,5,6,"… On the basis of these matches, both the biocrust species with high chlorophyll content and those with high photosynthetic activity could be identified. Subsequently, the area ratio of …","","https://scholar.google.com/scholar?q=related:5ViDDKDn0bYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+chlorophyll&hl=en&as_sdt=2007"
54,"J Caesar, A Tamm, N Ruckteschler, AL Leifke…","Revisiting chlorophyll extraction methods in biological soil crusts – methodology for determination of chlorophyll a and chlorophyll a + b as compared to …",2018,"…","bg.copernicus.org","https://bg.copernicus.org/articles/15/1415/2018/","https://scholar.google.com/scholar?cites=7288126893454165099&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-17 13:41:15","HTML","","","",,,,,54,9.00,11,5,6,"… In this study we analyzed the efficiency of two different chlorophyll extraction solvents, the … types of biocrusts. Our results show that for all biocrust types chlorophyll contents obtained …","https://bg.copernicus.org/articles/15/1415/2018/","https://scholar.google.com/scholar?q=related:a4ROosugJGUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+chlorophyll&hl=en&as_sdt=2007"
40,"S Gypser, WB Herppich, T Fischer, P Lange…","Photosynthetic characteristics and their spatial variance on biological soil crusts covering initial soils of post-mining sites in Lower Lusatia, NE Germany",2016,"… , Functional Ecology of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0367253016300226","https://scholar.google.com/scholar?cites=732536019616664391&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-17 13:41:15","","","","",,,,,40,5.00,8,5,8,"… of total chlorophyll and organic carbon in biocrust … biocrust samples, however, carbon and chlorophyll contents increased when compared to their precursor stages. While the chlorophyll …","","https://scholar.google.com/scholar?q=related:Rwtu8qB9KgoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+chlorophyll&hl=en&as_sdt=2007"
12,"KE Young, SC Reed","Spectrally monitoring the response of the biocrust moss Syntrichia caninervis to altered precipitation regimes",2017,"Scientific Reports","nature.com","https://www.nature.com/articles/srep41793","https://scholar.google.com/scholar?cites=6018657506728130655&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-17 13:41:15","HTML","","","",,,,,12,1.71,6,2,7,"… Our results suggest the strong potential for utilizing spectroscopy and chlorophyll-derived indices to monitor biocrust ecophysiological status, even when biocrusts are dry, with important …","https://www.nature.com/articles/srep41793","https://scholar.google.com/scholar?q=related:X7hEOR2RhlMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+chlorophyll&hl=en&as_sdt=2007"
0,"HR REN, L TAO, J REN, XC REN","Chlorophyll and growth performance of biological sand-fixing materials inoculated on sandy desert surface",2024,"Photosynthetica","ps.ueb.cas.cz","http://ps.ueb.cas.cz/pdfs/phs/2024/02/10.pdf","",6,"2024-07-17 13:41:15","PDF","","","",,,,,0,0.00,0,4,1,"… accelerated the most accumulation of chlorophyll a in 0.55 mg … biocrust. The water supply and cultivation time always significantly promoted the growth and accumulation of chlorophyll a …","http://ps.ueb.cas.cz/pdfs/phs/2024/02/10.pdf","https://scholar.google.com/scholar?q=related:ck07JICu78IJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+chlorophyll&hl=en&as_sdt=2007"
58,"GJ Kidron, I Benenson","Biocrusts serve as biomarkers for the upper 30 cm soil water content",2014,"Journal of Hydrology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169413008652","https://scholar.google.com/scholar?cites=15623234454843710086&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-17 13:41:15","","","","",,,,,58,5.80,29,2,10,"… = 0.85–0.88) of the upper 30 cm soil and between the chlorophyll content of the crust and … duration and chlorophyll content of the crust. This link points to the possible use of biocrusts as …","https://www.academia.edu/download/48531924/Biocrusts_serve_as_biomarkers_for_the_up20160902-2291-xdlgud.pdf","https://scholar.google.com/scholar?q=related:hlqaE_bg0NgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+chlorophyll&hl=en&as_sdt=2007"
22,"T Dias, CJ Crous, R Ochoa-Hueso, E Manrique…","Nitrogen inputs may improve soil biocrusts multifunctionality in dryland ecosystems",2020,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071720302431","https://scholar.google.com/scholar?cites=17166460325942045055&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-17 13:41:15","","","","",,,,,22,5.50,4,5,4,"… observed variation in biocrust multifunctionality. The biocrust pigment functional approach we … dropped more than 8-fold and chlorophylls become the most abundant pigments, except in …","https://repositorio.ul.pt/bitstream/10451/49705/1/Nitrogen%20inputs%20may%20improve%20soil%20biocrusts%20multifunctionality%20in%20dryland%20ecosystems.pdf","https://scholar.google.com/scholar?q=related:f6mc8raEO-4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+chlorophyll&hl=en&as_sdt=2007"
30,"WW Zhuang, M Serpe, YM Zhang","The effect of lichen‐dominated biological soil crusts on growth and physiological characteristics of three plant species in a temperate desert of northwest China",2015,"Plant Biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/plb.12359","https://scholar.google.com/scholar?cites=17098966601390185238&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-17 13:41:15","","10.1111/plb.12359","","",,,,,30,3.33,10,3,9,"… biocrusts were removed (biocrust-removed). The remaining plots served as control plots in which the biocrusts remained intact (biocrust-… of biocrusts on photosynthesis and chlorophyll …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=449dd170f9e2123b080299f045e89c71fd564984","https://scholar.google.com/scholar?q=related:Flshnoe7S-0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+chlorophyll&hl=en&as_sdt=2007"
4,"J Raggio, DS Pescador, B Gozalo, V Ochoa…","Continuous monitoring of chlorophyll a fluorescence and microclimatic conditions reveals warming-induced physiological damage in biocrust-forming lichens",2023,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-022-05686-w","https://scholar.google.com/scholar?cites=10361042056382290556&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-17 13:41:15","HTML","10.1007/s11104-022-05686-w","","",,,,,4,4.00,1,5,1,"… Here, we combine a unique biocrust manipulative experiment with the continuous monitoring of chlorophyll a fluorescence and microclimatic conditions to evaluate how a simulated …","https://link.springer.com/article/10.1007/s11104-022-05686-w","https://scholar.google.com/scholar?q=related:fJqM6drQyY8J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+chlorophyll&hl=en&as_sdt=2007"
