Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
65,"AM Chilton, BA Neilan, DJ Eldridge","Biocrust morphology is linked to marked differences in microbial community composition",2018,"Plant and soil","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11104-017-3442-3&casa_token=qXFyViP-4NYAAAAA:qmGadLNiCv-vWwwMarApGGEbpcIV9WTIqKTSws4eLXWKOzgIKNICCp7EGpu1TNS23BaDpRKxlAR5YI02gA","https://scholar.google.com/scholar?cites=16346929254900809471&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 08:31:39","HTML","10.1007/s11104-017-3442-3","","",,,,,65,10.83,22,3,6,"… have been used to better understand the functional role of biocrusts, relatively little is known … of community composition of the microbial community associated with biocrusts ranging in …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11104-017-3442-3&casa_token=qXFyViP-4NYAAAAA:qmGadLNiCv-vWwwMarApGGEbpcIV9WTIqKTSws4eLXWKOzgIKNICCp7EGpu1TNS23BaDpRKxlAR5YI02gA","https://scholar.google.com/scholar?q=related:_77NLoz12-IJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22community+composition%22&hl=en&as_sdt=2007"
76,"I Miralles, R Lázaro, M Sánchez-Marañón…","Biocrust cover and successional stages influence soil bacterial composition and diversity in semiarid ecosystems",2020,"Science of the Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969719346455","https://scholar.google.com/scholar?cites=16626047793667811595&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 08:31:39","","","","",,,,,76,19.00,19,4,4,"… The differences in the microbial community composition under biocrusts at different … to the presence of biocrusts and the ecophysiology of each biocrust type. Biocrusts have paramount …","https://digibug.ugr.es/bitstream/handle/10481/87386/Biocrust%20cover_pre-print.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:C6k8OGGWu-YJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22community+composition%22&hl=en&as_sdt=2007"
8,"AM Chilton, STT Nguyen, TM Nelson…","Climate dictates microbial community composition and diversity in Australian biological soil crusts (biocrusts)",2022,"Environmental …","Wiley Online Library","https://enviromicro-journals.onlinelibrary.wiley.com/doi/abs/10.1111/1462-2920.16098","https://scholar.google.com/scholar?cites=6115322014842723362&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 08:31:39","","10.1111/1462-2920.16098","","",,,,,8,4.00,2,4,2,"… and precipitation on biocrust community composition, we … showed that the community composition of northern samples … = 0.001), whereas biocrusts sampled from southern regions …","https://enviromicro-journals.onlinelibrary.wiley.com/doi/pdf/10.1111/1462-2920.16098","https://scholar.google.com/scholar?q=related:IpzT3fj83VQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22community+composition%22&hl=en&as_sdt=2007"
10,"R Rosentreter, HT Root","Biological soil crust diversity and composition in southwest Idaho, USA",2019,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-122/issue-1/0007-2745-122.1.010/Biological-soil-crust-diversity-and-composition-in-southwest-Idaho-USA/10.1639/0007-2745-122.1.010.short","https://scholar.google.com/scholar?cites=5457390582884841018&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 08:31:39","","10.1639/0007-2745-122.1.010.short","","",,,,,10,2.00,5,2,5,"… presence of a stable lichen-dominated biocrust, has kept invasive flammable grass species to … Describe BSC community composition in different habitats with detailed attention to lichen …","https://www.jstor.org/stable/pdf/27101417.pdf?casa_token=y9aPqoqWa90AAAAA:qixOjJcGh2Quq-3h6sKg7CcmXxqYCaeuGmKHlfhesul5ERzQxxcu5gZEMTPLm536imeUc4CAQ0LCQefiUL_yP89AUIy716VvvErc3RzRvv9HKJICXwLi","https://scholar.google.com/scholar?q=related:OrZpFdKLvEsJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22community+composition%22&hl=en&as_sdt=2007"
42,"I Miralles, R Soria, ME Lucas-Borja, M Soriano…","Effect of biocrusts on bacterial community composition at different soil depths in Mediterranean semi-arid ecosystems",2020,"Science of the Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S004896972032129X","https://scholar.google.com/scholar?cites=3116250104296043732&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 08:31:39","","","","",,,,,42,10.50,8,5,4,"… This study analyzed the influence of biocrusts on the chemical properties and bacterial diversity and community composition in the underlying soils along a depth gradient (the biocrust (…","","https://scholar.google.com/scholar?q=related:1PTWkfUkPysJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22community+composition%22&hl=en&as_sdt=2007"
60,"R Rosentreter, DJ Eldridge, M Westberg…","Structure, composition, and function of biocrust lichen communities",2016,"Biological soil crusts: An …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-30214-0_7","https://scholar.google.com/scholar?cites=9424800319268371917&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 08:31:39","","10.1007/978-3-319-30214-0_7","","",,,,,60,7.50,15,4,8,"… of sampling sites in relation to vascular plant community composition, soils, and climate. For example, Root and McCune (2012) recorded 99 biocrust lichen species within fifty nine 0.4-…","","https://scholar.google.com/scholar?q=related:zb36pPSdy4IJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22community+composition%22&hl=en&as_sdt=2007"
13,"S Lan, AD Thomas, JB Rakes…","Cyanobacterial community composition and their functional shifts associated with biocrust succession in the Gurbantunggut Desert",2021,"Environmental …","Wiley Online Library","https://ami-journals.onlinelibrary.wiley.com/doi/abs/10.1111/1758-2229.13011","https://scholar.google.com/scholar?cites=16482625599390008884&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 08:31:39","","10.1111/1758-2229.13011","","",,,,,13,4.33,3,4,3,"… In this study, to identify whether a cyanobacterial community shift is involved in biocrust … of biocrusts in the Gurbantunggut Desert. Our findings showed that the biocrust cyanobacteria in …","https://par.nsf.gov/servlets/purl/10381570","https://scholar.google.com/scholar?q=related:NMZmaacMvuQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22community+composition%22&hl=en&as_sdt=2007"
17,"V MC Fernandes, JA Rudgers, SL Collins…","Rainfall pulse regime drives biomass and community composition in biological soil crusts",2022,"Ecology","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecy.3744?casa_token=QvZf0eZXmCAAAAAA:7U8Hi1tuuF8M4Ryw2RlCRcFlDa1BbinismXzmpAV0o2gZl-qgrThmDZvm8HtkyHamBRsSrm5fc9lfnlN","https://scholar.google.com/scholar?cites=8450286192314039418&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 08:31:39","","10.1002/ecy.3744","","",,,,,17,8.50,4,4,2,"… These differences in desiccation thresholds could have large ecosystem impacts depending onthe initial biocrust community composition, as shown by the contrast between our results …","https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecy.3744?casa_token=O0A87nFLwYUAAAAA:jMXl2dVWC-Ao_JYV0TtsfCIk4zTmr-6jVWAJsZhN5OoOeRwVL8OPoxfBGse_x5Hlo_KXMO782gr3zHj6","https://scholar.google.com/scholar?q=related:ejxEN4VyRXUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22community+composition%22&hl=en&as_sdt=2007"
17,"SV Ayuso, A Giraldo‐Silva, NN Barger…","Microbial inoculum production for biocrust restoration: testing the effects of a common substrate versus native soils on yield and community composition",2020,"Restoration …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.13127","https://scholar.google.com/scholar?cites=10607191082118498202&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 08:31:39","","10.1111/rec.13127","","",,,,,17,4.25,4,4,4,"… of cyanobacteria-dominated biocrusts, in each site we took samples of biocrusts and native soils. We collected 1 m2 of biocrusts (1 cm deep) per site by means of a dough steel …","https://www.researchgate.net/profile/Sergio-Velasco-Ayuso/publication/338923180_Microbial_inoculum_production_for_biocrust_restoration_testing_the_effects_of_a_common_substrate_versus_native_soils_on_yield_and_community_composition_Cultivated_biocrusts_and_substrate_texture/links/5e4c3118a6fdccd965b0a740/Microbial-inoculum-production-for-biocrust-restoration-testing-the-effects-of-a-common-substrate-versus-native-soils-on-yield-and-community-composition-Cultivated-biocrusts-and-substrate-texture.pdf","https://scholar.google.com/scholar?q=related:mkddAhdQNJMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22community+composition%22&hl=en&as_sdt=2007"
6,"E Pushkareva, J Elster, A Holzinger…","Biocrusts from Iceland and Svalbard: Does microbial community composition differ substantially?",2022,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmicb.2022.1048522/full","https://scholar.google.com/scholar?cites=5868981741311495151&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 08:31:39","HTML","10.3389/fmicb.2022.1048522","","",,,,,6,3.00,2,4,2,"… A wide range of microorganisms inhabit biocrusts of arctic and … studied microbial community composition in biocrusts from … of Chloroflexi in the biocrusts from Iceland and Longyearbyen…","https://www.frontiersin.org/articles/10.3389/fmicb.2022.1048522/full","https://scholar.google.com/scholar?q=related:7wsgbMzPclEJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22community+composition%22&hl=en&as_sdt=2007"
