Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
38,"KM Whitney, ER Vivoni, MC Duniway…","Ecohydrological role of biological soil crusts across a gradient in levels of development",2017,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1875","https://scholar.google.com/scholar?cites=2574354112782524988&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 10:55:40","","10.1002/eco.1875","","",,,,,38,5.43,10,4,7,"… and species-specific stomatal conductance, and accounts for the impact of biocrust cover on water fluxes and, thus, can be used to study biocrust-mediated ecohydrological interactions …","https://onlinelibrary.wiley.com/doi/am-pdf/10.1002/eco.1875","https://scholar.google.com/scholar?q=related:POJ3Em3xuSMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+conductance&hl=en&as_sdt=2007"
29,"B Weber, T Berkemeier, N Ruckteschler…","Development and calibration of a novel sensor to quantify the water content of surface soils and biological soil crusts",2016,"Methods in Ecology …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12459","https://scholar.google.com/scholar?cites=14364614189731656944&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 10:55:40","","10.1111/2041-210X.12459","","",,,,,29,3.63,7,4,8,"… the water content within biocrusts or the uppermost 5 mm … conductance of the sample. After amplification and rectification, a direct current voltage proportional to the electric conductance …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/2041-210X.12459","https://scholar.google.com/scholar?q=related:8LR9on9cWccJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+conductance&hl=en&as_sdt=2007"
12,"L Concostrina-Zubiri, P Matos, P Giordani…","Biocrust tissue traits as potential indicators of global change in the Mediterranean",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-017-3483-7","https://scholar.google.com/scholar?cites=2038136862253940703&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 10:55:40","HTML","10.1007/s11104-017-3483-7","","",,,,,12,2.00,3,4,6,"… In contrast, few studies have focused on soil lichens and mosses composing biocrusts. We aimed to evaluate the potential of biocrust tissue traits as indicators of changes in climate and …","https://link.springer.com/article/10.1007/s11104-017-3483-7","https://scholar.google.com/scholar?q=related:339Gfq3qSBwJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+conductance&hl=en&as_sdt=2007"
43,"KK Coe, JP Sparks, J Belnap","Physiological ecology of dryland biocrust mosses",2013,"… in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_16","https://scholar.google.com/scholar?cites=482322560319715201&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 10:55:40","","10.1007/978-94-007-6988-5_16","","",,,,,43,3.91,14,3,11,"… Biocrust … biocrust moss, particularly at high temperatures. Finally, despite low annual growth rates, nitrogen appears to place physiological limitations on reproductive biology of biocrust …","https://www.researchgate.net/profile/Kirsten-Deane-Coe/publication/264788490_Physiological_Ecology_of_Dryland_Biocrust_Mosses/links/53f0cc2f0cf2711e0c431225/Physiological-Ecology-of-Dryland-Biocrust-Mosses.pdf","https://scholar.google.com/scholar?q=related:gXcDK9CNsQYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+conductance&hl=en&as_sdt=2007"
26,"GJ Kidron, T Fischer, B Xiao","The ambivalent effect of biocrusts on evaporation: Can the contradictory conclusions be explained? A review",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706122001124","https://scholar.google.com/scholar?cites=9952801352000578296&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 10:55:40","","","","",,,,,26,13.00,9,3,2,"… behind the contradicting views regarding the biocrust effects upon evaporation. We will principally focus on arid and semiarid regions where biocrust proliferate, expanding upon the …","","https://scholar.google.com/scholar?q=related:-KIF8hh0H4oJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+conductance&hl=en&as_sdt=2007"
19,"KK Coe, J Belnap, EE Grote…","Physiological ecology of desert biocrust moss following 10 years exposure to elevated CO2: evidence for enhanced photosynthetic thermotolerance",2012,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.2012.01566.x","https://scholar.google.com/scholar?cites=13693198155242934900&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 10:55:40","","10.1111/j.1399-3054.2012.01566.x","","",,,,,19,1.58,5,4,12,"In arid regions, biomes particularly responsive to climate change, mosses play an important biogeochemical role as key components of biocrusts. Using the biocrust moss Syntrichia …","https://www.academia.edu/download/43409585/Physiological_ecology_of_desert_biocrust20160305-9576-1lomccx.pdf","https://scholar.google.com/scholar?q=related:dBJKKiwDCL4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+conductance&hl=en&as_sdt=2007"
30,"WW Zhuang, M Serpe, YM Zhang","The effect of lichen‐dominated biological soil crusts on growth and physiological characteristics of three plant species in a temperate desert of northwest China",2015,"Plant Biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/plb.12359","https://scholar.google.com/scholar?cites=17098966601390185238&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 10:55:40","","10.1111/plb.12359","","",,,,,30,3.33,10,3,9,"… Due to the abundant nutrient supply in biocrusts and their ability to influence soil moisture availability (Belnap 2002; Kidron 2014), we hypothesised that biocrusts would stimulate …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=449dd170f9e2123b080299f045e89c71fd564984","https://scholar.google.com/scholar?q=related:Flshnoe7S-0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+conductance&hl=en&as_sdt=2007"
0,"D Qiu, B Xiao, B Ghanbarian","Biocrusts intensify grassland evapotranspiration through increasing evaporation and reducing transpiration in a semi-arid ecosystem",2024,"Journal of Hydrology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169424010497","",8,"2024-07-18 10:55:40","","","","",,,,,0,0.00,0,3,1,"… and bare soil as well as between the grass with biocrusts and grass without biocrusts, as defined as follows:(3) Δ E T = E T BC - E T BS E T GG + BC - E T GG E T LG + BC - E T LG …","https://scholar.google.com/scholar?output=instlink&q=info:qOyPHcsJazkJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=10758458277617935825&oi=lle","https://scholar.google.com/scholar?q=related:qOyPHcsJazkJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+conductance&hl=en&as_sdt=2007"
46,"CL Tucker, TA McHugh, A Howell, R Gill, B Weber…","The concurrent use of novel soil surface microclimate measurements to evaluate CO2 pulses in biocrusted interspaces in a cool desert ecosystem",2017,"Biogeochemistry","Springer","https://link.springer.com/article/10.1007/s10533-017-0372-3","https://scholar.google.com/scholar?cites=17871386334492624571&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 10:55:40","HTML","10.1007/s10533-017-0372-3","","",,,,,46,6.57,8,6,7,"… content of the biocrust or soil surface layer is calculated based on the conductance of two 3 … To install probes, we first examined nearby biocrust to determine the depth of the biocrust-…","https://link.springer.com/article/10.1007/s10533-017-0372-3","https://scholar.google.com/scholar?q=related:uwY0Py_rA_gJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+conductance&hl=en&as_sdt=2007"
7,"ML Slate, ML McLeod, RM Callaway","Positive interactions between an exotic invader and moss biocrusts vary across life stage and correspond with the effect of water pulses on soil nitrogen",2021,"Functional ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13831","https://scholar.google.com/scholar?cites=9249437575474595980&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 10:55:40","","10.1111/1365-2435.13831","","",,,,,7,2.33,2,3,3,"… We also tested the effects of biocrust and Centaurea on soil N, with biocrust and Centaurea modelled as fixed factors and inorganic N ( urn:x-wiley:02698463:media:fec13831:fec13831-…","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2435.13831","https://scholar.google.com/scholar?q=related:jEhQIniaXIAJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+conductance&hl=en&as_sdt=2007"
