Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
135,"MA Bowker, J Belnap, B Büdel, C Sannier…","Controls on distribution patterns of biological soil crusts at micro-to global scales",2016,"Biological soil crusts: an …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-30214-0_10","https://scholar.google.com/scholar?cites=14079274325202972768&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 11:27:23","","10.1007/978-3-319-30214-0_10","","",,,,,135,16.88,27,5,8,"… While our knowledge of biocrust distribution has advanced rapidly, there are considerable geographic and taxonomic gaps in our knowledge and a pronounced lack of truly global …","http://www.aridecologylab.com.au/pubs/Bowkeretal_2016_BiocrustbookChapter10_Online%20PDF.pdf","https://scholar.google.com/scholar?q=related:YDAAUWehY8MJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+distribution&hl=en&as_sdt=2007"
128,"MA Bowker, SC Reed, FT Maestre, DJ Eldridge","Biocrusts: the living skin of the earth",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-018-3735-1","https://scholar.google.com/scholar?cites=18057733237281181467&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 11:27:23","HTML","10.1007/s11104-018-3735-1","","",,,,,128,21.33,32,4,6,"… More recently biocrusts have been identified as a … Biocrust science was sparse before the 1970s, as evidenced … events in the biocrust research community has brought biocrusts from a …","https://link.springer.com/article/10.1007/s11104-018-3735-1","https://scholar.google.com/scholar?q=related:G8_okLT0mfoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+distribution&hl=en&as_sdt=2007"
17,"D Qiu, MA Bowker, B Xiao, Y Zhao, X Zhou…","Mapping biocrust distribution in China's drylands under changing climate",2023,"Science of the Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969723058382","https://scholar.google.com/scholar?cites=12141990122141022312&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 11:27:23","","","","",,,,,17,17.00,3,6,1,"… The lack of biocrust spatial data may limit our ability to detect risks … biocrust distribution in China's drylands using spatial prediction modeling, based on a set of occurrences of biocrusts (…","","https://scholar.google.com/scholar?q=related:aHiEYK8DgagJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+distribution&hl=en&as_sdt=2007"
142,"B Weber, J Belnap, B Büdel, AJ Antoninka…","What is a biocrust? A refined, contemporary definition for a broadening research community",2022,"Biological …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12862","https://scholar.google.com/scholar?cites=4296002332732371180&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 11:27:23","","10.1111/brv.12862","","",,,,,142,71.00,28,5,2,"… , illustrating their ecological functions and widespread distribution, we hope to stimulate interest in biocrust research and inform various stakeholders (eg land managers, land users) on …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/brv.12862","https://scholar.google.com/scholar?q=related:7DDDRFx3njsJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+distribution&hl=en&as_sdt=2007"
121,"MA Bowker, FT Maestre, D Eldridge, J Belnap…","Biological soil crusts (biocrusts) as a model system in community, landscape and ecosystem ecology",2014,"Biodiversity and …","Springer","https://link.springer.com/article/10.1007/s10531-014-0658-x","https://scholar.google.com/scholar?cites=4180286917852879968&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 11:27:23","HTML","10.1007/s10531-014-0658-x","","",,,,,121,12.10,24,5,10,"… (2013a) evaluated how species richness, evenness, total cover, and the patch size distribution of biocrusts affect ecosystem multifunctionality in the field across a broad geographical …","https://link.springer.com/article/10.1007/s10531-014-0658-x","https://scholar.google.com/scholar?q=related:YFzVvc1cAzoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+distribution&hl=en&as_sdt=2007"
32,"AP Castillo-Monroy, Á Benítez, F Reyes-Bueno…","Biocrust structure responds to soil variables along a tropical scrubland elevation gradient",2016,"Journal of Arid …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0140196315300045","https://scholar.google.com/scholar?cites=7346806045309343232&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 11:27:23","","","","",,,,,32,4.00,8,4,8,"… are under some category of conservation management, we suggest that, at minimum, the distribution of biocrust in dry mountain shrubland in southeastern Ecuador could be considered …","","https://scholar.google.com/scholar?q=related:ABZbVCwZ9WUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+distribution&hl=en&as_sdt=2007"
15,"MC Ju, TL Zhang, XK Li, BY Li, YP Li, QY Liu, QX Wang…","Large scale environmental drivers of biocrust distribution and development across a sandy desert in China",2021,"Catena","Elsevier","https://www.sciencedirect.com/science/article/pii/S0341816220306871","https://scholar.google.com/scholar?cites=9178741816266910552&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 11:27:23","","","","",,,,,15,5.00,2,8,3,"… to be examined to determine how environmental factors drive biocrust distribution and function, so that we can develop more effective biocrust protection and soil restoration practices. …","https://sbir.nwafu.edu.cn/bitstream/361005/10737/1/Large%20scale%20environmental%20drivers%20of%20biocrust%20distribution%20and%20development%20across%20a%20sandy%20desert%20in%20China%20%20%E5%8D%B7200.pdf","https://scholar.google.com/scholar?q=related:WOucAw1xYX8J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+distribution&hl=en&as_sdt=2007"
28,"DJ Eldridge, M Delgado‐Baquerizo","The influence of climatic legacies on the distribution of dryland biocrust communities",2019,"Global change biology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14506","https://scholar.google.com/scholar?cites=10496270321100132070&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-18 11:27:23","","10.1111/gcb.14506","","",,,,,28,5.60,14,2,5,"… distribution of crusts that we see today. A knowledge of how climatic legacies might have affected, and continue to affect, biocrust distribution … Predicting how the distribution of biocrusts …","https://repository.library.noaa.gov/view/noaa/53064/noaa_53064_DS1.pdf","https://scholar.google.com/scholar?q=related:5g6m0z4-qpEJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+distribution&hl=en&as_sdt=2007"
32,"E Rodríguez‐Caballero, JR Román…","Biocrust landscape‐scale spatial distribution is strongly controlled by terrain attributes: Topographic thresholds for colonization in a semiarid badland system",2019,"Earth Surface …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/esp.4706","https://scholar.google.com/scholar?cites=16402053247800294740&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 11:27:23","","10.1002/esp.4706","","",,,,,32,6.40,11,3,5,"… as environmental filters influencing biocrust distribution in such biomes, little … biocrust colonization. This study aimed to identify the main terrain attributes controlling biocrust distribution …","https://digital.csic.es/bitstream/10261/204756/3/ESPL2019.pdf","https://scholar.google.com/scholar?q=related:VL0t7obMn-MJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+distribution&hl=en&as_sdt=2007"
17,"ALN Romero, MAH Moratta, EM Carretero…","Spatial distribution of biological soil crusts along an aridity gradient in the central-west of Argentina",2020,"Journal of Arid …","Elsevier","https://www.sciencedirect.com/science/article/pii/S014019632030001X","https://scholar.google.com/scholar?cites=15546950741269666620&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 11:27:23","","","","",,,,,17,4.25,4,4,4,"… components and the vascular vegetation through a stress gradient, we formulated the hypothesis that the spatial distribution of biocrusts and the interaction with the vegetation patches …","","https://scholar.google.com/scholar?q=related:PNvf8VPdwdcJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+distribution&hl=en&as_sdt=2007"
