Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
34,"M Mallen‐Cooper, MA Bowker…","A practical guide to measuring functional indicators and traits in biocrusts",2020,"Restoration …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.12974","https://scholar.google.com/scholar?cites=6557611580597816287&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 08:55:41","","10.1111/rec.12974","","",,,,,34,8.50,11,3,4,"… as a functional trait of species by using patches of biocrust or cultures that contain only one species. Practitioners wishing to track the multifunctionality of an entire biocrust … for biocrust …","https://www.researchgate.net/profile/David-Eldridge-2/publication/333054699_A_practical_guide_to_measuring_functional_indicators_and_traits_in_biocrusts/links/644cb64097449a0e1a65f13f/A-practical-guide-to-measuring-functional-indicators-and-traits-in-biocrusts.pdf","https://scholar.google.com/scholar?q=related:30uFJP1QAVsJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22functional+trait%22&hl=en&as_sdt=2007"
128,"MA Bowker, SC Reed, FT Maestre, DJ Eldridge","Biocrusts: the living skin of the earth",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-018-3735-1","https://scholar.google.com/scholar?cites=18057733237281181467&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 08:55:41","HTML","10.1007/s11104-018-3735-1","","",,,,,128,21.33,32,4,6,"… utility of developing functional trait protocols for biocrust organisms, and creating biocrust-specific … in biocrust community structure, and biocrust-mediated ecosystem multifunctionality. …","https://link.springer.com/article/10.1007/s11104-018-3735-1","https://scholar.google.com/scholar?q=related:G8_okLT0mfoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22functional+trait%22&hl=en&as_sdt=2007"
42,"M Mallen-Cooper, DJ Eldridge","Laboratory-based techniques for assessing the functional traits of biocrusts",2016,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-016-2870-9","https://scholar.google.com/scholar?cites=10206035794664903456&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 08:55:41","HTML","10.1007/s11104-016-2870-9","","",,,,,42,5.25,21,2,8,"… Given the paucity of quantitative biocrust functional trait data, we measured eight quantitative functional traits for a range of relatively common taxa that are major components of biocrust …","https://link.springer.com/article/10.1007/s11104-016-2870-9","https://scholar.google.com/scholar?q=related:IFPsOXsfo40J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22functional+trait%22&hl=en&as_sdt=2007"
4,"L Concostrina‐Zubiri, M Prieto, P Hurtado…","Functional diversity regulates the effects of habitat degradation on biocrust phylogenetic and taxonomic diversities",2022,"Ecological …","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/eap.2599","https://scholar.google.com/scholar?cites=13684670183643325656&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 08:55:41","","10.1002/eap.2599","","",,,,,4,2.00,1,4,2,"… of biocrust communities. These findings suggest that habitat degradation shape biocrust biodiversity via functional trait … the functional diversity facet of biocrusts communities to better …","https://scholar.google.com/scholar?output=instlink&q=info:2KRwDAe36b0J:scholar.google.com/&hl=en&as_sdt=2007&scillfp=14340218327152786458&oi=lle","https://scholar.google.com/scholar?q=related:2KRwDAe36b0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22functional+trait%22&hl=en&as_sdt=2007"
10,"DJ Eldridge, M Mallen-Cooper, J Ding","Biocrust functional traits reinforce runon-runoff patchiness in drylands",2021,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706121002329","https://scholar.google.com/scholar?cites=5313624591227541887&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 08:55:41","","","","",,,,,10,3.33,3,3,3,"… of biocrusts. Overall, our study indicates that the functional attributes of biocrusts align with … Functional trait information was available for 21 of the resulting 25 taxa, representing 98% …","http://aridecologylab.com.au/pubs/Eldridge_Geoderma%202021.pdf","https://scholar.google.com/scholar?q=related:f9nltWnJvUkJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22functional+trait%22&hl=en&as_sdt=2007"
41,"S Soliveres, DJ Eldridge","Dual community assembly processes in dryland biocrust communities",2020,"Functional Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13521","https://scholar.google.com/scholar?cites=5267727812594381415&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 08:55:41","","10.1111/1365-2435.13521","","",,,,,41,10.25,21,2,4,"… For the functional diversity metrics, we used a reduced database of the 23 taxa for which we had functional trait data. Finally, to assess the interactions among different biocrust species, …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.13521","https://scholar.google.com/scholar?q=related:ZzIiM4m6GkkJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22functional+trait%22&hl=en&as_sdt=2007"
18,"J Raggio, A Green, A Pintado, LG Sancho…","Functional performance of biocrusts across Europe and its implications for drylands",2021,"Journal of Arid …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0140196320303013","https://scholar.google.com/scholar?cites=9781683300150882589&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 08:55:41","","","","",,,,,18,6.00,4,5,3,"… This research highlighted similarities and differences for key functional traits between some (in some cases all) of the four research sites, with the underlying functional trait being …","","https://scholar.google.com/scholar?q=related:HTHdyiKFv4cJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22functional+trait%22&hl=en&as_sdt=2007"
41,"KK Deane-Coe, D Stanton","Functional ecology of cryptogams: scaling from bryophyte, lichen, and soil crust traits to ecosystem processes",2017,"New Phytologist","JSTOR","https://www.jstor.org/stable/newphytologist.213.3.993","https://scholar.google.com/scholar?cites=18240530458912089176&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-18 08:55:41","PDF","","","",,,,,41,5.86,21,2,7,"… Bryophytes in particular can dominate in forest understories, dryland biocrusts, and peatlands, making cryptogams particularly important in our understanding of the functional trait …","https://www.jstor.org/stable/newphytologist.213.3.993","https://scholar.google.com/scholar?q=related:WOQlVs9hI_0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22functional+trait%22&hl=en&as_sdt=2007"
3,"MJ Bustos, IA Garibotti, N Cech, MC Navarro…","Microhabitat-specific differences on the composition and function of biological soil crust communities",2022,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-022-05556-5","https://scholar.google.com/scholar?cites=13996343267753000043&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 08:55:41","HTML","10.1007/s11104-022-05556-5","","",,,,,3,1.50,1,5,2,"… greater attention for improving BSC functional-trait analyses in diverse natural communities. … likely contributed to reduce water infiltration in biocrusts with the presence of B. argenteum. …","https://link.springer.com/article/10.1007/s11104-022-05556-5","https://scholar.google.com/scholar?q=related:a_zY1AsAPcIJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22functional+trait%22&hl=en&as_sdt=2007"
29,"SC Reed, M Delgado-Baquerizo, S Ferrenberg","Biocrust science and global change",2019,"The New Phytologist","JSTOR","https://www.jstor.org/stable/26759454","https://scholar.google.com/scholar?cites=2487781026911136733&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 08:55:41","","","","",,,,,29,5.80,10,3,5,"… , phylogenetic, and functional traits provides new avenues for considering how biocrusts work and how they respond to change. For example, functional trait diversity and composition …","https://www.jstor.org/stable/pdf/26759454","https://scholar.google.com/scholar?q=related:3av-w6lfhiIJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22functional+trait%22&hl=en&as_sdt=2007"
