Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
9,"S Li, F Sun, S Chamizo, B Xiao","Towards moss-dominated biocrust effects on soil temperature across seasons in drylands: Insight from continuous measurements of soil thermal properties and solar …",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S001670612200218X","https://scholar.google.com/scholar?cites=2865133962421217111&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 08:31:16","","","","",,,,,9,4.50,2,4,2,"… Especially, biocrusts decreased α by 32.1% (0.19 vs. 0.28) and G (… , biocrusts greatly increased T by 1.7 ℃ (up to 4.5 C; P <0.001) on average. In conclusion, moss-dominated biocrusts …","","https://scholar.google.com/scholar?q=related:VycGoCgAwycJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
11,"S Li, MA Bowker, S Chamizo, B Xiao","Effects of moss biocrusts on near-surface soil moisture are underestimated in drylands: Insights from a heat-pulse soil moisture sensor",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706122000702","https://scholar.google.com/scholar?cites=16648537959913028337&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 08:31:16","","","","",,,,,11,5.50,3,4,2,"… without rainfall, but the biocrusts increased θ by 0.05–… biocrusts and bare soil are mostly underestimated by common dielectric sensors compared to HP sensors. Therefore, biocrusts …","https://www.sciencedirect.com/science/article/am/pii/S0016706122000702","https://scholar.google.com/scholar?q=related:8fo4GhF9C-cJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
0,"B Palmer, N Pietrasiak, P Cobb, D Lipson","Using simulated wildland fire to assess microbial survival at multiple depths from biocrust and bare soils",2023,"Frontiers in Microbiology","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmicb.2023.1123790/full","",3,"2024-07-22 08:31:16","HTML","10.3389/fmicb.2023.1123790","","",,,,,0,0.00,0,4,1,"… A blowtorch may more closely model a wildland fire than a similar temperature in the muffler furnace due to the difference in heat conduction. Before the burn, the samples were moved …","https://www.frontiersin.org/articles/10.3389/fmicb.2023.1123790/full","https://scholar.google.com/scholar?q=related:_ejKu96ErTQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
11,"C Guan, N Chen, L Qiao, C Zhao","Photosynthesis regulates the diel hysteresis pattern between soil respiration and soil temperature in a steppe grassland",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706121006418","https://scholar.google.com/scholar?cites=14812446737431581072&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 08:31:16","","","","",,,,,11,5.50,3,4,2,"… at bare and biocrusted microsites at diurnal scales and (ii) evaluate the effect of biocrusts, soil … We hypothesized that biocrusts may modulate the response of soil respiration to soil …","","https://scholar.google.com/scholar?q=related:kNEA99NhkM0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
100,"B Xiao, YG Zhao, MA Shao","Characteristics and numeric simulation of soil evaporation in biological soil crusts",2010,"Journal of arid environments","Elsevier","https://www.sciencedirect.com/science/article/pii/S0140196309001852","https://scholar.google.com/scholar?cites=14919708241200325772&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 08:31:16","","","","",,,,,100,7.14,33,3,14,"It is commonly believed that biological soil crusts may affect soil evaporation rates and consequently relieve or aggravate the shortage of soil water in arid and semiarid regions. …","","https://scholar.google.com/scholar?q=related:jKQ27ZhzDc8J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
3,"X Zhao, M Zhao, P Wang, Y Dai, W Pu…","Influence of surface roughness on the development of moss-dominated biocrusts on mountainous rock-cut slopes in West Sichuan, China",2023,"Journal of Mountain …","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11629-023-7958-0&casa_token=hl2pvmCuoF0AAAAA:9pFk2oG_wtZl_CBs1IQYPYejZVCiVulMnuNwF7fv37PASMSQ8UDQDmDmteEfccKHL0x09A_sz4JVJAEE_w","https://scholar.google.com/scholar?cites=6421863502081598410&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 08:31:16","","10.1007/s11629-023-7958-0","","",,,,,3,3.00,1,6,1,"… nutrient contents of soils within the biocrusts were measured in the western mountainous … biocrusts. The results showed that three main factors affecting the development of the biocrusts …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/content/pdf/10.1007/s11629-023-7958-0.pdf&casa_token=kasAvdIm9SgAAAAA:BhDNBlRfMT4bDDYG5lBMz5Cw0w5-dbW2r6OG3OKbyfkdzfVVvkNoTaujgpXJ3Fudb4Ht4HThxPF_3JScZw","https://scholar.google.com/scholar?q=related:yqOepdQKH1kJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
8,"GJ Kidron, R Kronenfeld, B Xiao","Why dew and fog measurements carried out by microlysimeters do not adequately reflect the intact soil? The role of temperature",2021,"Agricultural and Forest Meteorology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0168192321003348","https://scholar.google.com/scholar?cites=9092286853963938293&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 08:31:16","","","","",,,,,8,2.67,3,3,3,"… , slowing down heat conduction. Alternatively, similar thermal heat conduction of metal and soil … of the non-rainfall water to the plant rhizosphere or biocrusts is prone to large errors. …","","https://scholar.google.com/scholar?q=related:9Xl5frhKLn4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
0,"H Xiao, Z Liu, J Wan, J Chen, Y Shi","Experimental Study of the Soil Water Dissipation Law of Vegetated Slopes under Natural Evaporation Conditions",2024,"Applied Sciences","mdpi.com","https://www.mdpi.com/2076-3417/14/3/1105","",8,"2024-07-22 08:31:16","HTML","","","",,,,,0,0.00,0,5,1,"… influence soil water content through heat conduction. However, the correlation between solar radiation and soil water dissipation is lower due to delayed heat conduction in air and soil, …","https://www.mdpi.com/2076-3417/14/3/1105","https://scholar.google.com/scholar?q=related:WEtHrV4IL4gJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
2,"YF Chang","Hypercycle of geoscience, nonlinear whole geoscience and possible entropy decrease",2023,"World Journal of Geomatics and Geosciences","scipublications.com","https://www.scipublications.com/journal/index.php/wjgg/article/view/523","https://scholar.google.com/scholar?cites=14325143493910157184&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 08:31:16","HTML","","","",,,,,2,2.00,2,1,1,"… Biological soil crusts (biocrusts) cover ~12% of the global land surface. Rodriguez-Caballero, et … In geoscience heat conduction and the thermal stress still holds. From Eq.(8) the energy …","https://www.scipublications.com/journal/index.php/wjgg/article/view/523","https://scholar.google.com/scholar?q=related:gFcDHxwizcYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
10,"Y Wang, H Sayit, A Mamtimin, J Zhu, C Zhou…","Evaluation of five planetary boundary layer schemes in WRF over China's largest semi-fixed desert",2021,"Atmospheric …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0169809521001198","https://scholar.google.com/scholar?cites=279940308992273989&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 08:31:16","","","","",,,,,10,3.33,2,6,3,"PBL parameterization schemes play an important role in numerical weather prediction models. We evaluated the applicability of five such schemes in China's Gurbantünggüt Desert …","","https://scholar.google.com/scholar?q=related:RS7MUzqM4gMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
0,"D Su, J Zhou, H Feng, R Li, X Zheng, Y Zhu, X Han…","Distribution and transformation characteristics of water vapor field in the fissured rock mass and its ecological significance",2024,"Journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169424001793","",11,"2024-07-22 08:31:16","","","","",,,,,0,0.00,0,8,1,"… Moreover, temperature variations at different depths had a hysteretic nature because of the limited velocity of heat conduction in rocks, and the deeper the depth, the longer the lag time. …","","https://scholar.google.com/scholar?q=related:zd2-fxr9_WoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
5,"S Sun, D Verseghy","Introducing water-stressed shrubland into the Canadian Land Surface Scheme",2019,"Journal of Hydrology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169419308923","https://scholar.google.com/scholar?cites=187360876435395676&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-22 08:31:16","","","","",,,,,5,1.00,3,2,5,"… All soil layers experience moisture phase change as well as internal energy change caused by soil heat conduction and/or soil water mass loss/gain. The shortwave radiation absorbed …","","https://scholar.google.com/scholar?q=related:XNS8dLmjmQIJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
5,"M Li, T Liu, L Duan, L Ma, Y Wang, Y Zhou, Y Li…","Hydrologic gradient changes of soil respiration in typical steppes of Eurasia",2021,"Science of The Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969721037566","https://scholar.google.com/scholar?cites=13728721851970721432&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-22 08:31:16","","","","",,,,,5,1.67,1,8,3,"… In the middle growing season, when increasing rain slowly improved M S , the specific heat capacity of sand increased and the heat conduction ability of SD decreased, and R S is more …","https://drive.google.com/file/d/1L-hYbLvzLiATnItFZJ7X2HkZkOpejs5Y/view","https://scholar.google.com/scholar?q=related:mJbbVsk3hr4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22heat+conduction%22&hl=en&as_sdt=2007"
