Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
45,"L Wang, G Zhang, L Zhu, H Wang","Biocrust wetting induced change in soil surface roughness as influenced by biocrust type, coverage and wetting patterns",2017,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706116310448","https://scholar.google.com/scholar?cites=6841213954682452834&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 09:55:32","","","","",,,,,45,6.43,11,4,7,"… biocrust coverage influences biocrust WIR in two biocrust types; (2) determine the changing trend of WIR after biocrust … The detected biocrust swelling height in this study is in agreement …","","https://scholar.google.com/scholar?q=related:YvtKcdjf8F4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+height&hl=en&as_sdt=2007"
13,"J Caster, TT Sankey, JB Sankey, MA Bowker…","Biocrust and the soil surface: influence of climate, disturbance, and biocrust recovery on soil surface roughness",2021,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706121004493","https://scholar.google.com/scholar?cites=12933899392901633002&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 09:55:32","","","","",,,,,13,4.33,3,5,3,"… soil surface roughness evolves with biocrust recovery. For objective 1, we found that undisturbed cool desert biocrust was up to three times rougher than hot desert biocrust. Much of the …","https://www.sciencedirect.com/science/article/am/pii/S0016706121004493","https://scholar.google.com/scholar?q=related:6tOKmvhwfrMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+height&hl=en&as_sdt=2007"
120,"AM Faist, JE Herrick, J Belnap, JW Van Zee…","Biological soil crust and disturbance controls on surface hydrology in a semi‐arid ecosystem",2017,"…","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.1691","https://scholar.google.com/scholar?cites=12432919054983183852&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 09:55:32","","10.1002/ecs2.1691","","",,,,,120,17.14,24,5,7,"… heights at 20 different locations along the bridge, and photographed. The standard deviation of the pin drop heights … for biocrust type and treatment blocked by plot for each biocrust type …","https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1691","https://scholar.google.com/scholar?q=related:7D11EQKaiqwJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+height&hl=en&as_sdt=2007"
49,"E Rodríguez-Caballero, MÁ Aguilar, YC Castilla…","Swelling of biocrusts upon wetting induces changes in surface micro-topography",2015,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071714004246","https://scholar.google.com/scholar?cites=10826450807977469814&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 09:55:32","","","","",,,,,49,5.44,12,4,9,"… According with our initial hypothesis, an increase in surface height and surface roughness up to 0.24 and 0.20 mm respectively was observed in more developed lichen biocruts, under …","","https://scholar.google.com/scholar?q=related:due8G6ZHP5YJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+height&hl=en&as_sdt=2007"
28,"K Yang, Y Zhao, L Gao, H Sun, K Gu","Nonlinear response of hydrodynamic and soil erosive behaviors to biocrust coverage in drylands",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706121005371","https://scholar.google.com/scholar?cites=5740872919729162816&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 09:55:32","","","","",,,,,28,14.00,6,5,2,"… to biocrust coverage. The runoff rates and sediment yield decreased with increasing biocrust … The runoff rate and sediment yield rate from the plot with 9.3% biocrust coverage were 3.2 …","","https://scholar.google.com/scholar?q=related:QModCYGtq08J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+height&hl=en&as_sdt=2007"
28,"CF Read, J Elith, PA Vesk","Testing a model of biological soil crust succession",2016,"Journal of vegetation science","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.12332","https://scholar.google.com/scholar?cites=11802912226326334418&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 09:55:32","","10.1111/jvs.12332","","",,,,,28,3.50,9,3,8,"… Here, we address knowledge gaps in biocrust ecology with a hierarchical regression model … Life-form attributes such as height, degree of attachment to soil and structural openness may …","https://www.jstor.org/stable/pdf/43915482.pdf?casa_token=tEPEiDe9f7AAAAAA:_yQE1nJJaRI9misZymaR-qbQZ7-VWUChXxVHRjuBq5tVvC0UK19O0iSSsTM268PV_qwzQY_6hLkHlp3k_XEtrLAKthP_wn_u3dA0wJpfFp68LD42gAiC","https://scholar.google.com/scholar?q=related:0stLpSJezKMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+height&hl=en&as_sdt=2007"
29,"Y Su, YW Chen, FM Padilla, Y Zhang…","The influence of biocrusts on the spatial pattern of soil bacterial communities: A case study at landscape and slope scales",2020,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071720300183","https://scholar.google.com/scholar?cites=11815707737335605636&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 09:55:32","","","","",,,,,29,7.25,6,5,4,"… Environmental and biocrust development variables … limitation on the bacterial communities in biocrusts. In addition, the … Our study implies that soil attributes and biocrust development …","","https://scholar.google.com/scholar?q=related:hCm5tZXT-aMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+height&hl=en&as_sdt=2007"
69,"L Gao, MA Bowker, H Sun, J Zhao, Y Zhao","Linkages between biocrust development and water erosion and implications for erosion model implementation",2020,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706119311218","https://scholar.google.com/scholar?cites=16401853390482083097&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 09:55:32","","","","",,,,,69,17.25,14,5,4,"… biocrusts on water erosion and the relationship between this predictor and water erosion is the key to solving this problem. Accordingly, we sampled 20 undisturbed biocrust … of biocrust …","http://skl.iswc.cas.cn/zhxw/xslw/202004/P020200416408454978659.pdf","https://scholar.google.com/scholar?q=related:GY24BcIWn-MJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+height&hl=en&as_sdt=2007"
207,"L Gao, MA Bowker, M Xu, H Sun, D Tuo…","Biological soil crusts decrease erodibility by modifying inherent soil properties on the Loess Plateau, China",2017,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071716305077","https://scholar.google.com/scholar?cites=12440307772653716037&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 09:55:32","","","","",,,,,207,29.57,35,6,7,"… The height of the rainfall simulator nozzle was 16 m, which can achieve the terminal speed of … biocrust types, especially moss biocrust, than either the bare soil or the soils underlying …","http://skl.iswc.cas.cn/zhxw/xslw/201802/P020180228615011333183.pdf","https://scholar.google.com/scholar?q=related:RUKO9QHapKwJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+height&hl=en&as_sdt=2007"
121,"MA Bowker, FT Maestre, D Eldridge, J Belnap…","Biological soil crusts (biocrusts) as a model system in community, landscape and ecosystem ecology",2014,"Biodiversity and …","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10531-014-0658-x&casa_token=DXDyJWuFFXEAAAAA:WYWt9_heX0XnU6J52MSTTIwoY3Kerj5gPsrTpSG1pQULTDiUTFbfHXyEYvXoR3S2NqVdI9VtJ_E2kNxing","https://scholar.google.com/scholar?cites=4180286917852879968&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 09:55:32","HTML","10.1007/s10531-014-0658-x","","",,,,,121,12.10,24,5,10,"… biocrusts) have unique combinations of these features that should be more widely exploited in community, landscape and ecosystem ecology. In community ecology, biocrusts … biocrusts …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10531-014-0658-x&casa_token=DXDyJWuFFXEAAAAA:WYWt9_heX0XnU6J52MSTTIwoY3Kerj5gPsrTpSG1pQULTDiUTFbfHXyEYvXoR3S2NqVdI9VtJ_E2kNxing","https://scholar.google.com/scholar?q=related:YFzVvc1cAzoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+height&hl=en&as_sdt=2007"
