Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
7,"M Mallen‐Cooper, WK Cornwell","Tissue chemistry of biocrust species along an aridity gradient and comparison to vascular plant leaves",2021,"Functional Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13903","https://scholar.google.com/scholar?cites=4067184045249334327&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 11:58:00","","10.1111/1365-2435.13903","","",,,,,7,2.33,4,2,3,"… 21 abundant biocrust taxa in the drylands of south-eastern Australia, (b) compare biocrust tissue chemistry with vascular leaf traits and (c) examine relationships between biocrust tissue …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.13903","https://scholar.google.com/scholar?q=related:Nww5HVeKcTgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+mass%22&hl=en&as_sdt=2007"
7,"R Ochoa-Hueso, T Mondragon-Cortés…","Nitrogen deposition reduces the cover of biocrust-forming lichens and soil pigment content in a semiarid Mediterranean shrubland",2017,"… Science and Pollution …","Springer","https://link.springer.com/article/10.1007/s11356-017-0482-4","https://scholar.google.com/scholar?cites=643443359370340501&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 11:58:00","HTML","10.1007/s11356-017-0482-4","","",,,,,7,1.00,2,3,7,"… biocrust responses to N; however, in autumn 2008, biocrust cover and physiology was still tightly linked to natural variations in the soil environment and shrub cover at the study site (…","https://link.springer.com/article/10.1007/s11356-017-0482-4","https://scholar.google.com/scholar?q=related:lWhahFP47QgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+mass%22&hl=en&as_sdt=2007"
2,"JA Olarra","Biological soil crusts in forested ecosystems of southern Oregon: Presence, abundance and distribution across climate gradients",2012,"","ir.library.oregonstate.edu","https://ir.library.oregonstate.edu/concern/graduate_thesis_or_dissertations/76537443d","https://scholar.google.com/scholar?cites=10290358709915067032&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 11:58:00","","","","",,,,,2,0.17,2,1,12,"… The study of arid biocrusts and their ecological function has become increasingly common … Through the use a parallel logic, this study finds that biocrusts do indeed exist in forests, a …","https://ir.library.oregonstate.edu/downloads/db78tg19p","https://scholar.google.com/scholar?q=related:mKLV27myzo4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+mass%22&hl=en&as_sdt=2007"
80,"S Ferrenberg, AM Faist, A Howell, SC Reed","Biocrusts enhance soil fertility and Bromus tectorum growth, and interact with warming to influence germination",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-017-3525-1","https://scholar.google.com/scholar?cites=2329463827057764344&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 11:58:00","HTML","10.1007/s11104-017-3525-1","","",,,,,80,13.33,20,4,6,"… Using mesocosms with bare soil versus biocrust cover, we germinated B. tectorum seeds … We characterized biocrust influences on soil fertility and grass germination, morphology, …","https://link.springer.com/article/10.1007/s11104-017-3525-1","https://scholar.google.com/scholar?q=related:-GfmOALrUyAJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+mass%22&hl=en&as_sdt=2007"
52,"TGA Green, MCF Proctor","Physiology of photosynthetic organisms within biological soil crusts: their adaptation, flexibility, and plasticity",2016,"Biological soil crusts: an organizing principle in …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-30214-0_18","https://scholar.google.com/scholar?cites=17674769689599642345&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 11:58:00","","10.1007/978-3-319-30214-0_18","","",,,,,52,6.50,26,2,8,"… There is a wide range in leaf mass of biocrust lichens per square meter (mass per area : LMA) from 310 g for Collema cristatum to 2000 g for Diploschistes diacapsis (Table 18.1). …","","https://scholar.google.com/scholar?q=related:6YptQ2NlSfUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+mass%22&hl=en&as_sdt=2007"
0,"JB Cellini","The relationship between invasive annual grasses and biological soil crust across Eastern Washington",2016,"","dc.ewu.edu","https://dc.ewu.edu/theses/391/","",6,"2024-07-18 11:58:00","","","","",,,,,0,0.00,0,1,8,"… of biocrust and Ventenata dubia change over time (3 years), and 3) determine the effects of trampling on biocrust … dubia biomass, relative growth rate, specific leaf area, leaf mass ratio, …","https://dc.ewu.edu/cgi/viewcontent.cgi?article=1391&context=theses","https://scholar.google.com/scholar?q=related:OU_K2AKBd70J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+mass%22&hl=en&as_sdt=2007"
15,"FT Maestre, DJ Eldridge, N Gross…","The BIODESERT survey: Assessing the impacts of grazing on the structure and functioning of global drylands",2022,"Web …","we.copernicus.org","https://we.copernicus.org/articles/22/75/2022/","https://scholar.google.com/scholar?cites=4815250910787089143&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 11:58:00","HTML","","","",,,,,15,7.50,4,4,2,"… by annual plants or biocrusts as bare soil (but with a cover of annuals or biocrusts) because our … This gave us a measure of fresh leaf mass. It is critical that any excess water is removed …","https://we.copernicus.org/articles/22/75/2022/","https://scholar.google.com/scholar?q=related:9zLX6TA100IJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+mass%22&hl=en&as_sdt=2007"
0,"K van Zuijlen","Functional traits and decomposition of lichens, bryophytes and vascular plants in an alpine ecosystem",2019,"","nmbu.brage.unit.no","https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/2652804","",8,"2024-07-18 11:58:00","","","","",,,,,0,0.00,0,1,5,"… height, estimated the cover of biological soil crust (biocrust), litter, and bare rock, and … The cover of biocrust, litter and bare rock were all highest at 1600 m asl with 4.8, 5.4 and 4.4…","https://nmbu.brage.unit.no/nmbu-xmlui/bitstream/handle/11250/2652804/104327%20NMBU%20Zuijlen%20finished.pdf?sequence=1","https://scholar.google.com/scholar?q=related:dHt9Nez3UWUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+mass%22&hl=en&as_sdt=2007"
198,"FT Maestre, BM Benito, M Berdugo…","Biogeography of global drylands",2021,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.17395","https://scholar.google.com/scholar?cites=7888708820939086987&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 11:58:00","","10.1111/nph.17395","","",,,,,198,66.00,50,4,3,"… We also address the biogeography of biocrusts, another fundamental biotic component of drylands whose biogeography has been little studied (García-Pichel et al., 2013; Bowker et al., …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/nph.17395","https://scholar.google.com/scholar?q=related:i5yQYOBSem0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+mass%22&hl=en&as_sdt=2007"
30,"MA Akram, X Wang, W Hu, J Xiong, Y Zhang, Y Deng…","Convergent variations in the leaf traits of desert plants",2020,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/9/8/990","https://scholar.google.com/scholar?cites=4056423257771183916&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 11:58:00","HTML","","","",,,,,30,7.50,4,7,4,"… A strong relationship among different traits of the leaf, such as leaf mass area (LMA) and life span (LLS), is considered as a variation spectrum among species that shows leaf structural …","https://www.mdpi.com/2223-7747/9/8/990","https://scholar.google.com/scholar?q=related:LI8VCnZPSzgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+mass%22&hl=en&as_sdt=2007"
