Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
56,"E Rodríguez-Caballero, T Knerr, B Weber","Importance of biocrusts in dryland monitoring using spectral indices",2015,"Remote Sensing of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S003442571530122X","https://scholar.google.com/scholar?cites=15423498022594312747&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 11:08:37","","","","",,,,,56,6.22,19,3,9,"… Similar to the NDVI and EVI, relative importance of biocrust effects on albedo, when compared with vegetation effects, increase as leaf thickness and light absorption decrease from …","","https://scholar.google.com/scholar?q=related:K3qs_rtFC9YJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+thickness%22&hl=en&as_sdt=2007"
0,"K van Zuijlen","Functional traits and decomposition of lichens, bryophytes and vascular plants in an alpine ecosystem",2019,"","nmbu.brage.unit.no","https://nmbu.brage.unit.no/nmbu-xmlui/handle/11250/2652804","",2,"2024-07-18 11:08:37","","","","",,,,,0,0.00,0,1,5,"… height, estimated the cover of biological soil crust (biocrust), litter, and bare rock, and … The cover of biocrust, litter and bare rock were all highest at 1600 m asl with 4.8, 5.4 and 4.4…","https://nmbu.brage.unit.no/nmbu-xmlui/bitstream/handle/11250/2652804/104327%20NMBU%20Zuijlen%20finished.pdf?sequence=1","https://scholar.google.com/scholar?q=related:dHt9Nez3UWUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+thickness%22&hl=en&as_sdt=2007"
1,"Y Chen, J Wang, L Jiang, H Li, H Wang…","Prediction of spatial distribution characteristics of ecosystem functions based on a minimum data set of functional traits of desert plants",2023,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fpls.2023.1131778/full","https://scholar.google.com/scholar?cites=9801139929925661303&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 11:08:37","HTML","10.3389/fpls.2023.1131778","","",,,,,1,1.00,0,6,1,"… The results showed that the wMDS included plant height, specific leaf area, leaf dry weight, leaf water content, diameter at breast height (DBH), leaf width, and leaf thickness, and the …","https://www.frontiersin.org/articles/10.3389/fpls.2023.1131778/full","https://scholar.google.com/scholar?q=related:d7IdbdakBIgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+thickness%22&hl=en&as_sdt=2007"
10,"MA Akram, X Wang, N Shrestha, Y Zhang, Y Sun…","Variations and driving factors of leaf functional traits in the dominant desert plant species along an environmental gradient in the drylands of China",2023,"Science of the Total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969723040172","https://scholar.google.com/scholar?cites=3097660315796478159&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 11:08:37","","","","",,,,,10,10.00,2,6,1,"… (LCC), leaf nitrogen concentration (LNC), leaf phosphorus concentration (LPC), specific leaf area (SLA), leaf dry matter content (LDMC), leaf mass per area (LMA), leaf thickness (LTH), …","","https://scholar.google.com/scholar?q=related:z5jfJaUZ_SoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+thickness%22&hl=en&as_sdt=2007"
0,"G Hao, N Yang, X Chen, Z Du, M Li, L Chen…","Nitrogen enrichment decrease green roof multifunctionality",2024,"Urban Forestry &Urban …","Elsevier","https://www.sciencedirect.com/science/article/pii/S161886672400030X","",5,"2024-07-18 11:08:37","","","","",,,,,0,0.00,0,7,1,"… In addition, we found that resource conservation traits (eg, high leaf thickness and low specific root length) have greater green roof multifunctionality. Overall, our findings indicate that …","","https://scholar.google.com/scholar?q=related:m5aFzcWIDMUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+thickness%22&hl=en&as_sdt=2007"
0,"D Wang, W Xie, X Lin, F Li, C Deng, X Zeng…","Multifaceted leaf litter traits shape soil fauna communities: Evidence from subtropical monocultural plantations",2024,"Forest Ecology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0378112724002779","",6,"2024-07-18 11:08:37","","","","",,,,,0,0.00,0,7,1,"The important role of litter traits in shaping soil fauna communities has been increasingly acknowledged. It remains uncertain how fauna community features are associated with multiple …","","https://scholar.google.com/scholar?q=related:KB3xZuWDC9kJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+thickness%22&hl=en&as_sdt=2007"
21,"IS Jonsdottir, AH Halbritter…","Intraspecific trait variability is a key feature underlying high Arctic plant community resistance to climate warming",2023,"Ecological …","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecm.1555","https://scholar.google.com/scholar?cites=3996603901885877840&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 11:08:37","","10.1002/ecm.1555","","",,,,,21,21.00,7,3,1,"… nine reflected the leaf economics spectrum (SLA, leaf thickness, leaf dry matter content [LDMC], … Three measurements of leaf thickness per sample were taken, when possible, using a …","https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecm.1555","https://scholar.google.com/scholar?q=related:UA7Z5xLKdjcJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+thickness%22&hl=en&as_sdt=2007"
2,"V Vandvik, AH Halbritter, IHJ Althuizen…","Plant traits and associated data from a warming experiment, a seabird colony, and along elevation in Svalbard",2023,"Scientific Data","nature.com","https://www.nature.com/articles/s41597-023-02467-7","https://scholar.google.com/scholar?cites=9303901126395375072&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-18 11:08:37","HTML","","","",,,,,2,2.00,1,4,1,"… Vascular plant leaf thickness. Leaf thickness was measured at three locations on each leaf blade with a digital caliper (Mitutoyo 293–348), and the average was calculated for further …","https://www.nature.com/articles/s41597-023-02467-7","https://scholar.google.com/scholar?q=related:4C0nwMcYHoEJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+thickness%22&hl=en&as_sdt=2007"
36,"ML Slate, TN Rosenstiel, SM Eppley","Sex-specific morphological and physiological differences in the moss Ceratodon purpureus (Dicranales)",2017,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/120/5/845/3947929","https://scholar.google.com/scholar?cites=4292901723867819430&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 11:08:37","","","","",,,,,36,5.14,12,3,7,"… In addition to impacts on water relations and reproduction, differences in leaf thickness between the sexes could also influence how the sexes interact with the biotic community. In …","https://academic.oup.com/aob/article/120/5/845/3947929","https://scholar.google.com/scholar?q=related:pq3Ngl9zkzsJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+thickness%22&hl=en&as_sdt=2007"
1,"I Prieto, L León-Sánchez, E Nicolás, P Nortes…","Warming reduces both photosynthetic nutrient use efficiency and water use efficiency in Mediterranean shrubsWarming reduces nutrient use efficiency",2023,"Environmental and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0098847223001260","https://scholar.google.com/scholar?cites=16357394514954309594&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 11:08:37","HTML","","","",,,,,1,1.00,0,5,1,"… Leaf thickness and leaf area had positive effects on stomatal … via negative effects of warming on both leaf thickness (β = −0.14, p … Within this second pathway, leaf thickness had negative …","https://www.sciencedirect.com/science/article/pii/S0098847223001260","https://scholar.google.com/scholar?q=related:2k_GaqUjAeMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22leaf+thickness%22&hl=en&as_sdt=2007"
