Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
120,"AM Faist, JE Herrick, J Belnap, JW Van Zee…","Biological soil crust and disturbance controls on surface hydrology in a semi‐arid ecosystem",2017,"…","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.1691","https://scholar.google.com/scholar?cites=12432919054983183852&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 08:43:49","","10.1002/ecs2.1691","","",,,,,120,17.14,24,5,7,"… successional light cyanobacterial biocrusts reduced … light biocrust when compared to the intact controls but runoff in the trampling treatments was not significantly reduced. Light biocrust …","https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1691","https://scholar.google.com/scholar?q=related:7D11EQKaiqwJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+light&hl=en&as_sdt=2007"
2,"X Ma, Y Zhao, K Yang, J Ming, Y Qiao, M Xu, X Pan","Long-term light grazing does not change soil organic carbon stability and stock in biocrust layer in the hilly regions of drylands",2023,"Journal of Arid Land","Springer","https://link.springer.com/article/10.1007/s40333-023-0064-x","https://scholar.google.com/scholar?cites=4449484886617825503&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 08:43:49","","10.1007/s40333-023-0064-x","","",,,,,2,2.00,0,7,1,"… , we obtained data on biocrust attributes (cover, … biocrust layer, to conduct this study. Our results revealed that grazing did not change total biocrust cover but markedly altered biocrust …","https://link.springer.com/content/pdf/10.1007/s40333-023-0064-x.pdf","https://scholar.google.com/scholar?q=related:3yBTFO6-vz0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+light&hl=en&as_sdt=2007"
128,"MA Bowker, SC Reed, FT Maestre, DJ Eldridge","Biocrusts: the living skin of the earth",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-018-3735-1","https://scholar.google.com/scholar?cites=18057733237281181467&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 08:43:49","HTML","10.1007/s11104-018-3735-1","","",,,,,128,21.33,32,4,6,"… exhibit lower moisture optima, higher temperature optima, and higher light saturation points, but moss biocrusts are opposite in all of these response traits. These response traits may be …","https://link.springer.com/article/10.1007/s11104-018-3735-1","https://scholar.google.com/scholar?q=related:G8_okLT0mfoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+light&hl=en&as_sdt=2007"
188,"S Chamizo, Y Cantón, E Rodríguez‐Caballero…","Biocrusts positively affect the soil water balance in semiarid ecosystems",2016,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1719","https://scholar.google.com/scholar?cites=6249584039716228512&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 08:43:49","","10.1002/eco.1719","","",,,,,188,23.50,47,4,8,"… biocrusts; (2) a light-coloured early-successional cyanobacteria biocrust (referred to hereafter as ‘light … a dark-coloured late-successional cyanobacteria biocrust (referred to hereafter as ‘…","https://digital.csic.es/bitstream/10261/345133/1/Chamizoetal2016_Ecohydrol.pdf","https://scholar.google.com/scholar?q=related:oI08iZL7ulYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+light&hl=en&as_sdt=2007"
29,"A Tamm, J Caesar, N Kunz, C Colesie…","Ecophysiological properties of three biological soil crust types and their photoautotrophs from the Succulent Karoo, South Africa",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-018-3635-4","https://scholar.google.com/scholar?cites=1448191192956242541&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 08:43:49","HTML","10.1007/s11104-018-3635-4","","",,,,,29,4.83,6,5,6,"… the points for water and light compensation, light saturation, and water … biocrust types and their photoautotrophic components. CO 2 gas exchange measurements under varying light …","https://link.springer.com/article/10.1007/s11104-018-3635-4","https://scholar.google.com/scholar?q=related:bYoBlzcCGRQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+light&hl=en&as_sdt=2007"
142,"B Weber, J Belnap, B Büdel, AJ Antoninka…","What is a biocrust? A refined, contemporary definition for a broadening research community",2022,"Biological …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12862","https://scholar.google.com/scholar?cites=4296002332732371180&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 08:43:49","","10.1111/brv.12862","","",,,,,142,71.00,28,5,2,"… We are also unaware of any examples of hydric soils supporting biocrusts; normally such soils … such that insufficient light reaches the soil surface to support the growth of biocrusts. …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/brv.12862","https://scholar.google.com/scholar?q=related:7DDDRFx3njsJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+light&hl=en&as_sdt=2007"
32,"F Rossi, G Mugnai, R De Philippis","Cyanobacterial biocrust induction: a comprehensive review on a soil rehabilitation-effective biotechnology",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706122000738","https://scholar.google.com/scholar?cites=3979475280743328571&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 08:43:49","","","","",,,,,32,16.00,11,3,2,"… communities known as biocrusts, which are recognized as ecosystem engineers in drylands. Due to their important natural ecological role, the artificial onset of biocrusts contributes to …","","https://scholar.google.com/scholar?q=related:O2snBa_vOTcJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+light&hl=en&as_sdt=2007"
0,"LA Condon, R Rosentreter, KE Veblen, PS Coates","Season of grazing interacts with soil texture, selecting for associations of biocrust morphogroups",2024,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706124000120","",8,"2024-07-18 08:43:49","HTML","","","",,,,,0,0.00,0,4,1,"… light algal crusts make up greater proportions of biocrusts in … , although morphogroups of biocrusts respond differently to … of biocrusts, we could expect to see greater cover of biocrusts …","https://www.sciencedirect.com/science/article/pii/S0016706124000120","https://scholar.google.com/scholar?q=related:H_Uj1M8fAu0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+light&hl=en&as_sdt=2007"
25,"KE Young, S Ferrenberg, R Reibold, SC Reed…","Vertical movement of soluble carbon and nutrients from biocrusts to subsurface mineral soils",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706121005759","https://scholar.google.com/scholar?cites=1570241866710546386&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 08:43:49","","","","",,,,,25,12.50,5,5,2,"… Nutrient pools below biocrusts are similar between light and … Here we examined the role of biocrust leachate in … We collected biocrusts from three biocrust successional stages and …","https://www.sciencedirect.com/science/article/am/pii/S0016706121005759","https://scholar.google.com/scholar?q=related:0ne6hKieyhUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+light&hl=en&as_sdt=2007"
10,"W She, N Chen, Y Zhang, S Qin, Y Bai…","Precipitation and nitrogen deposition alter biocrust–vascular plant coexistence in a desert ecosystem: threshold and mechanisms",2022,"Journal of …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13834","https://scholar.google.com/scholar?cites=11000059154368700083&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 08:43:49","","10.1111/1365-2745.13834","","",,,,,10,5.00,2,6,2,"… Collectively, our results suggest that nitrogen-induced toxicity and light limitation jointly contributed to the decline in biocrust cover, and if these nitrogen effects were to continue, the …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2745.13834","https://scholar.google.com/scholar?q=related:sx5uJIUPqJgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+light&hl=en&as_sdt=2007"
