Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
23,"KE Young, MA Bowker, SC Reed…","Temporal and abiotic fluctuations may be preventing successful rehabilitation of soil‐stabilizing biocrust communities",2019,"Ecological …","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/eap.1908?casa_token=V_d9CuWTa0oAAAAA:bMpZPnurIoQ3uDahDn53v3XlCExcmo5e3RK_w9kku_B7hTK2ylURYWA90GOJT7x1CmV7_wjgPbJF5lNP","https://scholar.google.com/scholar?cites=2105849384498859214&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 08:41:23","","10.1002/eap.1908","","",,,,,23,4.60,6,4,5,"… To determine if our addition of biocrust inoculum resulted in the increased presence of biocrust in our plots, biocrust percent cover was measured using a point–intercept method within …","https://esajournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eap.1908?casa_token=RAAHsl9SBPIAAAAA:lUZKQBsDsEFfAecKlaC4nDeIJfhw4HletdTQO8yr-0KyAchjYGkqNhu748WcHUTgP-omYB3FyoX-yQQ-","https://scholar.google.com/scholar?q=related:zoyHodt6OR0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"KE Young, SC Reed, M Morton…","Inoculated biocrust cover and functions diverged over a gradient of soil textures and water availability",2024,"Restoration Ecology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.14125","",2,"2024-07-22 08:41:23","","10.1111/rec.14125","","",,,,,0,0.00,0,4,1,"… After 4 months of growth, we measured biocrust percent cover by morphological groups and two metrics of biocrust function, nitrogenase activity, and soil stability (Evans &Ehleringer …","","https://scholar.google.com/scholar?q=related:cx2ENTb1Ii0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22percent+cover%22&hl=en&as_sdt=2007"
23,"RA Durham, KD Doherty, AJ Antoninka, PW Ramsey…","Insolation and disturbance history drive biocrust biodiversity in Western Montana rangelands",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-018-3725-3","https://scholar.google.com/scholar?cites=11126257116111371405&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 08:41:23","HTML","10.1007/s11104-018-3725-3","","",,,,,23,3.83,5,5,6,"… We collected percent cover and species composition for bryophytes and lichens, and also used these data to estimate species richness as the number of detected species. Within each …","https://link.springer.com/article/10.1007/s11104-018-3725-3","https://scholar.google.com/scholar?q=related:jfx6zeVnaJoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"LA Condon, R Rosentreter, KE Veblen, PS Coates","Season of grazing interacts with soil texture, selecting for associations of biocrust morphogroups",2024,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706124000120","",4,"2024-07-22 08:41:23","HTML","","","",,,,,0,0.00,0,4,1,"… Litter is in percent cover. Six plots were surveyed and are presented by the numbers 1–6. Surveys were conducted in four bins and numbered sequentially with the following distances …","https://www.sciencedirect.com/science/article/pii/S0016706124000120","https://scholar.google.com/scholar?q=related:H_Uj1M8fAu0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22percent+cover%22&hl=en&as_sdt=2007"
24,"ML Slate, RA Durham, DE Pearson","Strategies for restoring the structure and function of lichen‐moss biocrust communities",2020,"Restoration Ecology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.12996","https://scholar.google.com/scholar?cites=11583980191666883307&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 08:41:23","","10.1111/rec.12996","","",,,,,24,6.00,8,3,4,"… Moss biocrust percent cover was measured most recently in 2016 (A). Lichen biocrust percent cover was quantified in 2018 (B); mean ± SE. Moss and lichen cover were highest when …","https://onlinelibrary.wiley.com/doi/am-pdf/10.1111/rec.12996","https://scholar.google.com/scholar?q=related:60p3GZyQwqAJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22percent+cover%22&hl=en&as_sdt=2007"
27,"SE Fick, N Day, MC Duniway, S Hoy‐Skubik…","Microsite enhancements for soil stabilization and rapid biocrust colonization in degraded drylands",2020,"Restoration …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.13071","https://scholar.google.com/scholar?cites=7356834812187076673&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 08:41:23","","10.1111/rec.13071","","",,,,,27,6.75,5,5,4,"… This process was repeated for six samples of inoculum stock to find the average percent cover for each biological type. A species accumulation curve was used to estimate the efficiency …","https://fickse.github.io/files/Fick_Restoration_Ecology_2019.pdf","https://scholar.google.com/scholar?q=related:QWijk0i6GGYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22percent+cover%22&hl=en&as_sdt=2007"
12,"AC Letendre, DS Coxson, KJ Stewart","Restoration of ecosystem function by soil surface inoculation with biocrust in mesic and xeric alpine ecosystems",2019,"Ecological Restoration","er.uwpress.org","https://er.uwpress.org/content/37/2/101.short","https://scholar.google.com/scholar?cites=1799093959625878484&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-22 08:41:23","","","","",,,,,12,2.40,4,3,5,"… Soil properties and biocrust percent cover were analyzed using ANOVA and Tukey HSD post-hoc tests. All statistical analyses were conducted in R version 3.3.1 (R Core Team, 2014). …","https://muse.jhu.edu/article/725210/pdf?casa_token=AczB0xLCpm8AAAAA:6aaLHux1Quf-n3h2s39p2zpQ8QZ4-sKtnN_LUTeNlpINWeobS5pmtT9jWskFA-MZvqu7ghqx9fs","https://scholar.google.com/scholar?q=related:1CsNnWyq9xgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22percent+cover%22&hl=en&as_sdt=2007"
21,"LM Baldarelli, HL Throop, SL Collins, D Ward","Nutrient additions have direct and indirect effects on biocrust biomass in a long-term Chihuahuan Desert grassland experiment",2021,"Journal of Arid …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0140196320302160","https://scholar.google.com/scholar?cites=13090146114094381659&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 08:41:23","","","","",,,,,21,7.00,5,4,3,"… a distinct difference between biocrusts and vascular plants with regard to percent cover. For … they have outcompeted biocrusts for nutrient resources and space. Biocrusts may dominate …","https://par.nsf.gov/servlets/purl/10253345","https://scholar.google.com/scholar?q=related:WzqORImKqbUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22percent+cover%22&hl=en&as_sdt=2007"
0,"NA Katz","COVER AND COMPOSITION OF BIOLOGICAL SOIL CRUST VARY AS A FUNCTION OF DISTURBANCE DUE TO LIVESTOCK IN A SONORAN DESERT …",2022,"","repository.arizona.edu","https://repository.arizona.edu/handle/10150/665798","",9,"2024-07-22 08:41:23","","","","",,,,,0,0.00,0,1,2,"… Logit-transformed percent cover of biocrusts increased with distance from water tanks linear regression with pasture as a random factor. Colors correspond to pastures: blue = 5S, red = …","https://repository.arizona.edu/bitstream/handle/10150/665798/azu_etd_hr_2022_0059_sip1_m.pdf?sequence=1","https://scholar.google.com/scholar?q=related:f1CiErXxETcJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22percent+cover%22&hl=en&as_sdt=2007"
37,"HT Root, JED Miller, R Rosentreter","Grazing disturbance promotes exotic annual grasses by degrading soil biocrust communities",2020,"Ecological Applications","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/eap.2016?casa_token=v0FDGWvEIgwAAAAA:TBcICYlyDaECAr6VKp3dV5SIKIdwmd-DJlsb0efCa57ZVUViogy_bb8rSqjUfj3ZyD9_yW2mYVAkLvOt","https://scholar.google.com/scholar?cites=11419032207333692317&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 08:41:23","","10.1002/eap.2016","","",,,,,37,9.25,12,3,4,"… by reducing biocrust cover. We present some of the first evidence that biocrusts increase site … We also recorded total percent cover of biocrust lichens and bryophytes, and vascular plant …","https://esajournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eap.2016?casa_token=o6jJsB-NgfkAAAAA:M5qshlwMpga4oRtmRawNlfVT9uRzd-p-0i2MJmiRbSwYojHQ54XdiD5aseNQo7H1p6m3qN5t5Uu0luFb","https://scholar.google.com/scholar?q=related:nZPevEqNeJ4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22percent+cover%22&hl=en&as_sdt=2007"
