Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
15,"J Raggio, TG Allan Green, A Pintado, LG Sancho…","Environmental determinants of biocrust carbon fluxes across Europe: possibilities for a functional type approach",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-018-3646-1","https://scholar.google.com/scholar?cites=10736280616101074878&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 11:58:59","HTML","10.1007/s11104-018-3646-1","","",,,,,15,2.50,3,5,6,"… (exception being Almería), despite major differences in their photosynthetic tissue structure. This supports treating these biocrusts as a single functional type regardless as to whether …","https://link.springer.com/article/10.1007/s11104-018-3646-1","https://scholar.google.com/scholar?q=related:vtedS1bu_pQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
8,"E Dettweiler-Robinson","Biocrust carbon isotope signature was depleted under a C3 forb compared to interspace",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-017-3558-5","https://scholar.google.com/scholar?cites=4645660719573401314&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 11:58:59","HTML","10.1007/s11104-017-3558-5","","",,,,,8,1.33,8,1,6,"… Plants and biological soil crusts (biocrusts) are the key producers in drylands, but biocrusts seldom show net CO 2 uptake. I hypothesized that biocrusts could augment CO 2 fixation by …","https://link.springer.com/article/10.1007/s11104-017-3558-5","https://scholar.google.com/scholar?q=related:4n4oic-zeEAJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"B Büdel, J Raggio Quílez, TGA Green…","Environmental determinants of biocrust carbon fluxes across Europe: possibilities for a functional type approach",2018,"","docta.ucm.es","https://docta.ucm.es/entities/publication/7cf546ec-90d1-4121-9df0-996b52e41400","",3,"2024-07-18 11:58:59","","","","",,,,,0,0.00,0,4,6,"… (exception being Almería), despite major differences in their photosynthetic tissue structure. This supports treating these biocrusts as a single functional type regardless as to whether …","https://docta.ucm.es/bitstreams/82ce20e1-96fd-43d3-81e2-66ca23401a2a/download","https://scholar.google.com/scholar?q=related:n8C5ctuXQOUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
1,"E Dettweiler-Robinson","Plant-biocrust interactions mediated by the fungal loop",2016,"","search.proquest.com","https://search.proquest.com/openview/f75c6ac36b709dfd94c5a55690af55b8/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?cites=466530962658266685&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 11:58:59","HTML","","","",,,,,1,0.13,1,1,8,"… of plant-derived carbon into biocrusts, and the role of soil fungi in promoting performance of plants and biocrusts. Biocrusts responded to temperature and moisture differently by biome. …","https://search.proquest.com/openview/f75c6ac36b709dfd94c5a55690af55b8/1?pq-origsite=gscholar&cbl=18750","https://scholar.google.com/scholar?q=related:PY73UXBzeQYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"MCR Faiffer","From community to transcriptome: Responses of Syntrichia caninervis and biocrusts to climate change",2021,"","search.proquest.com","https://search.proquest.com/openview/0c2d284527d373373ec228a4db8f6205/1?pq-origsite=gscholar&cbl=18750&diss=y","",5,"2024-07-18 11:58:59","HTML","","","",,,,,0,0.00,0,1,3,"… disturbance impacts across organizational scales in biocrusts, examining the responses of the … Biological soil crust or biocrust is a major component of drylands globally. These soil …","https://search.proquest.com/openview/0c2d284527d373373ec228a4db8f6205/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:K6-IrKVbx-EJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"MH Marand","Cryptic Biodiversity of Arid-Land Fungi: Fungal Associates of Biocrusts, Lichens and Plants",2023,"","search.proquest.com","https://search.proquest.com/openview/d4afc81a4fd66dedac2368356e41e9f8/1?pq-origsite=gscholar&cbl=18750&diss=y","",6,"2024-07-18 11:58:59","HTML","","","",,,,,0,0.00,0,1,1,"… Photosynthetic tissue samples were cut into approximately 1-2mm pieces and surface-sterilized via manual rinsing in tap water, 95% ETOH for 10s, 0.5%NaOCl for 2 minutes, and 70% …","https://search.proquest.com/openview/d4afc81a4fd66dedac2368356e41e9f8/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:9Lolzr-lHbAJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"S Collins, A Montesinos-Navarro, D Bustos…","Plant Species Effect on Biocrust Communities Across a Gradient of Gypsum Soil Stability",,"Available at SSRN …","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4628472","",7,"2024-07-18 11:58:59","","","","",,,,,0,0.00,0,4,,"… biocrusts; ii) the north-aspect would predominate biocrust types that are 21 sensitive to insolation, such as chlorolichens and mosses; iii) biocrusts … sensitive photosynthetic tissue (Frey …","","https://scholar.google.com/scholar?q=related:vE8RGBSA0z0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
17,"KK Coe, NB Howard, ML Slate…","Morphological and physiological traits in relation to carbon balance in a diverse clade of dryland mosses",2019,"Plant, Cell & …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/pce.13613","https://scholar.google.com/scholar?cites=12910933310441424752&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-18 11:58:59","","10.1111/pce.13613","","",,,,,17,3.40,4,4,5,"… photosynthetic tissue for each culture plate was photographed at approximately 200× magnification and used for measuring the aerial view if the sample's photosynthetic tissue … biocrust …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/pce.13613","https://scholar.google.com/scholar?q=related:cIee13DZLLMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
56,"C Colesie, VJMNL Felde, B Büdel","Composition and macrostructure of biological soil crusts",2016,"… soil crusts: An organizing principle in …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-30214-0_9","https://scholar.google.com/scholar?cites=17251253977835566968&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 11:58:59","","10.1007/978-3-319-30214-0_9","","",,,,,56,7.00,19,3,8,"… their complex thalli have almost all of their photosynthetic tissue on or above the soil surface. The above-surface thalli create roughness of the biocrusts’ surface. In addition, capping of …","","https://scholar.google.com/scholar?q=related:ePfufhfEaO8J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
5,"MJ McTavish, HA Cray, SD Murphy, JT Bauer…","Sustainable management of grassland soils",2021,"Soils and landscape …","Elsevier","https://www.sciencedirect.com/science/article/pii/B9780128131930000047","https://scholar.google.com/scholar?cites=6560636978243416418&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 11:58:59","","","","",,,,,5,1.67,1,5,3,"… biocrust degradation, it is clear that biocrust considerations should be incorporated into sustainable management plans to mitigate losses of biocrust … to preserve biocrust contributions to …","https://www.researchgate.net/profile/Emma-Sayer/publication/346490380_Sustainable_management_of_grassland_soils/links/5fe09dab45851553a0dbc1b2/Sustainable-management-of-grassland-soils.pdf","https://scholar.google.com/scholar?q=related:YrF9bJIQDFsJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"DA Escolástico-Ortiz, C Blasi, JP Bellenger, N Derome…","Differentially abundant bacteria drive the N2-fixation of a widespread moss in the forest-tundra transition zone",2023,"Symbiosis","Springer","https://link.springer.com/article/10.1007/s13199-023-00930-y","",11,"2024-07-18 11:58:59","HTML","10.1007/s13199-023-00930-y","","",,,,,0,0.00,0,5,1,"… We cut the brown tissue excess in the shoots’ basal section and kept the photosynthetic tissue and the brown basal part. Acetylene gas was produced by combining 25 ml of H 2 O and …","https://link.springer.com/article/10.1007/s13199-023-00930-y","https://scholar.google.com/scholar?q=related:SMChDL75EtQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"E Rodriguez-Caballero, E Guirado…","Biocrust spectral response as affected by changing climatic conditions",2017,"EGU General …","ui.adsabs.harvard.edu","https://ui.adsabs.harvard.edu/abs/2017EGUGA..1918670R/abstract","",12,"2024-07-18 11:58:59","","","","",,,,,0,0.00,0,3,7,"… The results showed that biocrust and vegetation greenness … However, biocrusts responded faster to water availability and … However, once the photosynthetic tissue of vegetation was …","","https://scholar.google.com/scholar?q=related:faTRXrZkongJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
594,"JS Sperry","Evolution of water transport and xylem structure",2003,"International Journal of Plant Sciences","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/368398","https://scholar.google.com/scholar?cites=17471426589826258229&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-18 11:58:59","","10.1086/368398","","",,,,,594,28.29,594,1,21,"… Land plants need water to replace the evaporation that occurs while atmospheric CO 2 is diffusing into photosynthetic tissue. The water‐for‐carbon exchange rate is poor, and …","https://www.jstor.org/stable/pdf/10.1086/368398.pdf","https://scholar.google.com/scholar?q=related:NZXoder5dvIJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
1,"TBB Bishop, IM Errigo","Using sUAV imagery to map litter of invasive annual grass in dry environmental conditions",2023,"Ecological Indicators","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X22012286","https://scholar.google.com/scholar?cites=15976982616146766545&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-18 11:58:59","HTML","","","",,,,,1,1.00,1,2,1,"… Utilizing sUAV increases access to measure plant communities and areas with biocrusts … annuals based on litter rather than just photosynthetic tissue, therefore, indicates the possibility …","https://www.sciencedirect.com/science/article/pii/S1470160X22012286","https://scholar.google.com/scholar?q=related:0eoEKgqlud0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"KK Coe, N Neumeister, MI Gomez…","Carbon balance: A technique to assess comparative photosynthetic physiology in poikilohydric plants",2024,"Applications in Plant …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/aps3.11585","",15,"2024-07-18 11:58:59","","10.1002/aps3.11585","","",,,,,0,0.00,0,4,1,"Premise Poikilohydric plants respond to hydration by undergoing dry–wet–dry cycles. Carbon balance represents the net gain or loss of carbon from each cycle. Here we present the …","https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/aps3.11585","https://scholar.google.com/scholar?q=related:F22_NBRfa6MJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
0,"KW Davies, CS Boyd, JD Bates, LN Svejcar…","Ecological benefits of strategically applied livestock grazing in sagebrush communities",2024,"…","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.4859","",16,"2024-07-18 11:58:59","","10.1002/ecs2.4859","","",,,,,0,0.00,0,5,1,"… it decreases fire severity and, thereby, promotes biodiversity and reduces postfire annual grass invasion, fire‐induced mortality of native bunchgrasses, and fire damage to soil biocrusts. …","https://esajournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ecs2.4859","https://scholar.google.com/scholar?q=related:SHbq60XieKUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
183,"X He, KS He, J Hyvönen","Will bryophytes survive in a warming world?",2016,"Perspectives in Plant Ecology, Evolution and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S1433831916300117","https://scholar.google.com/scholar?cites=4362694925815155872&as_sdt=2005&sciodt=2007&hl=en",17,"2024-07-18 11:58:59","","","","",,,,,183,22.88,61,3,8,"… Mosses have their sporophytes developed mostly outside of the gametophytes and they have ventilated photosynthetic tissue with cuticle and stomata and a conducting strand in the …","","https://scholar.google.com/scholar?q=related:oIycpOtnizwJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
