Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
29,"A Tamm, J Caesar, N Kunz, C Colesie…","Ecophysiological properties of three biological soil crust types and their photoautotrophs from the Succulent Karoo, South Africa",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-018-3635-4","https://scholar.google.com/scholar?cites=1448191192956242541&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-17 13:45:01","HTML","10.1007/s11104-018-3635-4","","",,,,,29,4.83,6,5,6,"… DR rates of moss-dominated biocrusts tended to be higher compared to other biocrusts types (Table 2, Table S3) and displayed a strong temperature-dependent increase, similar to …","https://link.springer.com/article/10.1007/s11104-018-3635-4","https://scholar.google.com/scholar?q=related:bYoBlzcCGRQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+photosystem&hl=en&as_sdt=2007"
40,"S Gypser, WB Herppich, T Fischer, P Lange…","Photosynthetic characteristics and their spatial variance on biological soil crusts covering initial soils of post-mining sites in Lower Lusatia, NE Germany",2016,"… , Functional Ecology of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0367253016300226","https://scholar.google.com/scholar?cites=732536019616664391&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-17 13:45:01","","","","",,,,,40,5.00,8,5,8,"… efficiency of biocrusts dominated by green algae than of lichen-dominated biocrusts. The … Short-term (1 s) closure of photosystem II was induced by saturation light pulses (max. 2500 …","","https://scholar.google.com/scholar?q=related:Rwtu8qB9KgoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+photosystem&hl=en&as_sdt=2007"
11,"I Miralles, R Ortega, MC Montero-Calasanz","Studying the microbiome of cyanobacterial biocrusts from drylands and its functional influence on biogeochemical cycles",2021,"","researchsquare.com","https://www.researchsquare.com/article/rs-252045/latest","https://scholar.google.com/scholar?cites=3567009089932310891&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-17 13:45:01","","","","",,,,,11,3.67,4,3,3,"… -biocrusts it was slightly lower than in IC-biocrusts, but instead the electrical conductivity was comparatively higher in IC biocrusts than in MC biocrusts … assigned to photosystems I and II (…","https://www.researchsquare.com/article/rs-252045/latest.pdf","https://scholar.google.com/scholar?q=related:azkBVN6PgDEJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+photosystem&hl=en&as_sdt=2007"
38,"MD Serpe, E Roberts, DJ Eldridge…","Bromus tectorum litter alters photosynthetic characteristics of biological soil crusts from a semiarid shrubland",2013,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071713000497","https://scholar.google.com/scholar?cites=13304095981707916337&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-17 13:45:01","","","","",,,,,38,3.45,10,4,11,"… of biocrusts and may help to explain common observations of changes in biocrust cover and … The F v /F m ratio represents the maximum proportion of light absorbed by photosystem II …","https://scholarworks.boisestate.edu/cgi/viewcontent.cgi?article=1296&context=bio_facpubs","https://scholar.google.com/scholar?q=related:MfRmp86kobgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+photosystem&hl=en&as_sdt=2007"
19,"KK Coe, J Belnap, EE Grote…","Physiological ecology of desert biocrust moss following 10 years exposure to elevated CO2: evidence for enhanced photosynthetic thermotolerance",2012,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.2012.01566.x","https://scholar.google.com/scholar?cites=13693198155242934900&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-17 13:45:01","","10.1111/j.1399-3054.2012.01566.x","","",,,,,19,1.58,5,4,12,"… role as key components of biocrusts. Using the biocrust moss Syntrichia caninervis collected … showed higher photosynthetic performance and photosystem II (PSII) efficiency compared …","https://www.academia.edu/download/43409585/Physiological_ecology_of_desert_biocrust20160305-9576-1lomccx.pdf","https://scholar.google.com/scholar?q=related:dBJKKiwDCL4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+photosystem&hl=en&as_sdt=2007"
2,"Y Su, G Huang, J Liu","Biocrusts alleviate the aggravating C limitation in microbial respiration with increasing aridity",2023,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706122005171","https://scholar.google.com/scholar?cites=9625145114345690732&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-17 13:45:01","HTML","","","",,,,,2,2.00,1,3,1,"… ratio and qCO 2 ) properties by biocrusts, we also applied the RII index to qualify biocrusts effects on soil and microbial properties for each replicate as (R topsoil – R subsoil )/(R topsoil …","https://www.sciencedirect.com/science/article/pii/S0016706122005171","https://scholar.google.com/scholar?q=related:bFYpPHxik4UJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+photosystem&hl=en&as_sdt=2007"
12,"AD Thomas, DR Elliott, D Hardcastle, CL Strong…","Soil biocrusts affect metabolic response to hydration on dunes in west Queensland, Australia",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706121005449","https://scholar.google.com/scholar?cites=17300133983430312972&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-17 13:45:01","HTML","","","",,,,,12,6.00,2,5,2,"… Quantum yield is the most commonly used parameter in assessing the efficiency of photosystem II. Two values, Fv/Fm and Fv’/Fm’, were obtained for dark and light adapted biocrusts …","https://www.sciencedirect.com/science/article/pii/S0016706121005449","https://scholar.google.com/scholar?q=related:DAQHqTJsFvAJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+photosystem&hl=en&as_sdt=2007"
0,"G Mugnai, S Chamizo, G Certini, H Li, F Rossi…","The contribution of the phototrophic fraction in the fertility of different successional stages of induced biological soil crusts",2024,"Biology and Fertility of …","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00374-024-01840-x&casa_token=AYK3HQH4svwAAAAA:j4oVfMVmLzEVnQ9oOjubKL9j3JO76MbNcn1ucjClB8gim0qI3Ts4jrnamlhoIrE-jBLoGp93n7nKAck2oqc","",8,"2024-07-17 13:45:01","HTML","10.1007/s00374-024-01840-x","","",,,,,0,0.00,0,6,1,"… ” biocrust spatial arrangement of the biocrust mat at the topsoil, where biocrusts densely colonized by mosses or lichens are interspersed with less-developed biocrusts dominated by …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s00374-024-01840-x&casa_token=AYK3HQH4svwAAAAA:j4oVfMVmLzEVnQ9oOjubKL9j3JO76MbNcn1ucjClB8gim0qI3Ts4jrnamlhoIrE-jBLoGp93n7nKAck2oqc","https://scholar.google.com/scholar?q=related:sEIZevbQaVYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+photosystem&hl=en&as_sdt=2007"
4,"C Baubin, N Ran, H Siebner, O Gillor","The response of desert biocrust bacterial communities to hydration-desiccation cycles",2021,"SOIL Discussions","soil.copernicus.org","https://soil.copernicus.org/preprints/soil-2021-88/","https://scholar.google.com/scholar?cites=349821750293901791&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-17 13:45:01","","","","",,,,,4,1.33,1,4,3,"… predicted that increased biocrust moisture would resuscitate the phototrophs, while desiccation … moisture will lead to an inactivation of the phototrophs within the biocrust community. We …","https://soil.copernicus.org/preprints/soil-2021-88/soil-2021-88.pdf","https://scholar.google.com/scholar?q=related:3zH5SAfR2gQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+photosystem&hl=en&as_sdt=2007"
1,"M Hoellrich","Biogeochemical function and microbial diversity in Chihuahuan Desert biocrusts",2021,"","search.proquest.com","https://search.proquest.com/openview/5bd7572225979276ec776b063cc470f9/1?pq-origsite=gscholar&cbl=18750&diss=y&casa_token=Qi3gQY1vf2EAAAAA:3er5u2yYbXdatcadKXFQxfAYauLHDdvrC9YZmBbVHWNBiD8I4QqgKSd1_DNRYWPHPzSZXlqhwv_a","https://scholar.google.com/scholar?cites=2561713291569945877&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-17 13:45:01","HTML","","","",,,,,1,0.33,1,1,3,"… Microbial alpha diversity did not change significantly with increasing biocrust structural complexity. Instead, biocrust communities were unique in accordance with different parent …","https://search.proquest.com/openview/5bd7572225979276ec776b063cc470f9/1?pq-origsite=gscholar&cbl=18750&diss=y&casa_token=Qi3gQY1vf2EAAAAA:3er5u2yYbXdatcadKXFQxfAYauLHDdvrC9YZmBbVHWNBiD8I4QqgKSd1_DNRYWPHPzSZXlqhwv_a","https://scholar.google.com/scholar?q=related:FV1siKoIjSMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+photosystem&hl=en&as_sdt=2007"
