Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
12,"AD Thomas, DR Elliott, D Hardcastle, CL Strong…","Soil biocrusts affect metabolic response to hydration on dunes in west Queensland, Australia",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706121005449","https://scholar.google.com/scholar?cites=17300133983430312972&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 08:42:34","HTML","","","",,,,,12,6.00,2,5,2,"… quantum yield of hydrated shaded and unshaded biocrusts (Table 4) from T2D are shown in Fig. 3. The quantum yield of the shaded biocrust was … Generally, the biocrust quantum yield …","https://www.sciencedirect.com/science/article/pii/S0016706121005449","https://scholar.google.com/scholar?q=related:DAQHqTJsFvAJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22quantum+yield%22&hl=en&as_sdt=2007"
40,"S Gypser, WB Herppich, T Fischer, P Lange…","Photosynthetic characteristics and their spatial variance on biological soil crusts covering initial soils of post-mining sites in Lower Lusatia, NE Germany",2016,"… , Functional Ecology of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0367253016300226","https://scholar.google.com/scholar?cites=732536019616664391&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 08:42:34","","","","",,,,,40,5.00,8,5,8,"… had higher photosynthetic capacity compared to green algae-dominated biocrusts or soil … efficiency of biocrusts dominated by green algae than of lichen-dominated biocrusts. The …","https://scholar.google.com/scholar?output=instlink&q=info:Rwtu8qB9KgoJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=6428356255979949810&oi=lle","https://scholar.google.com/scholar?q=related:Rwtu8qB9KgoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22quantum+yield%22&hl=en&as_sdt=2007"
23,"TM Wertin, SL Phillips, SC Reed, J Belnap","Elevated CO2 did not mitigate the effect of a short-term drought on biological soil crusts",2012,"Biology and Fertility of Soils","Springer","https://link.springer.com/article/10.1007/s00374-012-0673-6","https://scholar.google.com/scholar?cites=7093997381580168293&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 08:42:34","HTML","10.1007/s00374-012-0673-6","","",,,,,23,1.92,6,4,12,"… In this study, we investigated how elevated CO 2 concentrations affect biocrust cover and composition, lichen quantum yield (a proxy for photosynthetic capacity), and cyanobacteria …","https://link.springer.com/article/10.1007/s00374-012-0673-6","https://scholar.google.com/scholar?q=related:ZRyjbgjxcmIJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22quantum+yield%22&hl=en&as_sdt=2007"
15,"A Kleefeld, S Gypser, WB Herppich, G Bader, M Veste","Identification of spatial pattern of photosynthesis hotspots in moss-and lichen-dominated biological soil crusts by combining chlorophyll fluorescence imaging and …",2018,"Pedobiologia","Elsevier","https://www.sciencedirect.com/science/article/pii/S003140561730269X","https://scholar.google.com/scholar?cites=13173565059626129637&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 08:42:34","","","","",,,,,15,2.50,3,5,6,"… For image analyses, five biocrust samples, representing five different biocrust types with … Therefore, it affected the effective quantum yield F v /F m and may be advantageous in …","","https://scholar.google.com/scholar?q=related:5ViDDKDn0bYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22quantum+yield%22&hl=en&as_sdt=2007"
36,"JR Román, E Rodríguez-Caballero…","Spectral response analysis: An indirect and non-destructive methodology for the chlorophyll quantification of biocrusts",2019,"Remote Sensing","mdpi.com","https://www.mdpi.com/2072-4292/11/11/1350","https://scholar.google.com/scholar?cites=17167350481936149136&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 08:42:34","HTML","","","",,,,,36,7.20,12,3,5,"… the retrieval of Chla in the biocrust should first examine the spectral response of different biocrust communities colonizing soils with different biocrust coverages and soil conditions, such …","https://www.mdpi.com/2072-4292/11/11/1350","https://scholar.google.com/scholar?q=related:kGpvik6uPu4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22quantum+yield%22&hl=en&as_sdt=2007"
1,"S Gypser, M Diez, D Boelli, M Wachendorf, M Küppers…","Monitoring of biocrust development and physiological activity in disturbed ecosystems in Central Europe",2019,"","researchgate.net","https://www.researchgate.net/profile/Maik-Veste/publication/335389977_Monitoring_of_biocrust_development_and_physiological_activity_in_disturbed_ecosystems_in_Central_Europe/links/5d626315a6fdccc32ccf7665/Monitoring-of-biocrust-development-and-physiological-activity-in-disturbed-ecosystems-in-Central-Europe.pdf","https://scholar.google.com/scholar?cites=8519971039075760496&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 08:42:34","PDF","","","",,,,,1,0.20,0,6,5,"… of the biocrusts is recorded by using a newly developed biocrust wetness sensor. … quantum yield can be related to the spatial pattern of desiccation and regeneration as well as biocrust …","https://www.researchgate.net/profile/Maik-Veste/publication/335389977_Monitoring_of_biocrust_development_and_physiological_activity_in_disturbed_ecosystems_in_Central_Europe/links/5d626315a6fdccc32ccf7665/Monitoring-of-biocrust-development-and-physiological-activity-in-disturbed-ecosystems-in-Central-Europe.pdf","https://scholar.google.com/scholar?q=related:cPm58IQEPXYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22quantum+yield%22&hl=en&as_sdt=2007"
58,"B Roncero-Ramos, JR Román…","Production of a biocrust-cyanobacteria strain (Nostoc commune) for large-scale restoration of dryland soils",2019,"Journal of Applied …","Springer","https://link.springer.com/article/10.1007/s10811-019-1749-6","https://scholar.google.com/scholar?cites=176830475031231570&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 08:42:34","HTML","10.1007/s10811-019-1749-6","","",,,,,58,11.60,19,3,5,"… , and microalgae, in communities known as biocrusts. Cyanobacteria are of interest for … The suitability of the biomass produced in different culture media for inducing biocrusts was …","https://link.springer.com/article/10.1007/s10811-019-1749-6","https://scholar.google.com/scholar?q=related:UjyzUWE6dAIJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22quantum+yield%22&hl=en&as_sdt=2007"
133,"LP Chiquoine, SR Abella, MA Bowker","Rapidly restoring biological soil crusts and ecosystem functions in a severely disturbed desert ecosystem",2016,"Ecological Applications","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/15-0973","https://scholar.google.com/scholar?cites=5015184057301484599&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-18 08:42:34","","10.1002/15-0973","","",,,,,133,16.63,44,3,8,"… Fluorescence quantum yield of Collema samples showed no significant responses to topsoil, … salvaged biocrust can be used as an inoculant to enhance biocrust reestablishment and …","https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/15-0973","https://scholar.google.com/scholar?q=related:N0SoGlSDmUUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22quantum+yield%22&hl=en&as_sdt=2007"
76,"SC Reed, FT Maestre, R Ochoa-Hueso…","Biocrusts in the context of global change",2016,"Biological soil crusts: An …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-30214-0_22","https://scholar.google.com/scholar?cites=7332505023214154659&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 08:42:34","","10.1007/978-3-319-30214-0_22","","",,,,,76,9.50,19,4,8,"… quantum yield (a proxy for photosynthetic capacity), and pigment concentrations of Mojave Desert biocrust … Lichen-effective quantum yield and biocrust pigment concentrations were …","https://drive.google.com/file/d/11UfeZgA6-uExAT1BlR2tw7y81bs6wJYT/view","https://scholar.google.com/scholar?q=related:o3NyJnhKwmUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22quantum+yield%22&hl=en&as_sdt=2007"
11,"S Lan, AD Thomas, S Tooth, L Wu, C Hu","Small-scale spatial heterogeneity of photosynthetic fluorescence associated with biological soil crust succession in the Tengger Desert, China",2019,"Microbial ecology","Springer","https://link.springer.com/article/10.1007/s00248-019-01356-0","https://scholar.google.com/scholar?cites=10778701712247791616&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 08:42:34","HTML","10.1007/s00248-019-01356-0","","",,,,,11,2.20,2,5,5,"… As an indicator of the photosynthetic activity of photosystem II (PS II), Fv/Fm represents the maximum quantum yield at which light absorbed by PS II is used for reduction of QA (primary …","https://link.springer.com/article/10.1007/s00248-019-01356-0","https://scholar.google.com/scholar?q=related:AKBsahmklZUJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22quantum+yield%22&hl=en&as_sdt=2007"
