Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
40,"P García‐Palacios, C Escolar, M Dacal…","Pathways regulating decreased soil respiration with warming in a biocrust‐dominated dryland",2018,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/gcb.14399","https://scholar.google.com/scholar?cites=14966704394847464335&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-22 08:30:24","","10.1111/gcb.14399","","",,,,,40,6.67,10,4,6,"… soil covered by biocrusts, we crossed the warming treatment with a biocrust cover treatment: low biocrust cover (areas with cover of mosses and lichens <15%) vs. high biocrust cover (…","https://repository.library.noaa.gov/view/noaa/53217/noaa_53217_DS1.pdf","https://scholar.google.com/scholar?q=related:jyspoVlqtM8J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+respiration&hl=en&as_sdt=2007"
32,"X Yao, B Xiao, GJ Kidron, K Hu","Respiration rate of moss-dominated biocrusts and their relationships with temperature and moisture in a semiarid ecosystem",2019,"Catena","Elsevier","https://www.sciencedirect.com/science/article/pii/S0341816219303376?casa_token=FPNweCMJGBcAAAAA:Z2MdOFzuqV5aCyr6PlkIceCcTD7JQ4Dyz-1dsHNYC-N2--22EpnUpel3sZW-U32QwurVP7ATdXU","https://scholar.google.com/scholar?cites=16689019038868816426&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-22 08:30:24","HTML","","","",,,,,32,6.40,8,4,5,"… In conclusion, moss biocrusts made a significant contribution to soil respiration in semiarid … communities in biocrust layer and secondly (and indirectly) due to the biocrust effects on soil …","https://www.sciencedirect.com/science/article/pii/S0341816219303376?casa_token=FPNweCMJGBcAAAAA:Z2MdOFzuqV5aCyr6PlkIceCcTD7JQ4Dyz-1dsHNYC-N2--22EpnUpel3sZW-U32QwurVP7ATdXU","https://scholar.google.com/scholar?q=related:KsKBxWROm-cJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+respiration&hl=en&as_sdt=2007"
10,"C Guan, N Chen, L Qiao, C Zhao","Contrasting effects of biological soil crusts on soil respiration in a typical steppe",2022,"Soil Biology and Biochemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071722001237","https://scholar.google.com/scholar?cites=18037373522700411274&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-22 08:30:24","","","","",,,,,10,5.00,3,4,2,"… biocrusts directly and indirectly (through soil temperature or moisture) affect soil respiration and the contributions of biocrusts … of biocrusts on soil respiration and the biocrust contribution …","","https://scholar.google.com/scholar?q=related:iiGYHaefUfoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+respiration&hl=en&as_sdt=2007"
2,"Y Su, G Huang, J Liu","Biocrusts alleviate the aggravating C limitation in microbial respiration with increasing aridity",2023,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706122005171","https://scholar.google.com/scholar?cites=9625145114345690732&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-22 08:30:24","HTML","","","",,,,,2,2.00,1,3,1,"… of C input from biocrusts to support soil microorganisms … the microbial respiration in bare ground lacking biocrusts, … by the higher microbial respiration under glucose (easily …","https://www.sciencedirect.com/science/article/pii/S0016706122005171","https://scholar.google.com/scholar?q=related:bFYpPHxik4UJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+respiration&hl=en&as_sdt=2007"
15,"Y Zhao, P Zhang","Rainfall characteristics determine respiration rate of biological soil crusts in drylands",2021,"Ecological Indicators","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X21001175","https://scholar.google.com/scholar?cites=4928241550734838274&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-22 08:30:24","HTML","","","",,,,,15,5.00,8,2,3,"… We hypothesized that: 1) Larger rainfall events lead to biocrusts C … biocrusts (moss crust) than early-successional biocrusts (algal crust). Usually, larger rainfall events lower respiration …","https://www.sciencedirect.com/science/article/pii/S1470160X21001175","https://scholar.google.com/scholar?q=related:AsreVpShZEQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+respiration&hl=en&as_sdt=2007"
7,"C Guan, P Zhang, XR Li","Responses of soil respiration with biocrust cover to water and temperature in the southeastern edge of Tengger Desert, Northwest China",2017,"Chinese Journal of Plant Ecology","researchgate.net","https://www.researchgate.net/profile/Chao-Guan-4/publication/316433451_Responses_of_soil_respiration_with_biocrust_cover_to_water_and_temperature_in_the_southeastern_edge_of_Tengger_Desert_Northwest_China/links/5f310e2ea6fdcccc43bb422a/Responses-of-soil-respiration-with-biocrust-cover-to-water-and-temperature-in-the-southeastern-edge-of-Tengger-Desert-Northwest-China.pdf","https://scholar.google.com/scholar?cites=8723654611894327300&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-22 08:30:24","PDF","","","",,,,,7,1.00,2,3,7,"… the rate of soil respiration with biocrusts to water and … biocrust dominated ecosystems. The objectives of this study were to investigate the relationships of carbon release from the biocrust…","https://www.researchgate.net/profile/Chao-Guan-4/publication/316433451_Responses_of_soil_respiration_with_biocrust_cover_to_water_and_temperature_in_the_southeastern_edge_of_Tengger_Desert_Northwest_China/links/5f310e2ea6fdcccc43bb422a/Responses-of-soil-respiration-with-biocrust-cover-to-water-and-temperature-in-the-southeastern-edge-of-Tengger-Desert-Northwest-China.pdf","https://scholar.google.com/scholar?q=related:BNgoTaalEHkJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+respiration&hl=en&as_sdt=2007"
0,"W Dou, M Delgado-Baquerizo, B Xiao","Biocrusts drive soil respiration across seasons and depths in a cold-winter desert",2024,"Soil Biology and Biochemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071724000440","",7,"2024-07-22 08:30:24","","","","",,,,,0,0.00,0,3,1,"… Biocrusts are known to regulate soil respiration in drylands. However, how biocrusts influence the changes in soil respiration … predict the impacts of biocrust development or disturbance …","https://www.researchgate.net/profile/Weiqiang-Dou-3/publication/378067605_Biocrusts_drive_soil_respiration_across_seasons_and_depths_in_a_cold-winter_desert/links/65ce1f01e51f606f9973107c/Biocrusts-drive-soil-respiration-across-seasons-and-depths-in-a-cold-winter-desert.pdf","https://scholar.google.com/scholar?q=related:dQXr-UrlzLkJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+respiration&hl=en&as_sdt=2007"
88,"C Escolar, FT Maestre, A Rey","Biocrusts modulate warming and rainfall exclusion effects on soil respiration in a semi-arid grassland",2015,"Soil Biology and Biochemistry","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071714003277","https://scholar.google.com/scholar?cites=3680002936442978171&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-22 08:30:24","","","","",,,,,88,9.78,29,3,9,"… in low biocrust cover areas. Our results highlight the importance of biocrusts as a modulator of soil respiration … when evaluating soil respiration responses to climate change in drylands. …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4405768/","https://scholar.google.com/scholar?q=related:e_8TVyz_ETMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+respiration&hl=en&as_sdt=2007"
34,"L Morillas, V Bellucco, ML Cascio, S Marras, D Spano…","Contribution of biological crust to soil CO2 efflux in a Mediterranean shrubland ecosystem",2017,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706116307674","https://scholar.google.com/scholar?cites=6692273136243205606&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-22 08:30:24","","","","",,,,,34,4.86,6,6,7,"… As biocrust respiration is highly dependent on biocrust type, our findings support that lichen-… this study reveal the potential for the biocrust respiration rates under a broad range of SWC. …","https://iris.uniss.it/retrieve/e1dc1a2d-ba68-1507-e053-3a05fe0ac7a3/Morillas%20et%20al_Postprint.pdf","https://scholar.google.com/scholar?q=related:5mWq0fW631wJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+respiration&hl=en&as_sdt=2007"
32,"C Guan, X Li, P Zhang, C Li","Effect of global warming on soil respiration and cumulative carbon release in biocrust-dominated areas in the Tengger Desert, northern China",2019,"Journal of Soils and Sediments","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11368-018-2171-4&casa_token=PU3HPIo_Q2QAAAAA:gtydiK4mIl8NOz7totMZY3NiFJfNwhqh4mL1PAdviiCMzQVNTw-FkXKtHBpH5XmdC88O447x05G530VQhA","https://scholar.google.com/scholar?cites=7364028697765738977&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-22 08:30:24","HTML","10.1007/s11368-018-2171-4","","",,,,,32,6.40,8,4,5,"… the sensitivity of soil respiration to water availability in biocrust-dominated areas in desert ecosystems, suggesting that biocrust should be considered in projections of future C budget. …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s11368-018-2171-4&casa_token=PU3HPIo_Q2QAAAAA:gtydiK4mIl8NOz7totMZY3NiFJfNwhqh4mL1PAdviiCMzQVNTw-FkXKtHBpH5XmdC88O447x05G530VQhA","https://scholar.google.com/scholar?q=related:4fkblhVJMmYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+respiration&hl=en&as_sdt=2007"
