Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
8,"C Zheng, Y Gui-de, S Qing-ye","Effects of bio-crust on soil microbial biomass and enzyme activities in copper mine tailings.",2009,"Yingyong Shengtai Xuebao","search.ebscohost.com","https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=10019332&AN=52527215&h=oyMrlORgfeWfskGQbdq%2F%2B%2BYltQmc7sMnH9rh06JN50UlqvDrGVBJzjvrv5MQuFGFtTed%2BqHvl%2BnIqxhl6BiPRg%3D%3D&crl=c","https://scholar.google.com/scholar?cites=11072053277834946333&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-17 13:34:32","","","","",,,,,8,0.53,3,3,15,"… In addition,moss rhizoid could markedly enhance the soil microbial biomass and enzyme activities in moss crust rhizoid. Key words:copper mine tailings;primary succession;bio)crust;…","","https://scholar.google.com/scholar?q=related:HSeNP8vVp5kJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rhizoid&hl=en&as_sdt=2007"
1,"J Zheng, D Zhang, H Li, C Peng, Y Liu, D Li","Rhizoid-associated cyanobacteria are the main contributors to biological nitrogen fixation in restored moss crust",2023,"Rhizosphere","Elsevier","https://www.sciencedirect.com/science/article/pii/S2452219823001556","https://scholar.google.com/scholar?cites=15694994476294913644&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-17 13:34:32","","","","",,,,,1,1.00,0,6,1,"… Biological soil crusts (biocrusts) are associations of highly … Biotic interactions affected the assemblage of biocrust … cyanobacteria were associated with moss rhizoids. The NA rates of …","","https://scholar.google.com/scholar?q=related:bL5GD1LSz9kJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rhizoid&hl=en&as_sdt=2007"
0,"KE Young, SC Reed, M Morton…","Inoculated biocrust cover and functions diverged over a gradient of soil textures and water availability",2024,"Restoration Ecology","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.14125","",3,"2024-07-17 13:34:32","","10.1111/rec.14125","","",,,,,0,0.00,0,4,1,"… We collected biocrust inoculum from a well-developed biocrust site in Fall 2014 from … We collected biocrust material by scraping biocrusts from the soil surface using a flat-bottomed …","","https://scholar.google.com/scholar?q=related:cx2ENTb1Ii0J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rhizoid&hl=en&as_sdt=2007"
3,"T Wang, Q Guo, Q Pei, W Chen, Y Wang, B Zhang, J Yu","Destruction or protection? Experimental studies on the mechanism of biological soil crusts on the surfaces of earthen sites",2023,"Catena","Elsevier","https://www.sciencedirect.com/science/article/pii/S034181622300187X","https://scholar.google.com/scholar?cites=15325526352716350275&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-17 13:34:32","","","","",,,,,3,3.00,0,7,1,"… of rhizoid anchoring was greater than that of rhizoid wedging. … rhizoid–soil composite were investigated using tensile strength tests of single rhizoids and shear strength tests of rhizoid–…","","https://scholar.google.com/scholar?q=related:Q8OLCQU1r9QJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rhizoid&hl=en&as_sdt=2007"
142,"B Weber, J Belnap, B Büdel, AJ Antoninka…","What is a biocrust? A refined, contemporary definition for a broadening research community",2022,"Biological …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12862","https://scholar.google.com/scholar?cites=4296002332732371180&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-17 13:34:32","","10.1111/brv.12862","","",,,,,142,71.00,28,5,2,"… researchers increases, along with the scope of soil communities defined as ‘biocrust’, … biocrust. In this review, we synthesize the literature with the views of new and experienced biocrust …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/brv.12862","https://scholar.google.com/scholar?q=related:7DDDRFx3njsJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rhizoid&hl=en&as_sdt=2007"
2,"CL Webber, UF Bremer, R Taghizadeh-Mehrjardi…","Biological soil crusts as a major ecosystem component in sandization areas of the Brazilian Pampa",2023,"Geoderma …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352009423000780","https://scholar.google.com/scholar?cites=12585401599966399161&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-17 13:34:32","HTML","","","",,,,,2,2.00,1,4,1,"… This study describes biocrust occurence in … biocrusts at two research sites where their presence appeared to be essential for soil protection. First, the occurrence of different biocrust …","https://www.sciencedirect.com/science/article/pii/S2352009423000780","https://scholar.google.com/scholar?q=related:uUqhKRNUqK4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rhizoid&hl=en&as_sdt=2007"
0,"J Zheng, D Zhang, H Li, C Peng, Y Liu, D Li","Rhizoid-Epiphytic Cyanobacteria are the Main Contributors to the Biological Fixation of Nitrogen in Restored Moss Crust",,"Available at SSRN 4153209","papers.ssrn.com","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4153209","",7,"2024-07-17 13:34:32","","","","",,,,,0,0.00,0,6,,"… interactions affected the assemblage of biocrusts communities and thus their 17 … the biocrust type, and are essential in shaping microbial 61 community and distribution within biocrusts …","","https://scholar.google.com/scholar?q=related:CbLP3kXFsd8J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rhizoid&hl=en&as_sdt=2007"
10,"DJ Eldridge, M Mallen-Cooper, J Ding","Biocrust functional traits reinforce runon-runoff patchiness in drylands",2021,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706121002329","https://scholar.google.com/scholar?cites=5313624591227541887&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-17 13:34:32","","","","",,,,,10,3.33,3,3,3,"… to each of our biocrust taxa based on five functional traits: rooting (bryophyte rhizoids, lichen … to the lowest point reached by a rhizine or rhizoid. The biomass trait is a new addition to the …","http://aridecologylab.com.au/pubs/Eldridge_Geoderma%202021.pdf","https://scholar.google.com/scholar?q=related:f9nltWnJvUkJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rhizoid&hl=en&as_sdt=2007"
8,"A Gholamhosseinian, A Sepehr…","Biological soil crusts to keep soil alive, rehabilitate degraded soil, and develop soil habitats",2021,"Microbial Polymers …","Springer","https://link.springer.com/chapter/10.1007/978-981-16-0045-6_13","https://scholar.google.com/scholar?cites=10117244656237949697&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-17 13:34:32","","10.1007/978-981-16-0045-6_13","","",,,,,8,2.67,3,3,3,"… Biocrusts play an important role in ecological remediation to increase soil water, dust capture, … structure called the rhizoid, which consists of several brownish-red cells (Fig. 13.2c). …","https://www.researchgate.net/profile/Atoosa-Gholamhosseinian/publication/351333405_Biological_Soil_Crusts_to_Keep_Soil_Alive_Rehabilitate_Degraded_Soil_and_Develop_Soil_Habitats/links/6092380ea6fdccaebd093b78/Biological-Soil-Crusts-to-Keep-Soil-Alive-Rehabilitate-Degraded-Soil-and-Develop-Soil-Habitats.pdf","https://scholar.google.com/scholar?q=related:ATPIUGmsZ4wJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rhizoid&hl=en&as_sdt=2007"
0,"X Duan, J Li, W He, J Huang, W Xiong, S Chi…","Microbial diversity and their extracellular enzyme activities among different soil particle sizes in mossy biocrust under N limitation in the southeastern Tengger …",2024,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmicb.2024.1328641/full","",10,"2024-07-17 13:34:32","HTML","10.3389/fmicb.2024.1328641","","",,,,,0,0.00,0,7,1,"… We aimed to investigate the impact of mossy biocrust rhizoid soil, as well as the mossy biocrust layer and sublayer soil, on microbial community structure, diversity, and soil extracellular …","https://www.frontiersin.org/articles/10.3389/fmicb.2024.1328641/full","https://scholar.google.com/scholar?q=related:lQqmav9GTaQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rhizoid&hl=en&as_sdt=2007"
