Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
51,"I Miralles, ML de Guevara, S Chamizo…","Soil CO2 exchange controlled by the interaction of biocrust successional stage and environmental variables in two semiarid ecosystems",2018,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071718301767","https://scholar.google.com/scholar?cites=17449362080086743665&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 10:25:35","","","","",,,,,51,8.50,13,4,6,"… biocrusts and underlying soils was also higher than from early successional biocrusts, so both biocrust … the whole soil profile under biocrusts with their associated microbial communities …","https://repositorio.ual.es/bitstream/handle/10835/15358/1-s2.0-S0038071718301767-main.pdf?sequence=1","https://scholar.google.com/scholar?q=related:cdq9dFyWKPIJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rubisco&hl=en&as_sdt=2007"
27,"Q Wang, Q Zhang, Y Han, D Zhang, CC Zhang…","Carbon cycle in the microbial ecosystems of biological soil crusts",2022,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071722001869","https://scholar.google.com/scholar?cites=10663266187799937719&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 10:25:35","","","","",,,,,27,13.50,5,6,2,"… collections of four types of biocrusts revealed a low abundance of … Co-occurrence networks revealed that C-cycle in biocrusts … and regulatory mechanisms in biocrust succession, and …","","https://scholar.google.com/scholar?q=related:t8I_9RmI-5MJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rubisco&hl=en&as_sdt=2007"
19,"KK Coe, J Belnap, EE Grote…","Physiological ecology of desert biocrust moss following 10 years exposure to elevated CO2: evidence for enhanced photosynthetic thermotolerance",2012,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.2012.01566.x","https://scholar.google.com/scholar?cites=13693198155242934900&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 10:25:35","","10.1111/j.1399-3054.2012.01566.x","","",,,,,19,1.58,5,4,12,"In arid regions, biomes particularly responsive to climate change, mosses play an important biogeochemical role as key components of biocrusts. Using the biocrust moss Syntrichia …","https://www.academia.edu/download/43409585/Physiological_ecology_of_desert_biocrust20160305-9576-1lomccx.pdf","https://scholar.google.com/scholar?q=related:dBJKKiwDCL4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rubisco&hl=en&as_sdt=2007"
11,"I Miralles, R Ortega, MC Montero-Calasanz","Studying the microbiome of cyanobacterial biocrusts from drylands and its functional influence on biogeochemical cycles",2021,"","researchsquare.com","https://www.researchsquare.com/article/rs-252045/latest","https://scholar.google.com/scholar?cites=3567009089932310891&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 10:25:35","","","","",,,,,11,3.67,4,3,3,"… the oxygenation reaction of Rubisco [132] and carboxysome synthesis, the protein macrostructures developed by cyanobacteria to contain Rubisco at high CO2 concentrations at cell …","https://www.researchsquare.com/article/rs-252045/latest.pdf","https://scholar.google.com/scholar?q=related:azkBVN6PgDEJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rubisco&hl=en&as_sdt=2007"
39,"F Bastida, N Jehmlich, S Ondoño, M von Bergen…","Characterization of the microbial community in biological soil crusts dominated by Fulgensia desertorum (Tomin) Poelt and Squamarina cartilaginea (With.) P. James …",2014,"Soil Biology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0038071714001643","https://scholar.google.com/scholar?cites=14328615130751465177&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 10:25:35","","","","",,,,,39,3.90,8,5,10,"… origin of RuBisCO peptides that were found uniquely in one of the biocrusts. This analysis … In the case of F-BSC, eight RuBisCO peptides were found solely in this biocrust. A BLASTp …","","https://scholar.google.com/scholar?q=related:2Xa6j4t32cYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rubisco&hl=en&as_sdt=2007"
18,"K Zhao, B Zhang, J Li, B Li, Z Wu","The autotrophic community across developmental stages of biocrusts in the Gurbantunggut Desert",2021,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S001670612100001X","https://scholar.google.com/scholar?cites=7579828617052616797&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 10:25:35","","","","",,,,,18,6.00,4,5,3,"… biocrust succession have not been revealed. In this study, we investigated the autotrophic communities in bare sand and three biocrust … carboxylase/oxygenase (RuBisCO) large subunit…","","https://scholar.google.com/scholar?q=related:XfjCsff1MGkJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rubisco&hl=en&as_sdt=2007"
43,"KK Coe, JP Sparks, J Belnap","Physiological ecology of dryland biocrust mosses",2013,"… in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_16","https://scholar.google.com/scholar?cites=482322560319715201&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 10:25:35","","10.1007/978-94-007-6988-5_16","","",,,,,43,3.91,14,3,11,"… The role of Rubisco activase, however, in thermotolerance of biocrust mosses has received very little attention, yet could be equally important in protecting photosynthesis under high …","https://www.researchgate.net/profile/Kirsten-Deane-Coe/publication/264788490_Physiological_Ecology_of_Dryland_Biocrust_Mosses/links/53f0cc2f0cf2711e0c431225/Physiological-Ecology-of-Dryland-Biocrust-Mosses.pdf","https://scholar.google.com/scholar?q=related:gXcDK9CNsQYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rubisco&hl=en&as_sdt=2007"
0,"K Coe","Physiological Ecology Of Biocrust Mosses Under Global Change: Implications For Dryland Biogeochemistry",2012,"","ecommons.cornell.edu","https://ecommons.cornell.edu/bitstream/1813/31079/1/kkc32.pdf","",8,"2024-07-18 10:25:35","PDF","","","",,,,,0,0.00,0,1,12,"… The role of Rubisco activase, however, in thermotolerance of biocrust mosses has received very little attention, yet could be equally important in protecting photosynthesis under high …","https://ecommons.cornell.edu/bitstream/1813/31079/1/kkc32.pdf","https://scholar.google.com/scholar?q=related:T95jGS50f5gJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rubisco&hl=en&as_sdt=2007"
215,"EE Grote, J Belnap, DC Housman…","Carbon exchange in biological soil crust communities under differential temperatures and soil water contents: implications for global change",2010,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2010.02201.x","https://scholar.google.com/scholar?cites=16480561350230185246&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 10:25:35","","10.1111/j.1365-2486.2010.02201.x","","",,,,,215,15.36,54,4,14,"… Biological soil crusts (biocrusts) are an integral part of the … /lichen and moss dominated) biocrusts of the cool Colorado … The results of this study suggest biocrusts are capable of CO 2 …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2486.2010.02201.x","https://scholar.google.com/scholar?q=related:HpWA8zq3tuQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rubisco&hl=en&as_sdt=2007"
9,"C Tian, J Pang, C Bu, S Wu, H Bai, Y Li, Q Guo…","The microbiomes in lichen and moss biocrust contribute differently to carbon and nitrogen cycles in arid ecosystems",2023,"Microbial Ecology","Springer","https://link.springer.com/article/10.1007/s00248-022-02077-7","https://scholar.google.com/scholar?cites=16422479745959744353&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 10:25:35","","10.1007/s00248-022-02077-7","","",,,,,9,9.00,1,8,1,"… biocrust than lichen biocrust, while Proteobacteria and Cyanobacteria were more abundant in lichen biocrust than moss biocrust. … microbiomes of the two biocrust types. However, in the …","https://search.proquest.com/openview/e415bc90efbd671bc8137fd103686f5e/1?pq-origsite=gscholar&cbl=54028","https://scholar.google.com/scholar?q=related:YVP6pFFe6OMJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+rubisco&hl=en&as_sdt=2007"
