Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
128,"MA Bowker, SC Reed, FT Maestre, DJ Eldridge","Biocrusts: the living skin of the earth",2018,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-018-3735-1","https://scholar.google.com/scholar?cites=18057733237281181467&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-17 13:31:47","HTML","10.1007/s11104-018-3735-1","","",,,,,128,21.33,32,4,6,"… The classification and extraction methods they present offer a means to improve our understanding of how biocrusts stabilize soil. In addition to soil stabilization, biocrusts affect the …","https://link.springer.com/article/10.1007/s11104-018-3735-1","https://scholar.google.com/scholar?q=related:G8_okLT0mfoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+soil&hl=en&as_sdt=2007"
142,"B Weber, J Belnap, B Büdel, AJ Antoninka…","What is a biocrust? A refined, contemporary definition for a broadening research community",2022,"Biological …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/brv.12862","https://scholar.google.com/scholar?cites=4296002332732371180&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-17 13:31:47","","10.1111/brv.12862","","",,,,,142,71.00,28,5,2,"… biocrusts as a community of organisms dwelling on the soil … of hydric soils supporting biocrusts; normally such soils either … reaches the soil surface to support the growth of biocrusts. …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/brv.12862","https://scholar.google.com/scholar?q=related:7DDDRFx3njsJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+soil&hl=en&as_sdt=2007"
177,"CR Kuske, CM Yeager, S Johnson, LO Ticknor…","Response and resilience of soil biocrust bacterial communities to chronic physical disturbance in arid shrublands",2012,"The ISME …","academic.oup.com","https://academic.oup.com/ismej/article-abstract/6/4/886/7590007","https://scholar.google.com/scholar?cites=17227711008221287672&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-17 13:31:47","","","","",,,,,177,14.75,35,5,12,"… remove ∼5 g of surface soil (0–1 cm) (containing either intact biocrust or trampled surface soil). Sub-biocrust soils were collected by removing the biocrust and scooping 5 g of sample …","https://www.nature.com/articles/ismej2011153.pdf","https://scholar.google.com/scholar?q=related:-NQduuIfFe8J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+soil&hl=en&as_sdt=2007"
188,"S Chamizo, Y Cantón, E Rodríguez‐Caballero…","Biocrusts positively affect the soil water balance in semiarid ecosystems",2016,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1719","https://scholar.google.com/scholar?cites=6249584039716228512&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-17 13:31:47","","10.1002/eco.1719","","",,,,,188,23.50,47,4,8,"… of biocrusts in the soil water balance, by examining their influence on infiltration, evaporation and soil … Our results show that biocrust infiltration was higher in flat soils with sandy loam …","https://digital.csic.es/bitstream/10261/345133/1/Chamizoetal2016_Ecohydrol.pdf","https://scholar.google.com/scholar?q=related:oI08iZL7ulYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+soil&hl=en&as_sdt=2007"
86,"A Antoninka, A Faist…","Biological soil crusts in ecological restoration: emerging research and perspectives",2020,"Restoration …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/rec.13201","https://scholar.google.com/scholar?cites=4483933946740031951&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-17 13:31:47","","10.1111/rec.13201","","",,,,,86,21.50,29,3,4,"… (2019) found that straw borders did stabilize soil and did not inhibit biocrust development, perhaps because of the larger perimeter of plots used in this study. As previously employed by …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/rec.13201","https://scholar.google.com/scholar?q=related:z0HB6yoiOj4J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+soil&hl=en&as_sdt=2007"
121,"MA Bowker, FT Maestre, D Eldridge, J Belnap…","Biological soil crusts (biocrusts) as a model system in community, landscape and ecosystem ecology",2014,"Biodiversity and …","Springer","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10531-014-0658-x&casa_token=PpiNauHZGH0AAAAA:j_t-yo8lVKWt7pyEdL3qzySDoRFkj6Lo1ndWTjyWxrZoDSnLDjPGiTJAYzlgyw3zVoAKtMM9vPJtFGe3FSY","https://scholar.google.com/scholar?cites=4180286917852879968&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-17 13:31:47","HTML","10.1007/s10531-014-0658-x","","",,,,,121,12.10,24,5,10,"… We argue that biological soil crusts (biocrusts) have unique … In community ecology, biocrusts are elucidating the … modes of facilitation and competition, biocrusts have led to new models …","https://idp.springer.com/authorize/casa?redirect_uri=https://link.springer.com/article/10.1007/s10531-014-0658-x&casa_token=PpiNauHZGH0AAAAA:j_t-yo8lVKWt7pyEdL3qzySDoRFkj6Lo1ndWTjyWxrZoDSnLDjPGiTJAYzlgyw3zVoAKtMM9vPJtFGe3FSY","https://scholar.google.com/scholar?q=related:YFzVvc1cAzoJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+soil&hl=en&as_sdt=2007"
171,"S Chamizo, E Rodríguez-Caballero, JR Román…","Effects of biocrust on soil erosion and organic carbon losses under natural rainfall",2017,"Catena","Elsevier","https://www.sciencedirect.com/science/article/pii/S0341816216302235?casa_token=Ag1KQfXdjukAAAAA:XV9GPZ4n7HT58JZxr1pCVcm8JHnesuJYkIpWvoOS4a9RhDk0imsvLo-KahqI9vgilcGYMNYxiLqr","https://scholar.google.com/scholar?cites=6068041792068881022&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-17 13:31:47","HTML","","","",,,,,171,24.43,43,4,7,"… and trampled biocrust soils than under an intact dark crust. Analysing the effect of biocrusts on runoff and sediment yield in a sand dune in the Tengger Desert, Li et al. (2008) found that …","https://www.sciencedirect.com/science/article/pii/S0341816216302235?casa_token=Ag1KQfXdjukAAAAA:XV9GPZ4n7HT58JZxr1pCVcm8JHnesuJYkIpWvoOS4a9RhDk0imsvLo-KahqI9vgilcGYMNYxiLqr","https://scholar.google.com/scholar?q=related:fop9KtwDNlQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+soil&hl=en&as_sdt=2007"
58,"B Moreira-Grez, K Tam, AT Cross, JWH Yong…","The bacterial microbiome associated with arid biocrusts and the biogeochemical influence of biocrusts upon the underlying soil",2019,"Frontiers in …","frontiersin.org","https://www.frontiersin.org/articles/10.3389/fmicb.2019.02143/full","https://scholar.google.com/scholar?cites=459266854800810432&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-17 13:31:47","HTML","10.3389/fmicb.2019.02143","","",,,,,58,11.60,12,5,5,"… Bare soil (ie, topsoil without biocrust on soil … soil underlying biocrusts up to a depth of 10 cm (hereafter referred to as “bottom”’ samples). Underlying soil was also taken for the bare soil. …","https://www.frontiersin.org/articles/10.3389/fmicb.2019.02143/full","https://scholar.google.com/scholar?q=related:wGGDacWkXwYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+soil&hl=en&as_sdt=2007"
12,"F Garcia-Pichel","The microbiology of biological soil crusts",2023,"Annual review of microbiology","annualreviews.org","https://www.annualreviews.org/content/journals/10.1146/annurev-micro-032521-015202","https://scholar.google.com/scholar?cites=8984761693247640444&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-17 13:31:47","HTML","10.1146/annurev-micro-032521-015202","","",,,,,12,12.00,12,1,1,"… soil-fertilizing effect of biocrusts, keeping the biocrusts themselves in permanent need of new diazotrophic inputs. Gaseous nitrogen losses through ammonia volatilization and loss of …","https://www.annualreviews.org/content/journals/10.1146/annurev-micro-032521-015202","https://scholar.google.com/scholar?q=related:fBOQHShJsHwJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+soil&hl=en&as_sdt=2007"
120,"AM Faist, JE Herrick, J Belnap, JW Van Zee…","Biological soil crust and disturbance controls on surface hydrology in a semi‐arid ecosystem",2017,"…","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecs2.1691","https://scholar.google.com/scholar?cites=12432919054983183852&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-17 13:31:47","","10.1002/ecs2.1691","","",,,,,120,17.14,24,5,7,"… In the scraped treatment, we identified the lowest point in the plot and carefully removed the top 1 cm of soil in addition to all biocrust pinnacles (which can protrude upward 5–10 cm) …","https://esajournals.onlinelibrary.wiley.com/doi/pdf/10.1002/ecs2.1691","https://scholar.google.com/scholar?q=related:7D11EQKaiqwJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+soil&hl=en&as_sdt=2007"
