Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
58,"GJ Kidron, I Benenson","Biocrusts serve as biomarkers for the upper 30 cm soil water content",2014,"Journal of Hydrology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169413008652","https://scholar.google.com/scholar?cites=15623234454843710086&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-18 09:01:43","","","","",,,,,58,5.80,29,2,10,"… duration and the average chlorophyll content of 5 biocrusts in the Negev Desert (Israel), and … of biocrusts as biomarkers for surface wetness duration, we hypothesize that biocrusts may …","https://www.academia.edu/download/48531924/Biocrusts_serve_as_biomarkers_for_the_up20160902-2291-xdlgud.pdf","https://scholar.google.com/scholar?q=related:hlqaE_bg0NgJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22water+content%22&hl=en&as_sdt=2007"
188,"S Chamizo, Y Cantón, E Rodríguez‐Caballero…","Biocrusts positively affect the soil water balance in semiarid ecosystems",2016,"…","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/eco.1719","https://scholar.google.com/scholar?cites=6249584039716228512&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-18 09:01:43","","10.1002/eco.1719","","",,,,,188,23.50,47,4,8,"… biocrusts on infiltration depended on rainfall intensity. Biocrusts increased infiltration with respect to biocrust-… antecedent soil water content and ambient conditions all regulate the role of …","https://digital.csic.es/bitstream/10261/345133/1/Chamizoetal2016_Ecohydrol.pdf","https://scholar.google.com/scholar?q=related:oI08iZL7ulYJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22water+content%22&hl=en&as_sdt=2007"
16,"F Sun, B Xiao, GJ Kidron","Towards the influences of three types of biocrusts on soil water in drylands: Insights from horizontal infiltration and soil water retention",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706122004438","https://scholar.google.com/scholar?cites=10839927162793633381&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-18 09:01:43","HTML","","","",,,,,16,8.00,5,3,2,"… than the bare soil, and exhibited a higher water content than bare soil at a same level of … of the biocrusts in contrast to bare soil. Furthermore, the in-situ soil water content of all biocrusts …","https://www.sciencedirect.com/science/article/pii/S0016706122004438","https://scholar.google.com/scholar?q=related:ZSZseVIob5YJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22water+content%22&hl=en&as_sdt=2007"
9,"MH Young, LF Fenstermaker, J Belnap","Monitoring water content dynamics of biological soil crusts",2017,"Journal of Arid Environments","Elsevier","https://www.sciencedirect.com/science/article/pii/S0140196317300484","https://scholar.google.com/scholar?cites=5923234695665855906&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-18 09:01:43","","","","",,,,,9,1.29,3,3,7,"… We describe a high-resolution (thermal) method for monitoring biocrust water content, and show this method is more sensitive than an electromagnetic method installed in the same plot. …","https://www.sciencedirect.com/science/article/am/pii/S0140196317300484","https://scholar.google.com/scholar?q=related:oq1utJKOM1IJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22water+content%22&hl=en&as_sdt=2007"
29,"B Weber, T Berkemeier, N Ruckteschler…","Development and calibration of a novel sensor to quantify the water content of surface soils and biological soil crusts",2016,"Methods in Ecology …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/2041-210X.12459","https://scholar.google.com/scholar?cites=14364614189731656944&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-18 09:01:43","","10.1111/2041-210X.12459","","",,,,,29,3.63,7,4,8,"… In this study, we present the biocrust wetness probe (BWP), which is the first to reliably measure the water content within biocrusts or the uppermost 5 mm of a substrate. Using a weak …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/2041-210X.12459","https://scholar.google.com/scholar?q=related:8LR9on9cWccJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22water+content%22&hl=en&as_sdt=2007"
18,"J Kakeh, M Gorji, MH Mohammadi, H Asadi…","Effect of biocrusts on profile distribution of soil water content and salinity at different stages of evaporation",2021,"Journal of Arid …","Elsevier","https://www.sciencedirect.com/science/article/pii/S014019632100080X","https://scholar.google.com/scholar?cites=16190928446704357552&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-18 09:01:43","","","","",,,,,18,6.00,4,5,3,"… In this study, the effect of biocrusts on daily variations of … height) containing biocrusts (43 cm saline soil + 5 cm biocrusts) and … We further found that, compared to bare soil, the biocrusts …","","https://scholar.google.com/scholar?q=related:sJCUmaO7seAJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22water+content%22&hl=en&as_sdt=2007"
215,"EE Grote, J Belnap, DC Housman…","Carbon exchange in biological soil crust communities under differential temperatures and soil water contents: implications for global change",2010,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2486.2010.02201.x","https://scholar.google.com/scholar?cites=16480561350230185246&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-18 09:01:43","","10.1111/j.1365-2486.2010.02201.x","","",,,,,215,15.36,54,4,14,"… the optimal temperature and water content for gross photosynthesis compared … water content and dark respiration tended to increase linearly. The results of this study suggest biocrusts …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2486.2010.02201.x","https://scholar.google.com/scholar?q=related:HpWA8zq3tuQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22water+content%22&hl=en&as_sdt=2007"
123,"B Xiao, F Sun, K Hu, GJ Kidron","Biocrusts reduce surface soil infiltrability and impede soil water infiltration under tension and ponding conditions in dryland ecosystem",2019,"Journal of Hydrology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0022169418309065","https://scholar.google.com/scholar?cites=10640733224907258494&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-18 09:01:43","","","","",,,,,123,24.60,31,4,5,"… measurement, and their water content and bulk density were … water content when the infiltration experiment was terminated (cm −3 cm −3 ); and θ i is the initial surface soil water content (…","https://scholar.google.com/scholar?output=instlink&q=info:fjpLtH16q5MJ:scholar.google.com/&hl=en&as_sdt=2007&scillfp=4132344073403503255&oi=lle","https://scholar.google.com/scholar?q=related:fjpLtH16q5MJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22water+content%22&hl=en&as_sdt=2007"
48,"F Sun, B Xiao, S Li, GJ Kidron","Towards moss biocrust effects on surface soil water holding capacity: Soil water retention curve analysis and modeling",2021,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S0016706121002007","https://scholar.google.com/scholar?cites=17641991311384635217&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-18 09:01:43","","","","",,,,,48,16.00,12,4,3,"… Our results showed that whether on loess soil or aeolian sand, biocrusts exhibited significantly higher water content (15.1% and 164.9% on average, respectively) across the whole …","https://www.academia.edu/download/95680022/downfile.pdf","https://scholar.google.com/scholar?q=related:UeebXaDx1PQJ:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22water+content%22&hl=en&as_sdt=2007"
13,"P Guan, X Zhang, Y Cheng, H Zheng…","Biocrust regulates the effects of water and temperature on soil microbial and nematode communities in a semiarid ecosystem",2020,"Land Degradation & …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ldr.3522","https://scholar.google.com/scholar?cites=9193719414487229015&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-18 09:01:43","","10.1002/ldr.3522","","",,,,,13,3.25,3,5,4,"… Our results showed negative relationship between soil microbial communities and water content under biocrust. Increasing water content diluted the ions concentrations, which then …","","https://scholar.google.com/scholar?q=related:V6If2Rinln8J:scholar.google.com/&scioq=biocrust*%7C%22biological+soil+crust%22+%22water+content%22&hl=en&as_sdt=2007"
