Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
152,"E. Couradeau","Bacteria increase arid-land soil surface temperature through the production of sunscreens",2016,"Nature Communications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84955592209&origin=inward",1,"2024-07-22 09:58:35","Article","10.1038/ncomms10373","2041-1723","https://api.elsevier.com/content/abstract/scopus_id/84955592209",7,,,,152,19.00,152,1,8,"","",""
95,"G. Kidron","The effect of biocrusts on evaporation from sand dunes in the Negev Desert",2012,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016706112000997","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858305748&origin=inward",2,"2024-07-22 09:58:35","Article","10.1016/j.geoderma.2012.02.021","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/84858305748",179,,104,112,95,7.92,95,1,12,"","",""
90,"W.A. Rutherford","Albedo feedbacks to future climate via climate change impacts on dryland biocrusts",2017,"Scientific Reports","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85015038813&origin=inward",3,"2024-07-22 09:58:35","Article","10.1038/srep44188","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85015038813",7,,,,90,12.86,90,1,7,"","",""
82,"J.R. Román","Restoring soil functions by means of cyanobacteria inoculation: Importance of soil conditions and species selection",2018,"Land Degradation and Development","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85050623908&origin=inward",4,"2024-07-22 09:58:35","Article","10.1002/ldr.3064","1085-3278","https://api.elsevier.com/content/abstract/scopus_id/85050623908",29,9,3184,3193,82,13.67,82,1,6,"","",""
60,"B. Xiao","Moss-biocrusts strongly decrease soil surface albedo, altering land-surface energy balance in a dryland ecosystem",2020,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969720339474","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086900895&origin=inward",5,"2024-07-22 09:58:35","Article","10.1016/j.scitotenv.2020.140425","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/85086900895",741,,,,60,15.00,60,1,4,"","",""
44,"E. Rodríguez-Caballero","Importance of biocrusts in dryland monitoring using spectral indices",2015,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S003442571530122X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84941273240&origin=inward",6,"2024-07-22 09:58:35","Article","10.1016/j.rse.2015.08.034","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/84941273240",170,,32,39,44,4.89,44,1,9,"","",""
41,"G. Kidron","The negative effect of biocrusts upon annual-plant growth on sand dunes during extreme droughts",2014,"Journal of Hydrology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0022169413007749","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84888091487&origin=inward",7,"2024-07-22 09:58:35","Article","10.1016/j.jhydrol.2013.10.045","0022-1694","https://api.elsevier.com/content/abstract/scopus_id/84888091487",508,,128,136,41,4.10,41,1,10,"","",""
37,"N. Levin","Surface properties of stabilizing coastal dunes: Combining spectral and field analyses",2007,"Sedimentology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34547489574&origin=inward",8,"2024-07-22 09:58:35","Article","10.1111/j.1365-3091.2007.00859.x","0037-0746","https://api.elsevier.com/content/abstract/scopus_id/34547489574",54,4,771,788,37,2.18,37,1,17,"","",""
33,"Y.f. Zhang","Variation of albedo to soil moisture for sand dunes and biological soil crusts in arid desert ecosystems",2014,"Environmental Earth Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84892669378&origin=inward",9,"2024-07-22 09:58:35","Article","10.1007/s12665-013-2532-7","1866-6280","https://api.elsevier.com/content/abstract/scopus_id/84892669378",71,3,1281,1288,33,3.30,33,1,10,"","",""
30,"J.R. Román","Assessing the viability of cyanobacteria pellets for application in arid land restoration",2020,"Journal of Environmental Management","","https://api.elsevier.com/content/article/eid/1-s2.0-S030147972030726X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85085872484&origin=inward",10,"2024-07-22 09:58:35","Article","10.1016/j.jenvman.2020.110795","0301-4797","https://api.elsevier.com/content/abstract/scopus_id/85085872484",270,,,,30,7.50,30,1,4,"","",""
