Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
210,"F. Maestre","Ecology and functional roles of biological soil crusts in semi-arid ecosystems of Spain",2011,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196310003459","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80053125303&origin=inward",1,"2024-07-18 09:43:24","Article","10.1016/j.jaridenv.2010.12.008","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/80053125303",75,12,1282,1291,210,16.15,210,1,13,"","",""
204,"R. Evans","Long-term consequences of disturbance on nitrogen dynamics in an arid ecosystem",1999,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032953685&origin=inward",2,"2024-07-18 09:43:24","Article","10.1890/0012-9658(1999)080[0150:LTCODO]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0032953685",80,1,150,160,204,8.16,204,1,25,"","",""
190,"F.T. Maestre","Species richness effects on ecosystem multifunctionality depend on evenness, composition and spatial pattern",2012,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855843771&origin=inward",3,"2024-07-18 09:43:24","Article","10.1111/j.1365-2745.2011.01918.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/84855843771",100,2,317,330,190,15.83,190,1,12,"","",""
184,"M.L. Nagy","The prokaryotic diversity of biological soil crusts in the Sonoran Desert (Organ Pipe Cactus National Monument, AZ)",2005,"FEMS Microbiology Ecology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0168649605000930","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=24944591078&origin=inward",4,"2024-07-18 09:43:24","Article","10.1016/j.femsec.2005.03.011","0168-6496","https://api.elsevier.com/content/abstract/scopus_id/24944591078",54,2,233,245,184,9.68,184,1,19,"","",""
181,"S. Maier","Photoautotrophic organisms control microbial abundance, diversity, and physiology in different types of biological soil crusts",2018,"ISME Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85042094510&origin=inward",5,"2024-07-18 09:43:24","Article","10.1038/s41396-018-0062-8","1751-7362","https://api.elsevier.com/content/abstract/scopus_id/85042094510",12,4,1032,1046,181,30.17,181,1,6,"","",""
148,"M. Bowker","Temporal variation in community composition, pigmentation, and F<inf>v</inf>/F<inf>m</inf> of desert cyanobacterial soil crusts",2002,"Microbial Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036047533&origin=inward",6,"2024-07-18 09:43:24","Article","10.1007/s00248-001-1013-9","0095-3628","https://api.elsevier.com/content/abstract/scopus_id/0036047533",43,1,13,25,148,6.73,148,1,22,"","",""
136,"M. Bowker","Correlates of biological soil crust abundance across a continuum of spatial scales: Support for a hierarchical conceptual model",2006,"Journal of Applied Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33645102449&origin=inward",7,"2024-07-18 09:43:24","Article","10.1111/j.1365-2664.2006.01122.x","0021-8901","https://api.elsevier.com/content/abstract/scopus_id/33645102449",43,1,152,163,136,7.56,136,1,18,"","",""
135,"L.E. Green","Translocation of nitrogen and carbon integrates biotic crust and grass production in desert grassland",2008,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=42149148751&origin=inward",8,"2024-07-18 09:43:24","Article","10.1111/j.1365-2745.2008.01388.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/42149148751",96,5,1076,1085,135,8.44,135,1,16,"","",""
129,"F. Rossi","The role of the exopolysaccharides in enhancing hydraulic conductivity of biological soil crusts",2012,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071711003968","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=82955189322&origin=inward",9,"2024-07-18 09:43:24","Article","10.1016/j.soilbio.2011.10.016","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/82955189322",46,,33,40,129,10.75,129,1,12,"","",""
103,"C.A. Havrilla","Towards a predictive framework for biocrust mediation of plant performance: A meta-analysis",2019,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073618482&origin=inward",10,"2024-07-18 09:43:24","Article","10.1111/1365-2745.13269","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/85073618482",107,6,2789,2807,103,20.60,103,1,5,"","",""
103,"S. Johnson","Increased temperature and altered summer precipitation have differential effects on biological soil crusts in a dryland ecosystem",2012,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84863616507&origin=inward",11,"2024-07-18 09:43:24","Article","10.1111/j.1365-2486.2012.02709.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/84863616507",18,8,2583,2593,103,8.58,103,1,12,"","",""
99,"L. Chiquoine","Rapidly restoring biological soil crusts and ecosystem functions in a severely disturbed desert ecosystem",2016,"Ecological Applications","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84973480492&origin=inward",12,"2024-07-18 09:43:24","Article","10.1002/15-0973","1939-5582","https://api.elsevier.com/content/abstract/scopus_id/84973480492",26,4,1260,1272,99,12.38,99,1,8,"","",""
91,"R. Mueller","Soil bacterial and fungal community responses to nitrogen addition across soil depth and microhabitat in an arid shrubland",2015,"Frontiers in Microbiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84938927761&origin=inward",13,"2024-07-18 09:43:24","Article","10.3389/fmicb.2015.00891","1664-302X","https://api.elsevier.com/content/abstract/scopus_id/84938927761",6,,,,91,10.11,91,1,9,"","",""
