Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
155,"F.T. Maestre","Biogeography of global drylands",2021,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85106287138&origin=inward",1,"2024-07-17 10:14:37","Review","10.1111/nph.17395","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/85106287138",231,2,540,558,155,51.67,155,1,3,"","",""
103,"C.A. Havrilla","Towards a predictive framework for biocrust mediation of plant performance: A meta-analysis",2019,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073618482&origin=inward",2,"2024-07-17 10:14:37","Article","10.1111/1365-2745.13269","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/85073618482",107,6,2789,2807,103,20.60,103,1,5,"","",""
52,"L. Concostrina-Zubiri","Climate and small scale factors determine functional diversity shifts of biological soil crusts in Iberian drylands",2014,"Biodiversity and Conservation","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84902374047&origin=inward",3,"2024-07-17 10:14:37","Article","10.1007/s10531-014-0683-9","0960-3115","https://api.elsevier.com/content/abstract/scopus_id/84902374047",23,7,1757,1770,52,5.20,52,1,10,"","",""
48,"L. Concostrina-Zubiri","Grazing or Not Grazing: Implications for Ecosystem Services Provided by Biocrusts in Mediterranean Cork Oak Woodlands",2017,"Land Degradation and Development","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84989257472&origin=inward",4,"2024-07-17 10:14:37","Article","10.1002/ldr.2573","1085-3278","https://api.elsevier.com/content/abstract/scopus_id/84989257472",28,4,1345,1353,48,6.86,48,1,7,"","",""
41,"M. Mallen-Cooper","Livestock grazing and aridity reduce the functional diversity of biocrusts",2018,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85028307984&origin=inward",5,"2024-07-17 10:14:37","Article","10.1007/s11104-017-3388-5","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/85028307984",429,1,175,185,41,6.83,41,1,6,"","",""
38,"S. Seitz","Tree species and functional traits but not species richness affect interrill erosion processes in young subtropical forests",2016,"SOIL","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85014556647&origin=inward",6,"2024-07-17 10:14:37","Article","10.5194/soil-2-49-2016","2199-3971","https://api.elsevier.com/content/abstract/scopus_id/85014556647",2,1,49,61,38,4.75,38,1,8,"","",""
35,"M. Mallen-Cooper","Laboratory-based techniques for assessing the functional traits of biocrusts",2016,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84962275003&origin=inward",7,"2024-07-17 10:14:37","Article","10.1007/s11104-016-2870-9","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/84962275003",406,1,131,143,35,4.38,35,1,8,"","",""
27,"M. Mallen-Cooper","A practical guide to measuring functional indicators and traits in biocrusts",2020,"Restoration Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85069930044&origin=inward",8,"2024-07-17 10:14:37","Review","10.1111/rec.12974","1061-2971","https://api.elsevier.com/content/abstract/scopus_id/85069930044",28,,,,27,6.75,27,1,4,"","",""
22,"A.M.L. Peralta","Evidence of functional species sorting by rainfall and biotic interactions: A community monolith experimental approach",2019,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85067379815&origin=inward",9,"2024-07-17 10:14:37","Article","10.1111/1365-2745.13210","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/85067379815",107,6,2772,2788,22,4.40,22,1,5,"","",""
19,"T. Dias","Nitrogen inputs may improve soil biocrusts multifunctionality in dryland ecosystems",2020,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071720302431","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85089688743&origin=inward",10,"2024-07-17 10:14:37","Article","10.1016/j.soilbio.2020.107947","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/85089688743",149,,,,19,4.75,19,1,4,"","",""
18,"S.K. Roshan","Taxonomic and functional diversity of heterotrophic protists (Cercozoa and endomyxa) from biological soil crusts",2021,"Microorganisms","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099706428&origin=inward",11,"2024-07-17 10:14:37","Article","10.3390/microorganisms9020205","2076-2607","https://api.elsevier.com/content/abstract/scopus_id/85099706428",9,2,1,14,18,6.00,18,1,3,"","",""
16,"M. Ladrón De Guevara","Ecology and responses to climate change of biocrust-forming mosses in drylands",2022,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85136034386&origin=inward",12,"2024-07-17 10:14:37","Review","10.1093/jxb/erac183","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/85136034386",73,13,4380,4395,16,8.00,16,1,2,"","",""
16,"C. Tian","Biocrust microbiomes influence ecosystem structure and function in the Mu Us Sandland, northwest China",2021,"Ecological Informatics","","https://api.elsevier.com/content/article/eid/1-s2.0-S1574954121002326","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85116888922&origin=inward",13,"2024-07-17 10:14:37","Article","10.1016/j.ecoinf.2021.101441","1574-9541","https://api.elsevier.com/content/abstract/scopus_id/85116888922",66,,,,16,5.33,16,1,3,"","",""
16,"L. Concostrina-Zubiri","Species-specific effects of biocrust-forming lichens on soil properties under simulated climate change are driven by functional traits",2021,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85099250113&origin=inward",14,"2024-07-17 10:14:37","Article","10.1111/nph.17143","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/85099250113",230,1,101,115,16,5.33,16,1,3,"","",""
16,"J. Raggio","Functional performance of biocrusts across Europe and its implications for drylands",2021,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196320303013","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85098653704&origin=inward",15,"2024-07-17 10:14:37","Article","10.1016/j.jaridenv.2020.104402","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/85098653704",186,,,,16,5.33,16,1,3,"","",""
15,"H. Li","Differentiation of microbial activity and functional diversity between various biocrust elements in a heterogeneous crustal community",2016,"Catena","","https://api.elsevier.com/content/article/eid/1-s2.0-S0341816216302673","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84978286913&origin=inward",16,"2024-07-17 10:14:37","Article","10.1016/j.catena.2016.07.008","0341-8162","https://api.elsevier.com/content/abstract/scopus_id/84978286913",147,,138,145,15,1.88,15,1,8,"","",""
13,"P. Porada","A research agenda for nonvascular photoautotrophs under climate change",2023,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85143884187&origin=inward",17,"2024-07-17 10:14:37","Article","10.1111/nph.18631","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/85143884187",237,5,1495,1504,13,13.00,13,1,1,"","",""
12,"X. Jiang","Species diversity, functional diversity, and phylogenetic diversity in plant communities at different phases of vegetation restoration in the Mu Us sandy grassland",2022,"Biodiversity Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85132006397&origin=inward",18,"2024-07-17 10:14:37","Article","10.17520/biods.2021387","1005-0094","https://api.elsevier.com/content/abstract/scopus_id/85132006397",30,5,,,12,6.00,12,1,2,"","",""
12,"K.K. Coe","Morphological and physiological traits in relation to carbon balance in a diverse clade of dryland mosses",2019,"Plant Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85070102353&origin=inward",19,"2024-07-17 10:14:37","Article","10.1111/pce.13613","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/85070102353",42,11,3140,3151,12,2.40,12,1,5,"","",""
10,"L. Concostrina-Zubiri","Biocrust tissue traits as potential indicators of global change in the Mediterranean",2018,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85033562216&origin=inward",20,"2024-07-17 10:14:37","Article","10.1007/s11104-017-3483-7","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/85033562216",429,1,159,174,10,1.67,10,1,6,"","",""
