Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
201,"E. Rodríguez-Caballero","Effects of biological soil crusts on surface roughness and implications for runoff and erosion",2012,"Geomorphology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0169555X1100657X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84856954794&origin=inward",1,"2024-07-22 10:00:59","Article","10.1016/j.geomorph.2011.12.042","0169-555X","https://api.elsevier.com/content/abstract/scopus_id/84856954794",145,,81,89,201,16.75,201,1,12,"","",""
199,"D. Eldridge","Exploring some relationships between biological soil crusts, soil aggregation and wind erosion",2003,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196302910682","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037399844&origin=inward",2,"2024-07-22 10:00:59","Article","10.1006/jare.2002.1068","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/0037399844",53,4,457,466,199,9.48,199,1,21,"","",""
110,"J. Zhang","The influence of biological soil crusts on dew deposition in Gurbantunggut Desert, Northwestern China",2009,"Journal of Hydrology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0022169409006271","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70449473078&origin=inward",3,"2024-07-22 10:00:59","Article","10.1016/j.jhydrol.2009.09.053","0022-1694","https://api.elsevier.com/content/abstract/scopus_id/70449473078",379,3,220,228,110,7.33,110,1,15,"","",""
82,"R.L. Jia","Responses of biological soil crusts to sand burial in a revegetated area of the Tengger Desert, Northern China",2008,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071708002721","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=53449101771&origin=inward",4,"2024-07-22 10:00:59","Article","10.1016/j.soilbio.2008.07.029","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/53449101771",40,11,2827,2834,82,5.13,82,1,16,"","",""
80,"T.M. Langhans","Biological soil crusts and their microenvironment: Impact on emergence, survival and establishment of seedlings",2009,"Flora: Morphology, Distribution, Functional Ecology of Plants","","https://api.elsevier.com/content/article/eid/1-s2.0-S0367253008001138","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58949097546&origin=inward",5,"2024-07-22 10:00:59","Article","10.1016/j.flora.2008.01.001","0367-2530","https://api.elsevier.com/content/abstract/scopus_id/58949097546",204,2,157,168,80,5.33,80,1,15,"","",""
58,"K. Stewart","Nitrogen inputs by associative cyanobacteria across a low arctic tundra landscape",2011,"Arctic, Antarctic, and Alpine Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79955991517&origin=inward",6,"2024-07-22 10:00:59","Article","10.1657/1938-4246-43.2.267","1523-0430","https://api.elsevier.com/content/abstract/scopus_id/79955991517",43,2,267,278,58,4.46,58,1,13,"","",""
46,"E. Rodríguez-Caballero","Swelling of biocrusts upon wetting induces changes in surface micro-topography",2015,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071714004246","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84921418235&origin=inward",7,"2024-07-22 10:00:59","Article","10.1016/j.soilbio.2014.12.010","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/84921418235",82,,107,111,46,5.11,46,1,9,"","",""
41,"M. Mallen-Cooper","Livestock grazing and aridity reduce the functional diversity of biocrusts",2018,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85028307984&origin=inward",8,"2024-07-22 10:00:59","Article","10.1007/s11104-017-3388-5","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/85028307984",429,1,175,185,41,6.83,41,1,6,"","",""
38,"S. Seitz","Tree species and functional traits but not species richness affect interrill erosion processes in young subtropical forests",2016,"SOIL","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85014556647&origin=inward",9,"2024-07-22 10:00:59","Article","10.5194/soil-2-49-2016","2199-3971","https://api.elsevier.com/content/abstract/scopus_id/85014556647",2,1,49,61,38,4.75,38,1,8,"","",""
36,"L. Wang","Biocrust wetting induced change in soil surface roughness as influenced by biocrust type, coverage and wetting patterns",2017,"Geoderma","","https://api.elsevier.com/content/article/eid/1-s2.0-S0016706116310448","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85023611779&origin=inward",10,"2024-07-22 10:00:59","Article","10.1016/j.geoderma.2017.06.032","0016-7061","https://api.elsevier.com/content/abstract/scopus_id/85023611779",306,,1,9,36,5.14,36,1,7,"","",""
