Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
382,"J. Belnap","Nitrogen fixation in biological soil crusts from southeast Utah, USA",2002,"Biology and Fertility of Soils","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036922589&origin=inward",1,"2024-07-17 10:21:51","Article","10.1007/s00374-002-0452-x","0178-2762","https://api.elsevier.com/content/abstract/scopus_id/0036922589",35,2,128,135,382,17.36,382,1,22,"","",""
272,"O. Lange","Taxonomic composition and photosynthetic characteristics of the ""biological soil crusts' covering sand dunes in the western Negev Desert",1992,"Functional Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0027041259&origin=inward",2,"2024-07-17 10:21:51","Article","10.2307/2390048","0269-8463","https://api.elsevier.com/content/abstract/scopus_id/0027041259",6,5,519,527,272,8.50,272,1,32,"","",""
243,"J. Belnap","Response of desert biological soil crusts to alterations in precipitation frequency",2004,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=6044237089&origin=inward",3,"2024-07-17 10:21:51","Article","10.1007/s00442-003-1438-6","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/6044237089",141,2,306,316,243,12.15,243,1,20,"","",""
194,"R. Angel","Activation of methanogenesis in arid biological soil crusts despite the presence of oxygen",2011,"PLoS ONE","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79957846434&origin=inward",4,"2024-07-17 10:21:51","Article","10.1371/journal.pone.0020453","1932-6203","https://api.elsevier.com/content/abstract/scopus_id/79957846434",6,5,,,194,14.92,194,1,13,"","",""
190,"L. Rajeev","Dynamic cyanobacterial response to hydration and dehydration in a desert biological soil crust",2013,"ISME Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84886726844&origin=inward",5,"2024-07-17 10:21:51","Article","10.1038/ismej.2013.83","1751-7362","https://api.elsevier.com/content/abstract/scopus_id/84886726844",7,11,2178,2191,190,17.27,190,1,11,"","",""
171,"E. Grote","Carbon exchange in biological soil crust communities under differential temperatures and soil water contents: Implications for global change",2010,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77956259933&origin=inward",6,"2024-07-17 10:21:51","Article","10.1111/j.1365-2486.2010.02201.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/77956259933",16,10,2763,2774,171,12.21,171,1,14,"","",""
169,"F. Garcia-Pichel","Small-Scale Vertical Distribution of Bacterial Biomass and Diversity in Biological Soil Crusts from Arid Lands in the Colorado Plateau",2003,"Microbial Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0348077472&origin=inward",7,"2024-07-17 10:21:51","Article","10.1007/s00248-003-1004-0","0095-3628","https://api.elsevier.com/content/abstract/scopus_id/0348077472",46,3,312,321,169,8.05,169,1,21,"","",""
135,"N. Barger","Impacts of biological soil crust disturbance and composition on C and N loss from water erosion",2006,"Biogeochemistry","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=32644454375&origin=inward",8,"2024-07-17 10:21:51","Article","10.1007/s10533-005-1424-7","0168-2563","https://api.elsevier.com/content/abstract/scopus_id/32644454375",77,2,247,263,135,7.50,135,1,18,"","",""
134,"S. Castle","Extraction of chlorophyll a from biological soil crusts: A comparison of solvents for spectrophotometric determination",2011,"Soil Biology and Biochemistry","","https://api.elsevier.com/content/article/eid/1-s2.0-S0038071710004463","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951683421&origin=inward",9,"2024-07-17 10:21:51","Article","10.1016/j.soilbio.2010.11.025","0038-0717","https://api.elsevier.com/content/abstract/scopus_id/79951683421",43,4,853,856,134,10.31,134,1,13,"","",""
122,"X.R. Li","Carbon fixation by biological soil crusts following revegetation of sand dunes in arid desert regions of China: A four-year field study",2012,"Catena","","https://api.elsevier.com/content/article/eid/1-s2.0-S0341816212001154","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84862698415&origin=inward",10,"2024-07-17 10:21:51","Article","10.1016/j.catena.2012.05.009","0341-8162","https://api.elsevier.com/content/abstract/scopus_id/84862698415",97,,119,126,122,10.17,122,1,12,"","",""
