Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
213,"W.K. Smith","Remote sensing of dryland ecosystem structure and function: Progress, challenges, and opportunities",2019,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0034425719304201","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85073097938&origin=inward",1,"2024-07-17 10:25:06","Article","10.1016/j.rse.2019.111401","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/85073097938",233,,,,213,42.60,213,1,5,"","",""
90,"W.A. Rutherford","Albedo feedbacks to future climate via climate change impacts on dryland biocrusts",2017,"Scientific Reports","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85015038813&origin=inward",2,"2024-07-17 10:25:06","Article","10.1038/srep44188","2045-2322","https://api.elsevier.com/content/abstract/scopus_id/85015038813",7,,,,90,12.86,90,1,7,"","",""
81,"B. Weber","A new approach for mapping of Biological Soil Crusts in semidesert areas with hyperspectral imagery",2008,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0034425708000382","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=41249096615&origin=inward",3,"2024-07-17 10:25:06","Article","10.1016/j.rse.2007.09.014","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/41249096615",112,5,2187,2201,81,5.06,81,1,16,"","",""
62,"S.L. Ustin","Remote sensing of biological soil crust under simulated climate change manipulations in the Mojave Desert",2009,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0034425708003118","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58149123396&origin=inward",4,"2024-07-17 10:25:06","Article","10.1016/j.rse.2008.09.013","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/58149123396",113,2,317,328,62,4.13,62,1,15,"","",""
60,"B. Xiao","Moss-biocrusts strongly decrease soil surface albedo, altering land-surface energy balance in a dryland ecosystem",2020,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969720339474","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85086900895&origin=inward",5,"2024-07-17 10:25:06","Article","10.1016/j.scitotenv.2020.140425","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/85086900895",741,,,,60,15.00,60,1,4,"","",""
58,"S. Chamizo","Discriminating soil crust type, development stage and degree of disturbance in semiarid environments from their spectral characteristics",2012,"European Journal of Soil Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84855912823&origin=inward",6,"2024-07-17 10:25:06","Article","10.1111/j.1365-2389.2011.01406.x","1351-0754","https://api.elsevier.com/content/abstract/scopus_id/84855912823",63,1,42,53,58,4.83,58,1,12,"","",""
54,"J. Burgheimer","Relationships between Normalized Difference Vegetation Index (NDVI) and carbon fluxes of biologic soil crusts assessed by ground measurements",2006,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196305001655","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=28844456509&origin=inward",7,"2024-07-17 10:25:06","Article","10.1016/j.jaridenv.2005.06.025","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/28844456509",64,4,651,669,54,3.00,54,1,18,"","",""
51,"E. Zaady","Applying a field spectroscopy technique for assessing successional trends of biological soil crusts in a semi-arid environment",2007,"Journal of Arid Environments","","https://api.elsevier.com/content/article/eid/1-s2.0-S0140196307000274","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34248169124&origin=inward",8,"2024-07-17 10:25:06","Article","10.1016/j.jaridenv.2007.01.004","0140-1963","https://api.elsevier.com/content/abstract/scopus_id/34248169124",70,3,463,477,51,3.00,51,1,17,"","",""
44,"E. Rodríguez-Caballero","Importance of biocrusts in dryland monitoring using spectral indices",2015,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S003442571530122X","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84941273240&origin=inward",9,"2024-07-17 10:25:06","Article","10.1016/j.rse.2015.08.034","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/84941273240",170,,32,39,44,4.89,44,1,9,"","",""
37,"N. Levin","Surface properties of stabilizing coastal dunes: Combining spectral and field analyses",2007,"Sedimentology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34547489574&origin=inward",10,"2024-07-17 10:25:06","Article","10.1111/j.1365-3091.2007.00859.x","0037-0746","https://api.elsevier.com/content/abstract/scopus_id/34547489574",54,4,771,788,37,2.18,37,1,17,"","",""
37,"H. Schmidt","Analysis of the temporal and spatial vegetation patterns in a semi-arid environment observed by NOAA AVHRR imagery and spectral ground measurements",2002,"International Journal of Remote Sensing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036381231&origin=inward",11,"2024-07-17 10:25:06","Article","10.1080/01431160110115780","0143-1161","https://api.elsevier.com/content/abstract/scopus_id/0036381231",23,19,3971,3990,37,1.68,37,1,22,"","",""
30,"T. Fischer","Small scale spatial heterogeneity of Normalized Difference Vegetation Indices (NDVIs) and hot spots of photosynthesis in biological soil crusts",2012,"Flora: Morphology, Distribution, Functional Ecology of Plants","","https://api.elsevier.com/content/article/eid/1-s2.0-S0367253012000023","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84858281387&origin=inward",12,"2024-07-17 10:25:06","Article","10.1016/j.flora.2012.01.001","0367-2530","https://api.elsevier.com/content/abstract/scopus_id/84858281387",207,3,159,167,30,2.50,30,1,12,"","",""
