Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
20,"L Monforte, G Soriano, E Núñez‐Olivera…","Cell compartmentation of ultraviolet‐absorbing compounds: An underexplored tool related to bryophyte ecology, phylogeny and evolution",2018,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.13048","https://scholar.google.com/scholar?cites=3373379819466408460&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-05 12:15:44","","10.1111/1365-2435.13048","","",,,,,20,3.33,5,4,6,"… Our general aim was to study UVACs levels and compartmentation in bryophytes, evaluating the phylogenetic, ecological and evolutionary implications. We analysed 87 bryophyte …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2435.13048","https://scholar.google.com/scholar?q=related:DELEpxKn0C4J:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
62,"S Huttunen, NM Lappalainen, J Turunen","UV-absorbing compounds in subarctic herbarium bryophytes",2005,"Environmental Pollution","Elsevier","https://www.sciencedirect.com/science/article/pii/S0269749104002398","https://scholar.google.com/scholar?cites=16770581732926683666&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-05 12:15:44","","","","",,,,,62,3.26,21,3,19,"The UV-B-absorbing compounds of herbarium specimens of 10 subarctic bryophyte species … and the amount of UV-B-absorbing compounds per specific surface area correlated with the …","https://www.researchgate.net/profile/Satu-Huttunen/publication/8201909_UV-absorbing_compounds_in_subarctic_herbarium_bryophytes/links/59f86590aca272607e2dc3a8/UV-absorbing-compounds-in-subarctic-herbarium-bryophytes.pdf","https://scholar.google.com/scholar?q=related:Evq_UzsTvegJ:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
33,"M Arróniz-Crespo, E Núñez-Olivera…","A survey of the distribution of UV-absorbing compounds in aquatic bryophytes from a mountain stream",2004,"The bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-107/issue-2/0007-2745(2004)107[0202:ASOTDO]2.0.CO;2/A-Survey-of-the-Distribution-of-UV-Absorbing-Compounds-in/10.1639/0007-2745(2004)107[0202:ASOTDO]2.0.CO;2.short","https://scholar.google.com/scholar?cites=13816906210798111425&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-05 12:15:44","","10.1639/0007-2745(2004)107[0202:ASOTDO]2.0.CO;2.short","","",,,,,33,1.65,11,3,20,"… Bryophytes are important primary producers in mountain streams … -absorbing compounds could be one of the mechanisms of protection. A survey of methanol-extractable UV-absorbing …","https://www.jstor.org/stable/pdf/3244845.pdf","https://scholar.google.com/scholar?q=related:wYqCXf6Cv78J:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
26,"DT Streeter","Bryophyte ecology",1970,"Science Progress (1933-)","JSTOR","https://www.jstor.org/stable/43419985","https://scholar.google.com/scholar?cites=13219137501615822263&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-05 12:15:44","","","","",,,,,26,0.48,26,1,54,"… Bryophytes and pollution Because of their small size, the ability to absorb substances over … , bryophytes are sensitive indicators of atmospheric pollution. The decline in the epiphytic …","https://www.jstor.org/stable/pdf/43419985.pdf","https://scholar.google.com/scholar?q=related:txXbDIXPc7cJ:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
26,"G Soriano, MÁ Del-Castillo-Alonso, L Monforte…","Phenolic compounds from different bryophyte species and cell compartments respond specifically to ultraviolet radiation, but not particularly quickly",2019,"Plant Physiology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0981942818303206","https://scholar.google.com/scholar?cites=5869645591692889228&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-05 12:15:44","","","","",,,,,26,5.20,7,4,5,"… Bryophyte UV-absorbing compounds rarely showed quick … In conclusion, the responses of bryophyte UVACs to UV … UVACs quantification, the bryophyte species and evolutionary lineage…","","https://scholar.google.com/scholar?q=related:jMxKIpErdVEJ:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
38,"JM Glime, RE Keen","The importance of bryophytes in a man-centered world",1984,"The Journal of the Hattori Botanical Laboratory","jstage.jst.go.jp","https://www.jstage.jst.go.jp/article/jhbl/55/0/55_133/_article/-char/ja/","https://scholar.google.com/scholar?cites=8397344379298314953&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-05 12:15:44","","","","",,,,,38,0.95,19,2,40,"… absorbed 47 % or 0.25 mg per 100 cm of moss. These values show a steady increase in % absorption and absorption … Based on the above calculations, Fountinalis duriaei absorbed up …","https://www.jstage.jst.go.jp/article/jhbl/55/0/55_133/_pdf","https://scholar.google.com/scholar?q=related:yfqy0DhciXQJ:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
13,"PM Patterson","Some ecological observations on bryophytes",1943,"The Bryologist","JSTOR","https://www.jstor.org/stable/3239611","https://scholar.google.com/scholar?cites=11371259559898031928&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-05 12:15:44","","","","",,,,,13,0.16,13,1,81,"… The absorption of atmospheric moisture by bryophytes is a well-known phenomenon. Mayer and Plantefol (1927) and Renner (1933) recognize that there is a relationship between …","https://www.jstor.org/stable/pdf/3239611.pdf","https://scholar.google.com/scholar?q=related:OKd8fFLUzp0J:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
19,"J Wang, F Shi, B Xu, Q Wang, Y Wu, N Wu","Uptake and recovery of soil nitrogen by bryophytes and vascular plants in an alpine meadow",2014,"Journal of Mountain Science","Springer","https://link.springer.com/article/10.1007/s11629-013-2707-4","https://scholar.google.com/scholar?cites=7351832479315012507&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-05 12:15:44","","10.1007/s11629-013-2707-4","","",,,,,19,1.90,3,6,10,"… Firstly, this study testified whether or not bryophytes can absorb nitrogen (N) directly from … higher than that of bryophytes. However, the recovery of soil N by bryophytes can still compete …","https://link.springer.com/content/pdf/10.1007/s11629-013-2707-4.pdf","https://scholar.google.com/scholar?q=related:myvAMbD0BmYJ:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
124,"HT Shacklette","Element content of bryophytes",1965,"","pubs.usgs.gov","https://pubs.usgs.gov/bul/1198d/report.pdf","https://scholar.google.com/scholar?cites=14381190316379908679&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-05 12:15:44","PDF","","","",,,,,124,2.10,124,1,59,"… Distinctive patterns of element absorption by bryophyte taxa are indicated in this study, but sampling was not extensive enough to definitely substantiate or refute these indications. 7. …","https://pubs.usgs.gov/bul/1198d/report.pdf","https://scholar.google.com/scholar?q=related:R6oc32VAlMcJ:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
191,"JW Bates","Mineral nutrient acquisition and retention by bryophytes",1992,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1992.17.2.223","https://scholar.google.com/scholar?cites=3758614132848965876&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-05 12:15:44","","10.1179/jbr.1992.17.2.223","","",,,,,191,5.97,191,1,32,"… bryophytes are summarized schematically in Fig. It is widely believed that terrestrial bryophytes … and nitrogen, and dust may also be absorbed. Mineral losses occur as old tissues decay. …","","https://scholar.google.com/scholar?q=related:9Lg5zKNHKTQJ:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
10,"JA Raven","Putting the fight in bryophytes",2002,"New Phytologist","JSTOR","https://www.jstor.org/stable/1513954","https://scholar.google.com/scholar?cites=14775661650173615571&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-05 12:15:44","","","","",,,,,10,0.45,10,1,22,"… , such essential intracellular UV-B-absorbing molecules as nucleic acids, proteins and … cells can be the sites of UV-B-absorbing phenolic compounds, such as dhurrin in Sorghum. This …","https://www.jstor.org/stable/pdf/1513954.pdf","https://scholar.google.com/scholar?q=related:0931a_yxDc0J:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
58,"J Martínez-Abaigar, E Núñez-Olivera…","Different physiological responses of two aquatic bryophytes to enhanced ultraviolet-B radiation",2003,"Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/037366803125002626","https://scholar.google.com/scholar?cites=18049928384227533805&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-05 12:15:44","","10.1179/037366803125002626","","",,,,,58,2.76,19,3,21,"… The general failure in demonstrating the accumulation of UV-absorbing compounds in bryophytes exposed to enhanced UV-B could be partly due to a similar poor extraction and …","","https://scholar.google.com/scholar?q=related:7WMfmzs6fvoJ:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
11,"H Hespanhol, G Fabón, L Monforte, J Martínez-Abaigar…","Among-and within-genus variability of the UV-absorption capacity in saxicolous mosses",2014,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-117/issue-1/0007-2745-117.1.001/Among--and-within-genus-variability-of-the-UV-absorption/10.1639/0007-2745-117.1.001.short","https://scholar.google.com/scholar?cites=12755366063988087956&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-05 12:15:44","","10.1639/0007-2745-117.1.001.short","","",,,,,11,1.10,2,5,10,"… Limited work regarding UV radiation has been done with bryophytes from rocky habitats that are … Our aim was to study the variability of UV protection in 23 bryophytes belonging to three …","https://www.jstor.org/stable/pdf/43189145.pdf","https://scholar.google.com/scholar?q=related:lBwVuNopBLEJ:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
22,"L Tessier, JL Boisvert","Performance of terrestrial bryophytes as biomonitors of atmospheric pollution. A review",1999,"Toxicological &Environmental Chemistry","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/02772249909358655","https://scholar.google.com/scholar?cites=9219238247769061112&as_sdt=2005&sciodt=2007&hl=en",14,"2024-07-05 12:15:44","","10.1080/02772249909358655","","",,,,,22,0.88,11,2,25,"… Bryophytes that live on the soil can potentially trap or absorb any lithophilic particulate contaminants (by wind-blown dust). Species that live on tree's bark could also be contaminated by …","https://www.researchgate.net/profile/Louis-Tessier/publication/250894415_Performance_of_terrestrial_bryophytes_as_biomonitors_of_atmospheric_pollution_A_review/links/5706a95408aed73c8548a2b0/Performance-of-terrestrial-bryophytes-as-biomonitors-of-atmospheric-pollution-A-review.pdf","https://scholar.google.com/scholar?q=related:-Db4OVdQ8X8J:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
5,"MM Ghatge, SD Shaikh, M Dongare","Study on the metal absorption by two bryophytes from Koyana wildlife sanctuary (India)",2011,"Journal of Experimental Sciences","core.ac.uk","https://core.ac.uk/download/pdf/236016144.pdf","https://scholar.google.com/scholar?cites=5496170091534390378&as_sdt=2005&sciodt=2007&hl=en",15,"2024-07-05 12:15:44","PDF","","","",,,,,5,0.38,2,3,13,"Two bryophyte species Asterella angusta Beauv. and Cyathodium tuberosum Kash. growing across different regions of Koyana wildlife sanctuary have been used as indicators of metal …","https://core.ac.uk/download/pdf/236016144.pdf","https://scholar.google.com/scholar?q=related:apQIC5RRRkwJ:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
12,"G Soriano, MÁ Del-Castillo-Alonso…","Acclimation of bryophytes to sun conditions, in comparison to shade conditions, is influenced by both photosynthetic and ultraviolet radiations",2019,"Frontiers in Plant …","frontiersin.org","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2019.00998/full","https://scholar.google.com/scholar?cites=1392208967908392749&as_sdt=2005&sciodt=2007&hl=en",16,"2024-07-05 12:15:44","HTML","10.3389/fpls.2019.00998","","",,,,,12,2.40,4,3,5,"… Plants and algae are capable of efficiently absorbing and utilizing photosynthetically active … Thus, in order to absorb enough PAR for photosynthesis but, at the same time, prevent the …","https://www.frontiersin.org/journals/plant-science/articles/10.3389/fpls.2019.00998/full","https://scholar.google.com/scholar?q=related:Lf9KGa4eUhMJ:scholar.google.com/&scioq=bryophyte*+absorption&hl=en&as_sdt=2007"
