Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
3,"EA Finne, JW Bjerke, R Erlandsson…","Variation in albedo and other vegetation characteristics in non-forested northern ecosystems: the role of lichens and mosses",2023,"Environmental …","iopscience.iop.org","https://iopscience.iop.org/article/10.1088/1748-9326/ace06d/meta","https://scholar.google.com/scholar?cites=17051320235811003163&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-08 10:50:11","","10.1088/1748-9326/ace06d","","",,,,,3,3.00,1,4,1,"… highest albedo values reported from bryophyte-dominated vegetation and emphasise the importance of humidity-mediated variability in albedo, eg in remotely assessed albedo from …","https://iopscience.iop.org/article/10.1088/1748-9326/ace06d/pdf","https://scholar.google.com/scholar?q=related:G9vxpml1ouwJ:scholar.google.com/&scioq=bryophyte*+albedo&hl=en&as_sdt=2007"
64,"PC Stoy, LE Street, AV Johnson…","Temperature, heat flux, and reflectance of common subarctic mosses and lichens under field conditions: might changes to community composition impact climate …",2012,"Arctic, antarctic, and …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1657/1938-4246-44.4.500","https://scholar.google.com/scholar?cites=710307706349096607&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-08 10:50:11","","10.1657/1938-4246-44.4.500","","",,,,,64,5.33,16,4,12,"… system, we investigated differences in albedo and land surface … bryophyte and lichen species due to differences in albedo, … surface albedo and temperature from changes in bryophyte …","https://www.tandfonline.com/doi/pdf/10.1657/1938-4246-44.4.500","https://scholar.google.com/scholar?q=related:nw4pdhiF2wkJ:scholar.google.com/&scioq=bryophyte*+albedo&hl=en&as_sdt=2007"
119,"NA Soudzilovskaia, PM van Bodegom…","Dominant bryophyte control over high‐latitude soil temperature fluctuations predicted by heat transfer traits, field moisture regime and laws of thermal insulation",2013,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.12127","https://scholar.google.com/scholar?cites=1889312717736910225&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-08 10:50:11","","10.1111/1365-2435.12127","","",,,,,119,10.82,40,3,11,"… mats can be modelled as top organic soil layers with possibly distinct albedo, but the thermal properties as determined in this study and depending solely on water availability. Such …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12127","https://scholar.google.com/scholar?q=related:kR1WIugvOBoJ:scholar.google.com/&scioq=bryophyte*+albedo&hl=en&as_sdt=2007"
33,"P Aartsma, J Asplund, A Odland…","Surface albedo of alpine lichen heaths and shrub vegetation",2020,"Arctic, Antarctic, and …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/15230430.2020.1778890","https://scholar.google.com/scholar?cites=10651108282469944868&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-08 10:50:11","","10.1080/15230430.2020.1778890","","",,,,,33,8.25,8,4,4,"… high albedo of lichens but solely the insulating effect of bryophytes and lichens. Therefore, the cooling effect of lichens on the soil might be even larger when the high albedo measured …","https://www.tandfonline.com/doi/pdf/10.1080/15230430.2020.1778890","https://scholar.google.com/scholar?q=related:JI7XCI1W0JMJ:scholar.google.com/&scioq=bryophyte*+albedo&hl=en&as_sdt=2007"
116,"P Porada, A Ekici, C Beer","Effects of bryophyte and lichen cover on permafrost soil temperature at large scale",2016,"The Cryosphere","tc.copernicus.org","https://tc.copernicus.org/preprints/tc-2015-223/","https://scholar.google.com/scholar?cites=18200084384856222457&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-08 10:50:11","","","","",,,,,116,14.50,39,3,8,"… the effect of bryophytes and lichens on surface albedo, since … albedo to the bryophyte and lichen PFT in JSBACH, we thus assume that the albedo of the PFT is similar to the soil albedo. …","https://tc.copernicus.org/articles/10/2291/2016/tc-10-2291-2016.pdf","https://scholar.google.com/scholar?q=related:-Sp94VGwk_wJ:scholar.google.com/&scioq=bryophyte*+albedo&hl=en&as_sdt=2007"
64,"LE Street, PC Stoy, M Sommerkorn…","Seasonal bryophyte productivity in the sub‐Arctic: a comparison with vascular plants",2012,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2435.2011.01954.x","https://scholar.google.com/scholar?cites=15710584633090421497&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-08 10:50:11","","10.1111/j.1365-2435.2011.01954.x","","",,,,,64,5.33,16,4,12,"… Our objective was to quantify land‐surface CO 2 fluxes for common sub‐Arctic bryophyte … in bryophyte photosynthetic capacity are important in determining ΣP B for both bryophyte …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2435.2011.01954.x","https://scholar.google.com/scholar?q=related:-bIQTXw1B9oJ:scholar.google.com/&scioq=bryophyte*+albedo&hl=en&as_sdt=2007"
39,"S Tsuyuzaki, K Kushida, Y Kodama","Recovery of surface albedo and plant cover after wildfire in a Picea mariana forest in interior Alaska",2009,"Climatic change","Springer","https://link.springer.com/article/10.1007/s10584-008-9505-y","https://scholar.google.com/scholar?cites=6452558541186073894&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-08 10:50:11","","10.1007/s10584-008-9505-y","","",,,,,39,2.60,13,3,15,"… albedo changes with plant succession. To understand interactions between albedo and ecosystem recovery after wildfire, surface albedo … the determinants on surface albedo. Multiple …","https://link.springer.com/content/pdf/10.1007/s10584-008-9505-y.pdf","https://scholar.google.com/scholar?q=related:JgXPW84XjFkJ:scholar.google.com/&scioq=bryophyte*+albedo&hl=en&as_sdt=2007"
119,"WA Rutherford, TH Painter, S Ferrenberg, J Belnap…","Albedo feedbacks to future climate via climate change impacts on dryland biocrusts",2017,"Scientific Reports","nature.com","https://www.nature.com/articles/srep44188","https://scholar.google.com/scholar?cites=967455904017756552&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-08 10:50:11","HTML","","","",,,,,119,17.00,24,5,7,"… albedo via multi-angle, solar-reflectance measurements. Warming and watering treatments each led to large increases in albedo (>30%… A rise in dryland surface albedo may represent a …","https://www.nature.com/articles/srep44188","https://scholar.google.com/scholar?q=related:iDHV1gQYbQ0J:scholar.google.com/&scioq=bryophyte*+albedo&hl=en&as_sdt=2007"
5,"S Reinhardt, P Aartsma, K Skøyen…","Shrub encroachment interacts with environmental variation to reduce the albedo of alpine lichen heaths: an experimental study",2022,"Nordic Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/njb.03314","https://scholar.google.com/scholar?cites=10059825053475071559&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-08 10:50:11","","10.1111/njb.03314","","",,,,,5,2.50,1,4,2,"… Environmental factors also influence the surface albedo, but have often … albedos of the lichen species Cladonia stellaris, Flavocetraria nivalis and Cetraria islandica, and how albedo …","https://onlinelibrary.wiley.com/doi/full/10.1111/njb.03314","https://scholar.google.com/scholar?q=related:R-b0Ppatm4sJ:scholar.google.com/&scioq=bryophyte*+albedo&hl=en&as_sdt=2007"
183,"JF Weltzin, C Harth, SD Bridgham, J Pastor…","Production and microtopography of bog bryophytes: response to warming and water-table manipulations",2001,"Oecologia","Springer","https://link.springer.com/article/10.1007/s004420100691","https://scholar.google.com/scholar?cites=12921079724778130887&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-08 10:50:11","","10.1007/s004420100691","","",,,,,183,7.96,37,5,23,"… the bryophyte community can contribute the majority of aboveground production in bogs, we investigated how microscale topography affects the response of bryophyte … of the bryophyte …","https://link.springer.com/content/pdf/10.1007/s004420100691.pdf","https://scholar.google.com/scholar?q=related:xw3nBY3lULMJ:scholar.google.com/&scioq=bryophyte*+albedo&hl=en&as_sdt=2007"
