Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
340,"M Marschall, MCF Proctor","Are Bryophytes Shade Plants? Photosynthetic Light Responses and Proportions of Chlorophyll a, Chlorophyll b and Total Carotenoids",2004,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/94/4/593/189774","https://scholar.google.com/scholar?cites=5584578008632036743&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-05 12:50:12","","","","",,,,,340,17.00,170,2,20,"… of chlorophyll a to chlorophyll b, and of total chlorophylls to total carotenoids, are related to habitat and to the light-response of photosynthesis in bryophytes. Chlorophyll fluorescence …","https://academic.oup.com/aob/article/94/4/593/189774","https://scholar.google.com/scholar?q=related:h434SBxogE0J:scholar.google.com/&scioq=bryophyte*+chlorophyll&hl=en&as_sdt=2007"
19,"MCF Proctor, JW Bates","Chlorophyll-fluorescence measurements in bryophytes: evidence for three main types of light-curve response",2018,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03736687.2017.1407280","https://scholar.google.com/scholar?cites=15941809565058777755&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-05 12:50:12","","10.1080/03736687.2017.1407280","","",,,,,19,3.17,10,2,6,"… chlorophyll fluorometry to survey the photosynthetic responses of numerous bryophytes to a … , electron transport rate (ETR) in bryophytes follows a saturation curve closely fitted by a …","","https://scholar.google.com/scholar?q=related:m8JAClavPN0J:scholar.google.com/&scioq=bryophyte*+chlorophyll&hl=en&as_sdt=2007"
12,"P Świsłowski, M Rajfur, M Wacławek","Influence of Heavy Metal Concentration on Chlorophyll Content in Mosses",2020,"Ecological Chemistry and …","sciendo.com","https://sciendo.com/article/10.2478/eces-2020-0037","https://scholar.google.com/scholar?cites=3841909726484228736&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-05 12:50:12","","10.2478/eces-2020-0037","","",,,,,12,3.00,4,3,4,"… clearly influence the changes in chlorophyll content. The carried … factor, which influences chlorophyll content in mosses as … for fast chlorophyll a fluorescence measurement in bryophyte …","https://sciendo.com/pdf/10.2478/eces-2020-0037","https://scholar.google.com/scholar?q=related:gOo1eoo0UTUJ:scholar.google.com/&scioq=bryophyte*+chlorophyll&hl=en&as_sdt=2007"
78,"MCF Proctor","Experiments on the effect of different intensities of desiccation on bryophyte survival, using chlorophyll fluorescence as an index of recovery",2003,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/037366803235001652","https://scholar.google.com/scholar?cites=1026358156453746181&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-05 12:50:12","","10.1179/037366803235001652","","",,,,,78,3.71,78,1,21,"… on survival of a range of bryophytes. Chlorophyll fluorescence was used as an index of … Good introductory explanations of the basis of chlorophyll-fluorescence methods, and of the …","","https://scholar.google.com/scholar?q=related:BRbAL05bPg4J:scholar.google.com/&scioq=bryophyte*+chlorophyll&hl=en&as_sdt=2007"
39,"E Rincón","Growth responses of six bryophyte species to different light intensities",1993,"Canadian journal of botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/b93-076","https://scholar.google.com/scholar?cites=16622909704934856334&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-05 12:50:12","","10.1139/b93-076","","",,,,,39,1.26,39,1,31,"… responses to light of bryophyte species of more productive … bryophytes of contrasting ecology to seven irradiance levels. The concentration of total chlorophyll and the ratio of chlorophyll …","","https://scholar.google.com/scholar?q=related:jhYJAE5wsOYJ:scholar.google.com/&scioq=bryophyte*+chlorophyll&hl=en&as_sdt=2007"
57,"Z Tuba, DK Saxena, K Srivastava, S Singh, S Czobel…","Chlorophyll a fluorescence measurements for validating the tolerant bryophytes for heavy metal (Pb) biomapping",2010,"Current Science","JSTOR","https://www.jstor.org/stable/24108223","https://scholar.google.com/scholar?cites=9336330619734420900&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-05 12:50:12","","","","",,,,,57,4.07,10,6,14,"… Chlorophyll a fluorescence measurement has been used as a probe to examine and compare the tolerance of bryophytes … was mea sured in selected bryophytes to study their quantum …","https://www.jstor.org/stable/pdf/24108223.pdf","https://scholar.google.com/scholar?q=related:pG3fjjtPkYEJ:scholar.google.com/&scioq=bryophyte*+chlorophyll&hl=en&as_sdt=2007"
12,"FT Wolf","Comparative chlorophyll content of the two generations of bryophytes",1958,"Nature","nature.com","https://www.nature.com/articles/181579a0","https://scholar.google.com/scholar?cites=1427806590941773549&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-05 12:50:12","","","","",,,,,12,0.18,12,1,66,"… THE occurrence of chlorophyll in the sporophyte of Bryophytes … , finding that all of them contain chlorophylls a and b, as in higher … in chlorophylls a and b or carotenoids were found 5 . …","https://www.nature.com/articles/181579a0.pdf","https://scholar.google.com/scholar?q=related:7b4LlYeW0BMJ:scholar.google.com/&scioq=bryophyte*+chlorophyll&hl=en&as_sdt=2007"
14,"A SABOVLJEVIĆ, M SABOVLJEVIĆ…","Effects of different cytokinins on chlorophyll retention in the moss Bryum argenteum (Bryaceae)",2010,"Periodicum …","hrcak.srce.hr","https://hrcak.srce.hr/clanak/88177","https://scholar.google.com/scholar?cites=3223540020255550810&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-05 12:50:12","","","","",,,,,14,1.00,5,3,14,"… It is reported that bryophytes typically have low chlorophyll a / b ratios (16), which is in … for more investigations of chlorophyll eco-physiology and biochemistry in bryophytes, which share …","https://hrcak.srce.hr/file/88177","https://scholar.google.com/scholar?q=related:Wm2WwpFQvCwJ:scholar.google.com/&scioq=bryophyte*+chlorophyll&hl=en&as_sdt=2007"
28,"H Fredericq, JD Greef","Photomorphogenic and Chlorophyll Studies in the Bryophyte Marchantia polymorpha I. Effect of Red, Far‐red Irradiations in Short and Long‐term Experiments",1968,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.1968.tb07258.x","https://scholar.google.com/scholar?cites=11254835224111540399&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-05 12:50:12","","10.1111/j.1399-3054.1968.tb07258.x","","",,,,,28,0.50,14,2,56,"… , with 60 to 70 per cent less chlorophyll α than in the controls. The … The FR‐induced chlorophyll decrease can be explained by … chlorophyll catabolism in FR‐treated than in control thalli. …","","https://scholar.google.com/scholar?q=related:r-i4cgE1MZwJ:scholar.google.com/&scioq=bryophyte*+chlorophyll&hl=en&as_sdt=2007"
46,"J Martínez-Abaigar, E Núñez-Olivera…","Seasonal changes in photosynthetic pigment composition of aquatic bryophytes",1994,"Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1994.18.1.97","https://scholar.google.com/scholar?cites=5562863225244998975&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-05 12:50:12","","10.1179/jbr.1994.18.1.97","","",,,,,46,1.53,15,3,30,"… We include results of chlorophyll content in area units since most of the results on bryophytes have been expressed on the basis of dry weight, but shoot area is more directly related to …","","https://scholar.google.com/scholar?q=related:P93PSqFCM00J:scholar.google.com/&scioq=bryophyte*+chlorophyll&hl=en&as_sdt=2007"
38,"EM Aro","A comparison of the chlorophyll-protein composition and chloroplast ultrastructure in two bryophytes and two higher plants",1982,"Zeitschrift für Pflanzenphysiologie","Elsevier","https://www.sciencedirect.com/science/article/pii/S0044328X82800603","https://scholar.google.com/scholar?cites=16476824691258943266&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-05 12:50:12","","","","",,,,,38,0.90,38,1,42,"… In this study the distribution of chlorophyll between the different chlorophyll-pro… bryophytes and two higher plants. The effect of the quantum flux density during growth on the chlorophyll-…","","https://scholar.google.com/scholar?q=related:IuffPMJwqeQJ:scholar.google.com/&scioq=bryophyte*+chlorophyll&hl=en&as_sdt=2007"
