Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
87,"M Carriquí, M Roig‐Oliver, TJ Brodribb…","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15675","https://scholar.google.com/scholar?cites=15130846546578363027&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-03 14:02:46","","10.1111/nph.15675","","",,,,,87,17.40,22,4,5,"… rates and nonstomatal diffusion conductance reported for terrestrial … why bryophytes lie at the lower end of the leaf economics spectrum is their strong nonstomatal diffusion conductance …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15675","https://scholar.google.com/scholar?q=related:k9K_d8SQ-9EJ:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
100,"SK Rice, D Collins, AM Anderson","Functional significance of variation in bryophyte canopy structure",2001,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/3558400","https://scholar.google.com/scholar?cites=6747108168357937817&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-03 14:02:46","","10.2307/3558400","","",,,,,100,4.35,33,3,23,"… as opposed to laminar boundary layers, and conductance increased with surface roughness. Bryophyte canopies with higher L r had greater conductances at all wind speeds. Particle …","https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.2307/3558400","https://scholar.google.com/scholar?q=related:mYIcpCGLol0J:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
119,"NA Soudzilovskaia, PM van Bodegom…","Dominant bryophyte control over high‐latitude soil temperature fluctuations predicted by heat transfer traits, field moisture regime and laws of thermal insulation",2013,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.12127","https://scholar.google.com/scholar?cites=1889312717736910225&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-03 14:02:46","","10.1111/1365-2435.12127","","",,,,,119,10.82,40,3,11,"… that might cool bryophyte mats. Here, we aim to unravel whether the heat transfer … bryophyte mats varies among bryophyte species, and among ecosystems, and if so, which bryophyte …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12127","https://scholar.google.com/scholar?q=related:kR1WIugvOBoJ:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
10,"C Atala","Water transport and gas exchange in the non-vascular plant Dendroligotrichum dendroides (Brid. ex Hedw.) Broth.(Polytrichaceae, Bryophyta)",2011,"Gayana Botánica","revistas.udec.cl","http://revistas.udec.cl/index.php/gayana_botanica/article/view/4393","https://scholar.google.com/scholar?cites=6356895650656203023&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-03 14:02:46","","","","",,,,,10,0.77,10,1,13,"… evapotranspiration (E) and stomatal conductance (gs) in the … conductance would roughly represent leaf-air conductance. … the large plant height (for a bryophyte). Biophysically, a plant …","https://revistas.udec.cl/index.php/gayana_botanica/article/download/4393/4265","https://scholar.google.com/scholar?q=related:D7GW--k6OFgJ:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
8,"AV Perera-Castro, MJ Waterman…","Limitations to photosynthesis in bryophytes: certainties and uncertainties regarding methodology",2022,"Journal of …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/73/13/4592/6582294","https://scholar.google.com/scholar?cites=16997849184352517275&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-03 14:02:46","","","","",,,,,8,4.00,3,3,2,"… biochemistry and mesophyll conductance in bryophytes reveal discrepancies based … conductance: variable J and the curve-fitting method. Although correlated, mesophyll conductance …","","https://scholar.google.com/scholar?q=related:m7z-UsZ95OsJ:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
26,"J Kubásek, T Hájek, JM Glime","Bryophyte photosynthesis in sunflecks: greater relative induction rate than in tracheophytes",2014,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282014Y.0000000096","https://scholar.google.com/scholar?cites=10677842826518086467&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-03 14:02:46","","10.1179/1743282014Y.0000000096","","",,,,,26,2.60,9,3,10,"… exchange chamber, particularly the high boundary layer conductance for H 2 O and CO 2 , … to the natural bryophyte environment as the CO 2 concentration on the bryophyte surface only …","","https://scholar.google.com/scholar?q=related:Q0MQInpRL5QJ:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
6,"AV Perera-Castro…","When time is not of the essence: constraints to the carbon balance of bryophytes",2022,"Journal of …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/73/13/4562/6550077","https://scholar.google.com/scholar?cites=15816416696765276384&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-03 14:02:46","","","","",,,,,6,3.00,3,2,2,"… mesophyll conductance values reported for bryophytes (internal non-stomatal conductance)… N must be different in tracheophytes and bryophytes, since bryophytes can deal with high T …","","https://scholar.google.com/scholar?q=related:4GBAzi8zf9sJ:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
38,"JA Raven, H Griffiths, EC Smith…","New perspectives in the biophysics and physiology of bryophytes",2018,"Bryology for the twenty …","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.1201/9781315138626-18/new-perspectives-biophysics-physiology-bryophytes-raven-griffiths-smith-vaughn","https://scholar.google.com/scholar?cites=3441333362896823485&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-03 14:02:46","","10.1201/9781315138626-18","","",,,,,38,6.33,10,4,6,"… studying CO2 supply constraints in that majority of bryophytes which have C3 physiology shows agreement with other estimates of CO2 conductances in some cases. However, we still …","","https://scholar.google.com/scholar?q=related:vWQq6XUSwi8J:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
129,"NA Soudzilovskaia, BJ Graae, JC Douma…","How do bryophytes govern generative recruitment of vascular plants?",2011,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2011.03644.x","https://scholar.google.com/scholar?cites=10113056633295865941&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-03 14:02:46","","10.1111/j.1469-8137.2011.03644.x","","",,,,,129,9.92,32,4,13,"… Interactions between vascular plants and bryophytes determine … bryophytes with respect to their effects on vascular plants. We compared the extent to which species-specific bryophyte …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1469-8137.2011.03644.x","https://scholar.google.com/scholar?q=related:VQgCPW3LWIwJ:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
27,"SK Rice","The cost of capillary integration for bryophyte canopy water and carbon dynamics",2012,"Lindbergia","JSTOR","https://www.jstor.org/stable/pdf/lindbergia.35.53.pdf","https://scholar.google.com/scholar?cites=4888624241680876080&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-03 14:02:46","PDF","","","",,,,,27,2.25,27,1,12,"… Like other canopy-level traits in bryophytes, there are likely many ways to achieve similar functionality as water conductance is a complex function of characteristics that span cell wall …","https://www.jstor.org/stable/pdf/lindbergia.35.53.pdf","https://scholar.google.com/scholar?q=related:MILAxdjh10MJ:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
60,"S Wagner, MY Bader, G Zotz","Physiological ecology of tropical bryophytes",2014,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_15","https://scholar.google.com/scholar?cites=10377265045484087592&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-03 14:02:46","","10.1007/978-94-007-6988-5_15","","",,,,,60,6.00,20,3,10,"… bryophytes attempting to explain some of these abundance patterns, in particular the marked increase in bryophyte … that the surprisingly low bryophyte abundance in lowland rainforests …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=289","https://scholar.google.com/scholar?q=related:KCko6JNzA5AJ:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
18,"AV Perera-Castro, M Nadal…","What drives photosynthesis during desiccation? Mosses and other outliers from the photosynthesis–elasticity trade-off",2020,"Journal of Experimental …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/71/20/6460/5873698","https://scholar.google.com/scholar?cites=7489474961583334706&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-03 14:02:46","","","","",,,,,18,4.50,6,3,4,"… This paper provides evidence for the divergence of bryophytes, charophytes, and some … outside xylem (K ox ) conductance, foliar water uptake, and minimum conductance. K x is then …","https://academic.oup.com/jxb/article/71/20/6460/5873698","https://scholar.google.com/scholar?q=related:MmVb78v172cJ:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
44,"T Hájek","Physiological ecology of peatland bryophytes",2013,"Photosynthesis in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_13","https://scholar.google.com/scholar?cites=5335692331972320140&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-03 14:02:46","","10.1007/978-94-007-6988-5_13","","",,,,,44,4.00,44,1,11,"… bryophytes face specific physical conditions; they are exposed to direct sunlight, but due to their permanent hydration they do not escape by drying as typical xeric bryophytes … bryophyte …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=254","https://scholar.google.com/scholar?q=related:jFv8_ecvDEoJ:scholar.google.com/&scioq=bryophyte*+conductance&hl=en&as_sdt=2007"
