Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
49,"MCF Proctor, N Smirnoff","Ecophysiology of photosynthesis in bryophytes: major roles for oxygen photoreduction and non‐photochemical quenching?",2011,"Physiologia Plantarum","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.2010.01424.x","https://scholar.google.com/scholar?cites=5260174282519153842&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-05 15:33:28","","10.1111/j.1399-3054.2010.01424.x","","",,,,,49,3.77,25,2,13,"… Consistent with this, mosses were highly tolerant to paraquat, which generates superoxide … energy in mosses involves high capacity for photosynthetic electron transport to oxygen and …","","https://scholar.google.com/scholar?q=related:sgwz7qPk_0gJ:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
87,"M Carriquí, M Roig‐Oliver, TJ Brodribb…","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15675","https://scholar.google.com/scholar?cites=15130846546578363027&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-05 15:33:28","","10.1111/nph.15675","","",,,,,87,17.40,22,4,5,"… Maximum velocity of carboxylation V c,max , chloroplastic CO 2 concentration C c and electron transport rate ETR also varied strongly across species, but non-photorespiratory day …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15675","https://scholar.google.com/scholar?q=related:k9K_d8SQ-9EJ:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
13,"SK Rice, DT Hanson, Z Portman","Structural and functional analyses of bryophyte canopies",2013,"… in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_10","https://scholar.google.com/scholar?cites=10577720432462383968&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-05 15:33:28","","10.1007/978-94-007-6988-5_10","","",,,,,13,1.18,4,3,11,"… electron transport (RETR; rate of electron transport scaled between 0 and 1 for each sample) at 0.3 mm spatial scales (Fig. 10.1; for basics on chlorophyll a fluorescence, see Govindjee …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=197","https://scholar.google.com/scholar?q=related:YMtPrrCcy5IJ:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
9,"M Marschall","Ecophysiology of bryophytes in a changing environment",2017,"Acta Biologica Plantarum Agriensis","real.mtak.hu","https://real.mtak.hu/71854/","https://scholar.google.com/scholar?cites=6334056994183742010&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-05 15:33:28","","","","",,,,,9,1.29,9,1,7,"… Bryophytes basically differ from tracheophytes in having a … Bryophytes are able to lose most of their cell water without … phenomenon among bryophytes: cells of bryophytes in exposed …","https://real.mtak.hu/71854/1/ABPA_5%282%29_from61to70.pdf","https://scholar.google.com/scholar?q=related:OoJm5UYX51cJ:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
1,"RJ Ritchie, S Sma-Air","Photosynthetic electron transport in a tropical moss Hyophila involuta",2023,"The Bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-126/issue-1/0007-2745-126.1.052/Photosynthetic-electron-transport-in-a-tropical-moss-Hyophila-involuta/10.1639/0007-2745-126.1.052.short","https://scholar.google.com/scholar?cites=11298516861359335689&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-05 15:33:28","","10.1639/0007-2745-126.1.052.short","","",,,,,1,1.00,1,2,1,"… The bryophytes where a CCM mechanism has been identified experimentally were aquatic, not terrestrial bryophytes (… where, ETR is electron transport rate as a measure of the …","","https://scholar.google.com/scholar?q=related:CakVKjllzJwJ:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
38,"JA Raven, H Griffiths, EC Smith…","New perspectives in the biophysics and physiology of bryophytes",2018,"Bryology for the twenty …","taylorfrancis.com","https://www.taylorfrancis.com/chapters/edit/10.1201/9781315138626-18/new-perspectives-biophysics-physiology-bryophytes-raven-griffiths-smith-vaughn","https://scholar.google.com/scholar?cites=3441333362896823485&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-05 15:33:28","","10.1201/9781315138626-18","","",,,,,38,6.33,10,4,6,"This chapter describes advances in the biophysics of membrane transport, and the biochemistry of CO2 fixation, in bryophytes. The fundamentals of transport of the plasmalemma and …","","https://scholar.google.com/scholar?q=related:vWQq6XUSwi8J:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
122,"U Heber, NG Bukhov, VA Shuvalov…","Protection of the photosynthetic apparatus against damage by excessive illumination in homoiohydric leaves and poikilohydric mosses and lichens",2001,"Journal of …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/52/363/1999/488450","https://scholar.google.com/scholar?cites=3555155726880382396&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-05 15:33:28","","","","",,,,,122,5.30,31,4,23,"… of higher plants, mosses and lichens is reviewed … electron transport chain for coupled cyclic electron transport rather than acting as an efficient electron sink. Coupled electron transport …","https://academic.oup.com/jxb/article/52/363/1999/488450","https://scholar.google.com/scholar?q=related:vJ3mLUxzVjEJ:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
103,"A Alboresi, M Storti, T Morosinotto","Balancing protection and efficiency in the regulation of photosynthetic electron transport across plant evolution",2019,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15372","https://scholar.google.com/scholar?cites=7599457608604349992&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-05 15:33:28","","10.1111/nph.15372","","",,,,,103,20.60,34,3,5,"… electron transport have been identified and are unevenly distributed among photosynthetic organisms. Flavodiiron proteins (FLVs) influence photosynthetic electron transport … mosses to …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15372","https://scholar.google.com/scholar?q=related:KHaAbm6ydmkJ:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
28,"J Peñuelas, J Murillo, J Azcón-Bieto","Actual and potential dark respiration rates and different electron transport pathways in freshwater aquatic plants",1988,"Aquatic botany","Elsevier","https://www.sciencedirect.com/science/article/pii/0304377088900678","https://scholar.google.com/scholar?cites=3363088800029105531&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-05 15:33:28","","","","",,,,,28,0.78,9,3,36,"… The rates for the shoots of bryophytes (53-66/tmol 02 (gDW) - 1 h- 1 ) and for the alga … of electron-transport system (ETS) activity showed that there is a large electron-transport …","","https://scholar.google.com/scholar?q=related:e13U-XEXrC4J:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
87,"U Heber, W Bilger, R Bligny, OL Lange","Phototolerance of lichens, mosses and higher plants in an alpine environment: analysis of photoreactions",2000,"Planta","Springer","https://link.springer.com/article/10.1007/s004250000356","https://scholar.google.com/scholar?cites=4967397393379349180&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-05 15:33:28","","10.1007/s004250000356","","",,,,,87,3.63,22,4,24,"… cyclic electron transport is suggested to occur concurrently with linear electron transport … anaerobic thylakoid acidification by persistent cyclic electron transport. In the absence of actinic …","https://link.springer.com/content/pdf/10.1007/s004250000356.pdf","https://scholar.google.com/scholar?q=related:vNKTYpy970QJ:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
137,"P Ilík, A Pavlovič, R Kouřil, A Alboresi…","Alternative electron transport mediated by flavodiiron proteins is operational in organisms from cyanobacteria up to gymnosperms",2017,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.14536","https://scholar.google.com/scholar?cites=5196698844624032140&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-05 15:33:28","","10.1111/nph.14536","","",,,,,137,19.57,27,5,7,"… of FDP-mediated electron transport in representatives of all … FDP-mediated alternative electron transport from PSI to O 2 … of the photosynthetic electron transport chain. When the FDP-…","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.14536","https://scholar.google.com/scholar?q=related:jJF_3hBiHkgJ:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
19,"MCF Proctor, JW Bates","Chlorophyll-fluorescence measurements in bryophytes: evidence for three main types of light-curve response",2018,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/03736687.2017.1407280","https://scholar.google.com/scholar?cites=15941809565058777755&as_sdt=2005&sciodt=2007&hl=en",12,"2024-07-05 15:33:28","","10.1080/03736687.2017.1407280","","",,,,,19,3.17,10,2,6,"… bryophytes to a range of light intensities employing the ‘light curve’ approach. Initially, as light intensity is increased in a stepwise manner, electron transport rate (ETR) in bryophytes …","","https://scholar.google.com/scholar?q=related:m8JAClavPN0J:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
17,"MCF Proctor, N Smirnoff","Photoprotection in bryophytes: rate and extent of dark relaxation of non-photochemical quenching of chlorophyll fluorescence",2015,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282015Y.0000000001","https://scholar.google.com/scholar?cites=16329410286383049218&as_sdt=2005&sciodt=2007&hl=en",13,"2024-07-05 15:33:28","","10.1179/1743282015Y.0000000001","","",,,,,17,1.89,9,2,9,"… Figure 4 shows the PPFD responses of electron transport (RETR), the photochemical quenching parameter q P (plotted as 1–q P , an approximate measure of the reduction state of Q A …","","https://scholar.google.com/scholar?q=related:Aqp4dyO4neIJ:scholar.google.com/&scioq=bryophyte*+%22electron+transport%22&hl=en&as_sdt=2007"
