Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
116,"P Porada, A Ekici, C Beer","Effects of bryophyte and lichen cover on permafrost soil temperature at large scale",2016,"The Cryosphere","tc.copernicus.org","https://tc.copernicus.org/preprints/tc-2015-223/","https://scholar.google.com/scholar?cites=18200084384856222457&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-05 15:55:42","","","","",,,,,116,14.50,39,3,8,"… These properties include the dependency of bryophyte and lichen heat conduction on moisture and ice content as well as the relation of productivity and, consequently, surface …","https://tc.copernicus.org/articles/10/2291/2016/tc-10-2291-2016.pdf","https://scholar.google.com/scholar?q=related:-Sp94VGwk_wJ:scholar.google.com/&scioq=bryophyte*+%22heat+conduction%22&hl=en&as_sdt=2007"
61,"S Launiainen, GG Katul, A Lauren, P Kolari","Coupling boreal forest CO2, H2O and energy flows by a vertically structured forest canopy–Soil model with separate bryophyte layer",2015,"Ecological modelling","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304380015002562","https://scholar.google.com/scholar?cites=18382751504867999675&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-05 15:55:42","","","","",,,,,61,6.78,15,4,9,"… is the bryophyte layer … Heat conduction between the living bryophytes and the topmost soil layer is(28) G m = λ h T m − T s , 1 Δ z m + Δ z s 1 , where Δz m is the height of the bryophyte …","","https://scholar.google.com/scholar?q=related:uz_vARmnHP8J:scholar.google.com/&scioq=bryophyte*+%22heat+conduction%22&hl=en&as_sdt=2007"
14,"WA Stoner, PC Miller, WC Oechel","Simulation of the effect of the tundra vascular plant canopy on the productivity of four plant species",1978,"… and production ecology of an Alaskan …","Springer","https://link.springer.com/chapter/10.1007/978-1-4612-6307-4_16","https://scholar.google.com/scholar?cites=7752344139799760483&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-05 15:55:42","","10.1007/978-1-4612-6307-4_16","","",,,,,14,0.30,5,3,46,"… The heat conduction … mosses, although the trend with increasing water stress was the same (Table 4). As water stress increased, the efficiency of water use declined. Of the two mosses, …","https://www.researchgate.net/profile/Walter-Oechel/publication/290617431_Simulation_of_the_Effect_of_the_Tundra_Vascular_Plant_Canopy_on_the_Productivity_of_Four_Plant_Species/links/56f2debf08ae7c1fda2843ba/Simulation-of-the-Effect-of-the-Tundra-Vascular-Plant-Canopy-on-the-Productivity-of-Four-Plant-Species.pdf","https://scholar.google.com/scholar?q=related:Y45Y5evblWsJ:scholar.google.com/&scioq=bryophyte*+%22heat+conduction%22&hl=en&as_sdt=2007"
49,"H Park, S Launiainen, PY Konstantinov…","Modeling the effect of moss cover on soil temperature and carbon fluxes at a tundra site in northeastern Siberia",2018,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2018jg004491","https://scholar.google.com/scholar?cites=4958760740448732755&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-05 15:55:42","","10.1029/2018jg004491","","",,,,,49,8.17,12,4,6,"… Mosses strongly affect water and heat fluxes due their high water holding capacity and the … G s is the heat conduction from the bottom snow layer when snow covers the moss, and f s is …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/2018JG004491","https://scholar.google.com/scholar?q=related:U4aZ7J4O0UQJ:scholar.google.com/&scioq=bryophyte*+%22heat+conduction%22&hl=en&as_sdt=2007"
1,"H Boyko","The biological significance of the microclimate for plants and animals",2014,"Microclimate, vegetation &gauna","brill.com","https://brill.com/downloadpdf/book/9789004297807/B9789004297807-s006.pdf","https://scholar.google.com/scholar?cites=6981072241416931973&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-05 15:55:42","","","","",,,,,1,0.10,1,1,10,"… , as well as for dark green to almost black mosses and lichens, particularly those found in high … wish to know, where k is the heat conduction coefficient of the pelage or plumage and dis …","","https://scholar.google.com/scholar?q=related:hQr_XDfA4WAJ:scholar.google.com/&scioq=bryophyte*+%22heat+conduction%22&hl=en&as_sdt=2007"
9,"S Li, F Sun, S Chamizo, B Xiao","Towards moss-dominated biocrust effects on soil temperature across seasons in drylands: Insight from continuous measurements of soil thermal properties and solar …",2022,"Geoderma","Elsevier","https://www.sciencedirect.com/science/article/pii/S001670612200218X","https://scholar.google.com/scholar?cites=2865133962421217111&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-05 15:55:42","","","","",,,,,9,4.50,2,4,2,"… In this area, biocrust are dominated by mosses of Didymodon vinealis (Brid.) Zander and … The calculation of soil thermal properties was based on the theory of radial heat conduction of a …","","https://scholar.google.com/scholar?q=related:VycGoCgAwycJ:scholar.google.com/&scioq=bryophyte*+%22heat+conduction%22&hl=en&as_sdt=2007"
24,"E Dahl","On the heat exchange of a wet vegetation surface and the ecology of Koenigia islandica",1963,"Oikos","JSTOR","https://www.jstor.org/stable/3564973","https://scholar.google.com/scholar?cites=1198269508666736098&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-05 15:55:42","","","","",,,,,24,0.39,24,1,61,"… Koenigia islandica is a small annual growing on wet gravel or sand or between wet mosses. … last by heat conduction to the soil (Hs). Conservation of energy gives the following equation …","https://www.jstor.org/stable/pdf/3564973.pdf","https://scholar.google.com/scholar?q=related:4j1D-cQboRAJ:scholar.google.com/&scioq=bryophyte*+%22heat+conduction%22&hl=en&as_sdt=2007"
142,"M Hayashi, N Goeller, WL Quinton…","A simple heat‐conduction method for simulating the frost‐table depth in hydrological models",2007,"… An International Journal","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/hyp.6792","https://scholar.google.com/scholar?cites=310658206221472230&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-05 15:55:42","","10.1002/hyp.6792","","",,,,,142,8.35,36,4,17,"… Relatively short (<5–10 m) black spruce (Picea mariana) trees grow sparsely on the plateau, and the ground cover is composed of lichens and mosses overlying sylvic peat containing …","http://www.scottycreek.com/media/documents/publications/24_Hayashi_etal_2007.pdf","https://scholar.google.com/scholar?q=related:5hFkHP6tTwQJ:scholar.google.com/&scioq=bryophyte*+%22heat+conduction%22&hl=en&as_sdt=2007"
131,"P Porada, B Weber, W Elbert, U Pöschl…","Estimating global carbon uptake by lichens and bryophytes with a process-based model",2013,"…","bg.copernicus.org","https://bg.copernicus.org/articles/10/6989/2013/","https://scholar.google.com/scholar?cites=7128808020596795127&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-05 15:55:42","","","","",,,,,131,11.91,26,5,11,"… Lichens and bryophytes are … and bryophytes, such as poikilohydry or the effect of water content on CO2 diffusivity. To incorporate the great functional variation of lichens and bryophytes …","https://bg.copernicus.org/articles/10/6989/2013/bg-10-6989-2013.pdf","https://scholar.google.com/scholar?q=related:96ag6x-d7mIJ:scholar.google.com/&scioq=bryophyte*+%22heat+conduction%22&hl=en&as_sdt=2007"
197,"JA O'Donnell, VE Romanovsky, JW Harden…","The effect of moisture content on the thermal conductivity of moss and organic soil horizons from black spruce ecosystems in interior Alaska",2009,"Soil …","journals.lww.com","https://journals.lww.com/soilsci/fulltext/2009/12000/The_Effect_of_Moisture_Content_on_the_Thermal.2.aspx","https://scholar.google.com/scholar?cites=18315986973597956049&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-05 15:55:42","","","","",,,,,197,13.13,49,4,15,"… Feather mosses (Hylocomium splendens and Pleurozium schreberi) were the dominant … -dominated ecosystems could enhance heat conduction through organic horizons via wetter soil …","https://citeseerx.ist.psu.edu/document?repid=rep1&type=pdf&doi=202bd6259c9ed46d987f9383a0a8b9b4c5dd82eb","https://scholar.google.com/scholar?q=related:0ff8Nxx1L_4J:scholar.google.com/&scioq=bryophyte*+%22heat+conduction%22&hl=en&as_sdt=2007"
