Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
62,"SM de Oliveira, H ter Steege","Bryophyte communities in the Amazon forest are regulated by height on the host tree and site elevation",2015,"Journal of Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.12359","https://scholar.google.com/scholar?cites=11565731983939821624&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-09 09:02:41","","10.1111/1365-2745.12359","","",,,,,62,6.89,31,2,9,"… epiphytic bryophytes in five height zones, from the bottom to the canopy of eight canopy trees in each of the nine localities (1 sample × 5 height … 10 × 10 cm 2 in each height zone. Five …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2745.12359","https://scholar.google.com/scholar?q=related:OGAbJva7gaAJ:scholar.google.com/&scioq=bryophyte*+height&hl=en&as_sdt=2007"
100,"SK Rice, D Collins, AM Anderson","Functional significance of variation in bryophyte canopy structure",2001,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.2307/3558400","https://scholar.google.com/scholar?cites=6747108168357937817&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-09 09:02:41","","10.2307/3558400","","",,,,,100,4.35,33,3,23,"… Therefore, we use the average height of canopy roughness elements (L r ) to distinguish different surfaces. This length has the advantage that it is measured easily from morphological …","https://bsapubs.onlinelibrary.wiley.com/doi/pdfdirect/10.2307/3558400","https://scholar.google.com/scholar?q=related:mYIcpCGLol0J:scholar.google.com/&scioq=bryophyte*+height&hl=en&as_sdt=2007"
54,"SE Trynoski, JM Glime","Direction and height of bryophytes on four species of northern trees",1982,"Bryologist","JSTOR","https://www.jstor.org/stable/3243047","https://scholar.google.com/scholar?cites=1027473876440511852&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-09 09:02:41","","","","",,,,,54,1.29,27,2,42,"… from all three heights were analyzed without regard to direction. In this test, a bryophyte's frequency at its most frequent height was compared with its frequency at the other height(s) …","https://www.jstor.org/stable/pdf/3243047.pdf","https://scholar.google.com/scholar?q=related:bPU6_QtSQg4J:scholar.google.com/&scioq=bryophyte*+height&hl=en&as_sdt=2007"
93,"C Ah-Peng, N Wilding, J Kluge, B Descamps-Julien…","Bryophyte diversity and range size distribution along two altitudinal gradients: Continent vs. island",2012,"Acta Oecologica","Elsevier","https://www.sciencedirect.com/science/article/pii/S1146609X12000501","https://scholar.google.com/scholar?cites=1857917304030647667&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-09 09:02:41","","","","",,,,,93,7.75,19,5,12,"… In each quadrat, 3 samples of 5 × 10 cm of bryophytes were randomly selected on three trees at 3 different heights (0–50 cm, 0.5–1 m and 1–2 m), when present. For each elevational …","","https://scholar.google.com/scholar?q=related:c1XMwPGlyBkJ:scholar.google.com/&scioq=bryophyte*+height&hl=en&as_sdt=2007"
94,"S Mota de Oliveira, H Ter Steege…","Niche assembly of epiphytic bryophyte communities in the Guianas: a regional approach",2009,"Journal of …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2699.2009.02144.x","https://scholar.google.com/scholar?cites=4573951831660106259&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-09 09:02:41","","10.1111/j.1365-2699.2009.02144.x","","",,,,,94,6.27,31,3,15,"… at a regional scale in shaping epiphytic bryophyte community composition. Furthermore, we expect that species maintain their preferred height zone in the phorophyte across the region, …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2699.2009.02144.x","https://scholar.google.com/scholar?q=related:ExLZAfXweT8J:scholar.google.com/&scioq=bryophyte*+height&hl=en&as_sdt=2007"
12,"J Burch","The relationship of bryophyte regeneration to heather canopy height following moorland burning on the North York Moors",2008,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/174328208X322233","https://scholar.google.com/scholar?cites=3387429906010784452&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-09 09:02:41","","10.1179/174328208X322233","","",,,,,12,0.75,12,1,16,"… height and the number of bryophyte growing tips were recorded. Thirtynine bryophyte … Vascular plant canopy height was negatively correlated with the number of stems of Campylopus …","","https://scholar.google.com/scholar?q=related:xMJOWY2RAi8J:scholar.google.com/&scioq=bryophyte*+height&hl=en&as_sdt=2007"
11,"L Marline, C Ah‐Peng, TAJ Hedderson","Epiphytic bryophyte diversity and range distributions along an elevational gradient in Marojejy, Madagascar",2020,"Biotropica","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/btp.12781","https://scholar.google.com/scholar?cites=8390692478862981764&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-09 09:02:41","","10.1111/btp.12781","","",,,,,11,2.75,4,3,4,"… bryophytes along an elevational gradient in Marojejy National Park, northeast Madagascar. The main objectives are to describe bryophyte … Our results suggest that canopy height and …","https://drive.google.com/file/d/1QhM0-zRthcum4yb5usNOZl0j3ynhFfl3/view","https://scholar.google.com/scholar?q=related:hHorjlq6cXQJ:scholar.google.com/&scioq=bryophyte*+height&hl=en&as_sdt=2007"
25,"S Richter, P Schuütze, H Bruelheide","Modelling epiphytic bryophyte vegetation in an urban landscape",2009,"Journal of bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/174328209X431277","https://scholar.google.com/scholar?cites=13659552604801363146&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-09 09:02:41","","10.1179/174328209X431277","","",,,,,25,1.67,8,3,15,"… of the tree as a deviation from the vertical, tree circumference at plot height and aspect of each subplot. Bryophyte plants that could not be readily identified in the field were collected for …","","https://scholar.google.com/scholar?q=related:ymzy_7h6kL0J:scholar.google.com/&scioq=bryophyte*+height&hl=en&as_sdt=2007"
183,"JF Weltzin, C Harth, SD Bridgham, J Pastor…","Production and microtopography of bog bryophytes: response to warming and water-table manipulations",2001,"Oecologia","Springer","https://link.springer.com/article/10.1007/s004420100691","https://scholar.google.com/scholar?cites=12921079724778130887&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-09 09:02:41","","10.1007/s004420100691","","",,,,,183,7.96,37,5,23,"… duction of bryophytes is driven most strongly by the absolute and relative height of the bryophyte surface above the water table. Predicted changes in water-table height commensurate …","https://link.springer.com/content/pdf/10.1007/s004420100691.pdf","https://scholar.google.com/scholar?q=related:xw3nBY3lULMJ:scholar.google.com/&scioq=bryophyte*+height&hl=en&as_sdt=2007"
36,"MPP Silva, KC Pôrto","Bryophyte communities along horizontal and vertical gradients in a human-modified Atlantic Forest remnant",2013,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2012-0194","https://scholar.google.com/scholar?cites=12946723948556057319&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-09 09:02:41","","10.1139/cjb-2012-0194","","",,,,,36,3.27,18,2,11,"… of epiphytic bryophytes in a Brazilian Atlantic Forest remnant along zones of height within host … Samples were collected in five height zones within host trees from the base to the top. The …","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2012-0194","https://scholar.google.com/scholar?q=related:5_q5JtYArLMJ:scholar.google.com/&scioq=bryophyte*+height&hl=en&as_sdt=2007"
