Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
42,"Z Wang, X Liu, MY Bader, D Feng…","The 'plant economic spectrum'in bryophytes, a comparative study in subalpine forest",2017,"American Journal of …","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.3732/ajb.1600335","https://scholar.google.com/scholar?cites=11962860824876436409&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-05 14:52:24","","10.3732/ajb.1600335","","",,,,,42,6.00,8,5,7,"… + The SMA of bryophyte corresponds to the leaf mass per area of vascular plant leaves. … living in warmer sites might be lower than for our studied bryophytes, bringing bryophytes and …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.1600335","https://scholar.google.com/scholar?q=related:uUsyzImeBKYJ:scholar.google.com/&scioq=bryophyte*+%22leaf+mass%22&hl=en&as_sdt=2007"
107,"SK Rice, L Aclander, DT Hanson","Do bryophyte shoot systems function like vascular plant leaves or canopies? Functional trait relationships in Sphagnum mosses (Sphagnaceae)",2008,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.3732/ajb.0800019","https://scholar.google.com/scholar?cites=7491186129893362433&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-05 14:52:24","","10.3732/ajb.0800019","","",,,,,107,6.69,36,3,16,"… Given their unique tissue organization, bryophytes may not … Species in the bryophyte genus Sphagnum are among the … in structural compounds, low leaf mass per area, short leaf life …","https://bsapubs.onlinelibrary.wiley.com/doi/pdf/10.3732/ajb.0800019","https://scholar.google.com/scholar?q=related:AYugWhgK9mcJ:scholar.google.com/&scioq=bryophyte*+%22leaf+mass%22&hl=en&as_sdt=2007"
88,"B Bond-Lamberty, ST Gower","Estimation of stand-level leaf area for boreal bryophytes",2007,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?cites=5314145550210239110&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-05 14:52:24","HTML","10.1007/s00442-006-0619-5","","",,,,,88,5.18,44,2,17,"… Leaf area may also be calculated from leaf mass using specific leaf area (SLA), the ratio of the fresh foliage surface area to the unit dry foliage mass. In vascular plants SLA typically …","https://link.springer.com/article/10.1007/s00442-006-0619-5","https://scholar.google.com/scholar?q=related:hgoB7Tijv0kJ:scholar.google.com/&scioq=bryophyte*+%22leaf+mass%22&hl=en&as_sdt=2007"
10,"R Grau‐Andrés, P Kardol, MJ Gundale","Trait coordination in boreal mosses reveals a bryophyte economics spectrum",2022,"Journal of Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13965","https://scholar.google.com/scholar?cites=14614103669808761633&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-05 14:52:24","","10.1111/1365-2745.13965","","",,,,,10,5.00,3,3,2,"… For example, low leaf mass per area tends to be associated with high leaf nutrient concentrations, high photosynthetic capacity and high litter decomposition rates (the ‘leaf economics …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.13965","https://scholar.google.com/scholar?q=related:IQuv3du5z8oJ:scholar.google.com/&scioq=bryophyte*+%22leaf+mass%22&hl=en&as_sdt=2007"
35,"Z Wang, X Liu, W Bao","Higher photosynthetic capacity and different functional trait scaling relationships in erect bryophytes compared with prostrate species",2016,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-015-3484-2","https://scholar.google.com/scholar?cites=6128851940291282885&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-05 14:52:24","HTML","10.1007/s00442-015-3484-2","","",,,,,35,4.38,12,3,8,"… steeper for erect bryophytes than that for prostrate bryophytes, whereas this … bryophytes possess higher photosynthetic capacities than prostrate species. Furthermore, erect bryophytes …","https://link.springer.com/article/10.1007/s00442-015-3484-2","https://scholar.google.com/scholar?q=related:xYcGHl4ODlUJ:scholar.google.com/&scioq=bryophyte*+%22leaf+mass%22&hl=en&as_sdt=2007"
163,"M Waite, L Sack","How does moss photosynthesis relate to leaf and canopy structure? Trait relationships for 10 Hawaiian species of contrasting light habitats",2010,"New phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.2009.03061.x","https://scholar.google.com/scholar?cites=11102916886406503885&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-05 14:52:24","","10.1111/j.1469-8137.2009.03061.x","","",,,,,163,11.64,82,2,14,"… We determined leaf mass fraction (LMF) as total leaf mass divided by … , leaf mass per area (LMA), canopy mass per area (CMA) and nitrogen per mass (N mass ) for 10 Hawaiian mosses …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1469-8137.2009.03061.x","https://scholar.google.com/scholar?q=related:zR3yGBV8FZoJ:scholar.google.com/&scioq=bryophyte*+%22leaf+mass%22&hl=en&as_sdt=2007"
25,"Z Wang, W Bao, D Feng, H Lin","Functional trait scaling relationships across 13 temperate mosses growing in wintertime",2014,"Ecological Research","Springer","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?cites=101552927544369114&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-05 14:52:24","HTML","10.1007/s11284-014-1146-1","","",,,,,25,2.50,6,4,10,"… And these physiological traits were negatively associated with leaf mass per area (LMA). In consideration of the extensive distribution and the high diversity of moss species all over the …","https://link.springer.com/article/10.1007/s11284-014-1146-1","https://scholar.google.com/scholar?q=related:2t8ufNnJaAEJ:scholar.google.com/&scioq=bryophyte*+%22leaf+mass%22&hl=en&as_sdt=2007"
26,"Ü Niinemets, M Tobias","Scaling light harvesting from moss “leaves” to canopies",2013,"Photosynthesis in bryophytes and early land …","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_9","https://scholar.google.com/scholar?cites=17855212720943001565&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-05 14:52:24","","10.1007/978-94-007-6988-5_9","","",,,,,26,2.36,13,2,11,"… in bryophytes in response to changes in light availability and assesses the role of these changes in altering bryophyte … , in particular, pleurocarpous mosses, can structurally adapt to …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=176","https://scholar.google.com/scholar?q=related:3e_XZF51yvcJ:scholar.google.com/&scioq=bryophyte*+%22leaf+mass%22&hl=en&as_sdt=2007"
20,"M Waite, L Sack","Shifts in bryophyte carbon isotope ratio across an elevation× soil age matrix on Mauna Loa, Hawaii: do bryophytes behave like vascular plants?",2011,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-010-1903-y","https://scholar.google.com/scholar?cites=10412633790203261201&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-05 14:52:24","HTML","10.1007/s00442-010-1903-y","","",,,,,20,1.54,10,2,13,"… for leaves with higher leaf mass per area (LMA). Across the matrix, bryophytes spanned the range of δ 13 C values typical of C 3 vascular plants. Bryophytes were remarkably similar to …","https://link.springer.com/article/10.1007/s00442-010-1903-y","https://scholar.google.com/scholar?q=related:EXFLgUMbgZAJ:scholar.google.com/&scioq=bryophyte*+%22leaf+mass%22&hl=en&as_sdt=2007"
14,"K van Zuijlen, K Klanderud, OS Dahle, Å Hasvik…","Community-level functional traits of alpine vascular plants, bryophytes, and lichens after long-term experimental warming",2021,"Arctic …","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/as-2020-0007","https://scholar.google.com/scholar?cites=10651069497056740636&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-05 14:52:24","","10.1139/as-2020-0007","","",,,,,14,4.67,3,5,3,"… Altitudinal variation in leaf mass per unit area, leaf tissue density and foliar nitrogen and phosphorus content along an Amazon-Andes gradient in Peru. Plant Ecol. Divers, 2: 243–254. …","https://cdnsciencepub.com/doi/pdf/10.1139/as-2020-0007","https://scholar.google.com/scholar?q=related:HMUQmkYz0JMJ:scholar.google.com/&scioq=bryophyte*+%22leaf+mass%22&hl=en&as_sdt=2007"
