Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
23,"X Liu, Z Wang, X Li, K Rousk, W Bao","High nitrogen resorption efficiency of forest mosses",2020,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/125/4/557/5678559","https://scholar.google.com/scholar?cites=15762026950403576231&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-08 10:53:07","","","","",,,,,23,5.75,5,5,4,"… Nutrient resorption from senescing tissue is a key … from mosses hampers our understanding of the role of mosses as N … the pathways of N release from the mosses and to provide a better …","https://academic.oup.com/aob/article/125/4/557/5678559","https://scholar.google.com/scholar?q=related:p1HwJgD4vdoJ:scholar.google.com/&scioq=bryophyte*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
14,"SI Lang, R Aerts, RSP van Logtestijn…","Mapping nutrient resorption efficiencies of subarctic cryptogams and seed plants onto the Tree of Life",2014,"Ecology and …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1002/ece3.1079","https://scholar.google.com/scholar?cites=9335988438187378175&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-08 10:53:07","","10.1002/ece3.1079","","",,,,,14,1.40,4,4,10,"… vascular plants has left them less efficient at nutrient resorption from senescing parts; and (2… nutrient resorption efficiency. We test this new hypothesis across 16 lichen, 27 bryophyte, …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/ece3.1079","https://scholar.google.com/scholar?q=related:_wVQNQUYkIEJ:scholar.google.com/&scioq=bryophyte*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
7,"LM van Heerwaarden","From leaf to litter: nutrient resorption in a changing environment",2004,"","research.vu.nl","https://research.vu.nl/files/42171859/complete%20dissertation.pdf","https://scholar.google.com/scholar?cites=6548523384008642867&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-08 10:53:07","PDF","","","",,,,,7,0.35,7,1,20,"3 nutrient resorption proficiency thus show low nutrient litter … lead to incomplete leaf nutrient resorption are for instance frost… the variation in nutrient resorption proficiency among different …","https://research.vu.nl/files/42171859/complete%20dissertation.pdf","https://scholar.google.com/scholar?q=related:M5Ese1IH4VoJ:scholar.google.com/&scioq=bryophyte*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
110,"M Wang, MT Murphy, TR Moore","Nutrient resorption of two evergreen shrubs in response to long-term fertilization in a bog",2014,"Oecologia","Springer","https://link.springer.com/article/10.1007/s00442-013-2784-7","https://scholar.google.com/scholar?cites=17512483188318971994&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-08 10:53:07","HTML","10.1007/s00442-013-2784-7","","",,,,,110,11.00,37,3,10,"… In ombrotrophic peatlands, we anticipate that nutrient resorption is … However, recent reviews of nutrient resorption mainly … Sphagnum mosses survive only in some of the plots with low …","https://link.springer.com/article/10.1007/s00442-013-2784-7","https://scholar.google.com/scholar?q=related:WqjAtqzWCPMJ:scholar.google.com/&scioq=bryophyte*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
177,"S Güsewell","Nutrient resorption of wetland graminoids is related to the type of nutrient limitation",2005,"Functional Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.0269-8463.2005.00967.x","https://scholar.google.com/scholar?cites=5736870632689527632&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-08 10:53:07","","10.1111/j.0269-8463.2005.00967.x","","",,,,,177,9.32,177,1,19,"… Other evidence does suggest that efficient nutrient resorption is important as a nutrient-conserving strategy. A meta-analysis of leaf-level data revealed phosphorus resorption efficiency (…","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.0269-8463.2005.00967.x","https://scholar.google.com/scholar?q=related:UGvU93F1nU8J:scholar.google.com/&scioq=bryophyte*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
5,"X Liu, Z Wang, X Li, W Bao","Nitrogen and phosphorus translocation of forest floor mosses as affected by a pulse of these nutrients",2020,"Journal of Plant Ecology","academic.oup.com","https://academic.oup.com/jpe/article-abstract/13/5/633/5891166","https://scholar.google.com/scholar?cites=9825018319553794377&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-08 10:53:07","","","","",,,,,5,1.25,1,4,4,"… However, it is difficult to evaluate mosses’ role in nutrient cycling without knowledge of how mosses … Nutrient resorption from senescing leaves of perennials: are there general patterns? …","https://academic.oup.com/jpe/article/13/5/633/5891166","https://scholar.google.com/scholar?q=related:SZG1QBt6WYgJ:scholar.google.com/&scioq=bryophyte*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
96,"C Liu, Y Liu, K Guo, S Wang, Y Yang","Concentrations and resorption patterns of 13 nutrients in different plant functional types in the karst region of south-western China",2014,"Annals of Botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/113/5/873/160164","https://scholar.google.com/scholar?cites=3289528890501781085&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-08 10:53:07","","","","",,,,,96,9.60,19,5,10,"… influence nutrient resorption across plant functional types? It was expected that nutrient resorption … be lower and nutrient resorption would be more effective in grasslands than in forests. …","https://academic.oup.com/aob/article/113/5/873/160164","https://scholar.google.com/scholar?q=related:XVa-5BjBpi0J:scholar.google.com/&scioq=bryophyte*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
1,"AN Brant","Foliar nutrient resorption and litterfall production with stand age, overstory composition, and disturbance origin in boreal forests",2015,"","knowledgecommons.lakeheadu.ca","https://knowledgecommons.lakeheadu.ca/handle/2453/606","https://scholar.google.com/scholar?cites=13060818082948914109&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-08 10:53:07","","","","",,,,,1,0.11,1,1,9,"… Figure 2.2 Conceptual model of controls of nutrient resorption in plants (solid arrows) and interactions between the controls (dashed arrows).................................................................. 5 …","https://knowledgecommons.lakeheadu.ca/bitstream/handle/2453/606/BrantA2014m-1a.pdf?sequence=1&isAllowed=y","https://scholar.google.com/scholar?q=related:vRsr5thYQbUJ:scholar.google.com/&scioq=bryophyte*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
18,"T Riis, KS Christoffersen…","Effects of warming on annual production and nutrient‐use efficiency of aquatic mosses in a high Arctic lake",2014,"Freshwater …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/fwb.12368","https://scholar.google.com/scholar?cites=1356226895880605254&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-08 10:53:07","","10.1111/fwb.12368","","",,,,,18,1.80,6,3,10,"… We measured nutrient resorption efficiency and resorption proficiency using the principles described by Killingbeck (1996) and Aerts (1996) where resorption proficiency is the terminal …","https://www.academia.edu/download/43171238/Effects_of_warming_on_annual_production_20160228-29391-sdhreu.pdf","https://scholar.google.com/scholar?q=related:Rk7LGy1J0hIJ:scholar.google.com/&scioq=bryophyte*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
30,"JW Xu, G Lin, B Liu, R Mao","Linking leaf nutrient resorption and litter decomposition to plant mycorrhizal associations in boreal peatlands",2020,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-020-04449-9","https://scholar.google.com/scholar?cites=7633802474628270746&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-08 10:53:07","HTML","10.1007/s11104-020-04449-9","","",,,,,30,7.50,8,4,4,"… However, for boreal peatlands, it is still unclear whether mycorrhizal associations of vascular plants can indicate leaf nutrient resorption patterns and litter decomposition rates. …","https://link.springer.com/article/10.1007/s11104-020-04449-9","https://scholar.google.com/scholar?q=related:mkq3see28GkJ:scholar.google.com/&scioq=bryophyte*+%22nutrient+resorption%22&hl=en&as_sdt=2007"
