Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
30,"DR Zehr","Phenology of selected bryophytes in southern Illinois",1979,"Bryologist","JSTOR","https://www.jstor.org/stable/3241964","https://scholar.google.com/scholar?cites=18181411119536993334&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-05 14:36:23","","","","",,,,,30,0.67,30,1,45,"… Since many bryophytes become dormant during part of the … the relationship between phenology and seasonal microclimatic … one may encounter in phenological studies, he also …","https://www.jstor.org/stable/pdf/3241964.pdf","https://scholar.google.com/scholar?q=related:NvRWfxVZUfwJ:scholar.google.com/&scioq=bryophyte*+phenology&hl=en&as_sdt=2007"
43,"AS Maciel-Silva, IFM Válio","Reproductive phenology of bryophytes in tropical rain forests: the sexes never sleep",2011,"The bryologist","BioOne","https://bioone.org/journals/The-Bryologist/volume-114/issue-4/0007-2745-114.4.708/Reproductive-phenology-of-bryophytes-in-tropical-rain-forests--the/10.1639/0007-2745-114.4.708.short","https://scholar.google.com/scholar?cites=829640192951056198&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-05 14:36:23","","10.1639/0007-2745-114.4.708.short","","",,,,,43,3.31,22,2,13,"… Events of the sexual reproductive cycle of 11 bryophyte species (… Bryophytes in tropical rain forests are favored by wet weather and mild temperatures. Similar reproductive phenological …","https://www.jstor.org/stable/pdf/41486719.pdf","https://scholar.google.com/scholar?q=related:Rvc7IFx5gwsJ:scholar.google.com/&scioq=bryophyte*+phenology&hl=en&as_sdt=2007"
118,"LR Stark","Phenology and its repercussions on the reproductive ecology of mosses",2002,"The bryologist","BioOne","https://bioone.org/journals/the-bryologist/volume-105/issue-2/0007-2745_2002_105_0204_PAIROT_2.0.CO_2/Phenology-and-its-Repercussions-on-the-Reproductive-Ecology-of-Mosses/10.1639/0007-2745(2002)105[0204:PAIROT]2.0.CO;2.short","https://scholar.google.com/scholar?cites=558126712138255682&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-05 14:36:23","","10.1639/0007-2745(2002)105[0204:PAIROT]2.0.CO;2.short","","",,,,,118,5.36,118,1,22,"… works in bryophyte phenology provided broad-based compilations of important phenological char… Recent work in the field was incited by the formulation of a phenological classification …","https://www.jstor.org/stable/pdf/3244744.pdf","https://scholar.google.com/scholar?q=related:Qk2ooEndvgcJ:scholar.google.com/&scioq=bryophyte*+phenology&hl=en&as_sdt=2007"
8,"M Kropik, HG Zechmeister, C Fuxjäger","The Fate of Bryophyte Sporophytes—Phenology and Vectors of Buxbaumia viridis in the Kalkalpen National Park, Austria",2020,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/9/10/1320","https://scholar.google.com/scholar?cites=10523924147831983497&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-05 14:36:23","HTML","","","",,,,,8,2.00,3,3,4,"… Data on other vectors than the wind are very rare in general for bryophyte spores [26,27], … of bryophytes are scarce [26]. Most studies on the endozoochory of bryophyte spores so far …","https://www.mdpi.com/2223-7747/9/10/1320","https://scholar.google.com/scholar?q=related:iU2uGkF9DJIJ:scholar.google.com/&scioq=bryophyte*+phenology&hl=en&as_sdt=2007"
7,"M Barbé, NJ Fenton, R Caners, Y Bergeron","Interannual variation in bryophyte dispersal: linking bryophyte phenophases and weather conditions",2017,"Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/cjb-2017-0054","https://scholar.google.com/scholar?cites=9394900464959395404&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-05 14:36:23","","10.1139/cjb-2017-0054","","",,,,,7,1.00,2,4,7,"… Furthermore, we expect that each phenophase of bryophyte phenology will be influenced by specific weather variables (Hypothesis 3), such as water availability during the fertilization …","https://cdnsciencepub.com/doi/pdf/10.1139/cjb-2017-0054","https://scholar.google.com/scholar?q=related:TJYOUjJkYYIJ:scholar.google.com/&scioq=bryophyte*+phenology&hl=en&as_sdt=2007"
3,"I Jukonienė, D Andriušaitytė…","Bryophyte diversity and phenological aspects in different habitats of arable land.",2012,"Journal of Food …","researchgate.net","https://www.researchgate.net/profile/Ilona-Jukoniene/publication/260529809_Bryophyte_diversity_and_phenological_aspects_in_different_habitats_of_arable_land/links/63aefea5097c7832ca799446/Bryophyte-diversity-and-phenological-aspects-in-different-habitats-of-arable-land.pdf","https://scholar.google.com/scholar?cites=6796542506094571713&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-05 14:36:23","PDF","","","",,,,,3,0.25,1,3,12,"… How do phenological aspects of arable bryophytes change … Bryophyte species need a couple of months to complete their … Bryophytes show considerable diversity of phenology to adapt …","https://www.researchgate.net/profile/Ilona-Jukoniene/publication/260529809_Bryophyte_diversity_and_phenological_aspects_in_different_habitats_of_arable_land/links/63aefea5097c7832ca799446/Bryophyte-diversity-and-phenological-aspects-in-different-habitats-of-arable-land.pdf","https://scholar.google.com/scholar?q=related:wTCcUGYrUl4J:scholar.google.com/&scioq=bryophyte*+phenology&hl=en&as_sdt=2007"
47,"CJ Miles, EA Odu, RE Longton","Phenological studies on British mosses",1989,"Journal of bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1989.15.3.607","https://scholar.google.com/scholar?cites=15989718844293415306&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-05 14:36:23","","10.1179/jbr.1989.15.3.607","","",,,,,47,1.34,16,3,35,"… Phenological studies formed part of this work. … Knowledge of reproductive phenology also contributes to an understanding of life-history strategies in the taxa concerned, particularly …","","https://scholar.google.com/scholar?q=related:ioF6XJLk5t0J:scholar.google.com/&scioq=bryophyte*+phenology&hl=en&as_sdt=2007"
64,"LE Street, PC Stoy, M Sommerkorn…","Seasonal bryophyte productivity in the sub‐Arctic: a comparison with vascular plants",2012,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2435.2011.01954.x","https://scholar.google.com/scholar?cites=15710584633090421497&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-05 14:36:23","","10.1111/j.1365-2435.2011.01954.x","","",,,,,64,5.33,16,4,12,"… These models account for the influence of irradiance, bryophyte turf water content, snow cover and phenology on P B . We also estimate vascular plant photosynthetic CO 2 fluxes (P V ) …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2435.2011.01954.x","https://scholar.google.com/scholar?q=related:-bIQTXw1B9oJ:scholar.google.com/&scioq=bryophyte*+phenology&hl=en&as_sdt=2007"
84,"E Rincon, JP Grime","An analysis of seasonal patterns of bryophyte growth in a natural habitat",1989,"The journal of ecology","JSTOR","https://www.jstor.org/stable/2260761","https://scholar.google.com/scholar?cites=8639620668706455439&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-05 14:36:23","","","","",,,,,84,2.40,42,2,35,"… bryophytes in terms of both dry matter production and the tendency to complement seasonally the phenology … the seasonal patterns of growth in bryophytes characteristic of species-rich …","https://www.jstor.org/stable/pdf/2260761.pdf","https://scholar.google.com/scholar?q=related:j_9eODkZ5ncJ:scholar.google.com/&scioq=bryophyte*+phenology&hl=en&as_sdt=2007"
18,"AM Makinde, EA Odu","Phenological studies of selected savanna mosses of south-western Nigeria",1994,"Experientia","Springer","https://link.springer.com/article/10.1007/BF01921734","https://scholar.google.com/scholar?cites=6235757551923780533&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-05 14:36:23","","10.1007/BF01921734","","",,,,,18,0.60,9,2,30,"… to evolutionary conservatism in bryophytes 4. Propagation of bryophytes occurs both sexually … About half of all bryophyte species are dioecious 3. Monoecious species clearly run a high …","","https://scholar.google.com/scholar?q=related:tVvge3TciVYJ:scholar.google.com/&scioq=bryophyte*+phenology&hl=en&as_sdt=2007"
10,"AS Maciel-Silva, MP De Oliveira","How tropical moss sporophytes respond to seasonality: examples from a semi-deciduous ecosystem in Brazil",2016,"Cryptogamie, Bryologie","BioOne","https://bioone.org/journals/Cryptogamie-Bryologie/volume-37/issue-3/v37.iss3.2016.227/How-Tropical-Moss-Sporophytes-Respond-to-Seasonality--Examples-from/10.7872/cryb/v37.iss3.2016.227.short","https://scholar.google.com/scholar?cites=13736717123739125840&as_sdt=2005&sciodt=2007&hl=en",11,"2024-07-05 14:36:23","","10.7872/cryb/v37.iss3.2016.227.short","","",,,,,10,1.25,5,2,8,"… laboratory for testing the effects of climatic seasonality on bryophyte phenology. Our goal was to study the sporophyte phenology of a moss in a seasonal Brazilian ecosystem located …","https://sciencepress.mnhn.fr/sites/default/files/articles/pdf/cryptogamie-bryologie2016v37f3a1.pdf","https://scholar.google.com/scholar?q=related:UAh_nHGfor4J:scholar.google.com/&scioq=bryophyte*+phenology&hl=en&as_sdt=2007"
