Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
87,"M Carriquí, M Roig‐Oliver, TJ Brodribb…","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New …","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/nph.15675","https://scholar.google.com/scholar?cites=15130846546578363027&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-05 15:05:04","","10.1111/nph.15675","","",,,,,87,17.40,22,4,5,"… f ias varied from 51 ± 4% in Selaginella uncinata to zero in mosses with a single layer of cells (Table S6). Photosynthetic tissue and chloroplast surface area exposed to air, either …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/nph.15675","https://scholar.google.com/scholar?q=related:k9K_d8SQ-9EJ:scholar.google.com/&scioq=bryophyte*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
27,"JM Glime","Photosynthesis in aquatic bryophytes",2013,"Photosynthesis in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_12","https://scholar.google.com/scholar?cites=4651871588568250078&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-05 15:05:04","","10.1007/978-94-007-6988-5_12","","",,,,,27,2.45,27,1,11,"… (1954) demonstrated that much less sucrose was stored in plants containing only photosynthetic tissue (bryophytes and algae) compared to those with non-photosynthetic tissue, …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=223","https://scholar.google.com/scholar?q=related:3rZXKZDEjkAJ:scholar.google.com/&scioq=bryophyte*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
229,"TGA Green, OL Lange","Photosynthesis in poikilohydric plants: a comparison of lichens and bryophytes",1995,"Ecophysiology of photosynthesis","Springer","https://link.springer.com/content/pdf/10.1007/978-3-642-79354-7_16?pdf=chapter%20toc","https://scholar.google.com/scholar?cites=10406672971988834101&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-05 15:05:04","","10.1007/978-3-642-79354-7_16","","",,,,,229,7.90,115,2,29,"… of water storage and photosynthetic tissue is in the genus … use of photosynthetic tissue structures allows bryophytes to … The above comments apply to the vast majority of bryophytes …","https://www.researchgate.net/profile/Sai-Shiva-Krishna-Prasad-Vurukonda/post/hi_am_looking_for_this_paper/attachment/5ab3843b4cde266d58931530/AS%3A606927641919500%401521714234993/download/Ecophysiology-of-Photosynthesis.pdf#page=330","https://scholar.google.com/scholar?q=related:NZcNXe7ta5AJ:scholar.google.com/&scioq=bryophyte*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
18,"AV Perera-Castro, M Nadal…","What drives photosynthesis during desiccation? Mosses and other outliers from the photosynthesis–elasticity trade-off",2020,"Journal of Experimental …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/71/20/6460/5873698","https://scholar.google.com/scholar?cites=7489474961583334706&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-05 15:05:04","","","","",,,,,18,4.50,6,3,4,"… This paper provides evidence for the divergence of bryophytes, charophytes, and some lycophytes and ferns from the A n –ε trade-off reported for most tracheophytes, and discusses …","https://academic.oup.com/jxb/article/71/20/6460/5873698","https://scholar.google.com/scholar?q=related:MmVb78v172cJ:scholar.google.com/&scioq=bryophyte*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
64,"LE Street, PC Stoy, M Sommerkorn…","Seasonal bryophyte productivity in the sub‐Arctic: a comparison with vascular plants",2012,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2435.2011.01954.x","https://scholar.google.com/scholar?cites=15710584633090421497&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-05 15:05:04","","10.1111/j.1365-2435.2011.01954.x","","",,,,,64,5.33,16,4,12,"… piliferum photosynthetic tissue and the S. fuscum capitula and weighed after drying at 70 C for 3 days. There is very little photosynthetic activity below the capitulum region in S. …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2435.2011.01954.x","https://scholar.google.com/scholar?q=related:-bIQTXw1B9oJ:scholar.google.com/&scioq=bryophyte*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
240,"MCF Proctor","The physiological basis of bryophyte production",1990,"Botanical Journal of the Linnean Society","academic.oup.com","https://academic.oup.com/botlinnean/article-abstract/104/1-3/61/2631098","https://scholar.google.com/scholar?cites=3950930172059516992&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-05 15:05:04","","","","",,,,,240,7.06,240,1,34,"… bryophytes and vascular plants, as they affect estimation or modelling of the primary production of bryophytes. … First, important aspects of the physiology of bryophytes have often been …","","https://scholar.google.com/scholar?q=related:QAD7_Q6G1DYJ:scholar.google.com/&scioq=bryophyte*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
10,"R Grau‐Andrés, P Kardol, MJ Gundale","Trait coordination in boreal mosses reveals a bryophyte economics spectrum",2022,"Journal of Ecology","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2745.13965","https://scholar.google.com/scholar?cites=14614103669808761633&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-05 15:05:04","","10.1111/1365-2745.13965","","",,,,,10,5.00,3,3,2,"… were expressed both on an area basis (ie relative to the 60.8 cm 2 ground area each sample occupied) and on a mass basis (ie relative to the dry mass of photosynthetic tissue in each …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/1365-2745.13965","https://scholar.google.com/scholar?q=related:IQuv3du5z8oJ:scholar.google.com/&scioq=bryophyte*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
1,"JN Tonkie","Marion Island bryophytes: evidence for functional types based on traits related to photosynthesis and desiccation tolerance",2016,"","scholar.sun.ac.za","https://scholar.sun.ac.za/handle/10019.1/98851","https://scholar.google.com/scholar?cites=17024497549907043325&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-05 15:05:04","","","","",,,,,1,0.13,1,1,8,"… Marion Island has vegetation dominated by bryophytes and is experiencing intense climate … for a bryophyte PFT classification. This study aimed at grouping 38 of the island bryophyte …","https://scholar.sun.ac.za/bitstream/handle/10019.1/98851/tonkie_marion_2016.pdf?sequence=2","https://scholar.google.com/scholar?q=related:_aO3bVIqQ-wJ:scholar.google.com/&scioq=bryophyte*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
213,"R Ligrone, JG Duckett…","Conducting tissues and phyletic relationships of bryophytes",2000,"… Transactions of the …","royalsocietypublishing.org","https://royalsocietypublishing.org/doi/abs/10.1098/rstb.2000.0616","https://scholar.google.com/scholar?cites=6932980407217796173&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-05 15:05:04","","10.1098/rstb.2000.0616","","",,,,,213,8.88,71,3,24,"… Imperforate WCCs (hydroids) are present in bryoid mosses. A polarized … mosses (leptoids) and in less specialized parenchyma cells of the leafy stem and seta in other mosses including …","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1692789/pdf/10905610.pdf","https://scholar.google.com/scholar?q=related:TbT1pvLkNmAJ:scholar.google.com/&scioq=bryophyte*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
17,"MCF Proctor, N Smirnoff","Photoprotection in bryophytes: rate and extent of dark relaxation of non-photochemical quenching of chlorophyll fluorescence",2015,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282015Y.0000000001","https://scholar.google.com/scholar?cites=16329410286383049218&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-05 15:05:04","","10.1179/1743282015Y.0000000001","","",,,,,17,1.89,9,2,9,"… In bryophytes with leaves consisting of a single layer of cells, … Most bryophytes have overlapping leaves, but few bryophyte … This means that many bryophytes are routinely exposed to …","","https://scholar.google.com/scholar?q=related:Aqp4dyO4neIJ:scholar.google.com/&scioq=bryophyte*+%22photosynthetic+tissue%22&hl=en&as_sdt=2007"
