Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
161,"JL Bubier, BN Rock, PM Crill","Spectral reflectance measurements of boreal wetland and forest mosses",1997,"Journal of Geophysical …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/97JD02316","https://scholar.google.com/scholar?cites=5672902429148055075&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-05 12:26:37","","10.1029/97JD02316","","",,,,,161,5.96,54,3,27,"… Most of the physiological and ecological differences between bryophytes and vascular … to maintain a nearly constant water content, bryophytes must tolerate-much greater variations in …","https://agupubs.onlinelibrary.wiley.com/doi/pdfdirect/10.1029/97JD02316","https://scholar.google.com/scholar?q=related:IwbS9rMyuk4J:scholar.google.com/&scioq=bryophyte*+reflectance&hl=en&as_sdt=2007"
23,"PR Nelson, AJ Maguire, Z Pierrat…","Remote sensing of tundra ecosystems using high spectral resolution reflectance: opportunities and challenges",2022,"Journal of …","Wiley Online Library","https://agupubs.onlinelibrary.wiley.com/doi/abs/10.1029/2021JG006697","https://scholar.google.com/scholar?cites=5234986890868050918&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-05 12:26:37","","10.1029/2021JG006697","","",,,,,23,11.50,6,4,2,"… Bryophyte reflectance spectra differ from vascular vegetation by exhibiting a wider and taller … (>2×) in reflectance under drier conditions. Bryophytes also produce photoprotective …","https://agupubs.onlinelibrary.wiley.com/doi/pdf/10.1029/2021JG006697","https://scholar.google.com/scholar?q=related:5ksEUtdopkgJ:scholar.google.com/&scioq=bryophyte*+reflectance&hl=en&as_sdt=2007"
6,"A Orekhova, M Barták, J Hájek, J Morkusová","Species-specific responses of spectral reflectance and the photosynthetic characteristics in two selected Antarctic mosses to thallus desiccation",2022,"Acta Physiologiae …","Springer","https://link.springer.com/article/10.1007/s11738-021-03339-6","https://scholar.google.com/scholar?cites=14425596763835175433&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-05 12:26:37","HTML","10.1007/s11738-021-03339-6","","",,,,,6,3.00,2,4,2,"… Although many of the protective mechanisms of bryophytes are common within vascular … physiological studies have addressed spectral reflectance change during desiccation. Lovelock …","https://link.springer.com/article/10.1007/s11738-021-03339-6","https://scholar.google.com/scholar?q=related:CZJrndMDMsgJ:scholar.google.com/&scioq=bryophyte*+reflectance&hl=en&as_sdt=2007"
63,"PC Stoy, LE Street, AV Johnson…","Temperature, heat flux, and reflectance of common subarctic mosses and lichens under field conditions: might changes to community composition impact climate …",2012,"Arctic, antarctic, and …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1657/1938-4246-44.4.500","https://scholar.google.com/scholar?cites=710307706349096607&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-05 12:26:37","","10.1657/1938-4246-44.4.500","","",,,,,63,5.25,16,4,12,"… study of bryophyte radiative properties, we measured the spectral reflectance of mosses … To explore the potential importance of bryophyte and lichen community composition in the Earth …","https://www.tandfonline.com/doi/pdf/10.1657/1938-4246-44.4.500","https://scholar.google.com/scholar?q=related:nw4pdhiF2wkJ:scholar.google.com/&scioq=bryophyte*+reflectance&hl=en&as_sdt=2007"
13,"SK Rice, DT Hanson, Z Portman","Structural and functional analyses of bryophyte canopies",2013,"… in bryophytes and early land plants","Springer","https://link.springer.com/chapter/10.1007/978-94-007-6988-5_10","https://scholar.google.com/scholar?cites=10577720432462383968&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-05 12:26:37","","10.1007/978-94-007-6988-5_10","","",,,,,13,1.18,4,3,11,"… have been developed for bryophyte canopies, particularly … dynamics of light capture in bryophytes. New approaches based on … our understanding of function within bryophyte canopies. …","http://ndl.ethernet.edu.et/bitstream/123456789/73989/1/440.pdf.pdf#page=197","https://scholar.google.com/scholar?q=related:YMtPrrCcy5IJ:scholar.google.com/&scioq=bryophyte*+reflectance&hl=en&as_sdt=2007"
53,"I Solheim, O Engelsen, B Hosgood…","Measurement and modeling of the spectral and directional reflection properties of lichen and moss canopies",2000,"Remote sensing of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0034425799000930","https://scholar.google.com/scholar?cites=1604417050571207700&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-05 12:26:37","","","","",,,,,53,2.21,13,4,24,"… Lichens and bryophytes are of particular interest because … characterize spectral and bidirectional reflectance of lichens and … Although we present directional reflectance factors for a …","","https://scholar.google.com/scholar?q=related:FHTgks4IRBYJ:scholar.google.com/&scioq=bryophyte*+reflectance&hl=en&as_sdt=2007"
26,"SD Peckham, DE Ahl, ST Gower","Bryophyte cover estimation in a boreal black spruce forest using airborne lidar and multispectral sensors",2009,"Remote Sensing of Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0034425709000364","https://scholar.google.com/scholar?cites=8702052874192590162&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-05 12:26:37","","","","",,,,,26,1.73,9,3,15,"… suggest the subtle differences between the canopy and understory reflectance in band 2 across the plot is correlated to the percentage of the ground occupied by the bryophyte layer. …","https://www.academia.edu/download/46902057/Bryophyte_cover_estimation_in_a_boreal_b20160629-20379-1x5c5t2.pdf","https://scholar.google.com/scholar?q=related:UpXqzvvmw3gJ:scholar.google.com/&scioq=bryophyte*+reflectance&hl=en&as_sdt=2007"
36,"SK Rice, C Gutman, N Krouglicof","Laser scanning reveals bryophyte canopy structure",2005,"New Phytologist","JSTOR","https://www.jstor.org/stable/1514711","https://scholar.google.com/scholar?cites=10918360043899582137&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-05 12:26:37","","","","",,,,,36,1.89,12,3,19,"… Consequently, light absorption in live bryophyte samples impeded laser scanner functioning and the laser scanner was unable to detect surfaces of live plants. To increase reflectance …","https://www.jstor.org/stable/pdf/1514711.pdf","https://scholar.google.com/scholar?q=related:ufZzqpzOhZcJ:scholar.google.com/&scioq=bryophyte*+reflectance&hl=en&as_sdt=2007"
93,"S Skowronek, M Ewald, M Isermann…","Mapping an invasive bryophyte species using hyperspectral remote sensing data",2017,"Biological …","Springer","https://link.springer.com/article/10.1007/s10530-016-1276-1","https://scholar.google.com/scholar?cites=11188289533385352456&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-05 12:26:37","HTML","10.1007/s10530-016-1276-1","","",,,,,93,13.29,23,4,7,"… introflexus looks like, and will thus only model any reflectances similar to the mixed pixels … because of similar reflectances of potential habitats or because of similar reflectance signals of …","https://link.springer.com/article/10.1007/s10530-016-1276-1","https://scholar.google.com/scholar?q=related:CKWncQ3KRJsJ:scholar.google.com/&scioq=bryophyte*+reflectance&hl=en&as_sdt=2007"
30,"C Cerrejón, O Valeria, N Mansuy, M Barbé…","Predictive mapping of bryophyte richness patterns in boreal forests using species distribution models and remote sensing data",2020,"Ecological Indicators","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X20307640","https://scholar.google.com/scholar?cites=1851779177344346823&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-05 12:26:37","","","","",,,,,30,7.50,6,5,4,"… strategies for bryophytes. This study provides evidence of the potential of remote sensing for assessing and making predictions on bryophyte diversity across the landscape. …","","https://scholar.google.com/scholar?q=related:xyoTxFnXshkJ:scholar.google.com/&scioq=bryophyte*+reflectance&hl=en&as_sdt=2007"
