Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
125,"TJK Dilks, MCF Proctor","Comparative experiments on temperature responses of bryophytes: assimilation, respiration and freezing damage",1975,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/pdf/10.1179/jbr.1975.8.3.317","https://scholar.google.com/scholar?cites=9594549860157909285&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-05 15:39:33","","10.1179/jbr.1975.8.3.317","","",,,,,125,2.55,63,2,49,"… The work described in this paper was directed to two aspects of bryophyte temperature … examined some of the possible effects on bryophytes of temperatures below freezing point. …","","https://scholar.google.com/scholar?q=related:JWl8gkOwJoUJ:scholar.google.com/&scioq=bryophyte*+respiration&hl=en&as_sdt=2007"
272,"TJK Dilks, MCF Proctor","Photosynthesis, respiration and water content in bryophytes",1979,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1979.tb07564.x","https://scholar.google.com/scholar?cites=4021669804794968020&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-05 15:39:33","","10.1111/j.1469-8137.1979.tb07564.x","","",,,,,272,6.04,136,2,45,"… to water content of bryophytes of dry … Respiration may be stimulated by water stress, but is unaffected by high water contents. The steep portions of the photosynthesis and respiration …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.1979.tb07564.x","https://scholar.google.com/scholar?q=related:1Pe3NmHXzzcJ:scholar.google.com/&scioq=bryophyte*+respiration&hl=en&as_sdt=2007"
27,"RK Gupta","An artefact in studies of the responses of respiration of bryophytes to desiccation",1977,"Canadian Journal of Botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/b77-139","https://scholar.google.com/scholar?cites=9521210922658388915&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-05 15:39:33","","10.1139/b77-139","","",,,,,27,0.57,27,1,47,"… of survival or injury in vatious bryophytes in response to desiccation stress. Respiration measurements however have serious limitations as indicators of cell viability in bryophytes. …","","https://scholar.google.com/scholar?q=related:s1uffOMiIoQJ:scholar.google.com/&scioq=bryophyte*+respiration&hl=en&as_sdt=2007"
49,"MC Davey","Effects of short-term dehydration and rehydration on photosynthesis and respiration by Antarctic bryophytes",1997,"Environmental and Experimental Botany","Elsevier","https://www.sciencedirect.com/science/article/pii/S0098847296010520","https://scholar.google.com/scholar?cites=17418340601591019508&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-05 15:39:33","","","","",,,,,49,1.81,49,1,27,"… following dehydration by Antarctic bryophytes are related to … content of the bryophytes was reduced, respiration rates fell … the typical bryophyte resaturation respiration burst and slower …","","https://scholar.google.com/scholar?q=related:9LeYpn1guvEJ:scholar.google.com/&scioq=bryophyte*+respiration&hl=en&as_sdt=2007"
68,"S Wagner, G Zotz, N Salazar Allen, MY Bader","Altitudinal changes in temperature responses of net photosynthesis and dark respiration in tropical bryophytes",2013,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/111/3/455/146250","https://scholar.google.com/scholar?cites=10371623674324749993&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-05 15:39:33","","","","",,,,,68,6.18,17,4,11,"Background and Aims There is a conspicuous increase of poikilohydric organisms (mosses, liverworts and macrolichens) with altitude in the tropics. This study addresses the …","https://academic.oup.com/aob/article/111/3/455/146250","https://scholar.google.com/scholar?q=related:qY4o1Mdo748J:scholar.google.com/&scioq=bryophyte*+respiration&hl=en&as_sdt=2007"
67,"MC Davey, P Rothery","Interspecific variation in respiratory and photosynthetic parameters in Antarctic bryophytes",1997,"The New Phytologist","cambridge.org","https://www.cambridge.org/core/journals/new-phytologist/article/interspecific-variation-in-respiratory-and-photosynthetic-parameters-in-antarctic-bryophytes/A971FD7663D992452ABF604A122BA72F","https://scholar.google.com/scholar?cites=3405302410477937122&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-05 15:39:33","","10.1046/j.1469-8137.1997.00805.x","","",,,,,67,2.48,34,2,27,"… This paper describes the effects of irradiance and temperature under controlled conditions on the rates of respiration and photosynthesis of bryophytes from habitats of differing water …","https://nph.onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1469-8137.1997.00805.x","https://scholar.google.com/scholar?q=related:4qFREYAQQi8J:scholar.google.com/&scioq=bryophyte*+respiration&hl=en&as_sdt=2007"
106,"HM Hinshiri, MCF Proctor","The effect of desiccation on subsequent assimilation and respiration of the bryophytes Anomodon viticulosus and Porella platyphylla",1971,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1971.tb02554.x","https://scholar.google.com/scholar?cites=12431197111511779248&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-05 15:39:33","","10.1111/j.1469-8137.1971.tb02554.x","","",,,,,106,2.00,53,2,53,"… of photosynthesis, and partly of an enhanced initial rate of respiration. After prolonged desiccation (more than 70 days) respiration in Anomodon viticulosus builds up to very high values …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.1971.tb02554.x","https://scholar.google.com/scholar?q=related:sIeF3Oh7hKwJ:scholar.google.com/&scioq=bryophyte*+respiration&hl=en&as_sdt=2007"
97,"EH DeLucia, MH Turnbull, AS Walcroft…","The contribution of bryophytes to the carbon exchange for a temperate rainforest",2003,"Global Change …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1365-2486.2003.00650.x","https://scholar.google.com/scholar?cites=638985091257513191&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-05 15:39:33","","10.1046/j.1365-2486.2003.00650.x","","",,,,,97,4.62,24,4,21,"… of soil respiration flux density and the area-weighted value for bryophyte respiration flux … floor is the sum of soil and bryophyte respiration minus bryophyte photosynthesis. ‘Day’ was …","https://onlinelibrary.wiley.com/doi/pdfdirect/10.1046/j.1365-2486.2003.00650.x","https://scholar.google.com/scholar?q=related:57QsFY4h3ggJ:scholar.google.com/&scioq=bryophyte*+respiration&hl=en&as_sdt=2007"
13,"B Sveinbjörnsson, M Sonesson","Photosynthesis and respiration in mosses and lichens",1997,"Global Change and Arctic Terrestrial …","Springer","https://link.springer.com/chapter/10.1007/978-1-4612-2240-8_6","https://scholar.google.com/scholar?cites=3064280459743228477&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-05 15:39:33","","10.1007/978-1-4612-2240-8_6","","",,,,,13,0.48,7,2,27,"… Bryophytes and lichens constitute a large part of the total biomass of present-day tundras (… Thus, soil under bryophyte and lichen mats tends to be cold and moist. In addition to their …","","https://scholar.google.com/scholar?q=related:PXIqx9eChioJ:scholar.google.com/&scioq=bryophyte*+respiration&hl=en&as_sdt=2007"
27,"P Convey","Photosynthesis and dark respiration in Antarctic mosses—an initial comparative study",1994,"Polar Biology","Springer","https://link.springer.com/article/10.1007/BF00240275","https://scholar.google.com/scholar?cites=13844621200541599966&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-05 15:39:33","","10.1007/BF00240275","","",,,,,27,0.90,27,1,30,"… The temperatures used in this study (13.1 - 18.1~ Table 2) are within or near the range of optimum temperatures for polar bryophytes summarised by Longton (1988a), although note …","","https://scholar.google.com/scholar?q=related:3sgfRKH5IcAJ:scholar.google.com/&scioq=bryophyte*+respiration&hl=en&as_sdt=2007"
