Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
55,"R Ryömä, S Laaka-Lindberg","Bryophyte recolonization on burnt soil and logs",2005,"Scandinavian Journal of Forest …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/14004080510043361","https://scholar.google.com/scholar?cites=16158744664610753572&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-05 13:27:22","","10.1080/14004080510043361","","",,,,,55,2.89,28,2,19,"… bryophytes on burnt soil and dead wood immediately after fire. The review concentrates on the very beginning of the recolonization process, ie 0–4 years after fire. Bryophytes … bryophyte …","","https://scholar.google.com/scholar?q=related:JMxc5qhkP-AJ:scholar.google.com/&scioq=bryophyte*+soil&hl=en&as_sdt=2007"
116,"P Porada, A Ekici, C Beer","Effects of bryophyte and lichen cover on permafrost soil temperature at large scale",2016,"The Cryosphere","tc.copernicus.org","https://tc.copernicus.org/preprints/tc-2015-223/","https://scholar.google.com/scholar?cites=18200084384856222457&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-05 13:27:22","","","","",,,,,116,14.50,39,3,8,"… study on the effect of the bryophyte and lichen cover on soil temperature at high-latitudes. At … have assessed the effect of the bryophyte and lichen cover on soil temperature. Blok et al. (…","https://tc.copernicus.org/articles/10/2291/2016/tc-10-2291-2016.pdf","https://scholar.google.com/scholar?q=related:-Sp94VGwk_wJ:scholar.google.com/&scioq=bryophyte*+soil&hl=en&as_sdt=2007"
119,"NA Soudzilovskaia, PM van Bodegom…","Dominant bryophyte control over high‐latitude soil temperature fluctuations predicted by heat transfer traits, field moisture regime and laws of thermal insulation",2013,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.12127","https://scholar.google.com/scholar?cites=1889312717736910225&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-05 13:27:22","","10.1111/1365-2435.12127","","",,,,,119,10.82,40,3,11,"… of bryophytes affects soil temperature regime … Soil temperature regimes under bryophyte mats are a function of habitat light availability, albedo and heat transfer through the bryophytes. …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12127","https://scholar.google.com/scholar?q=related:kR1WIugvOBoJ:scholar.google.com/&scioq=bryophyte*+soil&hl=en&as_sdt=2007"
534,"JHC Cornelissen, SI Lang, NA Soudzilovskaia…","Comparative cryptogam ecology: a review of bryophyte and lichen traits that drive biogeochemistry",2007,"Annals of …","academic.oup.com","https://academic.oup.com/aob/article-abstract/99/5/987/2769322","https://scholar.google.com/scholar?cites=9615171266348572679&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-05 13:27:22","","","","",,,,,534,31.41,134,4,17,"… soil N input (lichens, bryophytes); (3) control soil chemistry and nutrition through the accumulation of recalcitrant polyphenols (bryophytes) and through their control over soil … to soils and …","https://academic.oup.com/aob/article/99/5/987/2769322","https://scholar.google.com/scholar?q=related:B-A_yVLzb4UJ:scholar.google.com/&scioq=bryophyte*+soil&hl=en&as_sdt=2007"
44,"RD Seppelt, AJ Downing, KK Deane-Coe…","Bryophytes within biological soil crusts",2016,"… soil crusts: an organizing …","Springer","https://link.springer.com/chapter/10.1007/978-3-319-30214-0_6","https://scholar.google.com/scholar?cites=14218938005464559510&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-05 13:27:22","","10.1007/978-3-319-30214-0_6","","",,,,,44,5.50,11,4,8,"… Bryophyte crusts are best developed on calcareous fine-textured silt and clay soils, where … cyanobacteria, and microalgae facilitates bryophyte establishment by providing soil stability. …","","https://scholar.google.com/scholar?q=related:li8E48fQU8UJ:scholar.google.com/&scioq=bryophyte*+soil&hl=en&as_sdt=2007"
7,"X Hu, Z Gao, XY Li, RZ Wang, YM Wang","Structural characteristics of the moss (bryophyte) layer and its underlying soil structure and water retention characteristics",2023,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-023-06079-3","https://scholar.google.com/scholar?cites=5268768961261935178&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-05 13:27:22","HTML","10.1007/s11104-023-06079-3","","",,,,,7,7.00,1,5,1,"… and contain high soil organic matter, we hypothesized that (1) the soil macropores under … , (2) soils under a moss layer have high soil water retention than soils under no moss cover, …","https://link.springer.com/article/10.1007/s11104-023-06079-3","https://scholar.google.com/scholar?q=related:Shqfg3RtHkkJ:scholar.google.com/&scioq=bryophyte*+soil&hl=en&as_sdt=2007"
108,"R Virtanen, AE Johnston, MJ Crawley, GR Edwards","Bryophyte biomass and species richness on the Park Grass Experiment, Rothamsted, UK",2000,"Plant Ecology","Springer","https://link.springer.com/article/10.1023/A:1026533418357","https://scholar.google.com/scholar?cites=9582658609216428582&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-05 13:27:22","","10.1023/A:1026533418357","","",,,,,108,4.50,27,4,24,"… bryophytes is related to - long-term differences in soil pH and … effect of soil pH on the presence of any bryophyte on a sub-… a bryophyte was present on a sub-plot increased with soil pH. …","https://link.springer.com/content/pdf/10.1023/A:1026533418357.pdf","https://scholar.google.com/scholar?q=related:Jhov5jtx_IQJ:scholar.google.com/&scioq=bryophyte*+soil&hl=en&as_sdt=2007"
15,"K Rola, V Plášek, K Rożek, S Zubek","Effect of tree species identity and related habitat parameters on understorey bryophytes–interrelationships between bryophyte, soil and tree factors in a 50 …",2021,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-021-05074-w","https://scholar.google.com/scholar?cites=175145550646221733&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-05 13:27:22","HTML","10.1007/s11104-021-05074-w","","",,,,,15,5.00,4,4,3,"… of a bryophyte layer in temperate-mixed forests; however, soil properties … bryophyte communities in a naturally regenerated and planted forest in China (Yan et al. 2013). Finally, soil …","https://link.springer.com/article/10.1007/s11104-021-05074-w","https://scholar.google.com/scholar?q=related:pRtCSvM9bgIJ:scholar.google.com/&scioq=bryophyte*+soil&hl=en&as_sdt=2007"
41,"KK Deane-Coe, D Stanton","Functional ecology of cryptogams: scaling from bryophyte, lichen, and soil crust traits to ecosystem processes",2017,"New Phytologist","JSTOR","https://www.jstor.org/stable/newphytologist.213.3.993","https://scholar.google.com/scholar?cites=18240530458912089176&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-05 13:27:22","PDF","","","",,,,,41,5.86,21,2,7,"… increase the amount of dissolved organic C in soil as a result of Sphagnum replacement by … Nostoc has been shown to increase the N status of bryophytes (Deane-Coe &Sparks, 2016)…","https://www.jstor.org/stable/newphytologist.213.3.993","https://scholar.google.com/scholar?q=related:WOQlVs9hI_0J:scholar.google.com/&scioq=bryophyte*+soil&hl=en&as_sdt=2007"
80,"S Raabe, J Müller, M Manthey, O Dürhammer…","Drivers of bryophyte diversity allow implications for forest management with a focus on climate change",2010,"Forest ecology and …","Elsevier","https://www.sciencedirect.com/science/article/pii/S037811271000513X","https://scholar.google.com/scholar?cites=11939745811975911816&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-05 13:27:22","","","","",,,,,80,5.71,16,5,14,"… all bryophytes associated with soil and dead wood in the 0.02-ha circular plots. Soil bryophytes … Additionally, we considered soil variables in the analysis of soil bryophytes and variables …","","https://scholar.google.com/scholar?q=related:iDlId45_sqUJ:scholar.google.com/&scioq=bryophyte*+soil&hl=en&as_sdt=2007"
