Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1702,"N. SMIRNOFF","The role of active oxygen in the response of plants to water deficit and desiccation",1993,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84987012931&origin=inward",1,"2024-07-01 12:34:29","Article","10.1111/j.1469-8137.1993.tb03863.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84987012931",125,1,27,58,1702,54.90,1702,1,31,"","",""
1002,"S. Carpenter","Effects of submersed macrophytes on ecosystem processes",1986,"Aquatic Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-0304377086900318","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0022843033&origin=inward",2,"2024-07-01 12:34:29","Article","10.1016/0304-3770(86)90031-8","0304-3770","https://api.elsevier.com/content/abstract/scopus_id/0022843033",26,,341,370,1002,26.37,1002,1,38,"","",""
1000,"F. Chen","The family of terpene synthases in plants: A mid-size family of genes for specialized metabolism that is highly diversified throughout the kingdom",2011,"Plant Journal","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79953251042&origin=inward",3,"2024-07-01 12:34:29","Article","10.1111/j.1365-313X.2011.04520.x","0960-7412","https://api.elsevier.com/content/abstract/scopus_id/79953251042",66,1,212,229,1000,76.92,1000,1,13,"","",""
804,"R. Summons","2-Methylhopanoids as biomarkers for cyanobacterial oxygenic photosynthesis",1999,"Nature","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033527055&origin=inward",4,"2024-07-01 12:34:29","Article","10.1038/23005","0028-0836","https://api.elsevier.com/content/abstract/scopus_id/0033527055",400,6744,554,557,804,32.16,804,1,25,"","",""
683,"W. Elbert","Contribution of cryptogamic covers to the global cycles of carbon and nitrogen",2012,"Nature Geoscience","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84863319101&origin=inward",5,"2024-07-01 12:34:29","Article","10.1038/ngeo1486","1752-0894","https://api.elsevier.com/content/abstract/scopus_id/84863319101",5,7,459,462,683,56.92,683,1,12,"","",""
470,"M. Patra","Mercury toxicity in plants",2000,"Botanical Review","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000720060&origin=inward",6,"2024-07-01 12:34:29","Article","10.1007/BF02868923","0006-8101","https://api.elsevier.com/content/abstract/scopus_id/0000720060",66,3,379,422,470,19.58,470,1,24,"","",""
403,"M.R. Turetsky","New frontiers in bryology and lichenology: The role of bryophytes in carbon and nitrogen cycling",2003,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0041784634&origin=inward",7,"2024-07-01 12:34:29","Review","10.1639/05","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/0041784634",106,3,395,409,403,19.19,403,1,21,"","",""
366,"M.C.F. Proctor","Desiccation-tolerance in bryophytes: A review",2007,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=35448946453&origin=inward",8,"2024-07-01 12:34:29","Review","10.1639/0007-2745(2007)110[595:DIBAR]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/35448946453",110,4,595,621,366,21.53,366,1,17,"","",""
366,"M. Oliver","The evolution of vegetative desiccation tolerance in land plants",2000,"Plant Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034489196&origin=inward",9,"2024-07-01 12:34:29","Article","10.1023/A:1026550808557","1385-0237","https://api.elsevier.com/content/abstract/scopus_id/0034489196",151,1,85,100,366,15.25,366,1,24,"","",""
355,"M.J. Harrison","Molecular and cellular aspects of the arbuscular mycorrhizal symbiosis",1999,"Annual Review of Plant Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0033505252&origin=inward",10,"2024-07-01 12:34:29","Article","10.1146/annurev.arplant.50.1.361","1543-5008","https://api.elsevier.com/content/abstract/scopus_id/0033505252",50,,361,389,355,14.20,355,1,25,"","",""
