Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
312,"R. Smith","Terrestrial plant biology of the sub-Antarctic and Antarctic.",1984,"Antarctic ecology. Vol. 1","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0021568387&origin=inward",1,"2024-07-01 13:04:49","Article","","","https://api.elsevier.com/content/abstract/scopus_id/0021568387",,,61,162,312,7.80,312,1,40,"","",""
309,"B. Roberts","Multiple scales of temporal variability in ecosystem metabolism rates: Results from 2 years of continuous monitoring in a forested headwater stream",2007,"Ecosystems","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34447311782&origin=inward",2,"2024-07-01 13:04:49","Article","10.1007/s10021-007-9059-2","1432-9840","https://api.elsevier.com/content/abstract/scopus_id/34447311782",10,4,588,606,309,18.18,309,1,17,"","",""
182,"C. Lavoie","Biological collections in an ever changing world: Herbaria as tools for biogeographical and environmental studies",2013,"Perspectives in Plant Ecology, Evolution and Systematics","","https://api.elsevier.com/content/article/eid/1-s2.0-S1433831912000595","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84873155165&origin=inward",3,"2024-07-01 13:04:49","Review","10.1016/j.ppees.2012.10.002","1433-8319","https://api.elsevier.com/content/abstract/scopus_id/84873155165",15,1,68,76,182,16.55,182,1,11,"","",""
98,"G.L. Vourlitis","Eddy covariance measurements of CO<inf>2</inf> and energy fluxes of an Alaskan tussock tundra ecosystem",1999,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032981988&origin=inward",4,"2024-07-01 13:04:49","Article","10.1890/0012-9658(1999)080[0686:ECMOCA]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0032981988",80,2,686,701,98,3.92,98,1,25,"","",""
95,"I. Jónsdóttir","Variable sensitivity of plant communities in Iceland to experimental warming",2005,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=17644406523&origin=inward",5,"2024-07-01 13:04:49","Article","10.1111/j.1365-2486.2005.00928.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/17644406523",11,4,553,563,95,5.00,95,1,19,"","",""
68,"A. Jägerbrand","Plant community responses to 5 years of simulated climate change in meadow and heath ecosystems at a subarctic-alpine site",2009,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70349269097&origin=inward",6,"2024-07-01 13:04:49","Article","10.1007/s00442-009-1392-z","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/70349269097",161,3,601,610,68,4.53,68,1,15,"","",""
67,"J.W. Bjerke","Contrasting sensitivity to extreme winter warming events of dominant sub-Arctic heathland bryophyte and lichen species",2011,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80053633798&origin=inward",7,"2024-07-01 13:04:49","Article","10.1111/j.1365-2745.2011.01859.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/80053633798",99,6,1481,1488,67,5.15,67,1,13,"","",""
61,"H.B. Anderson","Using ordinary digital cameras in place of near-infrared sensors to derive vegetation indices for phenology studies of High Arctic vegetation",2016,"Remote Sensing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85008208079&origin=inward",8,"2024-07-01 13:04:49","Article","10.3390/rs8100847","2072-4292","https://api.elsevier.com/content/abstract/scopus_id/85008208079",8,10,,,61,7.63,61,1,8,"","",""
55,"B. Bomfleur","Dicroidium diversity in the Upper Triassic of north Victoria Land, East Antarctica",2010,"Review of Palaeobotany and Palynology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0034666710000400","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=77951257816&origin=inward",9,"2024-07-01 13:04:49","Article","10.1016/j.revpalbo.2010.02.006","0034-6667","https://api.elsevier.com/content/abstract/scopus_id/77951257816",160,3,67,101,55,3.93,55,1,14,"","",""
55,"L.R. Stark","Phenology and its repercussions on the reproductive ecology of mosses",2002,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036075165&origin=inward",10,"2024-07-01 13:04:49","Review","10.1639/0007-2745(2002)105[0204:PAIROT]2.0.CO;2","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/0036075165",105,2,204,218,55,2.50,55,1,22,"","",""
