Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
536,"J. Wang","Mechanisms of arsenic hyperaccumulation in Pteris vittata. Uptake kinetics, interactions with phosphate, and arsenic speciation",2002,"Plant Physiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036851218&origin=inward",1,"2024-07-09 09:13:33","Article","10.1104/pp.008185","0032-0889","https://api.elsevier.com/content/abstract/scopus_id/0036851218",130,3,1552,1561,536,24.36,536,1,22,"","",""
456,"B.L. Bedford","Patterns in nutrient availability and plant diversity of temperate North American wetlands",1999,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032845096&origin=inward",2,"2024-07-09 09:13:33","Article","10.1890/0012-9658(1999)080[2151:PINAAP]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0032845096",80,7,2151,2169,456,18.24,456,1,25,"","",""
290,"D. Vitt","The relationships of vegetation to surface water chemistry and peat chemistry in fens of Alberta, Canada",1990,"Vegetatio","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0025628331&origin=inward",3,"2024-07-09 09:13:33","Article","10.1007/BF00032163","0042-3106","https://api.elsevier.com/content/abstract/scopus_id/0025628331",89,2,87,106,290,8.53,290,1,34,"","",""
225,"T.M. Lenton","Earliest land plants created modern levels of atmospheric oxygen",2016,"Proceedings of the National Academy of Sciences of the United States of America","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84984900747&origin=inward",4,"2024-07-09 09:13:33","Article","10.1073/pnas.1604787113","0027-8424","https://api.elsevier.com/content/abstract/scopus_id/84984900747",113,35,9704,9709,225,28.13,225,1,8,"","",""
196,"K. Slavik","Long-term responses of the Kuparuk river ecosystem to phosphorus fertilization",2004,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=8144221583&origin=inward",5,"2024-07-09 09:13:33","Article","10.1890/02-4039","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/8144221583",85,4,939,954,196,9.80,196,1,20,"","",""
175,"S. Lang","An experimental comparison of chemical traits and litter decomposition rates in a diverse range of subarctic bryophyte, lichen and vascular plant species",2009,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68849113226&origin=inward",6,"2024-07-09 09:13:33","Article","10.1111/j.1365-2745.2009.01538.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/68849113226",97,5,886,900,175,11.67,175,1,15,"","",""
166,"N. Malmer","Interferences between Sphagnum and vascular plants: Effects on plant community structure and peat formation",2003,"Oikos","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0012476651&origin=inward",7,"2024-07-09 09:13:33","Article","10.1034/j.1600-0706.2003.12170.x","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/0012476651",100,3,469,482,166,7.90,166,1,21,"","",""
156,"C. Gordon","Impacts of increased nitrogen supply on high Arctic heath: The importance of bryophytes and phosphorus availability",2001,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035084522&origin=inward",8,"2024-07-09 09:13:33","Article","10.1046/j.1469-8137.2001.00053.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0035084522",149,3,461,471,156,6.78,156,1,23,"","",""
155,"B.L. Bedford","Fens of the United States: Distribution, characteristics, and scientific connection versus legal isolation",2003,"Wetlands","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0345495678&origin=inward",9,"2024-07-09 09:13:33","Article","10.1672/0277-5212(2003)023[0608:FOTUSD]2.0.CO;2","0277-5212","https://api.elsevier.com/content/abstract/scopus_id/0345495678",23,3,608,629,155,7.38,155,1,21,"","",""
152,"C.H. Robinson","Plant community responses to simulated environmental change at a high arctic polar semi-desert",1998,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031825210&origin=inward",10,"2024-07-09 09:13:33","Article","10.1890/0012-9658(1998)079[0856:PCRTSE]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0031825210",79,3,856,866,152,5.85,152,1,26,"","",""
