Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
217,"N. Gest","Ascorbate as seen through plant evolution: The rise of a successful molecule?",2013,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84871804604&origin=inward",1,"2024-07-01 13:08:46","Review","10.1093/jxb/ers297","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/84871804604",64,1,33,53,217,19.73,217,1,11,"","",""
211,"M. Marschall","Are bryophytes shade plants? Photosynthetic light responses and proportions of chlorophyll a, chlorophyll b and total carotenoids",2004,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=8344285636&origin=inward",2,"2024-07-01 13:08:46","Article","10.1093/aob/mch178","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/8344285636",94,4,593,603,211,10.55,211,1,20,"","",""
176,"J. Bates","Is 'life-form' a useful concept in bryophyte ecology?",1998,"Oikos","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031845750&origin=inward",3,"2024-07-01 13:08:46","Short Survey","10.2307/3546962","0030-1299","https://api.elsevier.com/content/abstract/scopus_id/0031845750",82,2,223,237,176,6.77,176,1,26,"","",""
72,"S. Pressel","Effects of de- and rehydration on food-conducting cells in the moss Polytrichum formosum: A cytological study",2006,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33745712965&origin=inward",4,"2024-07-01 13:08:46","Article","10.1093/aob/mcl092","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/33745712965",98,1,67,76,72,4.00,72,1,18,"","",""
69,"K. Niklas","Mechanical and photosynthetic constraints on the evolution of plant shape",1984,"Paleobiology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84976156310&origin=inward",5,"2024-07-01 13:08:46","Article","10.1017/S0094837300008034","0094-8373","https://api.elsevier.com/content/abstract/scopus_id/84976156310",1,,79,101,69,1.73,69,1,40,"","",""
66,"M. Carriquí","Anatomical constraints to nonstomatal diffusion conductance and photosynthesis in lycophytes and bryophytes",2019,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85060978977&origin=inward",6,"2024-07-01 13:08:46","Article","10.1111/nph.15675","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/85060978977",222,3,1256,1270,66,13.20,66,1,5,"","",""
54,"M. Davey","Fungal biomass associated with the phyllosphere of bryophytes and vascular plants",2009,"Mycological Research","","https://api.elsevier.com/content/article/eid/1-s2.0-S0953756209001488","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70449533769&origin=inward",7,"2024-07-01 13:08:46","Article","10.1016/j.mycres.2009.08.001","0953-7562","https://api.elsevier.com/content/abstract/scopus_id/70449533769",113,11,1254,1260,54,3.60,54,1,15,"","",""
43,"D. Farrar","The tropical flora of rockhouse cliff formations in the eastern United States",1998,"Journal of the Torrey Botanical Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0031862958&origin=inward",8,"2024-07-01 13:08:46","Article","10.2307/2997297","1095-5674","https://api.elsevier.com/content/abstract/scopus_id/0031862958",125,2,91,108,43,1.65,43,1,26,"","",""
28,"J. Martínez-Abaigar","Seasonal changes in photosynthetic pigment composition of aquatic bryophytes",1994,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84974940861&origin=inward",9,"2024-07-01 13:08:46","Article","10.1179/jbr.1994.18.1.97","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/84974940861",18,1,97,113,28,0.93,28,1,30,"","",""
28,"Z. Popper","3-O-Methylrhamnose in lower land plant primary cell walls",2004,"Biochemical Systematics and Ecology","","https://api.elsevier.com/content/article/eid/1-s2.0-S0305197803002096","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1242277284&origin=inward",10,"2024-07-01 13:08:46","Article","10.1016/j.bse.2003.07.004","0305-1978","https://api.elsevier.com/content/abstract/scopus_id/1242277284",32,3,279,289,28,1.40,28,1,20,"","",""
