Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
185,"L. Durand","Photo-synthesis, photoinhibition, and nitrogen use efficiency in native and invasive tree ferns in Hawaii",2001,"Oecologia","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035025955&origin=inward",1,"2024-07-01 12:50:20","Article","10.1007/s004420000535","0029-8549","https://api.elsevier.com/content/abstract/scopus_id/0035025955",126,3,345,354,185,8.04,185,1,23,"","",""
98,"G.L. Vourlitis","Eddy covariance measurements of CO<inf>2</inf> and energy fluxes of an Alaskan tussock tundra ecosystem",1999,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032981988&origin=inward",2,"2024-07-01 12:50:20","Article","10.1890/0012-9658(1999)080[0686:ECMOCA]2.0.CO;2","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/0032981988",80,2,686,701,98,3.92,98,1,25,"","",""
93,"K.K. Newsham","Response of two Antarctic bryophytes to stratospheric ozone depletion",2002,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036784976&origin=inward",3,"2024-07-01 12:50:20","Article","10.1046/j.1365-2486.2002.00509.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/0036784976",8,10,972,983,93,4.23,93,1,22,"","",""
60,"D. Lud","DNA damage and photosynthesis in Antarctic and Arctic Sanionia uncinata (Hedw.) Loeske under ambient and enhanced levels of UV-B radiation",2002,"Plant, Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036899437&origin=inward",4,"2024-07-01 12:50:20","Article","10.1046/j.1365-3040.2002.00914.x","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/0036899437",25,12,1579,1589,60,2.73,60,1,22,"","",""
39,"A.K. Jägerbrand","Short-term responses in maximum quantum yield of PSII (Fv/Fm) to ex situ temperature treatment of populations of bryophytes originating from different sites in Hokkaido, Northern Japan",2016,"Plants","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85005950328&origin=inward",5,"2024-07-01 12:50:20","Article","10.3390/plants5020022","2223-7747","https://api.elsevier.com/content/abstract/scopus_id/85005950328",5,2,455,465,39,4.88,39,1,8,"","",""
37,"M. Marschall","Desiccation tolerance and recovery of the leafy liverwort Porella platyphylla (L.) Pfeiff.: Chlorophyll-fluorescence measurements",1999,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0000064852&origin=inward",6,"2024-07-01 12:50:20","Article","10.1179/jbr.1999.21.4.257","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/0000064852",21,4,257,262,37,1.48,37,1,25,"","",""
35,"J. Martínez-Abaigar","Different physiological responses of two aquatic bryophytes to enhanced ultraviolet-B radiation",2003,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0037241669&origin=inward",7,"2024-07-01 12:50:20","Article","10.1179/037366803125002626","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/0037241669",25,1,17,30,35,1.67,35,1,21,"","",""
32,"P. Hietz","Photosynthesis, chlorophyll fluorescence and within-canopy distribution of epiphytic ferns in a Mexican cloud forest",2001,"Plant Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034914535&origin=inward",8,"2024-07-01 12:50:20","Article","10.1055/s-2001-15198","1435-8603","https://api.elsevier.com/content/abstract/scopus_id/0034914535",3,3,279,287,32,1.39,32,1,23,"","",""
29,"M. Arróniz-Crespo","Impacts of long-term enhanced UV-B radiation on bryophytes in two sub-Arctic heathland sites of contrasting water availability",2011,"Annals of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=80051977671&origin=inward",9,"2024-07-01 12:50:20","Article","10.1093/aob/mcr178","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/80051977671",108,3,557,565,29,2.23,29,1,13,"","",""
29,"M.A. Hunt","Ecophysiology of the soft tree fern, Dicksonia antarctica labill",2002,"Austral Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=10644266816&origin=inward",10,"2024-07-01 12:50:20","Article","10.1046/j.1442-9993.2002.01190.x","1442-9985","https://api.elsevier.com/content/abstract/scopus_id/10644266816",27,4,360,368,29,1.32,29,1,22,"","",""
