Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
175,"S. Lang","An experimental comparison of chemical traits and litter decomposition rates in a diverse range of subarctic bryophyte, lichen and vascular plant species",2009,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=68849113226&origin=inward",1,"2024-07-01 12:52:23","Article","10.1111/j.1365-2745.2009.01538.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/68849113226",97,5,886,900,175,11.67,175,1,15,"","",""
91,"C. Lovelock","Surface reflectance properties of antarctic moss and their relationship to plant species, pigment composition and photosynthetic function",2002,"Plant, Cell and Environment","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036787255&origin=inward",2,"2024-07-01 12:52:23","Article","10.1046/j.1365-3040.2002.00916.x","0140-7791","https://api.elsevier.com/content/abstract/scopus_id/0036787255",25,10,1239,1250,91,4.14,91,1,22,"","",""
81,"B. Weber","A new approach for mapping of Biological Soil Crusts in semidesert areas with hyperspectral imagery",2008,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0034425708000382","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=41249096615&origin=inward",3,"2024-07-01 12:52:23","Article","10.1016/j.rse.2007.09.014","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/41249096615",112,5,2187,2201,81,5.06,81,1,16,"","",""
76,"S. Robinson","Impact of changes in natural ultraviolet radiation on pigment composition, physiological and morphological characteristics of the Antarctic moss, Grimmia antarctici",2005,"Global Change Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=17044429835&origin=inward",4,"2024-07-01 12:52:23","Article","10.1111/j.1365-2486.2005.00911.x","1354-1013","https://api.elsevier.com/content/abstract/scopus_id/17044429835",11,3,476,489,76,4.00,76,1,19,"","",""
43,"S. Karlsen","Spatial and temporal variability in the onset of the growing season on svalbard, arctic Norway - Measured by MODIS-NDVI satellite data",2014,"Remote Sensing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84907452438&origin=inward",5,"2024-07-01 12:52:23","Article","10.3390/rs6098088","2072-4292","https://api.elsevier.com/content/abstract/scopus_id/84907452438",6,9,8088,8106,43,4.30,43,1,10,"","",""
39,"P. Stoy","Temperature, heat flux, and reflectance of common subarctic mosses and lichens under field conditions: Might changes to community composition impact climate-relevant surface fluxes?",2012,"Arctic, Antarctic, and Alpine Research","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84870189311&origin=inward",6,"2024-07-01 12:52:23","Article","10.1657/1938-4246-44.4.500","1523-0430","https://api.elsevier.com/content/abstract/scopus_id/84870189311",44,4,500,508,39,3.25,39,1,12,"","",""
17,"L.W. Lehnert","Estimating net photosynthesis of biological soil crusts in the atacama using hyperspectral remote sensing",2018,"Remote Sensing","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85048958171&origin=inward",7,"2024-07-01 12:52:23","Article","10.3390/rs10060891","2072-4292","https://api.elsevier.com/content/abstract/scopus_id/85048958171",10,6,,,17,2.83,17,1,6,"","",""
16,"S. Peckham","Bryophyte cover estimation in a boreal black spruce forest using airborne lidar and multispectral sensors",2009,"Remote Sensing of Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0034425709000364","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=64549135757&origin=inward",8,"2024-07-01 12:52:23","Article","10.1016/j.rse.2009.02.008","0034-4257","https://api.elsevier.com/content/abstract/scopus_id/64549135757",113,6,1127,1132,16,1.07,16,1,15,"","",""
16,"K. Kushida","Remote sensing of net ecosystem productivity based on component spectrum and soil respiration observation in a boreal forest, interior Alaska",2004,"Journal of Geophysical Research: Atmospheres","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=2642558847&origin=inward",9,"2024-07-01 12:52:23","Article","10.1029/2003jd003858","0148-0227","https://api.elsevier.com/content/abstract/scopus_id/2642558847",109,6,,,16,0.80,16,1,20,"","",""
15,"M. Ladrón De Guevara","Ecology and responses to climate change of biocrust-forming mosses in drylands",2022,"Journal of Experimental Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85136034386&origin=inward",10,"2024-07-01 12:52:23","Review","10.1093/jxb/erac183","0022-0957","https://api.elsevier.com/content/abstract/scopus_id/85136034386",73,13,4380,4395,15,7.50,15,1,2,"","",""
