Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
332,"B. Menand","An ancient mechanism controls the development of cells with a rooting function in land plants",2007,"Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34250174230&origin=inward",1,"2024-07-01 12:56:08","Article","10.1126/science.1142618","0036-8075","https://api.elsevier.com/content/abstract/scopus_id/34250174230",316,5830,1477,1480,332,19.53,332,1,17,"","",""
249,"D.J. Read","Symbiotic fungal associations in 'lower' land plants",2000,"Philosophical Transactions of the Royal Society B: Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034729664&origin=inward",2,"2024-07-01 12:56:08","Conference Paper","10.1098/rstb.2000.0617","0962-8436","https://api.elsevier.com/content/abstract/scopus_id/0034729664",355,1398,815,831,249,10.38,249,1,24,"","",""
186,"T.J. Cooke","Evolutionary patterns in auxin action",2002,"Plant Molecular Biology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0035999452&origin=inward",3,"2024-07-01 12:56:08","Article","10.1023/A:1015242627321","0167-4412","https://api.elsevier.com/content/abstract/scopus_id/0035999452",49,3,319,338,186,8.45,186,1,22,"","",""
138,"M.L. Davey","Interactions between mosses (Bryophyta) and fungi",2006,"Canadian Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=33846919677&origin=inward",4,"2024-07-01 12:56:08","Short Survey","10.1139/B06-120","0008-4026","https://api.elsevier.com/content/abstract/scopus_id/33846919677",84,10,1509,1519,138,7.67,138,1,18,"","",""
135,"R. Ligrone","Conducting tissues and phyletic relationships of bryophytes",2000,"Philosophical Transactions of the Royal Society B: Biological Sciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0034729671&origin=inward",5,"2024-07-01 12:56:08","Conference Paper","10.1098/rstb.2000.0616","0962-8436","https://api.elsevier.com/content/abstract/scopus_id/0034729671",355,1398,795,813,135,5.63,135,1,24,"","",""
129,"S. Datta","Root hairs: Development, growth and evolution at the plant-soil interface",2011,"Plant and Soil","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79959279740&origin=inward",6,"2024-07-01 12:56:08","Review","10.1007/s11104-011-0845-4","0032-079X","https://api.elsevier.com/content/abstract/scopus_id/79959279740",346,1,1,14,129,9.92,129,1,13,"","",""
124,"J.G. Duckett","In vitro cultivation of bryophytes: A review of practicalities, problems, progress and promise",2004,"Journal of Bryology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=1842473747&origin=inward",7,"2024-07-01 12:56:08","Review","","0373-6687","https://api.elsevier.com/content/abstract/scopus_id/1842473747",26,1,3,20,124,6.20,124,1,20,"","",""
102,"K. Sakakibara","Involvement of auxin and homeodomain-leucine zipper I gene in rhizoid development of the moss Physcomitrella patens",2003,"Development","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0142212145&origin=inward",8,"2024-07-01 12:56:08","Article","10.1242/dev.00644","0950-1991","https://api.elsevier.com/content/abstract/scopus_id/0142212145",130,20,4835,4846,102,4.86,102,1,21,"","",""
73,"W. Frey","Asexual reproduction, habitat colonization and habitat maintenance in bryophytes",2011,"Flora: Morphology, Distribution, Functional Ecology of Plants","","https://api.elsevier.com/content/article/eid/1-s2.0-S0367253010001143","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=79951750105&origin=inward",9,"2024-07-01 12:56:08","Review","10.1016/j.flora.2010.04.020","0367-2530","https://api.elsevier.com/content/abstract/scopus_id/79951750105",206,3,173,184,73,5.62,73,1,13,"","",""
73,"S. Kroken","Occurrence and evolutionary significance of resistant cell walls in charophytes and bryophytes",1996,"American Journal of Botany","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0030450493&origin=inward",10,"2024-07-01 12:56:08","Article","10.2307/2446108","0002-9122","https://api.elsevier.com/content/abstract/scopus_id/0030450493",83,10,1241,1254,73,2.61,73,1,28,"","",""
