Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1702,"N. SMIRNOFF","The role of active oxygen in the response of plants to water deficit and desiccation",1993,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84987012931&origin=inward",1,"2024-07-01 12:42:18","Article","10.1111/j.1469-8137.1993.tb03863.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/84987012931",125,1,27,58,1702,54.90,1702,1,31,"","",""
338,"M. Proctor","Poikilohydry and homoihydry: Antithesis or spectrum of possibilities?",2002,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0036899768&origin=inward",2,"2024-07-01 12:42:18","Review","10.1046/j.1469-8137.2002.00526.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0036899768",156,3,327,349,338,15.36,338,1,22,"","",""
275,"I. Kranner","Desiccation-tolerance in lichens: A review",2008,"Bryologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=58149231071&origin=inward",3,"2024-07-01 12:42:18","Review","10.1639/0007-2745-111.4.576","0007-2745","https://api.elsevier.com/content/abstract/scopus_id/58149231071",111,4,576,593,275,17.19,275,1,16,"","",""
216,"J.M.G. Hudson","Increased plant biomass in a high arctic heath community from 1981 to 2008",2009,"Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=70349971389&origin=inward",4,"2024-07-01 12:42:18","Article","10.1890/09-0102.1","0012-9658","https://api.elsevier.com/content/abstract/scopus_id/70349971389",90,10,2657,2663,216,14.40,216,1,15,"","",""
193,"I.D. Hodkinson","Community assembly along proglacial chronosequences in the high Arctic: Vegetation and soil development in north-west Svalbard",2003,"Journal of Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0041530273&origin=inward",5,"2024-07-01 12:42:18","Article","10.1046/j.1365-2745.2003.00786.x","0022-0477","https://api.elsevier.com/content/abstract/scopus_id/0041530273",91,4,651,663,193,9.19,193,1,21,"","",""
182,"B. Schipperges","Response of photosynthesis of Sphagnum species from contrasting microhabitats to tissue water content and repeated desiccation",1998,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032438711&origin=inward",6,"2024-07-01 12:42:18","Article","10.1046/j.1469-8137.1998.00311.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0032438711",140,4,677,684,182,7.00,182,1,26,"","",""
163,"T. DILKS","PHOTOSYNTHESIS, RESPIRATION AND WATER CONTENT IN BRYOPHYTES",1979,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0002612351&origin=inward",7,"2024-07-01 12:42:18","Article","10.1111/j.1469-8137.1979.tb07564.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0002612351",82,1,97,114,163,3.62,163,1,45,"","",""
156,"Z. Tuba","Photosynthetic responses of a moss, Tortula ruralis, ssp. ruralis, and the lichens Cladonia convoluta and C. furcata to water deficit and short periods of desiccation, and their ecophysiological significance: A baseline study at present-day CO<inf>2</inf> concentration",1996,"New Phytologist","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0001467469&origin=inward",8,"2024-07-01 12:42:18","Article","10.1111/j.1469-8137.1996.tb01902.x","0028-646X","https://api.elsevier.com/content/abstract/scopus_id/0001467469",133,2,353,361,156,5.57,156,1,28,"","",""
127,"M. PROCTOR","The physiological basis of bryophyte production",1990,"Botanical Journal of the Linnean Society","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84984187037&origin=inward",9,"2024-07-01 12:42:18","Article","10.1111/j.1095-8339.1990.tb02211.x","0024-4074","https://api.elsevier.com/content/abstract/scopus_id/84984187037",104,1,61,77,127,3.74,127,1,34,"","",""
122,"M. Kopecký","Topographic Wetness Index calculation guidelines based on measured soil moisture and plant species composition",2021,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969720373162","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85096555917&origin=inward",10,"2024-07-01 12:42:18","Article","10.1016/j.scitotenv.2020.143785","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/85096555917",757,,,,122,40.67,122,1,3,"","",""
119,"J. Van Stan","A review and evaluation of forest canopy epiphyte roles in the partitioning and chemical alteration of precipitation",2015,"Science of the Total Environment","","https://api.elsevier.com/content/article/eid/1-s2.0-S0048969715304769","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84940034754&origin=inward",11,"2024-07-01 12:42:18","Review","10.1016/j.scitotenv.2015.07.134","0048-9697","https://api.elsevier.com/content/abstract/scopus_id/84940034754",536,,813,824,119,13.22,119,1,9,"","",""
119,"L. Köhler","Biomass and water storage dynamics of epiphytes in old-growth and secondary montane cloud forest stands in Costa Rica",2007,"Plant Ecology","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=34547885968&origin=inward",12,"2024-07-01 12:42:18","Article","10.1007/s11258-006-9256-7","1385-0237","https://api.elsevier.com/content/abstract/scopus_id/34547885968",193,2,171,184,119,7.00,119,1,17,"","",""
108,"Z. Csintalan","Chlorophyll fluorescence during drying and rehydration in the mosses Rhytidiadelphus loreus (Hedw.) Warnst., Anomodon viticulosus (Hedw.) Hook. and Tayl. and Grimmia pulvinata (Hedw.) Sm.",1999,"Annals of Botany","","https://api.elsevier.com/content/article/eid/1-s2.0-S0305736499909198","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=0032773765&origin=inward",13,"2024-07-01 12:42:18","Article","10.1006/anbo.1999.0919","0305-7364","https://api.elsevier.com/content/abstract/scopus_id/0032773765",84,2,235,244,108,4.32,108,1,25,"","",""
107,"T.G. Elumeeva","The importance of colony structure versus shoot morphology for the water balance of 22 subarctic bryophyte species",2011,"Journal of Vegetation Science","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=78651374874&origin=inward",14,"2024-07-01 12:42:18","Article","10.1111/j.1654-1103.2010.01237.x","1100-9233","https://api.elsevier.com/content/abstract/scopus_id/78651374874",22,1,152,164,107,8.23,107,1,13,"","",""
94,"P. Porada","Estimating global carbon uptake by lichens and bryophytes with a process-based model",2013,"Biogeosciences","","","https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84887483839&origin=inward",15,"2024-07-01 12:42:18","Article","10.5194/bg-10-6989-2013","1726-4170","https://api.elsevier.com/content/abstract/scopus_id/84887483839",10,11,6989,7033,94,8.55,94,1,11,"","",""
