Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
55,"TGA Green, WP Snelgar","A comparison of photosynthesis in two thalloid liverworts",1982,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00378404","https://scholar.google.com/scholar?cites=18349261288995813504&as_sdt=2005&sciodt=2007&hl=en",1,"2024-06-25 12:11:25","","10.1007/BF00378404","","",,,,,55,1.31,28,2,42,"… One object of this investigation was to compare the CO 2 exchange of liverworts with air-chambered and solid thalli which grow in the same habitat. This has not proved to be completely …","https://www.jstor.org/stable/pdf/4216761.pdf","https://scholar.google.com/scholar?q=related:gPhrfeyrpf4J:scholar.google.com/&scioq=liverwort*+scattering&hl=en&as_sdt=2007"
16,"R Ligrone, JG Duckett","Development of water‐conducting cells in the antipodal liverwort Symphyogyna brasiliensis (Metzgeriales)",1996,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1996.tb01879.x","https://scholar.google.com/scholar?cites=10348132102047744915&as_sdt=2005&sciodt=2007&hl=en",2,"2024-06-25 12:11:25","","10.1111/j.1469-8137.1996.tb01879.x","","",,,,,16,0.57,8,2,28,"… taxa in liverworts, ie, the Calobryales and members of the metzgerialean suborder … conducting cells in liverworts lack cyotoplasmic contents at tnaturity. However, in liverworts they occur …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.1996.tb01879.x","https://scholar.google.com/scholar?q=related:k0Nf71Hzm48J:scholar.google.com/&scioq=liverwort*+scattering&hl=en&as_sdt=2007"
207,"X He‐Nygrén, A Juslén, I Ahonen, D Glenny…","Illuminating the evolutionary history of liverworts (Marchantiophyta)—towards a natural classification",2006,"Cladistics","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1096-0031.2006.00089.x","https://scholar.google.com/scholar?cites=11568765588881699239&as_sdt=2005&sciodt=2007&hl=en",3,"2024-06-25 12:11:25","","10.1111/j.1096-0031.2006.00089.x","","",,,,,207,11.50,41,5,18,"… reconstruct the starting point of the liverwort evolution, to illuminate … liverwort groups obtained in previous studies. We also aimed to establish a new classification scheme for liverworts …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1096-0031.2006.00089.x","https://scholar.google.com/scholar?q=related:p3EOVwKDjKAJ:scholar.google.com/&scioq=liverwort*+scattering&hl=en&as_sdt=2007"
26,"MP Steinkamp, WT Doyle","Spore wall ultrastructure in four species of the liverwort Riccia",1979,"American Journal of Botany","Wiley Online Library","https://bsapubs.onlinelibrary.wiley.com/doi/abs/10.1002/j.1537-2197.1979.tb06257.x","https://scholar.google.com/scholar?cites=584905051070228457&as_sdt=2005&sciodt=2007&hl=en",4,"2024-06-25 12:11:25","","10.1002/j.1537-2197.1979.tb06257.x","","",,,,,26,0.58,13,2,45,"… Electron-dense granular material may be found scattered in the interlamellar spaces. Lamellae are continuous around the spore except under the ridge crests, where breaks occur as …","https://www.jstor.org/stable/pdf/2442504.pdf","https://scholar.google.com/scholar?q=related:6WdfhAsAHggJ:scholar.google.com/&scioq=liverwort*+scattering&hl=en&as_sdt=2007"
35,"M von Konrat, A Hagborg, L Söderström…","Early Land Plants Today: Global patterns of liverwort diversity, distribution, and floristic knowledge",2008,"Bryology in the new …","bio.ntnu.no","http://www.bio.ntnu.no/users/soder/I70.pdf","https://scholar.google.com/scholar?cites=16533797758592323863&as_sdt=2005&sciodt=2007&hl=en",5,"2024-06-25 12:11:25","PDF","","","",,,,,35,2.19,9,4,16,"… The underlying objective is to work towards unifying the vastly scattered data on liverwort taxonomy, nomenclature, and distribution. Application of the preliminary unified data set is …","http://www.bio.ntnu.no/users/soder/I70.pdf","https://scholar.google.com/scholar?q=related:F5ELLXbZc-UJ:scholar.google.com/&scioq=liverwort*+scattering&hl=en&as_sdt=2007"
17,"JG Cao, XL Dai, HM Zou, QX Wang","Formation and development of rhizoids of the liverwort Marchantia polymorpha",2014,"The Journal of the Torrey Botanical …","JSTOR","https://www.jstor.org/stable/43287050","https://scholar.google.com/scholar?cites=4452241597859478167&as_sdt=2005&sciodt=2007&hl=en",6,"2024-06-25 12:11:25","","","","",,,,,17,1.70,4,4,10,"This paper mainly studies the formation and development of the rhizoids of Marchantia polymorpha L. using light and electron microscopy, and cytochemical methods. Marchantía …","https://www.jstor.org/stable/pdf/43287050.pdf","https://scholar.google.com/scholar?q=related:l7qh7iSKyT0J:scholar.google.com/&scioq=liverwort*+scattering&hl=en&as_sdt=2007"
16,"F Romani, JR Flores, JI Tolopka…","Liverwort oil bodies: diversity, biochemistry, and molecular cell biology of the earliest secretory structure of land plants",2022,"Journal of …","academic.oup.com","https://academic.oup.com/jxb/article-abstract/73/13/4427/6565307","https://scholar.google.com/scholar?cites=12059568609934111335&as_sdt=2005&sciodt=2007&hl=en",7,"2024-06-25 12:11:25","","","","",,,,,16,8.00,4,4,2,"… , whereas Treubia has one large OB within scattered specialized cells that are usually larger … In Marchantiopsida, similar to Treubia, OBs occur only in the gametophyte within scattered …","https://www.repository.cam.ac.uk/bitstreams/bbe892f9-8996-4254-9cd1-e14c7a1ae3d8/download","https://scholar.google.com/scholar?q=related:Z_KSo8ExXKcJ:scholar.google.com/&scioq=liverwort*+scattering&hl=en&as_sdt=2007"
20,"S Pressel, JG Duckett","Do motile spermatozoids limit the effectiveness of sexual reproduction in bryophytes? Not in the liverwort Marchantia polymorpha",2019,"Journal of Systematics and Evolution","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jse.12528","https://scholar.google.com/scholar?cites=7519168384864017297&as_sdt=2005&sciodt=2007&hl=en",8,"2024-06-25 12:11:25","","10.1111/jse.12528","","",,,,,20,4.00,10,2,5,"To test the premise that fertilization distances in bryophytes are limited by spermatozoid motility, we measured the distances between over 80 000 male and female thalli of Marchantia …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/jse.12528","https://scholar.google.com/scholar?q=related:kdsqys5zWWgJ:scholar.google.com/&scioq=liverwort*+scattering&hl=en&as_sdt=2007"
17,"Y Kobiyama, B Crandall-Stotler","Studies of Specialized Pitted Parenchyma Cells of the Liverwort Conocephalum Hill and Their Phylogenetic Implications",1999,"International Journal of …","journals.uchicago.edu","https://www.journals.uchicago.edu/doi/abs/10.1086/314126","https://scholar.google.com/scholar?cites=11700083984399644494&as_sdt=2005&sciodt=2007&hl=en",9,"2024-06-25 12:11:25","","10.1086/314126","","",,,,,17,0.68,9,2,25,"… , that some liverworts, including the complex thalloid liverwort … Grolle, many circular, thin‐walled pits are scattered on the … specialized cells, which are scattered through both younger and …","https://www.jstor.org/stable/pdf/10.1086/314126.pdf","https://scholar.google.com/scholar?q=related:Trdg5GQMX6IJ:scholar.google.com/&scioq=liverwort*+scattering&hl=en&as_sdt=2007"
6,"WS Sullivant","The mosses and liverworts",1865,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=iVYmAQAAMAAJ&oi=fnd&pg=PA601&dq=liverwort*+scattering&ots=8Jik_Z1EnY&sig=26bsyWmcDPHouzn0oUavczLXaTk","https://scholar.google.com/scholar?cites=4893044570033869188&as_sdt=2005&sciodt=2007&hl=en",10,"2024-06-25 12:11:25","BOOK","","","",,,,,6,0.04,6,1,159,"Low, tufted plants, always with a stem and distinct (sessile) leaves, producing spore-cases which open by a terminal lid (except in Nos. 1-4), and contain simple spores alone. …","https://books.google.com/books?hl=en&lr=&id=iVYmAQAAMAAJ&oi=fnd&pg=PA601&dq=liverwort*+scattering&ots=8Jik_Z1EnY&sig=26bsyWmcDPHouzn0oUavczLXaTk","https://scholar.google.com/scholar?q=related:hNEFqxyW50MJ:scholar.google.com/&scioq=liverwort*+scattering&hl=en&as_sdt=2007"
