Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
53,"S Otero, E Núñez-Olivera, J Martínez-Abaigar…","… of cadmium and enhanced UV radiation on the physiology and the concentration of UV-absorbing compounds of the aquatic liverwort Jungermannia exsertifolia subsp …",2006,"Photochemical & …","Springer","https://link.springer.com/article/10.1039/b601105e","https://scholar.google.com/scholar?cites=8877789364275854896&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 10:21:29","","10.1039/b601105e","","",,,,,53,2.94,13,4,18,"… The following individual UV-absorbing compounds of J. cordifolia were extracted … liverwort was obtained in triplicate during the culture period (Perkin-Elmer AA-700 atomic absorption …","https://link.springer.com/content/pdf/10.1039/b601105e.pdf","https://scholar.google.com/scholar?q=related:MD5n6GM-NHsJ:scholar.google.com/&scioq=liverwort+absorption&hl=en&as_sdt=2007"
36,"G Fabón, L Monforte, R Tomás-Las-Heras…","… response of UV-absorbing compounds, quantum yield and the xanthophyll cycle to diel changes in UV-B and photosynthetic radiations in an aquatic liverwort",2012,"Journal of Plant …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161711003646","https://scholar.google.com/scholar?cites=6797001798879204428&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 10:21:29","","","","",,,,,36,3.00,9,4,12,"… We studied the diel responses of the liverwort Jungermannia exsertifolia … UV-absorbing compounds in the four periods of the day on two consecutive days. With respect to UV-absorbing …","https://www.academia.edu/download/75541201/j.jplph.2011.08.01020211202-15504-2soi2a.pdf","https://scholar.google.com/scholar?q=related:TNTivx_NU14J:scholar.google.com/&scioq=liverwort+absorption&hl=en&as_sdt=2007"
30,"E Núñez‐Olivera, S Otero, R Tomás…","Seasonal variations in UV‐absorbing compounds and physiological characteristics in the aquatic liverwort Jungermannia exsertifolia subsp. cordifolia over a 3‐year …",2009,"Physiologia …","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1399-3054.2009.01215.x","https://scholar.google.com/scholar?cites=10986812663103283732&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 10:21:29","","10.1111/j.1399-3054.2009.01215.x","","",,,,,30,2.00,8,4,15,"… of UV-absorbing compounds (UVAC) and other physiological variables of the aquatic foliose liverwort … We hypothesized that the physiological variables of the liverwort being specifically …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/j.1399-3054.2009.01215.x","https://scholar.google.com/scholar?q=related:FOIIDuj_eJgJ:scholar.google.com/&scioq=liverwort+absorption&hl=en&as_sdt=2007"
16,"AAA Suleiman, DH Lewis","CARBOHYDRATE METABOLISM IN THE LEAFY LIVERWORT, PLAGIOCHILA ASPLENIOIDES (L.) DUM. VAR. MAJOR NEES",1980,"New phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1980.tb00748.x","https://scholar.google.com/scholar?cites=9692626842748963190&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 10:21:29","","10.1111/j.1469-8137.1980.tb00748.x","","",,,,,16,0.36,8,2,44,"… When this polyol was supplied exogenously, most of that absorbed remained as un . … liverwort absorbed approximately 30% of its dry wt of glucose and 15%, as the other carbohydrates. …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.1980.tb00748.x","https://scholar.google.com/scholar?q=related:dsl3fsIgg4YJ:scholar.google.com/&scioq=liverwort+absorption&hl=en&as_sdt=2007"
4,"J Martínez-Abaigar, L Monforte…","Ultraviolet-absorbing compounds from the cell walls of an aquatic liverwort are more efficiently extracted by alkaline than by enzymatic digestion",2015,"Journal of …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/1743282014Y.0000000112","https://scholar.google.com/scholar?cites=4876079130398267575&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 10:21:29","","10.1179/1743282014Y.0000000112","","",,,,,4,0.44,1,3,9,"… Alkaline or enzymatic digestion treatments used to extract UV-absorbing compounds from the cell walls of the aquatic liverwort Jungermannia exsertifolia subsp. cordifolia. Enzyme …","","https://scholar.google.com/scholar?q=related:t5gVcCJQq0MJ:scholar.google.com/&scioq=liverwort+absorption&hl=en&as_sdt=2007"
11,"JE Altland, G Wehtje, CH Gilliam, ME Miller","Liverwort (Marchantia polymorpha) control with quinoclamine",2007,"Weed Technology","cambridge.org","https://www.cambridge.org/core/journals/weed-technology/article/liverwort-marchantia-polymorpha-control-with-quinoclamine/99BB913014105B8717AE21AD0B867592","https://scholar.google.com/scholar?cites=567742528184137201&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 10:21:29","","","","",,,,,11,0.65,3,4,17,"… Absorption and translocation studies using 14C-quinoclamine established that 14C absorption into liverwort … Although liverwort lacks vascular tissue, 14C is readily translocated away …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/99BB913014105B8717AE21AD0B867592/S0890037X00020169a.pdf/div-class-title-liverwort-span-class-italic-marchantia-polymorpha-span-control-with-quinoclamine-div.pdf","https://scholar.google.com/scholar?q=related:8TVMRNIG4QcJ:scholar.google.com/&scioq=liverwort+absorption&hl=en&as_sdt=2007"
15,"L Monforte, R Tomas-Las-Heras…","Spatial variability of ultraviolet-absorbing compounds in an aquatic liverwort and their usefulness as biomarkers of current and past UV radiation: A case study in the …",2015,"Science of the total …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969715002715","https://scholar.google.com/scholar?cites=545223277359517674&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 10:21:29","","","","",,,,,15,1.67,5,3,9,"… -absorbing compounds (UVACs) in the freshwater liverwort … liverwort to changing environmental conditions (in particular, to UV levels). Finally, UVACs of fresh samples of the liverwort …","","https://scholar.google.com/scholar?q=related:6s9Jmq4FkQcJ:scholar.google.com/&scioq=liverwort+absorption&hl=en&as_sdt=2007"
5,"G Soriano, MÁ Del-Castillo-Alonso, L Monforte…","Developmental Stage Determines the Accumulation Pattern of UV-Absorbing Compounds in the Model Liverwort Marchantia polymorpha subsp. ruderalis …",2021,"Plants","mdpi.com","https://www.mdpi.com/2223-7747/10/3/473","https://scholar.google.com/scholar?cites=12414698939419529756&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 10:21:29","HTML","","","",,,,,5,1.67,1,4,3,"… the general phylogenetic importance of liverworts [19]. The … Given the relevance of this liverwort as a model species, it is … phenolic UV-absorbing compounds in the model liverwort M. …","https://www.mdpi.com/2223-7747/10/3/473","https://scholar.google.com/scholar?q=related:HBKF1ejeSawJ:scholar.google.com/&scioq=liverwort+absorption&hl=en&as_sdt=2007"
9,"L Monforte, E Nunez-Olivera, J Martinez-Abaigar","UV radiation biomonitoring using cell compartmentation of UV-absorbing compounds in herbarium samples of a liverwort",2015,"Ecological Indicators","Elsevier","https://www.sciencedirect.com/science/article/pii/S1470160X14005627","https://scholar.google.com/scholar?cites=15631223131078648143&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 10:21:29","","","","",,,,,9,1.00,3,3,9,"… Ultraviolet-absorbing compounds (UVACs) were analyzed in 90 herbarium samples of the liverwort Jungermannia exsertifolia subsp. cordifolia collected throughout Spain in the period …","","https://scholar.google.com/scholar?q=related:T-HPtJ5C7dgJ:scholar.google.com/&scioq=liverwort+absorption&hl=en&as_sdt=2007"
7,"JE Altland, G Wehtje, J Sibley, ME Miller…","Differential response of liverwort (Marchantia polymorpha) tissue to post-applied quinoclamine",2011,"Weed …","cambridge.org","https://www.cambridge.org/core/journals/weed-technology/article/differential-response-of-liverwort-marchantia-polymorpha-tissue-to-postapplied-quinoclamine/A7B1D06DB36009BEB0A37ED6AC371597","https://scholar.google.com/scholar?cites=561132362262350306&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 10:21:29","","","","",,,,,7,0.54,1,5,13,"… that 14C absorption followed by 14C-quinoclamine application into liverwort thalli … The intent of this experiment was to determine quinoclamine absorption in three liverwort tissues or …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/A7B1D06DB36009BEB0A37ED6AC371597/S0890037X0001099Xa.pdf/differential_response_of_liverwort_marchantia_polymorpha_tissue_to_postapplied_quinoclamine.pdf","https://scholar.google.com/scholar?q=related:4omfFOmKyQcJ:scholar.google.com/&scioq=liverwort+absorption&hl=en&as_sdt=2007"
