Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
1,"DE Petzold, AN Rencz","A micro-environmental study of albedo in the eastern sub-arctic",1975,"Climatological Bulletin","cmosarchives.ca","http://cmosarchives.ca/CB/cb18.pdf#page=30","https://scholar.google.com/scholar?cites=10625462521789409560&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-17 08:47:37","PDF","","","",,,,,1,0.02,1,2,49,"… Introduction The term albedo is used to denote the … In general, the albedo of a surface depends upon its colour, … Albedo generally increases with the visual brightness of the …","http://cmosarchives.ca/CB/cb18.pdf#page=30","https://scholar.google.com/scholar?q=related:GOl7Ed45dZMJ:scholar.google.com/&scioq=liverwort*+albedo&hl=en&as_sdt=2007"
0,"K Von Ness","Quantifying the effects of moisture change on the spectral signatures (350-2500 nm) of Arctic mosses, liverworts, and lichens",2021,"","oaktrust.library.tamu.edu","https://oaktrust.library.tamu.edu/handle/1969.1/195639","",2,"2024-07-17 08:47:37","","","","",,,,,0,0.00,0,1,3,"… sub-)Arctic mosses, lichens, and liverworts, especially how they change with moisture shifts. … ) of Arctic mosses, lichens, and liverworts. Results show that spectral properties vary widely …","https://oaktrust.library.tamu.edu/bitstream/handle/1969.1/195639/VONNESS-THESIS-2021.pdf?sequence=1","https://scholar.google.com/scholar?q=related:Dk68vWrH4bEJ:scholar.google.com/&scioq=liverwort*+albedo&hl=en&as_sdt=2007"
23,"S Otero, E Núñez-Olivera, J Martínez-Abaigar…","Retrospective bioindication of stratospheric ozone and ultraviolet radiation using hydroxycinnamic acid derivatives of herbarium samples of an aquatic liverwort",2009,"Environmental …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0269749109001511","https://scholar.google.com/scholar?cites=13157855530418756898&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-17 08:47:37","","","","",,,,,23,1.53,6,4,15,"We analyzed bulk UV absorbance of methanolic extracts and levels of five UV-absorbing compounds (hydroxycinnamic acid derivatives) in 135 herbarium samples of the liverwort …","https://www.academia.edu/download/75541458/j.envpol.2009.03.02520211202-10970-9j6t3o.pdf","https://scholar.google.com/scholar?q=related:It2EQOQXmrYJ:scholar.google.com/&scioq=liverwort*+albedo&hl=en&as_sdt=2007"
64,"LE Street, PC Stoy, M Sommerkorn…","Seasonal bryophyte productivity in the sub‐Arctic: a comparison with vascular plants",2012,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2435.2011.01954.x","https://scholar.google.com/scholar?cites=15710584633090421497&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-17 08:47:37","","10.1111/j.1365-2435.2011.01954.x","","",,,,,64,5.33,16,4,12,"… Bryophytes (mosses, liverworts and hornworts) are important components of Arctic … We did not have continuous direct observations of snow cover over the plots, and albedo and snow …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1365-2435.2011.01954.x","https://scholar.google.com/scholar?q=related:-bIQTXw1B9oJ:scholar.google.com/&scioq=liverwort*+albedo&hl=en&as_sdt=2007"
1,"K Skøyen","The surface albedo of three lichen species (Flavocetraria nivalis, Cladonia stellaris, Cetraria islandica) and crowberry (Empetrum nigrum), and the influence of zenith …",2020,"","openarchive.usn.no","https://openarchive.usn.no/usn-xmlui/handle/11250/2740238","https://scholar.google.com/scholar?cites=3117360938469105147&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-17 08:47:37","","","","",,,,,1,0.25,1,1,4,"… In this study, I have measured the surface albedo of three lichen species Flavocetraria nivalis, … in the surface albedo. The results show that the surface albedo differs between species of …","https://openarchive.usn.no/usn-xmlui/bitstream/handle/11250/2740238/2020_Master_Skoyen.pdf?sequence=1","https://scholar.google.com/scholar?q=related:-x0hzkEXQysJ:scholar.google.com/&scioq=liverwort*+albedo&hl=en&as_sdt=2007"
0,"A Sołtys-Lelek, Z Caputa","The influence of solar radiation on selected physiological processes of mosses in karst conditions of the spring niches of the Ojców National Park (Southern …",2021,"Annales Universitatis Paedagogicae …","bibliotekanauki.pl","https://bibliotekanauki.pl/articles/2173119.pdf","",6,"2024-07-17 08:47:37","PDF","","","",,,,,0,0.00,0,2,3,"… Based on the quotient of reflected to total radiation (Kodb/Kcal), the reflectance coe cient – Albedo … Albedo achieved the highest values on stand 2, and the lowest on stands 3, 4, 5. Air …","https://bibliotekanauki.pl/articles/2173119.pdf","https://scholar.google.com/scholar?q=related:NJA98MDeVD0J:scholar.google.com/&scioq=liverwort*+albedo&hl=en&as_sdt=2007"
6,"H Yin, AV Perera-Castro, KL Randall…","Basking in the sun: how mosses photosynthesise and survive in Antarctica",2023,"Photosynthesis …","Springer","https://link.springer.com/article/10.1007/s11120-023-01040-y","https://scholar.google.com/scholar?cites=13082987346674612676&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-17 08:47:37","HTML","10.1007/s11120-023-01040-y","","",,,,,6,6.00,2,4,1,"… Its terrestrial flora is dominated by bryophytes (mosses and liverworts) and lichens. These are found all around the continent on coastal ice-free regions and even inland on nunataks (…","https://link.springer.com/article/10.1007/s11120-023-01040-y","https://scholar.google.com/scholar?q=related:xHl416wbkLUJ:scholar.google.com/&scioq=liverwort*+albedo&hl=en&as_sdt=2007"
0,"AF Clements","Testing Functional Variation in Thermal Properties for Antarctic Mosses",2021,"","search.proquest.com","https://search.proquest.com/openview/0d33003b732072e2131c0260ab3e8af0/1?pq-origsite=gscholar&cbl=18750&diss=y","",8,"2024-07-17 08:47:37","HTML","","","",,,,,0,0.00,0,1,3,"… albedo would be relevant in addition to the thermal properties in determining moss functional groups. Moss albedo … The albedo and thermal properties together would present a more …","https://search.proquest.com/openview/0d33003b732072e2131c0260ab3e8af0/1?pq-origsite=gscholar&cbl=18750&diss=y","https://scholar.google.com/scholar?q=related:GQxlvcP9ROcJ:scholar.google.com/&scioq=liverwort*+albedo&hl=en&as_sdt=2007"
6,"N Lappalainen","The responses of ectohydric and endohydric mosses under ambient and enhanced ultraviolet radiation",2010,"","oulurepo.oulu.fi","https://oulurepo.oulu.fi/handle/10024/34478","https://scholar.google.com/scholar?cites=8414860609891863981&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-17 08:47:37","BOOK","","","",,,,,6,0.43,6,1,14,"… The albedo of UV-B radiation for vegetation cover is low. The UV-B wavelegth region is a … This has been observed with flavonoids of the liverwort Marchantia polymorpha; enhanced UV-…","https://oulurepo.oulu.fi/bitstream/handle/10024/34478/isbn978-951-42-6214-2.pdf?sequence=1","https://scholar.google.com/scholar?q=related:rQ0IDySXx3QJ:scholar.google.com/&scioq=liverwort*+albedo&hl=en&as_sdt=2007"
55,"EP Hamerlynck, Z Tuba, Z Csintalan, Z Nagy…","Diurnal variation in photochemical dynamics and surface reflectance of the desiccation-tolerant moss, Tortula ruralis",2000,"Plant Ecology","Springer","https://link.springer.com/article/10.1023/A:1026594623578","https://scholar.google.com/scholar?cites=16867516227700515403&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-17 08:47:37","","10.1023/A:1026594623578","","",,,,,55,2.29,11,5,24,"… and albedo data from 0600 to 1800 were used. To account for changes in albedo during the collection of plant samples, albedo … -tolerant and intolerant liverworts. Planta 207: 224–228. …","https://link.springer.com/content/pdf/10.1023/A:1026594623578.pdf","https://scholar.google.com/scholar?q=related:S-I5I6R0FeoJ:scholar.google.com/&scioq=liverwort*+albedo&hl=en&as_sdt=2007"
