Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
132,"BJM Robroek, J Limpens, A Breeuwer, MGC Schouten","Effects of water level and temperature on performance of four Sphagnum mosses",2007,"Plant Ecology","Springer","https://link.springer.com/article/10.1007/s11258-006-9193-5","https://scholar.google.com/scholar?cites=9418525009113562440&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-17 08:45:24","","10.1007/s11258-006-9193-5","","",,,,,132,7.76,33,4,17,"… Since liverwort cover affected subcapitulum bulk density, we included liverwort as a co-variable if testing the effects of our variables on subcapitulum bulk density. …","https://link.springer.com/content/pdf/10.1007/s11258-006-9193-5.pdf","https://scholar.google.com/scholar?q=related:SL1YJJhStYIJ:scholar.google.com/&scioq=liverwort*+%22bulk+density%22&hl=en&as_sdt=2007"
37,"JG Duckett, RS Clymo","Regeneration of bog liverworts",1988,"New Phytologist","Wiley Online Library","https://nph.onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-8137.1988.tb00244.x","https://scholar.google.com/scholar?cites=9974563760127412759&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-17 08:45:24","","10.1111/j.1469-8137.1988.tb00244.x","","",,,,,37,1.03,19,2,36,"… I eafv liverworts of many species regenerate in slabs cut at various depths from peat cores … cut peat surface recently recolonized by liverworts. These results suggest that regeneration is …","https://nph.onlinelibrary.wiley.com/doi/pdf/10.1111/j.1469-8137.1988.tb00244.x","https://scholar.google.com/scholar?q=related:Fwrhb-TEbIoJ:scholar.google.com/&scioq=liverwort*+%22bulk+density%22&hl=en&as_sdt=2007"
6,"JE Altland, G Wehtje, ML Mckee, CH Gilliam","Liverwort (Marchantia polymorpha) response to Quinoclamine in a pine bark substrate",2008,"Weed science","cambridge.org","https://www.cambridge.org/core/journals/weed-science/article/liverwort-marchantia-polymorpha-response-to-quinoclamine-in-a-pine-bark-substrate/972A88C8E70E678FDFDE859C003AC6A9","https://scholar.google.com/scholar?cites=7227775145802341654&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-17 08:45:24","","","","",,,,,6,0.38,2,4,16,"… Pinus taeda L.) bark : sand (v/v) with a cation-exchange capacity (CEC) of 30 mEq 100 cm23, 64% organic carbon (loss on ignition), a water-holding capacity of 46%, and a bulk density …","https://www.cambridge.org/core/services/aop-cambridge-core/content/view/972A88C8E70E678FDFDE859C003AC6A9/S0043174500018099a.pdf/liverwort_marchantia_polymorpha_response_to_quinoclamine_in_a_pine_bark_substrate.pdf","https://scholar.google.com/scholar?q=related:Fh3yYTM3TmQJ:scholar.google.com/&scioq=liverwort*+%22bulk+density%22&hl=en&as_sdt=2007"
2,"E Jabłońska, W Kotowski, NA Soudzilovskaia","Desiccation avoidance and hummock formation traits of rich fen bryophytes",2023,"Wetlands","Springer","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?cites=10676949426722999587&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-17 08:45:24","HTML","10.1007/s13157-023-01669-4","","",,,,,2,2.00,1,3,1,"… of NE Poland, we calculated: canopy bulk density of wet (CDW) and … Using dry mass for calculating canopy bulk density (CDD), gives … correlated with canopy bulk density (our CDD trait). …","https://link.springer.com/article/10.1007/s13157-023-01669-4","https://scholar.google.com/scholar?q=related:I42iSO8kLJQJ:scholar.google.com/&scioq=liverwort*+%22bulk+density%22&hl=en&as_sdt=2007"
7,"X Hu, Z Gao, XY Li, RZ Wang, YM Wang","Structural characteristics of the moss (bryophyte) layer and its underlying soil structure and water retention characteristics",2023,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-023-06079-3","https://scholar.google.com/scholar?cites=5268768961261935178&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-17 08:45:24","HTML","10.1007/s11104-023-06079-3","","",,,,,7,7.00,1,5,1,"Aims The influence of the moss layer on soil structure and soil water retention is not well understood. Therefore, this study aims to investigate the changes in soil structure and soil water …","https://link.springer.com/article/10.1007/s11104-023-06079-3","https://scholar.google.com/scholar?q=related:Shqfg3RtHkkJ:scholar.google.com/&scioq=liverwort*+%22bulk+density%22&hl=en&as_sdt=2007"
4,"RH Stamps, AL Chandler","Eradication of common liverwort from a soilless growing medium",2004,"HortScience","journals.ashs.org","https://journals.ashs.org/hortsci/view/journals/hortsci/39/4/article-p882B.xml","https://scholar.google.com/scholar?cites=9970272779665673072&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-17 08:45:24","CITATION","","","",,,,,4,0.20,2,2,20,"… Soil P, pH, and organic matter content were increased by compost amendment and bulk density was decreased. At HR mid-season leaves, fruit, and first year growth from compost …","https://journals.ashs.org/hortsci/downloadpdf/journals/hortsci/39/4/article-p882B.pdf","https://scholar.google.com/scholar?q=related:cAu4sUSGXYoJ:scholar.google.com/&scioq=liverwort*+%22bulk+density%22&hl=en&as_sdt=2007"
75,"BJM Robroek, J Limpens, A Breeuwer…","Interspecific competition between Sphagnum mosses at different water tables",2007,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2435.2007.01269.x","https://scholar.google.com/scholar?cites=12203051136639967900&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-17 08:45:24","","10.1111/j.1365-2435.2007.01269.x","","",,,,,75,4.41,19,4,17,"… Contrary to our assumptions, the above suggests that bulk density may not be a good predictor of the Sphagnum vegetation's ability to supply water to the capitula. Other physical …","https://besjournals.onlinelibrary.wiley.com/doi/pdfdirect/10.1111/j.1365-2435.2007.01269.x","https://scholar.google.com/scholar?q=related:nCJar1ryWakJ:scholar.google.com/&scioq=liverwort*+%22bulk+density%22&hl=en&as_sdt=2007"
20,"A Noble, SM Palmer, DJ Glaves, A Crowle, J Holden","Impacts of peat bulk density, ash deposition and rainwater chemistry on establishment of peatland mosses",2017,"Plant and Soil","Springer","https://link.springer.com/article/10.1007/s11104-017-3325-7","https://scholar.google.com/scholar?cites=17635163717198919865&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-17 08:45:24","HTML","10.1007/s11104-017-3325-7","","",,,,,20,2.86,4,5,7,"… One way in which drivers including fire may influence mosses is by altering peat properties such as near-surface peat bulk density. Increased bulk density can reduce water availability …","https://link.springer.com/article/10.1007/s11104-017-3325-7","https://scholar.google.com/scholar?q=related:ubh_N_evvPQJ:scholar.google.com/&scioq=liverwort*+%22bulk+density%22&hl=en&as_sdt=2007"
119,"NA Soudzilovskaia, PM van Bodegom…","Dominant bryophyte control over high‐latitude soil temperature fluctuations predicted by heat transfer traits, field moisture regime and laws of thermal insulation",2013,"Functional …","Wiley Online Library","https://besjournals.onlinelibrary.wiley.com/doi/abs/10.1111/1365-2435.12127","https://scholar.google.com/scholar?cites=1889312717736910225&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-17 08:45:24","","10.1111/1365-2435.12127","","",,,,,119,10.82,40,3,11,"… of 17 bryophyte species: three liverworts and 14 mosses, … , should depend on moss bulk density. We conclude tentatively … this analysis we used a bulk density measurement, which did …","https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/1365-2435.12127","https://scholar.google.com/scholar?q=related:kR1WIugvOBoJ:scholar.google.com/&scioq=liverwort*+%22bulk+density%22&hl=en&as_sdt=2007"
199,"RC Davis","Structure and function of two Antarctic terrestrial moss communities",1981,"Ecological Monographs","Wiley Online Library","https://esajournals.onlinelibrary.wiley.com/doi/abs/10.2307/2937260","https://scholar.google.com/scholar?cites=3080427907784778838&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-17 08:45:24","","10.2307/2937260","","",,,,,199,4.63,199,1,43,"… mosses and liverworts tend to grow in distinct patches and none of the samples coincided with patches of liverwort. Clearly it is necessary to obtain biomass values for liverwort patches, …","https://www.jstor.org/stable/pdf/2937260.pdf","https://scholar.google.com/scholar?q=related:ViS2f9zgvyoJ:scholar.google.com/&scioq=liverwort*+%22bulk+density%22&hl=en&as_sdt=2007"
