Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
56,"M Marschall, MCF Proctor","Desiccation tolerance and recovery of the leafy liverwort Porella platyphylla (L.)Pfeiff.: chlorophyll-fluorescence measurements",1999,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/jbr.1999.21.4.257","https://scholar.google.com/scholar?cites=614618507425054274&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 11:06:33","","10.1179/jbr.1999.21.4.257","","",,,,,56,2.24,28,2,25,"… The work reported in the present paper aimed, first, to follow the changes in chlorophyll … The values of the chlorophyll-fluorescence parameters and general pattern of responses that we …","https://www.researchgate.net/profile/M-Marschall/publication/281149678_Desiccation_tolerance_and_recovery_of_the_leafy_liverwort_Porella_platyphylla_L_Pfeiff_Chlorophyll-fluorescence_measurements_Journal_of_Bryology/links/5c7e9605299bf1268d3a9173/Desiccation-tolerance-and-recovery-of-the-leafy-liverwort-Porella-platyphylla-L-Pfeiff-Chlorophyll-fluorescence-measurements-Journal-of-Bryology.pdf","https://scholar.google.com/scholar?q=related:Qn5zr0aQhwgJ:scholar.google.com/&scioq=liverwort+chlorophyll&hl=en&as_sdt=2007"
13,"S Takio, K Ikuta, Y Satoh, T Satoh","Photosynthetic properties of dark-bleached cells of the newly established line from the liverwort, Marchantia paleacea var. diptera",1993,"Journal of plant physiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161711800994","https://scholar.google.com/scholar?cites=1480759207254432325&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 11:06:33","","","","",,,,,13,0.42,3,4,31,"… from the liverwort, Marchantia paleacea var. diptera, are able to synthesize chlorophyll under … These dark-grown liverwort cells (green cell line) show the same chlorophyll content and …","https://www.academia.edu/download/74698326/S0176-1617_2811_2980099-420211115-6061-1x90ymw.pdf","https://scholar.google.com/scholar?q=related:RRpKUqe2jBQJ:scholar.google.com/&scioq=liverwort+chlorophyll&hl=en&as_sdt=2007"
20,"T Suzuki, S Takio, T Satoh","Light-dependent expression in liverwort cells of chlL/N and chlB identified as chloroplast genes involved in chlorophyll synthesis in the dark",1998,"Journal of plant physiology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0176161798800989","https://scholar.google.com/scholar?cites=7562083117793607195&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 11:06:33","","","","",,,,,20,0.77,7,3,26,"… chlorophyll but at gready reduced levels, while the green line produced the same level of chlorophyll as … of light-independent chlorophyll synthesis in the liverwort, expression patterns of …","https://www.academia.edu/download/74698324/s0176-1617_2898_2980098-920211115-3059-8rdgky.pdf","https://scholar.google.com/scholar?q=related:G_4Qrofq8WgJ:scholar.google.com/&scioq=liverwort+chlorophyll&hl=en&as_sdt=2007"
340,"M Marschall, MCF Proctor","Are Bryophytes Shade Plants? Photosynthetic Light Responses and Proportions of Chlorophyll a, Chlorophyll b and Total Carotenoids",2004,"Annals of botany","academic.oup.com","https://academic.oup.com/aob/article-abstract/94/4/593/189774","https://scholar.google.com/scholar?cites=5584578008632036743&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 11:06:33","","","","",,,,,340,17.00,170,2,20,"… • Background and Aims Data are presented from 39 species of mosses and 16 liverworts for ratios of chlorophylls and total carotenoids, and light saturation of photosynthetic electron …","https://academic.oup.com/aob/article/94/4/593/189774","https://scholar.google.com/scholar?q=related:h434SBxogE0J:scholar.google.com/&scioq=liverwort+chlorophyll&hl=en&as_sdt=2007"
188,"K Shakya, MK Chettri, T Sawidis","Impact of heavy metals (copper, zinc, and lead) on the chlorophyll content of some mosses",2008,"Archives of Environmental …","Springer","https://link.springer.com/article/10.1007/s00244-007-9060-y","https://scholar.google.com/scholar?cites=4853023616791113227&as_sdt=2005&sciodt=2007&hl=en",5,"2024-07-16 11:06:33","HTML","10.1007/s00244-007-9060-y","","",,,,,188,11.75,63,3,16,"… However, the significant decrease of chlorophyll in leafy liverwort in the present study indicates that Pb may indirectly cause oxidative stress by disturbing photosynthetic electron …","https://link.springer.com/article/10.1007/s00244-007-9060-y","https://scholar.google.com/scholar?q=related:C25qXURnWUMJ:scholar.google.com/&scioq=liverwort+chlorophyll&hl=en&as_sdt=2007"
12,"C Hooijmaijers","Membrane integrity, oxidative damage and chlorophyll fluorescence during dehydration of the thalloid liverwort Monoclea forsteri Hook.",2008,"Journal of Bryology","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1179/174328208X322279","https://scholar.google.com/scholar?cites=9210110531439625965&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 11:06:33","","10.1179/174328208X322279","","",,,,,12,0.75,12,1,16,"… forsteri Hook., is a thalloid liverwort that is widely distributed in the … studied of all New Zealand liverworts. It produces lunularic … cell water-relations, chlorophyll a fluorescence, oxidative …","","https://scholar.google.com/scholar?q=related:7QaLKLvi0H8J:scholar.google.com/&scioq=liverwort+chlorophyll&hl=en&as_sdt=2007"
56,"TGA Green, WP Snelgar","A comparison of photosynthesis in two thalloid liverworts",1982,"Oecologia","Springer","https://link.springer.com/article/10.1007/BF00378404","https://scholar.google.com/scholar?cites=18349261288995813504&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 11:06:33","","10.1007/BF00378404","","",,,,,56,1.33,28,2,42,"… Separate analysis showed that the dorsal and ventral surfaces had almost equal quantities of chlorophyll and similar chlorophyll a/b ratios, (Table 2). However experiments carried out …","https://www.jstor.org/stable/pdf/4216761.pdf","https://scholar.google.com/scholar?q=related:gPhrfeyrpf4J:scholar.google.com/&scioq=liverwort+chlorophyll&hl=en&as_sdt=2007"
38,"CAM Hooijmaijers, KS Gould","Photoprotective pigments in red and green gametophytes of two New Zealand liverworts",2007,"New Zealand Journal of Botany","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/00288250709509728","https://scholar.google.com/scholar?cites=9934437008476463157&as_sdt=2005&sciodt=2007&hl=en",8,"2024-07-16 11:06:33","","10.1080/00288250709509728","","",,,,,38,2.24,19,2,17,"… New Zealand's liverworts typically experience less extreme climatic conditions than do … be intercepted by chlorophyll, the red pigments might protect liverworts in exposed locations from …","https://www.tandfonline.com/doi/pdf/10.1080/00288250709509728","https://scholar.google.com/scholar?q=related:NeC7BdM13okJ:scholar.google.com/&scioq=liverwort+chlorophyll&hl=en&as_sdt=2007"
17,"KR Rao, NR Kumar, AN Reddy","Studies of photosynthesis in some liverworts",1979,"Bryologist","JSTOR","https://www.jstor.org/stable/3242088","https://scholar.google.com/scholar?cites=894583369139874919&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 11:06:33","","","","",,,,,17,0.38,6,3,45,"… in 3 members of liverworts availab content, chlorophyll a:b … of endogenous me development in liverworts (Prasada Rao &… process of photo ported that liverworts yielded the same prim …","https://www.jstor.org/stable/pdf/3242088.pdf","https://scholar.google.com/scholar?q=related:Z-yNo9UyagwJ:scholar.google.com/&scioq=liverwort+chlorophyll&hl=en&as_sdt=2007"
36,"RM Conde-Álvarez, E Pérez-Rodrı́guez, M Altamirano…","Photosynthetic performance and pigment content in the aquatic liverwort Riella helicophylla under natural solar irradiance and solar irradiance without ultraviolet light",2002,"Aquatic Botany","Elsevier","https://www.sciencedirect.com/science/article/pii/S0304377002000074","https://scholar.google.com/scholar?cites=12633609421996723940&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 11:06:33","","","","",,,,,36,1.64,9,4,22,"… performance and pigment content of the aquatic liverwort Riella helicophylla (Bory et Mont.) … irradiance curve, photosynthetic capacity, chlorophyll a and phenolic compounds were …","https://www.academia.edu/download/47456615/Photosynthetic_performance_and_pigment_c20160723-20437-15f42i.pdf","https://scholar.google.com/scholar?q=related:5I4kZdWYU68J:scholar.google.com/&scioq=liverwort+chlorophyll&hl=en&as_sdt=2007"
