Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
7,"P Wietrzyk-Pełka, B Cykowska-Marzencka…","Mosses and liverworts in the glacier forelands and mature tundra of Svalbard (High Arctic): diversity, ecology, and community composition",2020,"Polish Polar …","ruj.uj.edu.pl","https://ruj.uj.edu.pl/xmlui/bitstream/handle/item/259953/wietrzyk-pelka_cykowska-marzencka_maruo_szymanski_wegrzyn_mosses_and_liverworts_2020.odt?sequence=2","https://scholar.google.com/scholar?cites=13822712448785343871&as_sdt=2005&sciodt=2007&hl=en",1,"2024-07-16 13:04:33","PDF","","","",,,,,7,1.75,2,3,4,"… the dominance of mosses and liverworts in tundra communities. To … and community composition of mosses and liverworts in … cover of mosses and liverworts was investigated. In 201 plots…","https://ruj.uj.edu.pl/xmlui/bitstream/handle/item/259953/wietrzyk-pelka_cykowska-marzencka_maruo_szymanski_wegrzyn_mosses_and_liverworts_2020.odt?sequence=2","https://scholar.google.com/scholar?q=related:f2U4frwj1L8J:scholar.google.com/&scioq=liverwort*+%22community+composition%22&hl=en&as_sdt=2007"
120,"R Gabriel, JW Bates","Bryophyte community composition and habitat specificity in the natural forests of Terceira, Azores",2005,"Plant ecology","Springer","https://link.springer.com/article/10.1007/s11258-005-2243-6","https://scholar.google.com/scholar?cites=13299741441207084477&as_sdt=2005&sciodt=2007&hl=en",2,"2024-07-16 13:04:33","","10.1007/s11258-005-2243-6","","",,,,,120,6.32,60,2,19,"… flora of endemic as well as relict species, six forest stands were studied and their flora inventoried using 226 randomized quadrats, which revealed one anthocerote, 64 liverworts, 41 …","https://link.springer.com/content/pdf/10.1007/s11258-005-2243-6.pdf","https://scholar.google.com/scholar?q=related:vaWwL2AskrgJ:scholar.google.com/&scioq=liverwort*+%22community+composition%22&hl=en&as_sdt=2007"
28,"M Flagmeier, DG Long, DR Genney…","Fifty years of vegetation change in oceanic-montane liverwort-rich heath in Scotland",2014,"Plant Ecology & …","Taylor &Francis","https://www.tandfonline.com/doi/abs/10.1080/17550874.2013.817487","https://scholar.google.com/scholar?cites=7142996103707208862&as_sdt=2005&sciodt=2007&hl=en",3,"2024-07-16 13:04:33","","10.1080/17550874.2013.817487","","",,,,,28,2.80,7,4,10,"… Louise Ross is a vegetation scientist interested in understanding and explaining changes in plant community composition as a result of climate change, land management practices and …","https://www.researchgate.net/profile/Louise-Ross-4/publication/262733814_Fifty_years_of_vegetation_change_in_oceanic-montane_liverwort-rich_heath_in_Scotland/links/5b322e290f7e9b0df5cc792a/Fifty-years-of-vegetation-change-in-oceanic-montane-liverwort-rich-heath-in-Scotland.pdf","https://scholar.google.com/scholar?q=related:nqx3cRwFIWMJ:scholar.google.com/&scioq=liverwort*+%22community+composition%22&hl=en&as_sdt=2007"
12,"DSG Henriques, PAV Borges, R Gabriel","Regional processes drive bryophyte diversity and community composition in a small oceanic island",2017,"Community Ecology","akjournals.com","https://akjournals.com/view/journals/168/18/2/article-p193.xml","https://scholar.google.com/scholar?cites=5344859365051527873&as_sdt=2005&sciodt=2007&hl=en",4,"2024-07-16 13:04:33","","","","",,,,,12,1.71,4,3,7,"… Looking at the two bryophyte divisions, the elevation component weighed more in moss diversity than in liverworts, the opposite being true for the substrate component. Also, alpha …","https://akjournals.com/downloadpdf/view/journals/168/18/2/article-p193.pdf","https://scholar.google.com/scholar?q=related:wfJQNEbBLEoJ:scholar.google.com/&scioq=liverwort*+%22community+composition%22&hl=en&as_sdt=2007"
0,"X Song, J Gu, Y Ye, W Li, Y Liao, R Wang, H Ma…","The Diversity and Community Pattern of Liverworts on Sygera Mountain, Tibet",2023,"Forests","mdpi.com","https://www.mdpi.com/1999-4907/15/1/48","",5,"2024-07-16 13:04:33","HTML","","","",,,,,0,0.00,0,8,1,"… In our effort to understand the differences in liverwort community composition at various elevations, we used non-metric multidimensional scaling (NMDS). Subsequent to this, a …","https://www.mdpi.com/1999-4907/15/1/48","https://scholar.google.com/scholar?q=related:IvCXngrYhpMJ:scholar.google.com/&scioq=liverwort*+%22community+composition%22&hl=en&as_sdt=2007"
4,"R Grau-Andrés, GM Davies, C Rey-Sanchez, J Slater","Bryophyte community composition and diversity are indicators of hydrochemical and ecological gradients in temperate kettle hole mires in Ohio, USA",2019,"","kb.osu.edu","https://kb.osu.edu/items/d1fa0ac0-fba1-4e1a-a451-d1d7d0531d80","https://scholar.google.com/scholar?cites=11914878800239981496&as_sdt=2005&sciodt=2007&hl=en",6,"2024-07-16 13:04:33","","","","",,,,,4,0.80,1,4,5,"… important drivers of bryophyte community composition and diversity were … and the liverwort Cephalozia sp. were indicator species. … We surveyed bryophyte community composition and …","https://kb.osu.edu/bitstreams/56c2e1c3-dc0d-4d56-96ab-3bf4ead2b419/download","https://scholar.google.com/scholar?q=related:uPMiHiQnWqUJ:scholar.google.com/&scioq=liverwort*+%22community+composition%22&hl=en&as_sdt=2007"
160,"NJ Fenton, KA Frego, MR Sims","Changes in forest floor bryophyte (moss and liverwort) communities 4 years after forest harvest",2003,"Canadian journal of botany","cdnsciencepub.com","https://cdnsciencepub.com/doi/abs/10.1139/B03-063","https://scholar.google.com/scholar?cites=13724470836404824290&as_sdt=2005&sciodt=2007&hl=en",7,"2024-07-16 13:04:33","","10.1139/B03-063","","",,,,,160,7.62,53,3,21,"… , 1974, 1969) for the liverworts. To follow changes in community composition, species were identified as belonging to one of three guilds (liverwort, forest habitat, and colonist species). …","https://www.researchgate.net/profile/Nicole-Fenton-4/publication/237154863_Changes_in_forest_floor_bryophyte_moss_and_liverwort_communities_4_years_after_forest_harvest/links/02e7e51e410a911c52000000/Changes-in-forest-floor-bryophyte-moss-and-liverwort-communities-4-years-after-forest-harvest.pdf","https://scholar.google.com/scholar?q=related:4igepoIdd74J:scholar.google.com/&scioq=liverwort*+%22community+composition%22&hl=en&as_sdt=2007"
0,"X Shao, J Gu, Y Ye, Y Liao, R Wang, H Ma, X Shao","The Diversity and Community Pattern of Liverworts in Sygera Mountain",2023,"","preprints.org","https://www.preprints.org/manuscript/202310.1890","",8,"2024-07-16 13:04:33","","","","",,,,,0,0.00,0,7,1,"… In our effort to understand the differences in liverwort community composition at various elevations, we ued non-metric multidimensional scaling (NMDS). Subsequent to this, a Hellinger …","https://www.preprints.org/manuscript/202310.1890/download/final_file","https://scholar.google.com/scholar?q=related:QT-uZ4YQi98J:scholar.google.com/&scioq=liverwort*+%22community+composition%22&hl=en&as_sdt=2007"
174,"NJ Fenton, KA Frego","Bryophyte (moss and liverwort) conservation under remnant canopy in managed forests",2005,"Biological conservation","Elsevier","https://www.sciencedirect.com/science/article/pii/S0006320704003982","https://scholar.google.com/scholar?cites=8599875513411052002&as_sdt=2005&sciodt=2007&hl=en",9,"2024-07-16 13:04:33","HTML","","","",,,,,174,9.16,87,2,19,"… (liverworts, forest-habitat mosses and colonist–pioneer mosses) and community composition in … Liverworts and forest-habitat mosses were more frequent under remnant canopy than in …","https://www.sciencedirect.com/science/article/pii/S0006320704003982","https://scholar.google.com/scholar?q=related:4iFyITflWHcJ:scholar.google.com/&scioq=liverwort*+%22community+composition%22&hl=en&as_sdt=2007"
1,"KM Standen, JL Baltzer","Greater variation in boreal plant community composition and community‐level traits at local‐than regional‐scale",2023,"Journal of Vegetation Science","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/jvs.13206","https://scholar.google.com/scholar?cites=16894412149968439240&as_sdt=2005&sciodt=2007&hl=en",10,"2024-07-16 13:04:33","","10.1111/jvs.13206","","",,,,,1,1.00,1,2,1,"… traits and greater variation of community composition within than among sites, we conclude that climate‐induced shifts in understorey community composition may not have a strong …","https://onlinelibrary.wiley.com/doi/pdf/10.1111/jvs.13206","https://scholar.google.com/scholar?q=related:yIfpB1cCdeoJ:scholar.google.com/&scioq=liverwort*+%22community+composition%22&hl=en&as_sdt=2007"
